TimeStamp,cc:d5:39:e9:5c:a0,cc:d5:39:e9:5c:ab,24:01:c7:08:b3:ff,cc:d5:39:e9:5c:ae,cc:d5:39:e9:5c:af,cc:d5:39:e9:5c:aa,cc:d5:39:e9:5c:ac,cc:d5:39:e9:5c:ad,cc:d5:39:a0:cd:bd,cc:d5:39:e9:5c:a2,cc:d5:39:a0:cd:b0,cc:d5:39:e9:5c:a4,cc:d5:39:a0:cd:b2,24:01:c7:08:b3:f0,24:01:c7:6c:fc:52,cc:d5:39:a0:cd:b5,24:01:c7:08:b3:f2,24:01:c7:08:b3:f1,24:01:c7:6c:fc:51,24:01:c7:6c:fc:50,24:01:c7:6c:fc:54,cc:d5:39:a0:cd:b1,cc:d5:39:e9:5c:a5,cc:d5:39:a0:cd:bf,cc:d5:39:a0:cd:bb,24:01:c7:6c:fc:55,24:01:c7:08:b3:fd,24:01:c7:08:b3:f5,24:01:c7:08:b3:fb,24:01:c7:33:7f:a1,cc:d5:39:a0:cd:bc,cc:d5:39:a0:cd:ba,24:01:c7:6c:fc:5b,24:01:c7:6c:fc:5d,24:01:c7:6c:fc:5f,24:01:c7:6c:fc:5e,24:01:c7:33:7f:aa,24:01:c7:33:7f:ac,24:01:c7:33:7f:ae,cc:d5:39:a0:cd:b4,cc:d5:39:e9:5c:a1,34:a8:4e:c6:22:00,24:01:c7:08:b3:fa,24:01:c7:08:b3:fc,24:01:c7:08:b3:fe,cc:d5:39:a0:cd:be,24:01:c7:33:7f:ad,34:a8:4e:c6:22:01,34:a8:4e:c6:22:02,24:01:c7:6c:fc:5a,24:01:c7:33:7f:a4,24:01:c7:33:7f:a0,24:01:c7:33:7f:a2,24:01:c7:08:b3:f4,24:01:c7:33:7f:ab,24:01:c7:33:7f:af,24:01:c7:33:7f:a5,24:01:c7:6c:fc:5c,cc:d5:39:e5:b3:84,cc:d5:39:e5:b3:81,24:01:c7:77:3e:aa,24:01:c7:77:3e:ab,24:01:c7:77:3e:ac,24:01:c7:77:3e:ae,24:01:c7:77:3e:af,58:97:1e:f7:73:b1,24:01:c7:77:3e:ad,cc:d5:39:e5:b3:82,cc:d5:39:e5:b3:80,cc:d5:39:e5:b3:85,58:97:1e:f7:73:b4,e0:d1:73:ff:ee:51,58:97:1e:f7:73:b2,58:97:1e:f7:73:b5,cc:d5:39:e5:b3:8c,cc:d5:39:e5:b3:8a,e0:d1:73:ff:ee:55,cc:d5:39:e5:b3:8d,cc:d5:39:e5:b3:8f,cc:d5:39:e5:b3:8b,58:97:1e:f7:73:b0,e0:d1:73:ff:ee:54,e0:d1:73:ff:ee:50,e0:d1:73:ff:ee:52,e0:d1:73:ff:ee:5b,e0:d1:73:ff:ee:5f,cc:d5:39:e5:b3:8e,e0:d1:73:ff:ee:5c,e0:d1:73:ff:ee:5a,88:75:56:44:c6:ee,e0:d1:73:ff:ee:5e,88:75:56:44:c6:ed,cc:d5:39:25:b4:35,cc:d5:39:25:b4:30,cc:d5:39:25:b4:34,88:75:56:44:c6:e1,e0:d1:73:ff:ee:5d,88:75:56:44:c6:e0,88:75:56:44:c6:e4,88:75:56:44:c6:e5,58:97:1e:f7:73:bd,58:97:1e:f7:73:bb,88:75:56:44:c6:ef,88:75:56:44:c6:ea,88:75:56:44:c6:e2,58:97:1e:f7:73:bf,88:75:56:44:c6:ec,58:97:1e:f7:73:bc,58:97:1e:f7:73:ba,cc:d5:39:25:b4:3d,58:97:1e:f7:73:be,24:01:c7:ca:81:0c,24:01:c7:ca:81:0a,24:01:c7:ca:81:04,24:01:c7:ca:81:02,24:01:c7:ca:81:00,24:01:c7:ca:81:05,24:01:c7:ca:81:0d,24:01:c7:ca:81:01,34:a8:4e:a2:a3:99,24:01:c7:ca:81:0b,34:a8:4e:a2:a3:9a,24:01:c7:ca:81:0f,34:a8:4e:a2:a3:9c,34:a8:4e:a2:a3:9e,34:a8:4e:a2:a3:95,34:a8:4e:a2:a3:91,34:a8:4e:a2:a3:93,34:a8:4e:a2:a3:92,34:a8:4e:a2:a3:9f,24:01:c7:ca:81:0e,34:a8:4e:a2:a3:9b,34:a8:4e:a2:a3:96,34:a8:4e:a2:a3:9d,34:a8:4e:e9:e0:fe,34:a8:4e:e9:e0:f2,34:a8:4e:e9:e0:f0,34:a8:4e:e9:e0:f1,34:a8:4e:e9:e0:f5
1453855941541,-43,-55,-75,-58,-58,-57,-59,-58,-70,-53,-63,-44,-61,-63,-80,-68,-61,-58,-82,-83,-83,-61,-47,-70,-68,-82,-75,-59,-65,-77,-73,-70,-76,-77,-79,-81,-68,-65,-62,-59,-40,,-70,-68,-76,-76,-63,,,-78,-71,-71,-70,-65,-65,-65,-80,-79,-80,-72,-86,-87,-85,-85,-86,-85,-84,-72,-72,-71,-87,-86,-83,-85,-90,-91,-88,-79,-78,-80,-83,-85,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855943915,-43,-55,-77,-57,-58,-57,-58,-58,-74,-53,-63,-44,-61,-63,-80,-68,-61,-58,-82,-83,-83,-66,-51,-73,-72,-82,-76,-67,-77,-71,-73,-73,-76,-77,-79,-81,-65,-67,-62,-59,-40,,-70,-68,-76,-76,-63,,,-78,-71,-71,-70,-65,-65,-65,-80,-79,,-68,-86,-87,-85,-85,-86,-85,,-72,-72,-71,-87,-86,-80,-81,-75,-91,-88,-71,-71,-80,-80,-85,-87,-86,-89,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855946287,-43,-66,-81,-66,-70,-69,-67,-66,-74,,-60,-44,-58,-63,-80,-68,-61,-66,-82,-83,-83,-66,-51,-73,-72,-82,-81,-67,-77,-69,-74,-75,-84,-77,-83,-81,-65,-67,-59,-59,-52,,-82,-68,-76,-76,-59,,,-83,-70,-71,-70,-65,-65,-59,-80,-79,-58,-68,,,-85,,-86,-82,,-60,-61,-71,-87,-84,-82,-81,-75,-91,-88,-62,-62,-80,-82,-85,-87,-86,-91,-92,-61,-89,-90,-91,-92,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855948645,-43,-68,-83,-66,-70,-65,-67,-69,-74,-55,-64,-52,-58,-63,-84,-63,-61,-66,-82,-83,-83,-66,-51,-74,-72,-82,-83,-67,-77,-69,-74,-75,-84,,-83,-81,-65,-67,-59,-59,-52,,-82,-68,-76,-75,-58,,,-83,-68,-70,-70,-74,-62,-58,-71,-83,-58,-68,,,-85,,-86,-82,,-60,-62,-65,-80,-80,-78,-81,-75,,,-68,-69,-68,-78,-85,-87,-83,-91,-92,-61,-89,-90,-91,-92,-89,-82,-83,-83,-84,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855951024,-43,-62,-79,-62,-64,-62,-63,-64,-74,-55,-64,-52,-61,-63,-84,-63,-61,-66,,-83,-83,-62,-55,-74,-75,-82,-79,-71,-78,-64,-74,-75,-85,,-83,-81,-56,-59,-59,-59,-52,,-82,,-76,-75,-55,,,-83,-68,-70,-70,-74,-62,-56,-71,-83,-58,-58,,,-85,,,-82,,-56,-62,-65,-80,-80,-78,-80,-64,-64,-81,-64,-64,-68,-78,-85,-81,-83,-91,-90,-61,-89,-90,-91,-88,-89,-82,-83,-83,-84,-89,-84,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855953382,,-60,-87,-60,-60,-59,-60,-60,-74,-55,-64,-52,-65,,-84,-63,,-66,,,,-62,-55,-74,-75,,-79,-71,-85,-60,-74,-74,-85,,-82,,-56,-59,-53,-64,-60,,-85,,,-75,-51,,,-83,-68,-70,-60,-74,-62,-52,-71,-83,-60,-58,,,,,,-79,,-60,-62,-65,-80,-80,-78,-80,-70,-64,-81,-80,-80,-68,-78,,-81,-83,-86,-86,-73,-85,-87,-91,-89,-89,-82,-83,-83,-84,-87,-80,-83,-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855955757,-60,-66,-87,-64,-66,-65,-64,-65,-77,-59,-64,-58,-65,,-84,-65,,-66,,-83,-85,-62,-55,-77,-75,,-79,-71,-85,-60,-74,-74,-85,,-82,,-56,-59,-53,-64,-60,,-85,-86,-87,-76,-47,,,-83,-58,-60,-60,-74,-50,-46,-59,-83,-60,-58,,,,,,-79,,-60,-62,-64,-80,-80,-78,-80,-70,-64,-81,-75,-73,-74,-78,-79,-81,-83,-80,-83,-73,-82,-82,-91,-85,-89,-82,-83,-83,-80,-81,-80,-83,-77,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855958151,-60,-70,-87,-72,-71,-70,-68,-71,-78,-59,-64,-58,-65,-80,-84,-65,,,,-83,-85,-64,-55,-77,-79,,-85,-71,-85,-60,-74,-74,-85,,-82,,-56,-43,-53,-64,-60,,-85,-86,-88,-76,-39,,,,-58,-60,-60,-82,-50,-40,-53,-83,-60,-58,,,,,,-79,,-60,-62,-64,-80,-80,-78,-77,-70,-72,-81,-75,-73,-74,-78,-79,-81,-83,-77,-78,-73,-78,-77,,-77,-90,-82,-83,-83,-80,-77,-80,-83,-77,-89,-90,-90,-92,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855960536,-65,-78,-87,-75,-73,-75,-79,-73,-73,-59,,-58,-65,-80,-84,-65,,,,-83,-85,-67,-55,-72,-73,,-85,-83,-84,-48,-74,-74,-85,-88,-82,,-42,-43,-53,-64,-60,,-85,-86,-88,-76,-42,,,,-58,-60,-60,-82,-50,-40,-53,,-60,-58,,,,,,-79,,-60,,-64,-80,,-78,-72,-80,-79,-68,-80,-80,-74,-77,-75,-74,-83,-70,-70,-73,-74,-73,,-75,-90,,,,-80,-70,-80,-73,-77,-89,-87,-90,-88,-72,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855962898,-65,-74,-87,-71,-71,-72,-73,-71,-73,-59,,-58,-75,-80,-84,-65,,,,-83,-85,-67,,-72,-73,,-85,-82,-84,-42,-83,-86,,-87,-82,,-42,-43,-42,-69,-72,,-85,-86,-88,-76,-42,,,,-58,-60,-60,-82,-50,-41,-53,,-72,,-84,,-87,,-87,-68,-87,-71,,-64,-80,,-78,-68,-80,-79,-63,-86,-80,-74,-77,-75,-74,-83,-70,-69,-73,-73,-74,-80,-75,-79,,,,-80,-71,-80,-67,-77,-85,-87,-80,-88,-72,-85,-81,-86,-88,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855965270,-65,-74,,-71,-77,-77,-78,-78,-77,-66,-70,-68,-75,-80,-84,-68,-84,,,-83,-85,-67,,-76,-73,,-85,-82,-84,-42,-83,-86,,-87,,,-42,-43,-42,-69,-72,,,-86,-91,-78,-49,,,,-47,-48,,-82,-52,-49,-53,,-72,,-84,,-87,,-87,-68,-87,-71,,-64,-80,-60,-66,-68,-80,-79,-63,-86,-80,-74,-77,-75,-74,-64,-71,-69,,-72,-73,-80,-71,-83,-85,,,-74,-69,,-67,-75,-81,-87,-84,-88,-72,-81,-81,-86,-88,-88,-80,-91,-91,-89,-87,,,,,,,,,,,,,,,,,,,,,,,,
1453855967644,-71,-76,,-76,-77,-77,-78,-77,-80,-66,-70,-70,-75,-80,,-68,-84,,,,,-75,-74,-80,-79,,-85,-82,-84,-42,-83,-86,,-87,,,-49,-43,-42,-69,-72,,,,-90,-78,-50,,,,-47,-48,,-82,-52,-50,-55,,-72,-81,-84,,-87,,-87,-68,-87,-71,,,-52,-60,-66,-60,-80,-79,-63,-86,-80,,-59,-75,-74,-73,-77,-81,,-78,-77,-80,-79,-83,-85,,,-77,-80,,-67,-75,-77,-79,-84,-87,-80,-77,-85,-86,-88,-88,-80,-91,-91,-83,-79,-78,-79,,,,,,,,,,,,,,,,,,,,,,
1453855970018,-71,-76,,-76,-75,-75,-76,-75,-80,-66,-70,-70,-80,,,-68,-84,,,,,-79,-73,-88,-79,,-85,-82,-84,-55,-87,-86,,-87,,,-49,-49,-48,-69,-72,,,,-90,-78,-52,,,,-47,-48,,,-52,-52,-55,,-72,-81,-84,,-87,,-87,-68,-87,-82,,,-52,-60,-66,-48,-80,-79,-73,-86,-80,,-59,-75,-74,-73,-85,-83,,-85,-85,-80,-82,-83,-85,,,-77,-83,,-67,-75,-69,-79,-84,-87,-80,-70,-85,-86,-88,-88,-80,-91,-91,-83,-79,-78,-83,-91,,,,,,,,,,,,,,,,,,,,,
1453855972394,-71,-76,,-78,-76,-75,-78,-79,-83,-66,-77,-70,-76,,,-68,-84,,,,,-79,-73,-84,-79,,,-82,,-55,-85,-86,,-87,,,-49,-49,-53,-77,-78,,,,-90,-82,-54,,,,-56,-48,-59,,-52,-54,-55,,-72,-81,-84,,-87,,-87,-50,-87,-85,,,-52,-74,-66,-48,,,-73,-86,,,-59,,-74,-73,-88,-89,,-87,-85,-80,-86,-83,-85,,,-77,-87,-88,-67,-75,-66,-79,-84,-87,-80,-66,-85,-66,-70,-88,-68,-91,-91,-83,-82,-81,-83,-91,-83,,,,,,,,,,,,,,,,,,,,
1453855974752,-79,-76,,-78,-76,-75,-78,-79,-87,-79,-77,-78,-76,,,-79,-84,,,,,-79,-73,-84,-79,,,,,-55,-85,,,,,,-49,-49,-53,-77,-78,,,,-90,-86,-54,,,,-62,-66,-59,,-52,-55,-69,,,-81,,,,,,-50,,-85,,,-47,-74,-47,-48,,,-73,,,,-49,-85,-74,-83,-84,-84,,-83,-85,,-84,-83,-85,,,-77,-84,-88,,-75,-65,-79,-84,-87,-80,-65,-85,-66,-70,,-64,-84,-86,-79,-78,-79,-83,-91,-83,-86,,,,,,,,,,,,,,,,,,,
1453855977124,-79,-80,,-79,-78,-76,-81,-80,-87,-79,-77,-78,-76,,,-79,,,,,,-79,-77,-84,-79,,,,,-68,-85,,,,,,-61,-58,-53,-77,-78,,,,-90,-86,-59,,,,-62,-66,-59,,,-60,-69,,,-85,,,,,,-50,,-85,,,-47,-74,-47,-54,,,-73,,,,-49,-85,-83,-83,-86,-85,,-85,-86,,-85,,,,,-77,-84,-88,,,-73,-79,,-87,-80,-73,-85,-66,-68,,-64,-84,-86,-79,-74,-75,-76,-82,-83,-86,-79,-83,-84,-84,,,,,,,,,,,,,,,
1453855979483,-79,-80,,-81,-81,-76,-85,-81,-87,-79,-78,-78,-76,,,-79,,,,,,-79,-77,-84,,,,,,-68,-89,,,,,,-61,-58,-61,-78,-81,,,,,-90,-59,,,,-66,-66,-65,,,-60,-69,,-87,-85,,,,,,-54,,-86,,,-47,-74,-47,-54,,,-73,,,,-49,-85,-83,-83,-89,-88,,-87,-87,,-89,-92,,,,,-86,-88,,,-76,,,,,-75,,-74,-76,,-73,-84,-84,-79,-74,-75,-76,-82,-75,-78,-84,-83,-83,-84,-76,-80,-82,-80,-80,,,,,,,,,,
1453855981860,-80,-77,,-80,-78,-78,-81,-80,-86,-79,-78,-78,-76,,,-81,,,,,,-79,-77,-84,-88,,,,,-68,-89,,,,,,-62,-58,-61,-78,-81,,,,,-90,-59,,,,-66,-70,-65,,-63,-62,-69,,-87,-85,,,,,,-54,,-86,,-88,-57,-74,-47,-54,,,,,,,-58,-85,-83,-83,-85,-86,,-86,-87,,-88,-92,,,,,-86,-88,,,-76,-75,,,,-76,,-74,-76,,-73,-79,-84,-71,-74,-71,-76,-82,-75,-78,-84,-83,-82,-84,-76,-80,-78,-78,-78,-80,-82,-84,,,,,,,
1453855984233,-80,-77,,-81,-82,-81,-81,-80,-86,-79,-78,-78,,-87,,-81,,,,,,-79,-73,-89,-86,,,,,-67,-89,-88,,,,,-65,-63,-61,-78,-81,,,,,-90,-59,,,,-66,-70,-65,,-63,-62,-69,,-87,-84,,,,,,-54,,-86,,-88,-57,,-47,-58,,,-80,,,,-58,-85,-80,-83,-88,-87,,-86,-87,,-88,-92,,,,,-86,,,,-81,-82,,,-88,-81,,-74,-76,,-73,-79,-84,-71,-74,-71,-71,-76,-75,-78,-84,-83,-76,-84,-76,-80,-83,-85,-83,-80,-78,-84,-84,,,,,,
1453855986587,-80,-85,,-81,-82,-81,-81,-80,-86,,-82,,,-87,,-81,,,,,,-79,-73,-89,-86,,,,,-70,-85,-85,,,,,-65,-63,-61,-85,-79,,,,,-85,-59,,,,-71,-70,-72,,-63,-62,,,-87,-84,,,,,,-65,,-86,,-88,-57,-88,,-58,,,-80,,,,-58,-85,-80,,-88,-87,,-86,-87,,-88,-92,,,,,-86,,,,-83,-82,,,-88,-84,,-83,-80,,-73,-79,-84,-71,-74,-71,-71,-76,-69,-80,-84,-83,-76,-84,-81,-80,-83,-85,-83,-80,-78,-84,-84,,,,,,
1453855988961,-80,-85,,-81,-82,-81,-81,-80,-86,-80,-82,-80,,-87,,-83,,,,,,-79,-73,-89,-86,,,,,-70,-85,-85,,,,,-65,-63,-61,-85,-79,,,,,-85,,,,,-71,-70,-72,,-73,-74,-69,,-87,-84,,,,,,-65,,-86,,-88,-64,-88,-66,-58,,,-80,,,,-62,-85,-85,,-88,-87,,-86,-87,,-88,-92,,,,,-86,,,,-87,-82,,,-88,-84,,-83,-80,,-88,-73,-84,-62,-61,-61,-71,-71,-69,-80,-84,,-72,-75,-75,-80,-83,-83,-83,-80,-73,-84,-84,-74,,,,,
1453855991321,-80,-85,,-81,-82,-81,-81,-80,-86,-80,-82,-80,,-87,,-83,,,,,,-79,-73,-89,-86,,,,,-77,-85,-85,,,,,-76,-63,,-85,-79,,,,,-85,,,,,-71,-70,-72,,-73,-74,-69,,,-84,,,,,,-65,,,,-88,-64,-88,-66,-73,,,-80,,,,-62,-85,-85,,-88,-87,,-86,-87,,-88,,,,,,-86,,,,-87,-82,,,-88,-84,,-83,-80,,-88,-73,,-62,-61,-61,-67,-70,-69,-80,-67,-77,-70,-76,-75,,-83,-83,-83,-80,-71,-84,-84,-74,-91,,,,
