TimeStamp,e0:d1:73:a1:20:e0,e0:d1:73:a1:20:e2,e0:d1:73:a1:20:e5,e0:d1:73:a1:20:e1,cc:d5:39:9a:e4:85,e0:d1:73:a1:20:e4,54:78:1a:24:67:c1,54:78:1a:24:67:c2,e0:d1:73:a1:20:ef,54:78:1a:24:67:c4,e0:d1:73:a1:20:ec,e0:d1:73:a1:20:ea,cc:d5:39:9a:e4:84,cc:d5:39:9a:e4:80,84:78:ac:dc:d4:a1,cc:d5:39:9a:e4:82,54:78:1a:24:67:c0,cc:d5:39:24:a7:71,84:78:ac:dc:d4:a4,84:78:ac:dc:d4:a2,54:78:1a:24:67:c5,54:78:1a:24:67:cc,cc:d5:39:24:a7:74,54:78:1a:24:67:ca,54:78:1a:24:67:cf,cc:d5:39:24:a7:72,54:78:1a:24:67:ce,54:78:1a:24:67:cd,cc:d5:39:24:a7:70,cc:d5:39:24:a7:75,54:78:1a:24:67:cb,e0:d1:73:0f:2f:75,cc:d5:39:9a:e4:81,cc:d5:39:6a:49:e4,20:3a:07:aa:41:31,cc:d5:39:6a:49:e2,20:3a:07:aa:41:32,20:3a:07:aa:41:30,e0:d1:73:d8:74:94,34:a8:4e:ae:31:70,e0:d1:73:d8:74:92,20:3a:07:aa:41:3d,20:3a:07:aa:41:3e,20:3a:07:aa:41:35,20:3a:07:aa:41:3c,e0:d1:73:d8:74:90,e0:d1:73:d8:74:95,cc:d5:39:49:c0:95,20:3a:07:aa:41:3a,cc:d5:39:49:c0:90,cc:d5:39:49:c0:94,e0:d1:73:d8:74:91,cc:d5:39:49:c0:91,cc:d5:39:49:c0:92,20:3a:07:aa:41:34,20:3a:07:aa:41:3f,20:3a:07:aa:41:3b,cc:d5:39:15:29:64,1c:e6:c7:03:56:20,e0:d1:73:de:ac:14,e0:d1:73:de:ac:10,e0:d1:73:de:ac:12,e0:d1:73:95:71:42,e0:d1:73:d8:74:9c,e0:d1:73:d8:74:9f,e0:d1:73:d8:74:9e,e0:d1:73:d8:74:9d,e0:d1:73:a1:20:ee,e0:d1:73:a1:20:eb,e0:d1:73:a1:20:ed,e0:d1:73:d8:74:9a,e0:d1:73:95:71:45,e0:d1:73:95:71:40,e0:d1:73:95:71:44,e0:d1:73:de:ac:11,e0:d1:73:de:ac:15,e0:d1:73:0f:2f:71,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:70,e0:d1:73:95:71:4a,e0:d1:73:bd:c9:a2,e0:d1:73:0f:2f:72,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7b,e0:d1:73:0f:2f:7e,e0:d1:73:95:71:41,e0:d1:73:0f:2f:7d,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:4b,e0:d1:73:95:71:4c,e0:d1:73:95:71:4e,e0:d1:73:95:71:4f,e0:d1:73:bd:c9:a4,e0:d1:73:95:71:4d,e0:d1:73:0f:2f:74,e0:d1:73:0f:2f:7a,e0:d1:73:de:ac:1f,e0:d1:73:bd:c9:ab,e0:d1:73:de:ac:1a,e0:d1:73:de:ac:1e,e0:d1:73:bd:c9:aa,e0:d1:73:bd:c9:ac,e0:d1:73:bd:c9:ae,e0:d1:73:bd:c9:af,e0:d1:73:bd:c9:ad,e0:d1:73:bd:c9:a5,e0:d1:73:de:ac:1b,e0:d1:73:de:ac:1c,34:a8:4e:29:3d:95,cc:d5:39:15:29:62,e0:d1:73:de:ac:1d
1454081801774,-82,-86,,-81,,-89,-82,,,,,,,,,-85,,,,,,,,,,,,,,,,,-87,-82,-88,-83,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081804101,-82,-86,,-81,,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82,-85,-83,-84,-83,-86,-89,-84,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081806428,,-86,,,,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82,-85,-83,-84,-85,-86,-89,-84,-90,-88,-85,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081808763,,-86,,,,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82,-85,-83,-84,-85,-86,-89,-80,-90,-88,-85,-90,-80,-81,-84,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081811093,,-86,,,,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82,-84,-83,-83,-83,-76,-89,-76,-90,-88,-85,-90,-75,-81,-84,-92,-85,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081813420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84,,-83,-75,-76,-89,-75,-90,-88,-85,-90,-75,-81,-84,-92,-85,-86,-75,-84,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081815744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84,,-74,-71,-76,,-76,,-88,-85,-89,-76,-78,-83,-89,-85,-86,-75,-84,-84,-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081818084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,,-70,-69,-80,,-76,-82,,,-89,-80,-78,-83,-85,-85,-86,-75,-84,-84,-71,-83,-83,-87,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081820411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,,-62,-61,-80,,-78,-78,-79,-60,-89,-80,-78,-83,-85,-85,-86,-76,-84,-84,-71,-79,-83,-87,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081822751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,,-62,-63,-80,,-78,-80,-79,-60,-83,-80,-78,-83,-85,,,-76,-84,-84,-66,-81,-83,-87,-87,-83,-85,-84,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081825078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,,-62,-63,-70,,-70,-84,-79,-60,-83,-70,-78,-83,-85,,,-76,,,-66,-89,-87,-87,-87,-83,-85,-84,-88,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081827403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,,-62,-63,-70,,-68,-84,-79,-76,-83,-68,,,-85,,,-68,,,-66,-89,-87,-87,-87,-83,-85,-84,-88,-91,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081829734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,,-75,-73,-70,,-65,-84,-79,-76,-85,-66,,,,,,-66,,,-73,-89,-87,,,-83,-85,-84,-88,-91,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081832055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,,-70,-69,-70,,-68,-84,,-76,-85,-68,-69,,,,,-66,,,-73,-89,-87,,,-83,-85,-84,-88,-91,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081834382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,,-74,-74,-65,,-65,-86,,-76,-85,-66,-69,,,,,-66,,,-73,-85,-85,,,,,,,-91,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081836708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,,-71,-71,-65,,-65,-86,,-71,-85,-66,-69,,,,,-66,,,-73,-85,-85,,,,,,,,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081839032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,,-79,-79,-65,,-65,-86,,-71,-85,-66,-67,,,,,-66,,,-83,-85,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081841357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,,-83,-79,-65,,-64,-86,,-71,,-64,-64,,,,,-66,,,-83,-85,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081843689,,,,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,,-83,-79,-60,,-60,-86,,-71,,-60,-64,,,,,-66,,,-83,-85,-85,,,,,,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081846013,,,-88,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-83,-79,-60,,-60,,,-71,,-60,-64,,,,,-65,,,-83,,,,,,,,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081848352,,,-88,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-83,-79,-60,,-60,,,,,-60,-65,,,,,-65,,,-83,,,,,,,,,,-90,-91,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081850682,,,-88,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-83,,-69,,-68,,,,,-68,-65,,,,,-65,,,,,,,,,,,,,-90,-91,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081853007,,,-88,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69,,-65,,,,,-64,-65,,,,,-64,,,,,,,,,,,,,-90,-91,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081855333,,,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89,-69,,-63,,,,,-62,-63,,,,,-64,,,-87,,,,,,,,,,,-91,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081857656,,-85,,,,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89,-65,,-63,,,,,-62,-63,,,,,-64,,,-87,,,,,,,,,,,-91,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081859991,,-85,,-81,,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89,-72,,-68,,,,,-68,-63,,,,,-64,,,-87,,,,,,,,,,,,-89,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081862328,-75,-85,-75,-81,,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89,-72,,-70,,,,,-70,-63,,,,,-73,,,-87,,,,,,,,,,,,-89,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081864652,-76,-78,-75,-81,,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89,-84,,-80,,,,,-79,-63,,,,,-73,,,-87,,,,,,,,,,,,-89,-84,-80,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081866982,-68,-69,-75,-69,,-80,,,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84,,-80,,,,,-79,,,,,,-73,,,,,,,,,,,,,,,,-81,-80,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081869303,-71,-71,-72,-69,,-80,,,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84,,-80,,,,,-79,,,,,,-73,,,,,,,,,,,,,,,,-81,-80,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081871631,-76,-78,-79,-69,,-79,,,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84,,-80,,,,,-79,-80,,,,,-73,,,,,,,,,,,,,,,,-81,-80,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081873957,-78,-78,-79,-77,,-79,,,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84,,-80,,,,,-71,-80,,,,,,,,,,,,,,,,,,,,,-85,-80,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081876289,-74,-74,-79,-75,,-79,,,,,-82,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-83,,,,,-80,-80,,,,,-81,,,,,,,,,,,,,,,,-81,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081878611,-70,-71,-73,-75,,-79,,,-81,,-82,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-83,,,,,-80,-80,,,,,-83,,,,,,,,,,,,,,,,-81,-80,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081880936,-69,-69,-73,-75,,-71,,,-81,,-82,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-83,,,,,-80,-80,,,,,-83,,,,,,,,,,,,,,,,-81,-84,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081883259,-74,-73,-73,-75,,-71,,,-81,,-82,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,-78,,-78,,,,,-77,,,,,,-83,,,,,,,,,,,,,,,,-81,-84,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081885594,-74,-73,-73,-76,,-71,,,-81,,-82,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,-78,,-78,,,,,-77,,,,,,-81,,,,,,,,,,,,,,,,-81,-84,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081887916,-71,-73,-72,-76,,-71,,,-81,,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,-78,,-79,,,,,-78,-80,,,,,-81,,,,,,,,,,,,,,,,,-84,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081890244,-78,-77,-72,-76,,-79,,,,,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,-70,,-68,,,,,-68,-70,,,,,-81,,,,,,,,,,,,,,,,,-84,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081892573,-82,-83,-72,-83,,-79,,,,,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,-63,,-65,,,,,-64,-70,,,,,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081894895,-79,-79,-78,-83,,-79,,,,,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,-63,,-75,,,,,-74,-70,,,,,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081897218,-75,-75,-75,-83,,-76,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-63,,-75,,,,,-74,-71,,,,,,,,,,,,,,,,,,,,,,-83,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081899547,-76,-76,-75,-83,,-76,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69,,-75,,,,,-71,-71,,,,,,,,,,,,,,,,,,,,,,-83,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081901872,-76,-76,-75,-77,,-76,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,,-73,,,,,-73,-71,,,,,-74,,,,,,,,,,,,,,,,,-83,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081904195,-78,-78,-79,-77,,-76,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,,-76,,,,,-76,-71,,,,,-75,,,,,,,,,,,,,,,,,-83,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081906526,-80,-79,-79,-77,,-80,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,,-65,,,,,-65,-64,,,,,-75,,,,,,,,,,,,,,,,,-83,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081908854,-80,-79,-79,-77,,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,,-67,,-64,,,,,-65,-64,,,,,-75,,,,,,,,,,,,-90,,,,,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081911174,-80,-79,-79,-77,,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,,-67,,-62,,,,,-65,-64,,,,,-64,,,,,,,,,,,,-90,,,,,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081913500,-84,-79,-86,,,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,,-67,,-62,,,,,-65,-64,,,,,-63,,,,,,,,,,,,-90,,,,,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081915832,-88,-79,-86,,,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,,-67,,-62,,,,,-66,-71,,,,,-63,,,,,,,,,,,,-90,,,,,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081918159,-88,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,,-66,,-66,,,,,-66,-71,,,,,-63,,,,,,,,,,,,-92,-89,,-90,,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081920482,-88,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81,-82,-66,,-66,,,-82,-91,-66,-71,,,,,-63,,,,,,,,,,,,-92,-91,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081922811,-88,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71,-71,-66,,-66,,,-82,-83,-66,-71,,-79,,,-63,,,-69,,,,,-87,,-87,-79,-92,-91,,-90,,,,,-80,-80,-81,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081925151,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68,,-68,-67,-66,,-66,-74,,-82,-83,-66,-71,,-79,,,-63,,,-69,-74,-74,,,-87,,-87,-87,-92,-91,,-90,,,,,-80,-86,-81,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081927476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68,,-68,-69,-66,,-66,-78,-80,-73,-83,,,,-79,,,-71,,,-69,-78,-74,,,-84,-84,-87,-87,-92,-91,,-90,,,,,-80,-86,-81,-87,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081929804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68,,-71,-71,,,,-78,-80,-73,-88,,,,-87,,,-71,,,-72,-78,-74,,,-84,-81,-87,-82,,-91,,,,,,,-81,-81,-81,-87,-83,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081932129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78,,,-65,,-65,-66,-89,,,-78,-80,-73,-88,-86,,,-87,,,-71,,,-72,-78,-85,,,-84,-72,-72,-78,,,,,,,,,-81,-81,-77,-73,-83,-82,-74,-75,-79,-90,-75,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081934475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78,,,-73,,-70,-71,-89,,,-78,-80,-73,-88,-86,,,-87,,,-71,,,-72,-78,-88,,,-84,-72,-72,-78,,,,,,,,,-81,-81,-77,-73,-75,-82,-84,-83,-79,-90,-85,-76,-82,-82,-83,-79,-86,,,,,,,,,,,,,,,,,,,,,,,,
