,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011314,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018
1526462199169,-37,-41,-55,-45,-53,-58,-44,-49,-53,-200,-60,-54,-51,-64,-53,-200,-53,-64,-53,-54,-200,-200,-58,-61,-64,-65,-67,-68,-55,-200,-70,-59,-60,-57,-79,-79,-66,-71,-74,-66,-86,-68,-200,-83,-80,-200,-72,-86,-86,-85,-83,-86,-90,-56,-58,-65,-69,-65,-65,-66,-74,-70,-91,-70,-200,-200,-200,-200,-200,-200,-200,-200
1526462202205,-37,-41,-55,-45,-53,-58,-44,-49,-53,-200,-60,-54,-51,-64,-53,-200,-53,-64,-53,-54,-200,-200,-58,-61,-64,-65,-67,-68,-55,-200,-70,-59,-60,-57,-79,-79,-66,-71,-74,-66,-86,-68,-200,-83,-80,-200,-72,-86,-86,-85,-83,-86,-90,-56,-58,-65,-69,-65,-65,-66,-74,-70,-91,-70,-200,-200,-200,-200,-200,-200,-200,-200
1526462205216,-37,-41,-51,-48,-53,-58,-42,-49,-54,-200,-60,-51,-47,-200,-53,-200,-56,-60,-53,-54,-200,-200,-58,-61,-64,-65,-67,-68,-55,-200,-70,-57,-60,-58,-75,-75,-66,-71,-74,-66,-86,-68,-200,-83,-82,-200,-66,-86,-86,-87,-83,-83,-200,-200,-58,-200,-69,-65,-65,-68,-74,-70,-91,-70,-200,-200,-200,-200,-200,-200,-200,-200
1526462208231,-37,-41,-51,-48,-53,-58,-42,-49,-54,-200,-60,-51,-47,-200,-53,-200,-56,-60,-53,-54,-200,-200,-58,-61,-64,-65,-67,-68,-55,-200,-70,-57,-60,-58,-75,-75,-66,-71,-74,-66,-86,-68,-200,-83,-82,-200,-66,-86,-86,-87,-83,-83,-200,-200,-58,-200,-69,-65,-65,-68,-74,-70,-91,-70,-200,-200,-200,-200,-200,-200,-200,-200
1526462211250,-38,-39,-56,-52,-51,-56,-45,-49,-57,-200,-200,-51,-45,-200,-53,-200,-56,-60,-53,-54,-200,-66,-54,-57,-59,-65,-68,-68,-55,-200,-70,-57,-59,-58,-75,-79,-66,-71,-77,-66,-78,-71,-200,-75,-82,-200,-66,-82,-86,-87,-85,-82,-200,-200,-200,-200,-200,-65,-65,-68,-74,-70,-91,-70,-65,-78,-80,-81,-200,-200,-200,-200
1526462214268,-38,-39,-56,-52,-51,-56,-45,-49,-57,-200,-200,-51,-45,-200,-53,-200,-56,-60,-53,-54,-200,-66,-54,-57,-59,-65,-68,-68,-55,-200,-70,-57,-59,-58,-75,-79,-66,-71,-77,-66,-78,-71,-200,-75,-82,-200,-66,-82,-86,-87,-85,-82,-200,-200,-200,-200,-200,-65,-65,-68,-74,-70,-91,-70,-65,-78,-80,-81,-200,-200,-200,-200
1526462217290,-21,-39,-48,-51,-52,-59,-44,-200,-56,-200,-200,-49,-46,-200,-53,-200,-58,-60,-53,-56,-200,-66,-54,-60,-59,-65,-70,-68,-62,-65,-68,-58,-62,-62,-75,-79,-66,-71,-77,-63,-79,-71,-200,-79,-76,-200,-65,-82,-86,-83,-81,-85,-200,-200,-200,-200,-200,-65,-200,-68,-200,-70,-91,-70,-61,-78,-80,-83,-60,-77,-200,-200
1526462220298,-21,-39,-48,-51,-52,-59,-44,-200,-56,-200,-200,-49,-46,-200,-53,-200,-58,-60,-53,-56,-200,-66,-54,-60,-59,-65,-70,-68,-62,-65,-68,-58,-62,-62,-75,-79,-66,-200,-77,-63,-79,-71,-200,-79,-76,-200,-65,-82,-86,-83,-81,-85,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-200,-70,-61,-78,-80,-83,-60,-77,-200,-200
1526462223322,-37,-38,-41,-47,-52,-60,-42,-50,-54,-200,-200,-47,-46,-200,-61,-200,-58,-57,-52,-56,-200,-66,-55,-63,-61,-65,-66,-68,-62,-65,-68,-57,-58,-60,-75,-76,-66,-71,-71,-63,-75,-67,-200,-79,-82,-80,-64,-82,-87,-87,-85,-84,-200,-65,-200,-69,-200,-67,-200,-68,-200,-200,-200,-70,-61,-78,-80,-83,-60,-77,-61,-200
1526462226341,-37,-38,-41,-47,-52,-60,-42,-50,-54,-200,-200,-47,-46,-200,-61,-200,-58,-57,-52,-56,-200,-66,-55,-63,-61,-200,-66,-68,-62,-65,-68,-57,-58,-60,-75,-76,-200,-71,-71,-63,-75,-67,-200,-79,-82,-80,-64,-82,-87,-87,-85,-84,-200,-65,-200,-69,-200,-67,-200,-68,-200,-200,-200,-200,-61,-78,-80,-83,-60,-77,-61,-200
1526462229373,-37,-42,-44,-47,-53,-59,-43,-50,-54,-200,-200,-47,-45,-200,-61,-62,-62,-57,-52,-56,-200,-66,-55,-63,-61,-200,-66,-68,-62,-65,-68,-61,-58,-61,-75,-76,-200,-71,-75,-63,-79,-67,-200,-76,-82,-80,-67,-81,-85,-87,-87,-86,-200,-65,-200,-69,-200,-67,-200,-68,-200,-200,-89,-200,-61,-78,-80,-83,-60,-77,-61,-73
1526462232387,-37,-42,-44,-47,-53,-59,-43,-50,-54,-200,-200,-47,-45,-200,-61,-62,-62,-57,-52,-56,-200,-66,-55,-63,-61,-200,-66,-68,-62,-65,-68,-61,-58,-61,-200,-76,-200,-71,-75,-63,-79,-67,-200,-76,-82,-80,-67,-81,-85,-87,-87,-86,-200,-65,-200,-69,-200,-67,-200,-200,-200,-200,-89,-200,-61,-78,-80,-83,-60,-77,-61,-73
