,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526462369344,-44,-46,-44,-42,-43,-54,-42,-60,-47,-44,-54,-56,-65,-200,-63,-62,-200,-57,-75,-200,-61,-60,-63,-56,-56,-57,-60,-72,-53,-62,-200,-200,-55,-200,-200,-200,-200,-200,-69,-76,-65,-85,-80,-81,-83,-86,-200,-84,-200,-49,-65,-85,-56,-63,-62,-72,-89,-91,-71,-68,-71,-200,-200,-200,-200,-200,-200,-200
1526462372370,-44,-46,-44,-42,-43,-54,-42,-60,-47,-44,-54,-56,-65,-200,-63,-62,-200,-57,-75,-200,-61,-60,-63,-56,-56,-57,-60,-72,-53,-62,-200,-200,-55,-200,-200,-200,-200,-200,-69,-76,-65,-85,-80,-81,-83,-86,-200,-84,-200,-49,-65,-85,-56,-63,-62,-72,-89,-91,-71,-68,-71,-200,-200,-200,-200,-200,-200,-200
1526462375397,-44,-50,-44,-38,-43,-62,-46,-200,-47,-51,-54,-52,-65,-200,-63,-50,-200,-57,-75,-200,-62,-60,-63,-56,-54,-53,-61,-72,-51,-62,-200,-200,-55,-200,-200,-200,-200,-200,-69,-76,-65,-77,-77,-80,-83,-84,-90,-84,-200,-50,-65,-85,-56,-63,-62,-72,-89,-91,-71,-68,-71,-200,-200,-200,-200,-200,-200,-200
1526462378426,-44,-50,-44,-38,-43,-62,-46,-200,-53,-51,-54,-52,-65,-200,-63,-50,-200,-57,-75,-200,-62,-60,-63,-56,-54,-53,-61,-72,-51,-62,-200,-200,-55,-200,-200,-200,-200,-200,-69,-76,-65,-77,-77,-80,-83,-84,-90,-84,-200,-50,-65,-85,-56,-63,-62,-72,-89,-91,-71,-68,-71,-200,-200,-200,-200,-200,-200,-200
1526462381454,-40,-52,-30,-34,-51,-62,-50,-64,-54,-55,-67,-56,-56,-200,-59,-52,-200,-52,-72,-200,-64,-57,-63,-68,-58,-49,-59,-73,-55,-56,-72,-200,-62,-200,-200,-200,-200,-200,-69,-76,-65,-81,-79,-82,-81,-84,-90,-84,-200,-54,-66,-82,-60,-63,-63,-200,-89,-89,-69,-68,-71,-68,-70,-72,-87,-200,-200,-200
1526462384479,-40,-52,-30,-34,-51,-62,-50,-64,-56,-55,-67,-56,-56,-200,-59,-52,-200,-52,-72,-200,-64,-57,-63,-68,-58,-49,-59,-73,-55,-56,-72,-200,-62,-200,-200,-200,-200,-200,-69,-76,-65,-81,-79,-82,-81,-84,-90,-84,-200,-54,-66,-82,-60,-63,-63,-200,-89,-89,-69,-68,-71,-68,-70,-72,-87,-200,-200,-200
1526462387491,-39,-52,-30,-34,-48,-62,-50,-64,-55,-52,-67,-54,-54,-200,-60,-52,-200,-51,-72,-200,-64,-57,-200,-68,-58,-55,-58,-74,-55,-55,-72,-200,-63,-200,-200,-200,-200,-200,-200,-74,-61,-82,-80,-84,-80,-84,-90,-200,-200,-54,-66,-82,-60,-63,-63,-200,-89,-89,-69,-68,-71,-68,-70,-70,-87,-76,-200,-200
1526462390517,-39,-52,-30,-34,-48,-62,-50,-64,-53,-52,-67,-54,-54,-200,-60,-52,-200,-51,-72,-200,-64,-57,-200,-68,-58,-55,-58,-74,-55,-55,-72,-200,-63,-200,-200,-200,-200,-200,-200,-74,-61,-82,-80,-84,-80,-84,-90,-200,-200,-54,-66,-82,-60,-63,-63,-200,-89,-89,-69,-68,-71,-68,-70,-70,-87,-76,-200,-200
1526462393528,-41,-55,-28,-35,-48,-61,-53,-64,-53,-55,-67,-54,-57,-200,-63,-55,-200,-49,-72,-200,-61,-51,-200,-63,-56,-49,-60,-74,-52,-55,-72,-200,-63,-200,-200,-200,-200,-200,-200,-75,-62,-82,-77,-79,-86,-88,-90,-88,-200,-50,-66,-86,-60,-63,-65,-200,-89,-89,-69,-68,-71,-68,-66,-70,-87,-76,-69,-72
1526462396554,-41,-55,-28,-35,-48,-61,-53,-64,-52,-55,-67,-54,-57,-200,-63,-55,-200,-49,-72,-200,-61,-51,-200,-63,-56,-49,-60,-74,-52,-55,-72,-200,-63,-200,-200,-200,-200,-200,-200,-75,-62,-82,-77,-79,-86,-88,-90,-88,-200,-50,-66,-86,-60,-63,-65,-200,-89,-89,-69,-68,-71,-68,-66,-70,-87,-76,-69,-72
1526462399581,-41,-52,-28,-35,-49,-61,-53,-64,-52,-54,-67,-56,-57,-200,-63,-55,-200,-50,-72,-200,-62,-51,-200,-63,-56,-49,-60,-74,-56,-55,-72,-200,-55,-200,-200,-200,-200,-200,-200,-76,-62,-82,-78,-82,-83,-87,-90,-88,-200,-53,-66,-86,-60,-69,-64,-200,-200,-89,-69,-200,-71,-68,-66,-70,-87,-76,-69,-72
1526462402611,-41,-52,-28,-35,-49,-61,-53,-64,-51,-54,-67,-56,-57,-200,-63,-55,-200,-50,-72,-200,-62,-51,-200,-63,-56,-49,-60,-74,-56,-55,-72,-200,-55,-200,-200,-200,-200,-200,-200,-76,-62,-82,-78,-82,-83,-87,-90,-88,-200,-53,-66,-86,-60,-69,-64,-200,-200,-89,-69,-200,-71,-68,-66,-70,-87,-76,-69,-72
