,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,whu2011314,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526462279593,-57,-31,-41,-45,-54,-49,-39,-56,-51,-200,-55,-200,-56,-65,-53,-60,-44,-200,-58,-58,-61,-58,-200,-62,-55,-62,-200,-71,-76,-68,-200,-64,-67,-57,-68,-73,-67,-200,-67,-200,-65,-200,-200,-200,-80,-67,-85,-83,-86,-84,-81,-87,-89,-66,-62,-63,-77,-91,-54,-69,-75,-75,-66,-200,-200,-200,-200,-200,-200,-200
1526462282629,-57,-31,-41,-45,-54,-49,-39,-56,-51,-200,-55,-200,-56,-65,-53,-60,-44,-200,-58,-58,-61,-58,-200,-62,-55,-62,-200,-71,-76,-68,-200,-64,-67,-57,-68,-73,-67,-200,-67,-200,-65,-200,-200,-200,-80,-67,-85,-83,-86,-84,-81,-87,-89,-66,-62,-63,-77,-91,-54,-69,-75,-75,-66,-200,-200,-200,-200,-200,-200,-200
1526462285643,-54,-31,-40,-45,-54,-49,-40,-56,-52,-200,-55,-200,-56,-66,-53,-60,-44,-60,-58,-57,-62,-58,-200,-62,-55,-53,-200,-71,-76,-68,-71,-64,-70,-58,-68,-77,-200,-200,-67,-200,-65,-200,-200,-200,-78,-67,-91,-83,-86,-86,-80,-87,-89,-66,-200,-59,-200,-88,-54,-69,-75,-75,-66,-63,-63,-200,-200,-200,-200,-200
1526462288672,-54,-31,-40,-45,-54,-49,-40,-56,-52,-200,-55,-200,-56,-66,-53,-60,-44,-60,-58,-57,-62,-58,-200,-62,-55,-53,-200,-71,-76,-68,-71,-64,-70,-58,-68,-77,-200,-200,-67,-200,-65,-200,-200,-200,-78,-67,-91,-83,-86,-86,-80,-87,-89,-66,-200,-59,-200,-88,-54,-69,-75,-75,-66,-63,-63,-200,-200,-200,-200,-200
1526462291693,-50,-32,-40,-42,-60,-46,-40,-56,-55,-200,-56,-200,-56,-64,-53,-64,-42,-60,-58,-57,-63,-55,-200,-62,-56,-51,-200,-200,-76,-68,-63,-66,-70,-55,-200,-77,-200,-74,-200,-200,-62,-200,-200,-200,-82,-67,-91,-81,-200,-86,-80,-87,-200,-200,-200,-59,-200,-90,-67,-69,-200,-200,-66,-60,-63,-200,-200,-200,-200,-200
1526462294723,-50,-32,-40,-42,-60,-46,-40,-56,-56,-200,-56,-200,-56,-64,-53,-64,-42,-60,-58,-57,-63,-55,-200,-62,-56,-51,-200,-200,-76,-68,-63,-66,-70,-55,-200,-77,-200,-74,-200,-200,-62,-200,-200,-200,-82,-67,-91,-81,-200,-86,-80,-87,-200,-200,-200,-59,-200,-90,-67,-69,-200,-200,-66,-60,-63,-200,-200,-200,-200,-200
1526462297749,-50,-32,-39,-39,-60,-49,-37,-56,-53,-200,-49,-200,-56,-69,-53,-68,-42,-60,-58,-55,-61,-56,-200,-200,-60,-53,-200,-200,-200,-68,-70,-66,-70,-57,-67,-81,-200,-74,-200,-200,-65,-200,-200,-200,-83,-67,-86,-83,-200,-86,-78,-82,-200,-200,-200,-59,-200,-90,-55,-69,-200,-200,-200,-60,-63,-92,-200,-200,-200,-200
1526462300779,-54,-32,-41,-37,-63,-45,-38,-56,-46,-200,-53,-200,-61,-69,-53,-64,-42,-58,-53,-55,-61,-55,-200,-200,-57,-53,-200,-200,-200,-63,-70,-66,-69,-59,-67,-78,-200,-74,-200,-200,-62,-78,-200,-88,-84,-67,-86,-84,-200,-84,-80,-85,-200,-71,-67,-59,-73,-90,-55,-69,-200,-200,-200,-60,-63,-92,-200,-200,-200,-200
1526462303813,-54,-31,-40,-42,-59,-45,-38,-200,-52,-200,-53,-200,-62,-69,-53,-64,-45,-58,-53,-58,-55,-55,-200,-200,-57,-52,-200,-200,-59,-64,-70,-66,-69,-59,-67,-76,-200,-74,-75,-200,-62,-74,-200,-88,-86,-67,-89,-80,-200,-82,-79,-84,-200,-69,-67,-59,-73,-90,-55,-200,-200,-200,-200,-60,-63,-92,-60,-63,-69,-69
1526462306839,-54,-31,-40,-42,-59,-45,-38,-200,-52,-200,-53,-200,-62,-69,-53,-64,-45,-58,-53,-58,-55,-55,-200,-200,-57,-52,-200,-200,-59,-64,-70,-66,-69,-59,-67,-76,-200,-74,-75,-200,-62,-74,-200,-88,-86,-200,-89,-80,-200,-82,-79,-84,-200,-69,-67,-59,-73,-90,-55,-200,-200,-200,-200,-60,-63,-92,-60,-63,-69,-69
1526462309874,-54,-31,-40,-44,-59,-44,-38,-57,-54,-200,-53,-200,-62,-69,-53,-68,-48,-61,-53,-61,-59,-55,-200,-200,-63,-52,-200,-200,-59,-64,-70,-66,-69,-60,-67,-80,-200,-74,-75,-200,-62,-74,-200,-88,-86,-200,-89,-80,-88,-81,-81,-82,-200,-69,-67,-63,-73,-90,-55,-200,-200,-200,-200,-60,-200,-92,-60,-63,-69,-69
1526462312897,-54,-31,-40,-44,-59,-44,-38,-57,-54,-200,-53,-200,-62,-69,-53,-68,-48,-61,-53,-61,-59,-55,-200,-200,-63,-52,-200,-200,-59,-64,-70,-66,-69,-60,-67,-80,-200,-74,-75,-200,-62,-74,-200,-88,-86,-200,-89,-80,-88,-81,-81,-82,-200,-69,-67,-63,-73,-90,-55,-200,-200,-200,-200,-60,-200,-92,-60,-63,-69,-69
