,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526462515811,-35,-35,-45,-50,-53,-48,-38,-44,-40,-61,-42,-53,-54,-54,-59,-56,-53,-55,-200,-55,-52,-52,-60,-46,-54,-57,-200,-58,-67,-200,-200,-200,-60,-200,-200,-68,-73,-200,-76,-79,-68,-70,-72,-200,-83,-77,-66,-73,-85,-59,-88,-89,-62,-70,-80,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462518838,-35,-35,-45,-50,-53,-48,-38,-44,-40,-61,-42,-53,-54,-54,-59,-56,-53,-55,-200,-55,-52,-52,-60,-46,-54,-57,-200,-58,-67,-200,-200,-200,-60,-200,-200,-68,-73,-200,-76,-79,-68,-70,-72,-200,-83,-77,-66,-73,-85,-59,-88,-89,-62,-70,-80,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462521867,-36,-36,-45,-47,-57,-51,-36,-43,-43,-61,-42,-52,-54,-55,-59,-55,-51,-55,-59,-57,-54,-52,-60,-46,-52,-58,-200,-56,-67,-200,-200,-200,-60,-67,-200,-68,-72,-200,-76,-79,-68,-70,-70,-200,-83,-77,-66,-200,-84,-59,-88,-89,-62,-70,-80,-90,-90,-59,-68,-69,-200,-200,-200,-200,-200,-200,-200
1526462524893,-36,-36,-45,-47,-57,-51,-36,-43,-43,-61,-42,-52,-54,-55,-59,-55,-51,-55,-59,-57,-54,-52,-60,-46,-52,-58,-200,-56,-67,-200,-200,-200,-60,-67,-200,-68,-72,-200,-76,-79,-68,-70,-70,-200,-83,-77,-66,-200,-84,-59,-88,-89,-62,-70,-80,-90,-90,-59,-68,-69,-200,-200,-200,-200,-200,-200,-200
1526462527909,-36,-34,-42,-45,-50,-46,-40,-39,-43,-57,-42,-49,-54,-55,-59,-59,-58,-51,-59,-57,-47,-56,-56,-48,-52,-58,-200,-59,-67,-200,-200,-66,-64,-71,-200,-68,-70,-200,-78,-75,-72,-70,-78,-200,-87,-79,-69,-200,-84,-56,-200,-86,-62,-70,-80,-90,-90,-59,-68,-69,-200,-200,-200,-200,-200,-200,-200
1526462530935,-36,-34,-42,-45,-50,-46,-40,-39,-43,-57,-42,-49,-54,-55,-59,-59,-58,-51,-59,-57,-47,-56,-56,-48,-52,-58,-200,-59,-67,-200,-200,-66,-64,-71,-200,-68,-70,-200,-78,-75,-72,-70,-78,-200,-87,-79,-69,-200,-84,-56,-200,-86,-62,-70,-80,-90,-90,-59,-68,-69,-200,-200,-200,-200,-200,-200,-200
1526462533969,-38,-33,-43,-43,-55,-44,-52,-44,-39,-57,-42,-49,-51,-52,-59,-58,-54,-48,-59,-57,-47,-54,-56,-54,-58,-60,-200,-59,-67,-200,-200,-66,-64,-71,-200,-79,-72,-200,-74,-75,-71,-200,-75,-200,-87,-79,-69,-200,-86,-59,-200,-90,-62,-70,-80,-90,-90,-59,-63,-69,-55,-200,-200,-200,-200,-200,-200
1526462536980,-38,-33,-43,-43,-55,-44,-52,-44,-39,-57,-42,-49,-51,-52,-59,-58,-54,-48,-59,-57,-47,-54,-56,-54,-58,-60,-200,-59,-67,-200,-200,-66,-64,-71,-200,-79,-72,-200,-74,-75,-71,-200,-75,-200,-87,-79,-69,-200,-86,-59,-200,-90,-62,-70,-80,-90,-90,-59,-63,-69,-55,-200,-200,-200,-200,-200,-200
1526462540015,-37,-31,-47,-44,-55,-47,-47,-44,-39,-57,-44,-57,-57,-58,-59,-58,-48,-47,-59,-57,-48,-52,-56,-54,-54,-60,-200,-57,-56,-200,-200,-66,-65,-67,-200,-77,-71,-200,-73,-77,-72,-200,-75,-200,-84,-79,-69,-200,-87,-59,-200,-90,-62,-66,-200,-90,-86,-59,-63,-69,-58,-72,-88,-200,-200,-200,-200
1526462543026,-37,-31,-47,-44,-55,-47,-47,-44,-39,-57,-44,-57,-57,-58,-59,-58,-48,-47,-59,-57,-48,-52,-56,-54,-54,-60,-200,-57,-56,-200,-200,-66,-65,-67,-200,-77,-71,-200,-73,-77,-72,-200,-75,-200,-84,-79,-69,-200,-87,-59,-200,-90,-200,-66,-200,-200,-86,-59,-63,-69,-58,-72,-88,-200,-200,-200,-200
1526462546058,-35,-31,-46,-44,-51,-44,-48,-44,-39,-57,-44,-57,-57,-58,-59,-58,-45,-49,-59,-57,-48,-47,-56,-52,-54,-59,-200,-57,-56,-200,-64,-66,-68,-70,-200,-76,-74,-200,-74,-80,-71,-200,-76,-200,-85,-78,-65,-73,-87,-59,-200,-90,-60,-71,-200,-200,-86,-59,-63,-69,-55,-72,-88,-56,-67,-71,-78
1526462549090,-35,-31,-46,-44,-51,-44,-48,-44,-39,-57,-44,-57,-57,-58,-200,-58,-45,-49,-200,-200,-48,-47,-56,-52,-54,-59,-200,-57,-56,-200,-64,-66,-68,-70,-200,-76,-74,-200,-74,-80,-71,-200,-76,-200,-85,-78,-65,-73,-87,-59,-200,-90,-60,-71,-200,-200,-86,-200,-63,-200,-55,-72,-88,-56,-67,-71,-78
