,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011314,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526462752720,-28,-36,-37,-38,-43,-57,-47,-55,-40,-45,-55,-55,-60,-54,-200,-51,-59,-58,-58,-200,-64,-60,-64,-58,-60,-64,-54,-61,-62,-63,-65,-62,-58,-200,-76,-69,-66,-200,-68,-200,-200,-75,-60,-84,-70,-77,-67,-89,-71,-79,-85,-87,-85,-86,-200,-91,-83,-64,-70,-67,-75,-76,-90,-64,-89,-69,-81,-82,-60,-200,-200,-200,-200
1526462755753,-27,-36,-37,-38,-43,-57,-47,-55,-40,-45,-55,-55,-60,-54,-200,-51,-59,-58,-58,-200,-64,-60,-64,-58,-60,-64,-54,-61,-62,-63,-65,-62,-58,-200,-76,-69,-66,-200,-68,-200,-200,-75,-60,-84,-70,-77,-67,-89,-71,-79,-85,-87,-85,-86,-200,-91,-83,-64,-70,-67,-75,-76,-90,-64,-89,-69,-81,-82,-60,-200,-200,-200,-200
1526462758781,-25,-36,-37,-38,-45,-56,-47,-55,-44,-46,-55,-200,-60,-54,-200,-49,-58,-54,-58,-200,-64,-60,-64,-58,-60,-64,-56,-63,-62,-63,-200,-62,-60,-200,-75,-200,-66,-200,-68,-200,-68,-75,-60,-84,-70,-76,-66,-86,-71,-79,-85,-86,-85,-86,-200,-91,-82,-65,-200,-67,-200,-200,-87,-64,-89,-69,-81,-82,-60,-83,-200,-200,-200
1526462761813,-26,-36,-37,-38,-45,-56,-47,-55,-44,-46,-55,-200,-60,-54,-200,-49,-58,-54,-58,-200,-64,-60,-64,-58,-60,-64,-56,-63,-62,-63,-200,-62,-60,-200,-75,-200,-66,-200,-68,-200,-68,-75,-60,-84,-70,-76,-66,-86,-71,-79,-85,-86,-85,-86,-200,-91,-82,-65,-200,-67,-200,-200,-87,-64,-89,-69,-81,-82,-60,-83,-200,-200,-200
1526462764841,-28,-37,-36,-38,-45,-54,-48,-55,-39,-46,-55,-200,-60,-54,-63,-49,-58,-54,-59,-200,-55,-59,-64,-56,-60,-64,-54,-63,-62,-63,-200,-58,-60,-200,-76,-200,-200,-200,-71,-200,-68,-76,-58,-84,-72,-75,-66,-84,-71,-78,-85,-84,-85,-86,-200,-91,-81,-65,-200,-67,-200,-200,-87,-200,-200,-69,-81,-82,-61,-83,-74,-75,-200
1526462767870,-28,-37,-36,-38,-45,-54,-48,-55,-39,-46,-55,-200,-200,-54,-63,-49,-58,-54,-59,-200,-55,-59,-200,-56,-60,-64,-54,-63,-200,-63,-200,-58,-60,-200,-76,-200,-200,-200,-71,-200,-68,-76,-58,-84,-72,-75,-66,-84,-71,-78,-85,-84,-85,-86,-200,-200,-81,-65,-200,-67,-200,-200,-87,-200,-200,-200,-81,-82,-61,-83,-74,-75,-200
1526462770898,-25,-37,-36,-38,-45,-55,-48,-55,-38,-46,-54,-66,-57,-54,-63,-49,-58,-53,-59,-200,-55,-59,-200,-56,-61,-67,-54,-63,-200,-63,-66,-58,-60,-74,-76,-200,-200,-200,-71,-200,-68,-76,-58,-84,-72,-74,-66,-83,-71,-78,-85,-84,-85,-86,-88,-200,-81,-65,-200,-67,-200,-200,-88,-200,-200,-200,-81,-82,-61,-83,-74,-75,-200
1526462773911,-27,-37,-36,-38,-45,-55,-48,-200,-38,-46,-54,-66,-57,-54,-63,-49,-58,-53,-59,-200,-55,-59,-200,-56,-61,-67,-54,-63,-200,-63,-66,-58,-60,-74,-76,-200,-200,-200,-71,-200,-68,-76,-58,-84,-72,-74,-66,-83,-71,-78,-85,-84,-200,-86,-88,-200,-81,-65,-200,-67,-200,-200,-88,-200,-200,-200,-200,-200,-61,-83,-74,-75,-200
1526462776944,-27,-37,-36,-37,-45,-56,-48,-200,-43,-46,-53,-66,-57,-54,-63,-49,-62,-53,-59,-200,-55,-59,-62,-56,-61,-63,-54,-63,-200,-63,-66,-58,-56,-74,-76,-200,-200,-200,-71,-200,-68,-76,-58,-84,-72,-74,-66,-84,-71,-79,-85,-84,-87,-85,-88,-200,-80,-66,-200,-67,-200,-200,-88,-200,-200,-200,-200,-200,-61,-83,-74,-75,-200
1526462779973,-27,-37,-36,-37,-45,-56,-48,-200,-43,-46,-53,-66,-57,-54,-63,-49,-62,-53,-59,-200,-55,-59,-62,-56,-61,-63,-54,-63,-200,-63,-66,-58,-56,-74,-76,-200,-200,-200,-71,-200,-68,-76,-58,-84,-72,-74,-66,-84,-71,-79,-85,-84,-87,-85,-88,-200,-80,-66,-200,-67,-200,-200,-88,-200,-200,-200,-200,-200,-61,-83,-74,-75,-200
1526462782996,-27,-36,-36,-37,-45,-56,-48,-200,-39,-46,-54,-66,-57,-55,-63,-49,-60,-53,-59,-200,-55,-58,-59,-57,-61,-63,-54,-63,-200,-63,-66,-58,-59,-74,-74,-200,-200,-200,-71,-200,-69,-76,-59,-200,-72,-75,-66,-84,-69,-79,-85,-85,-87,-85,-88,-200,-81,-66,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-61,-83,-74,-75,-66
1526462786005,-26,-36,-36,-37,-45,-56,-48,-200,-39,-46,-54,-66,-57,-55,-63,-49,-60,-53,-59,-200,-55,-58,-59,-57,-61,-63,-54,-63,-200,-63,-66,-58,-59,-74,-74,-200,-200,-200,-71,-200,-69,-76,-59,-200,-72,-75,-66,-84,-69,-79,-85,-85,-87,-85,-88,-200,-81,-66,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-61,-83,-74,-75,-66
