,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00ED8,WHU-2018,WHU-2018,whu2011314,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro
1526463149045,-40,-39,-45,-59,-200,-44,-48,-47,-58,-47,-45,-49,-52,-61,-61,-52,-59,-56,-49,-47,-67,-72,-74,-58,-68,-54,-53,-57,-68,-61,-57,-200,-200,-65,-68,-200,-200,-62,-62,-65,-62,-68,-200,-200,-200,-80,-79,-200,-80,-83,-83,-79,-200,-200,-81,-86,-200,-200,-90,-200,-58,-63,-90,-92,-55,-61,-67,-70,-81,-64,-64,-82,-200,-200,-200,-200,-200
1526463152060,-40,-39,-45,-59,-200,-44,-48,-47,-58,-47,-45,-49,-52,-61,-61,-52,-59,-56,-49,-47,-67,-72,-74,-58,-68,-54,-53,-57,-68,-61,-57,-200,-200,-65,-68,-200,-200,-62,-62,-65,-62,-68,-200,-200,-200,-80,-79,-200,-80,-83,-83,-79,-200,-200,-81,-86,-200,-200,-90,-200,-58,-63,-90,-92,-55,-61,-67,-70,-81,-64,-64,-82,-200,-200,-200,-200,-200
1526463155076,-40,-40,-45,-59,-200,-44,-54,-48,-58,-47,-48,-49,-52,-60,-61,-52,-59,-55,-56,-47,-67,-72,-74,-58,-68,-55,-53,-57,-68,-61,-57,-200,-200,-65,-68,-200,-200,-62,-62,-65,-62,-68,-200,-200,-200,-80,-79,-200,-80,-83,-82,-79,-200,-200,-81,-86,-200,-200,-90,-200,-58,-62,-200,-200,-55,-61,-67,-66,-81,-64,-64,-82,-72,-80,-200,-200,-200
1526463158094,-40,-40,-45,-59,-200,-44,-54,-48,-58,-47,-48,-49,-52,-60,-61,-52,-59,-55,-56,-47,-67,-72,-74,-58,-68,-55,-53,-57,-68,-61,-57,-200,-200,-65,-68,-200,-200,-62,-62,-65,-62,-68,-200,-200,-200,-80,-79,-200,-80,-83,-82,-79,-200,-200,-81,-86,-200,-200,-90,-200,-58,-62,-200,-200,-55,-61,-67,-66,-81,-64,-64,-82,-72,-80,-200,-200,-200
1526463161113,-54,-38,-44,-56,-200,-45,-54,-48,-59,-46,-56,-49,-53,-70,-61,-53,-55,-67,-52,-48,-67,-72,-74,-58,-68,-68,-53,-69,-68,-200,-59,-200,-200,-65,-66,-200,-200,-62,-62,-65,-62,-68,-200,-200,-200,-80,-79,-200,-80,-84,-85,-83,-200,-200,-82,-85,-200,-200,-200,-200,-58,-74,-200,-200,-52,-61,-67,-78,-81,-64,-64,-82,-72,-80,-63,-66,-74
1526463164127,-54,-38,-44,-56,-200,-45,-54,-48,-59,-46,-56,-49,-53,-70,-61,-53,-55,-67,-52,-48,-67,-72,-74,-58,-68,-68,-53,-69,-68,-200,-59,-200,-200,-65,-66,-200,-200,-62,-62,-65,-62,-68,-200,-200,-200,-80,-79,-200,-80,-84,-85,-83,-200,-200,-82,-85,-200,-200,-200,-200,-58,-74,-200,-200,-52,-61,-67,-78,-81,-64,-64,-82,-72,-80,-63,-66,-74
1526463167152,-43,-39,-45,-56,-200,-47,-50,-47,-59,-46,-48,-49,-53,-63,-63,-54,-55,-59,-49,-47,-65,-72,-74,-58,-68,-60,-53,-60,-68,-200,-59,-200,-73,-65,-66,-200,-200,-62,-62,-65,-62,-200,-200,-200,-200,-81,-80,-200,-80,-84,-84,-83,-200,-200,-82,-83,-200,-86,-200,-200,-58,-65,-200,-200,-54,-63,-200,-78,-200,-63,-64,-82,-72,-80,-63,-66,-74
1526463170172,-43,-39,-45,-56,-200,-47,-50,-47,-59,-46,-48,-49,-53,-63,-63,-54,-55,-59,-49,-47,-65,-72,-74,-58,-68,-60,-53,-60,-68,-200,-59,-200,-73,-65,-66,-200,-200,-62,-62,-65,-62,-200,-200,-200,-200,-81,-80,-200,-80,-84,-84,-83,-200,-200,-82,-83,-200,-86,-200,-200,-58,-65,-200,-200,-54,-63,-200,-78,-200,-63,-64,-82,-72,-80,-63,-66,-74
1526463173192,-43,-39,-45,-56,-200,-47,-50,-47,-59,-46,-48,-49,-53,-60,-63,-54,-55,-59,-49,-47,-65,-72,-200,-58,-68,-55,-53,-62,-200,-200,-59,-200,-73,-65,-66,-200,-200,-62,-62,-65,-62,-200,-200,-200,-200,-81,-80,-200,-80,-84,-84,-84,-200,-200,-82,-84,-200,-86,-200,-89,-58,-61,-200,-200,-54,-63,-200,-67,-200,-63,-64,-82,-72,-80,-63,-66,-74
1526463176205,-43,-39,-45,-56,-200,-47,-50,-47,-59,-46,-48,-49,-53,-60,-63,-54,-55,-59,-49,-47,-65,-72,-200,-58,-68,-55,-53,-62,-200,-200,-59,-200,-73,-65,-66,-200,-200,-62,-62,-65,-62,-200,-200,-200,-200,-81,-80,-200,-80,-84,-84,-84,-200,-200,-82,-84,-200,-86,-200,-89,-58,-61,-200,-200,-54,-63,-200,-67,-200,-63,-64,-82,-72,-80,-63,-66,-74
1526463179233,-40,-40,-47,-53,-200,-47,-50,-47,-63,-46,-47,-49,-53,-64,-63,-53,-55,-55,-49,-47,-65,-200,-200,-58,-68,-58,-53,-59,-200,-200,-58,-200,-73,-65,-66,-200,-200,-59,-63,-61,-62,-200,-67,-200,-70,-80,-80,-200,-80,-83,-82,-81,-200,-200,-82,-84,-200,-86,-200,-89,-58,-63,-200,-200,-52,-63,-200,-66,-200,-63,-200,-200,-72,-80,-63,-66,-74
1526463182252,-40,-40,-47,-53,-200,-47,-50,-47,-63,-46,-47,-49,-53,-64,-63,-53,-55,-55,-49,-47,-65,-200,-200,-58,-68,-58,-53,-59,-200,-200,-58,-200,-73,-65,-66,-200,-200,-59,-63,-61,-62,-200,-67,-200,-70,-80,-80,-200,-80,-83,-82,-81,-200,-200,-82,-84,-200,-86,-200,-89,-58,-63,-200,-200,-52,-63,-200,-66,-200,-63,-200,-200,-72,-80,-63,-66,-74
