,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,WHU-2018,WHU-2018,whu2011314,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98
1526463068003,-37,-43,-200,-46,-42,-47,-39,-43,-43,-46,-45,-50,-55,-49,-45,-54,-55,-60,-53,-200,-54,-60,-54,-59,-63,-200,-60,-63,-67,-61,-200,-60,-60,-200,-200,-200,-200,-67,-66,-62,-73,-68,-64,-72,-80,-78,-78,-74,-76,-200,-200,-84,-80,-83,-200,-85,-87,-200,-47,-59,-63,-65,-64,-66,-70,-56,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463071050,-37,-43,-52,-44,-43,-48,-39,-47,-41,-48,-44,-46,-55,-46,-45,-53,-52,-60,-53,-200,-54,-60,-50,-57,-65,-200,-69,-63,-67,-61,-200,-60,-60,-200,-200,-63,-200,-67,-66,-62,-73,-68,-64,-72,-81,-82,-78,-74,-76,-200,-200,-84,-79,-83,-200,-85,-87,-200,-49,-61,-63,-65,-64,-66,-68,-57,-85,-69,-70,-200,-200,-200,-200,-200,-200,-200
1526463074067,-37,-43,-52,-44,-43,-48,-39,-47,-41,-48,-44,-46,-55,-46,-45,-53,-52,-60,-53,-200,-54,-60,-50,-57,-65,-200,-69,-63,-67,-61,-200,-60,-60,-200,-200,-63,-200,-67,-66,-62,-73,-68,-64,-72,-81,-82,-78,-74,-76,-200,-200,-84,-79,-83,-200,-85,-87,-200,-49,-61,-63,-65,-64,-66,-68,-57,-85,-69,-70,-200,-200,-200,-200,-200,-200,-200
1526463077081,-36,-43,-52,-44,-43,-47,-43,-47,-41,-48,-46,-46,-55,-47,-44,-53,-52,-60,-52,-200,-55,-60,-52,-56,-65,-59,-69,-63,-67,-61,-200,-200,-60,-200,-200,-63,-200,-200,-66,-61,-71,-67,-200,-72,-81,-84,-78,-74,-77,-200,-200,-200,-79,-84,-200,-85,-87,-200,-49,-59,-63,-65,-200,-66,-68,-56,-85,-69,-70,-200,-200,-200,-200,-200,-200,-200
1526463080100,-36,-43,-52,-44,-43,-47,-43,-47,-41,-48,-46,-46,-55,-47,-44,-53,-52,-60,-52,-200,-55,-60,-52,-56,-65,-59,-69,-63,-67,-61,-200,-200,-60,-200,-200,-63,-200,-200,-66,-61,-71,-67,-200,-72,-81,-84,-78,-74,-77,-200,-200,-200,-79,-84,-200,-85,-87,-200,-49,-59,-63,-65,-200,-66,-68,-56,-85,-69,-70,-200,-200,-200,-200,-200,-200,-200
1526463083134,-34,-43,-52,-46,-40,-50,-40,-47,-41,-48,-46,-45,-53,-52,-44,-52,-56,-60,-57,-200,-57,-64,-57,-56,-65,-59,-69,-63,-67,-61,-200,-200,-200,-68,-72,-63,-200,-69,-65,-61,-71,-67,-200,-73,-78,-79,-78,-73,-75,-200,-200,-86,-79,-85,-88,-85,-200,-200,-49,-58,-62,-65,-200,-66,-68,-58,-200,-69,-70,-79,-200,-200,-200,-200,-200,-200
1526463086150,-34,-43,-52,-46,-40,-50,-40,-47,-41,-48,-46,-45,-53,-52,-44,-52,-56,-60,-57,-200,-57,-64,-57,-56,-65,-59,-69,-63,-67,-61,-200,-200,-200,-68,-72,-63,-200,-69,-65,-61,-71,-67,-200,-73,-78,-79,-78,-73,-75,-200,-200,-86,-79,-85,-88,-85,-200,-200,-49,-58,-62,-65,-200,-66,-68,-58,-200,-69,-70,-79,-200,-200,-200,-200,-200,-200
1526463089171,-34,-39,-48,-36,-40,-42,-40,-44,-46,-56,-45,-46,-57,-56,-43,-56,-57,-60,-51,-200,-54,-64,-51,-56,-62,-59,-69,-63,-67,-61,-200,-200,-200,-65,-72,-63,-200,-69,-68,-57,-67,-67,-200,-70,-75,-82,-81,-72,-79,-200,-200,-86,-78,-81,-88,-87,-200,-200,-49,-60,-62,-65,-200,-61,-68,-58,-200,-69,-70,-79,-62,-91,-200,-200,-200,-200
1526463092184,-34,-39,-48,-42,-40,-42,-40,-44,-46,-56,-45,-46,-57,-56,-43,-56,-57,-60,-51,-200,-54,-64,-51,-56,-62,-59,-69,-63,-67,-61,-200,-200,-200,-65,-72,-63,-200,-69,-68,-57,-67,-67,-200,-70,-75,-82,-81,-72,-79,-200,-200,-86,-78,-81,-88,-87,-200,-200,-49,-60,-62,-65,-200,-61,-68,-58,-200,-69,-70,-79,-62,-91,-200,-200,-200,-200
1526463095209,-46,-39,-48,-42,-40,-42,-40,-44,-42,-52,-48,-48,-55,-60,-43,-55,-56,-59,-54,-200,-55,-53,-59,-67,-66,-59,-69,-63,-67,-61,-200,-200,-200,-67,-72,-63,-200,-69,-66,-59,-67,-67,-200,-74,-71,-78,-81,-76,-77,-200,-200,-86,-79,-81,-88,-87,-200,-200,-49,-60,-62,-65,-200,-61,-68,-58,-200,-69,-70,-79,-62,-91,-71,-200,-200,-200
1526463098233,-46,-39,-48,-43,-40,-42,-40,-44,-42,-52,-48,-48,-55,-60,-43,-55,-56,-59,-54,-200,-55,-53,-59,-67,-66,-59,-69,-63,-67,-61,-200,-200,-200,-67,-72,-63,-200,-69,-66,-59,-67,-67,-200,-74,-71,-78,-81,-76,-77,-200,-200,-86,-79,-81,-88,-87,-200,-200,-49,-60,-62,-65,-200,-61,-68,-58,-200,-69,-70,-79,-62,-91,-71,-200,-200,-200
1526463101267,-46,-39,-48,-42,-54,-42,-47,-41,-42,-52,-44,-47,-55,-56,-43,-55,-56,-59,-54,-200,-59,-53,-57,-67,-62,-59,-200,-62,-66,-62,-200,-60,-200,-67,-72,-200,-200,-69,-64,-59,-67,-67,-200,-74,-71,-78,-81,-79,-79,-200,-200,-86,-80,-81,-88,-87,-200,-200,-49,-60,-62,-65,-67,-61,-68,-58,-200,-200,-200,-79,-64,-91,-71,-68,-77,-79
