,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526455600427,-26,-39,-43,-42,-45,-58,-44,-58,-49,-38,-60,-43,-49,-55,-63,-44,-57,-66,-200,-59,-61,-62,-59,-78,-68,-68,-65,-70,-73,-65,-54,-70,-200,-76,-68,-200,-200,-77,-78,-200,-73,-62,-200,-57,-200,-200,-72,-71,-73,-78,-200,-85,-200,-78,-77,-200,-79,-200,-86,-77,-79,-200,-62,-200,-83,-66,-200,-200,-90,-85,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526455603477,-29,-36,-42,-43,-49,-58,-44,-55,-49,-38,-52,-43,-50,-55,-63,-48,-57,-66,-200,-58,-60,-62,-58,-72,-68,-66,-66,-75,-73,-62,-50,-69,-200,-76,-68,-200,-200,-77,-71,-74,-73,-62,-200,-60,-200,-200,-72,-65,-73,-77,-200,-85,-200,-77,-77,-200,-78,-200,-86,-77,-83,-200,-62,-200,-85,-68,-200,-200,-90,-85,-85,-91,-81,-92,-200,-200,-200,-200,-200,-200
1526455606537,-30,-36,-40,-46,-46,-60,-44,-55,-50,-47,-48,-44,-51,-55,-63,-48,-60,-65,-200,-62,-64,-59,-50,-65,-66,-72,-69,-67,-75,-66,-50,-73,-200,-76,-68,-200,-76,-80,-71,-74,-75,-62,-200,-60,-80,-200,-78,-70,-72,-77,-84,-85,-200,-77,-74,-200,-78,-200,-86,-79,-83,-200,-62,-200,-85,-68,-200,-200,-90,-89,-85,-91,-81,-92,-200,-200,-200,-200,-200,-200
1526455609603,-30,-36,-39,-42,-41,-60,-45,-59,-52,-47,-46,-40,-63,-62,-200,-48,-60,-65,-56,-62,-54,-59,-50,-65,-66,-67,-71,-68,-75,-66,-50,-73,-80,-76,-68,-200,-76,-76,-71,-74,-75,-62,-200,-60,-79,-200,-78,-70,-80,-77,-84,-85,-200,-77,-74,-200,-78,-200,-86,-75,-83,-200,-62,-200,-85,-68,-200,-200,-200,-83,-85,-91,-82,-92,-88,-91,-200,-200,-200,-200
1526455612657,-26,-38,-43,-42,-47,-57,-48,-57,-56,-39,-46,-40,-54,-58,-51,-48,-60,-72,-56,-61,-56,-60,-51,-66,-66,-67,-68,-80,-79,-66,-58,-71,-80,-70,-57,-200,-76,-76,-72,-70,-77,-62,-200,-60,-78,-200,-78,-70,-80,-77,-82,-85,-200,-79,-78,-200,-78,-200,-200,-71,-79,-200,-62,-76,-85,-68,-79,-200,-200,-83,-85,-91,-82,-92,-88,-91,-200,-200,-200,-200
1526455615740,-26,-41,-43,-47,-46,-49,-47,-55,-55,-37,-43,-41,-54,-57,-51,-49,-60,-72,-56,-65,-57,-60,-51,-65,-67,-73,-70,-72,-79,-66,-58,-75,-80,-70,-57,-81,-76,-76,-72,-70,-77,-200,-71,-59,-78,-200,-78,-70,-81,-77,-85,-200,-200,-80,-78,-200,-85,-200,-200,-71,-79,-200,-200,-76,-85,-70,-79,-200,-200,-83,-85,-82,-82,-92,-88,-91,-90,-200,-200,-200
1526455618806,-31,-37,-41,-48,-46,-56,-49,-55,-51,-37,-47,-41,-54,-54,-51,-49,-60,-65,-56,-65,-55,-62,-52,-66,-67,-66,-70,-68,-70,-70,-58,-74,-80,-71,-57,-81,-76,-80,-73,-70,-78,-200,-71,-58,-78,-200,-78,-66,-77,-200,-85,-200,-200,-80,-78,-200,-85,-200,-200,-71,-90,-200,-200,-75,-86,-66,-79,-200,-200,-83,-200,-82,-82,-200,-88,-91,-90,-200,-200,-200
1526455621855,-32,-37,-41,-40,-46,-56,-47,-55,-54,-37,-45,-43,-50,-55,-51,-49,-56,-67,-56,-66,-55,-62,-52,-66,-60,-67,-67,-70,-69,-58,-58,-75,-76,-69,-57,-81,-75,-80,-73,-65,-76,-200,-71,-57,-78,-200,-78,-66,-78,-200,-85,-200,-88,-79,-78,-200,-85,-200,-200,-71,-82,-200,-200,-75,-86,-66,-79,-200,-200,-83,-200,-82,-82,-200,-88,-91,-90,-91,-94,-200
1526455624911,-34,-38,-41,-46,-45,-56,-49,-57,-53,-35,-48,-41,-51,-55,-55,-48,-56,-64,-56,-64,-55,-62,-53,-66,-67,-71,-67,-70,-69,-63,-58,-77,-76,-69,-57,-84,-75,-80,-75,-65,-76,-200,-71,-58,-78,-200,-200,-66,-78,-200,-85,-200,-88,-79,-78,-200,-85,-200,-200,-71,-79,-200,-200,-75,-83,-66,-79,-200,-200,-200,-200,-82,-200,-200,-200,-200,-90,-91,-94,-200
1526455627966,-33,-44,-39,-44,-49,-56,-47,-57,-55,-37,-44,-38,-51,-60,-56,-48,-56,-65,-61,-61,-55,-61,-52,-66,-66,-71,-67,-74,-67,-63,-200,-75,-76,-69,-60,-84,-75,-80,-75,-65,-76,-200,-71,-58,-78,-200,-200,-66,-78,-200,-85,-200,-88,-78,-78,-89,-85,-200,-200,-71,-79,-200,-62,-75,-83,-66,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-90,-91,-94,-200
1526455631033,-28,-38,-43,-45,-47,-53,-47,-56,-56,-39,-47,-38,-50,-57,-55,-51,-56,-65,-61,-62,-54,-61,-51,-66,-66,-71,-67,-70,-67,-65,-56,-75,-76,-69,-60,-84,-75,-80,-75,-65,-78,-200,-200,-58,-78,-200,-82,-66,-79,-200,-200,-200,-81,-78,-78,-89,-84,-200,-200,-69,-80,-200,-62,-77,-83,-69,-200,-87,-200,-200,-200,-82,-84,-200,-200,-200,-200,-91,-94,-200
1526455634085,-32,-36,-43,-45,-53,-56,-47,-57,-55,-37,-45,-39,-51,-60,-58,-51,-56,-69,-61,-60,-53,-61,-51,-69,-66,-69,-67,-69,-67,-65,-56,-75,-76,-69,-60,-78,-68,-80,-75,-65,-74,-200,-80,-58,-200,-200,-83,-76,-79,-200,-200,-200,-81,-77,-78,-89,-84,-200,-200,-69,-83,-200,-62,-77,-85,-69,-200,-87,-200,-200,-200,-82,-84,-200,-200,-200,-200,-91,-94,-76
