,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28
1526450918020,-59,-49,-36,-43,-63,-67,-64,-57,-62,-74,-63,-73,-77,-71,-73,-62,-75,-66,-83,-70,-81,-72,-73,-69,-81,-80,-82,-83,-70,-86,-78,-82,-87,-74,-76,-82,-79,-83,-81,-87,-200,-200,-90,-90,-95,-80,-91,-87,-200,-200,-74,-91,-92,-200,-93,-91,-200,-200,-200,-95,-86,-95,-200,-200,-96,-94,-94,-200,-94,-200,-90,-200,-97,-82,-83,-92,-89,-91,-95,-200,-94,-85,-93,-200,-92,-200,-71,-200,-200
1526450921066,-56,-48,-39,-40,-63,-69,-63,-58,-59,-73,-63,-74,-75,-70,-74,-62,-74,-65,-85,-67,-81,-73,-72,-69,-74,-80,-74,-85,-71,-88,-80,-82,-87,-83,-74,-85,-81,-81,-81,-87,-200,-200,-90,-89,-94,-80,-91,-87,-200,-200,-75,-91,-93,-200,-93,-94,-200,-200,-200,-97,-86,-96,-200,-200,-93,-91,-200,-200,-94,-200,-92,-200,-200,-85,-83,-200,-89,-92,-95,-200,-95,-89,-93,-200,-92,-200,-71,-200,-98
1526450924118,-57,-48,-37,-43,-67,-67,-64,-57,-58,-71,-64,-71,-74,-70,-73,-61,-80,-65,-83,-67,-76,-72,-76,-69,-81,-78,-87,-85,-74,-88,-80,-82,-86,-83,-73,-82,-80,-81,-80,-87,-200,-200,-89,-89,-95,-80,-91,-87,-200,-98,-74,-92,-93,-200,-200,-85,-200,-200,-200,-97,-200,-94,-200,-200,-93,-91,-92,-200,-94,-200,-92,-200,-96,-85,-84,-200,-88,-92,-95,-200,-94,-89,-91,-200,-93,-200,-71,-200,-98
1526450927173,-52,-52,-37,-39,-58,-73,-65,-59,-62,-74,-61,-71,-79,-70,-72,-71,-73,-66,-81,-65,-79,-66,-76,-68,-78,-74,-74,-83,-70,-88,-82,-85,-88,-77,-72,-88,-82,-85,-79,-200,-200,-200,-86,-89,-95,-81,-88,-76,-91,-98,-74,-92,-94,-200,-200,-85,-200,-200,-96,-94,-200,-94,-200,-200,-93,-92,-94,-97,-96,-200,-92,-200,-96,-84,-82,-200,-88,-94,-200,-200,-94,-89,-91,-200,-93,-200,-200,-200,-98
1526450930225,-54,-49,-37,-40,-60,-64,-72,-56,-55,-71,-60,-71,-75,-71,-72,-69,-75,-66,-83,-67,-79,-73,-75,-68,-77,-81,-83,-83,-73,-86,-80,-81,-85,-77,-73,-82,-81,-83,-83,-200,-200,-200,-86,-88,-94,-80,-94,-89,-91,-98,-75,-94,-94,-93,-93,-85,-200,-200,-96,-94,-93,-93,-200,-200,-200,-94,-90,-97,-96,-200,-93,-200,-95,-84,-81,-200,-88,-94,-200,-200,-94,-200,-91,-200,-92,-200,-200,-200,-200
1526450933282,-55,-50,-38,-41,-62,-67,-64,-59,-59,-70,-65,-73,-76,-72,-72,-64,-75,-66,-85,-72,-82,-66,-74,-69,-81,-77,-84,-84,-72,-86,-78,-81,-85,-80,-75,-87,-81,-81,-81,-84,-200,-200,-89,-88,-94,-81,-94,-89,-91,-200,-74,-91,-93,-93,-93,-92,-200,-200,-96,-94,-93,-93,-200,-200,-200,-94,-90,-97,-96,-200,-93,-200,-95,-84,-82,-200,-200,-93,-200,-200,-94,-200,-92,-200,-92,-200,-66,-200,-200
1526450936332,-54,-49,-39,-42,-61,-66,-65,-56,-61,-71,-60,-70,-76,-67,-74,-62,-75,-66,-83,-69,-82,-66,-76,-69,-78,-80,-84,-88,-73,-86,-78,-80,-88,-78,-74,-83,-80,-83,-82,-84,-200,-200,-92,-91,-94,-81,-92,-88,-200,-200,-76,-91,-93,-93,-94,-85,-200,-200,-200,-200,-93,-96,-97,-200,-95,-97,-94,-200,-96,-200,-93,-200,-95,-200,-82,-200,-89,-91,-95,-200,-96,-200,-92,-200,-92,-200,-66,-95,-200
1526450939374,-56,-48,-37,-41,-61,-67,-64,-59,-61,-58,-58,-70,-76,-69,-76,-64,-77,-66,-86,-73,-81,-74,-79,-69,-79,-81,-82,-82,-73,-88,-79,-80,-88,-83,-73,-83,-81,-81,-82,-86,-200,-200,-90,-91,-93,-81,-92,-90,-200,-200,-74,-94,-92,-94,-95,-93,-200,-200,-95,-95,-94,-96,-97,-200,-94,-97,-94,-200,-97,-200,-89,-200,-200,-84,-85,-200,-88,-91,-95,-200,-96,-200,-92,-200,-92,-200,-66,-95,-200
1526450942423,-51,-51,-38,-41,-68,-68,-64,-57,-59,-71,-59,-70,-72,-72,-72,-60,-73,-66,-86,-68,-80,-72,-73,-69,-78,-81,-74,-85,-73,-88,-79,-81,-88,-83,-74,-83,-81,-85,-81,-86,-200,-200,-90,-91,-93,-81,-90,-86,-200,-200,-74,-94,-93,-94,-95,-83,-200,-200,-95,-98,-94,-96,-97,-96,-94,-95,-94,-200,-95,-200,-90,-200,-200,-84,-85,-200,-88,-92,-96,-200,-93,-200,-200,-200,-93,-200,-67,-95,-200
1526450945475,-56,-50,-38,-41,-64,-64,-65,-57,-60,-69,-59,-71,-76,-71,-73,-60,-76,-63,-85,-70,-80,-71,-78,-69,-75,-80,-73,-87,-73,-86,-80,-81,-88,-79,-74,-83,-80,-83,-82,-84,-200,-200,-90,-200,-94,-81,-89,-89,-200,-200,-77,-90,-93,-94,-95,-83,-200,-200,-95,-97,-93,-94,-200,-96,-94,-95,-200,-200,-93,-200,-91,-200,-200,-84,-85,-200,-89,-93,-96,-200,-93,-200,-200,-200,-93,-200,-67,-95,-200
1526450948525,-56,-51,-37,-42,-62,-66,-65,-58,-60,-74,-63,-73,-73,-70,-72,-60,-76,-65,-83,-73,-79,-71,-72,-69,-75,-79,-72,-86,-70,-86,-80,-83,-88,-81,-73,-84,-66,-83,-81,-83,-200,-200,-90,-89,-94,-81,-89,-88,-200,-200,-75,-90,-92,-200,-95,-83,-200,-200,-200,-97,-93,-94,-200,-97,-200,-95,-200,-200,-93,-200,-91,-200,-200,-81,-85,-93,-89,-92,-95,-200,-93,-87,-200,-200,-93,-200,-67,-95,-200
1526450951565,-56,-47,-37,-43,-66,-68,-63,-56,-62,-74,-59,-72,-77,-71,-71,-62,-74,-65,-85,-70,-80,-73,-75,-69,-81,-82,-72,-90,-72,-86,-80,-83,-87,-79,-73,-84,-81,-82,-81,-83,-200,-200,-89,-92,-94,-81,-89,-88,-200,-200,-79,-94,-92,-200,-94,-92,-200,-200,-200,-97,-93,-94,-98,-97,-200,-200,-200,-200,-94,-96,-89,-200,-200,-81,-85,-93,-89,-92,-95,-200,-94,-86,-200,-200,-200,-200,-200,-95,-200
