,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526451415691,-47,-14,-46,-49,-41,-45,-25,-44,-55,-63,-47,-70,-57,-69,-74,-45,-73,-83,-69,-63,-74,-69,-71,-79,-67,-77,-76,-66,-78,-76,-200,-77,-200,-81,-86,-68,-73,-77,-75,-72,-82,-88,-92,-89,-75,-87,-84,-90,-77,-200,-200,-89,-82,-200,-87,-86,-89,-85,-88,-89,-200,-84,-82,-88,-75,-81,-200,-88,-200,-91,-200,-200,-91,-200,-200,-90,-92,-200,-200,-91,-80,-200,-200,-90,-200,-200,-90,-200,-200,-88,-200,-200,-200,-67,-200,-89,-200,-86,-200,-200,-200,-200,-91,-87,-69,-90,-90,-94,-90,-200
1526451418728,-37,-23,-42,-48,-43,-47,-39,-53,-55,-67,-52,-74,-57,-61,-74,-46,-76,-83,-71,-61,-74,-67,-68,-79,-88,-71,-77,-67,-78,-79,-200,-80,-200,-82,-84,-69,-75,-75,-77,-70,-82,-88,-92,-89,-75,-87,-84,-90,-71,-200,-200,-89,-89,-200,-88,-83,-200,-88,-85,-90,-200,-87,-82,-88,-75,-81,-200,-88,-200,-88,-200,-200,-91,-200,-200,-89,-92,-200,-200,-91,-80,-200,-200,-90,-92,-200,-90,-200,-200,-88,-200,-200,-200,-72,-200,-89,-200,-87,-200,-200,-200,-200,-200,-200,-69,-90,-90,-94,-90,-200
1526451421771,-28,-20,-46,-47,-43,-50,-41,-48,-54,-63,-50,-72,-56,-62,-72,-42,-76,-65,-71,-62,-77,-70,-69,-78,-69,-71,-75,-68,-75,-79,-200,-83,-82,-81,-79,-68,-75,-75,-74,-72,-85,-87,-86,-89,-75,-89,-84,-90,-77,-200,-200,-89,-82,-200,-88,-85,-85,-86,-83,-90,-84,-87,-82,-200,-75,-81,-200,-88,-200,-90,-200,-200,-91,-200,-200,-89,-92,-200,-90,-91,-81,-200,-200,-90,-92,-200,-90,-200,-91,-89,-200,-200,-200,-67,-200,-83,-200,-82,-200,-200,-94,-200,-200,-200,-69,-200,-200,-94,-90,-200
1526451424816,-32,-22,-45,-47,-43,-46,-40,-48,-55,-61,-52,-73,-56,-59,-72,-45,-72,-65,-71,-64,-77,-70,-70,-80,-71,-71,-76,-67,-75,-76,-200,-83,-82,-83,-79,-68,-75,-74,-75,-73,-85,-88,-84,-91,-75,-87,-87,-87,-77,-200,-200,-88,-85,-200,-90,-84,-85,-86,-83,-90,-85,-84,-82,-200,-45,-79,-200,-48,-200,-90,-200,-200,-200,-200,-200,-89,-92,-89,-90,-91,-81,-200,-200,-90,-92,-200,-90,-200,-91,-86,-200,-200,-200,-71,-76,-83,-200,-84,-200,-200,-94,-200,-200,-200,-61,-200,-200,-94,-90,-200
1526451427832,-31,-24,-44,-48,-43,-46,-42,-48,-54,-70,-49,-73,-58,-61,-72,-46,-72,-65,-71,-63,-77,-70,-70,-80,-70,-71,-75,-68,-75,-76,-200,-79,-82,-83,-79,-68,-75,-75,-76,-70,-82,-88,-86,-91,-75,-87,-87,-87,-73,-200,-200,-90,-87,-82,-92,-85,-88,-87,-84,-90,-85,-84,-85,-90,-75,-82,-200,-87,-200,-90,-200,-200,-200,-200,-200,-89,-200,-89,-90,-89,-81,-200,-200,-200,-89,-200,-200,-200,-91,-86,-200,-200,-200,-77,-76,-83,-200,-84,-200,-200,-94,-200,-200,-87,-61,-200,-200,-200,-200,-200
1526451430875,-14,-21,-46,-49,-42,-45,-41,-49,-55,-72,-50,-72,-56,-63,-71,-44,-72,-65,-54,-63,-78,-70,-70,-80,-71,-70,-72,-69,-79,-73,-200,-81,-82,-84,-82,-68,-75,-74,-76,-70,-83,-88,-85,-88,-76,-87,-87,-90,-71,-200,-87,-86,-84,-82,-89,-86,-88,-89,-84,-200,-85,-88,-85,-90,-75,-81,-200,-87,-200,-90,-200,-200,-200,-200,-200,-90,-200,-89,-90,-89,-81,-200,-200,-200,-89,-200,-200,-200,-91,-86,-200,-200,-200,-77,-76,-83,-200,-84,-200,-200,-94,-200,-200,-87,-61,-200,-200,-200,-200,-90
1526451433902,-27,-7,-44,-48,-43,-46,-40,-55,-55,-65,-52,-70,-55,-62,-71,-43,-77,-200,-70,-62,-77,-69,-71,-81,-69,-70,-70,-69,-78,-78,-200,-80,-200,-81,-82,-68,-74,-74,-78,-70,-86,-86,-85,-91,-77,-89,-200,-86,-72,-200,-87,-90,-82,-82,-89,-84,-88,-89,-85,-89,-200,-85,-86,-90,-75,-80,-200,-85,-200,-89,-200,-200,-87,-200,-200,-89,-200,-90,-200,-90,-80,-200,-200,-90,-89,-200,-200,-200,-92,-88,-91,-200,-200,-70,-200,-200,-200,-83,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-90
1526451436937,-30,-21,-41,-52,-42,-46,-41,-48,-55,-62,-52,-74,-57,-61,-71,-45,-73,-200,-70,-59,-75,-69,-71,-79,-70,-70,-75,-68,-80,-76,-200,-75,-85,-82,-82,-68,-74,-74,-78,-71,-86,-87,-85,-86,-76,-90,-200,-86,-77,-200,-87,-90,-86,-81,-89,-84,-88,-86,-85,-92,-85,-87,-86,-200,-75,-82,-200,-85,-200,-89,-200,-200,-87,-200,-200,-89,-200,-90,-200,-90,-80,-200,-200,-90,-93,-200,-200,-200,-92,-88,-91,-200,-200,-67,-200,-84,-89,-85,-200,-200,-200,-200,-200,-200,-62,-200,-200,-200,-200,-90
1526451439975,-40,-20,-42,-50,-41,-49,-45,-59,-65,-72,-50,-74,-57,-62,-73,-47,-75,-200,-71,-63,-75,-67,-69,-79,-68,-69,-75,-67,-84,-77,-200,-79,-85,-82,-89,-68,-74,-76,-75,-72,-81,-86,-85,-91,-76,-90,-200,-86,-77,-200,-200,-90,-85,-81,-89,-84,-88,-83,-87,-92,-85,-79,-86,-200,-75,-83,-90,-85,-200,-91,-200,-200,-87,-200,-200,-89,-92,-90,-200,-90,-81,-200,-200,-90,-93,-200,-200,-200,-92,-88,-91,-200,-200,-67,-200,-88,-89,-85,-200,-200,-200,-200,-200,-85,-62,-200,-200,-200,-200,-200
1526451443002,-30,-20,-47,-49,-43,-42,-40,-54,-55,-66,-50,-77,-54,-59,-70,-41,-75,-200,-71,-63,-75,-69,-69,-83,-69,-72,-77,-69,-83,-77,-200,-76,-85,-88,-76,-68,-75,-75,-77,-73,-82,-89,-91,-91,-78,-90,-85,-200,-76,-200,-200,-90,-82,-81,-88,-84,-88,-87,-86,-92,-85,-79,-200,-89,-76,-85,-90,-87,-200,-89,-200,-200,-90,-200,-200,-90,-93,-200,-200,-89,-80,-200,-200,-90,-93,-200,-200,-200,-200,-88,-89,-200,-200,-67,-200,-88,-88,-84,-90,-200,-94,-200,-200,-85,-62,-200,-88,-200,-91,-200
1526451446033,-15,-29,-45,-49,-43,-43,-40,-54,-55,-69,-46,-82,-58,-63,-70,-44,-75,-200,-71,-65,-74,-70,-69,-83,-67,-72,-77,-69,-75,-77,-200,-81,-85,-85,-80,-70,-80,-75,-77,-70,-82,-86,-88,-91,-76,-90,-85,-89,-72,-200,-200,-200,-81,-81,-88,-80,-200,-87,-86,-92,-85,-87,-200,-89,-79,-81,-90,-87,-200,-89,-200,-200,-89,-200,-200,-90,-93,-200,-200,-89,-81,-200,-200,-200,-93,-200,-200,-200,-200,-200,-89,-200,-200,-67,-200,-88,-88,-84,-90,-200,-94,-200,-200,-85,-62,-90,-88,-200,-91,-200
1526451449072,-19,-21,-44,-43,-43,-47,-41,-54,-53,-70,-50,-72,-57,-61,-73,-41,-75,-200,-71,-64,-73,-69,-72,-83,-71,-68,-78,-70,-76,-77,-200,-81,-87,-80,-78,-71,-76,-76,-77,-72,-82,-85,-87,-83,-76,-200,-85,-87,-55,-200,-200,-200,-85,-200,-88,-84,-85,-88,-86,-91,-200,-87,-85,-90,-76,-81,-90,-87,-200,-89,-200,-200,-89,-200,-200,-90,-93,-200,-200,-89,-81,-200,-200,-200,-92,-200,-200,-200,-200,-87,-89,-200,-200,-72,-200,-88,-88,-85,-90,-200,-94,-200,-200,-87,-200,-90,-88,-200,-91,-200
