,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,DLINK_D02A28,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,DLINK_D02A18,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526450674804,-35,-42,-37,-33,-50,-39,-49,-58,-57,-50,-52,-66,-56,-62,-59,-76,-56,-68,-59,-50,-64,-76,-48,-200,-67,-77,-66,-81,-78,-67,-72,-82,-78,-200,-84,-76,-200,-84,-200,-67,-65,-74,-67,-79,-83,-72,-68,-81,-200,-89,-78,-80,-84,-69,-84,-69,-83,-83,-83,-72,-78,-87,-83,-200,-87,-66,-81,-84,-89,-200,-82,-80,-200,-86,-200,-200,-81,-89,-200,-200,-91,-71,-200,-85,-86,-87,-200,-90,-90,-200,-200,-200,-90,-91,-86,-82,-80,-83,-92,-89,-90,-85,-200,-200,-200
1526450677822,-34,-44,-39,-36,-48,-40,-52,-53,-57,-45,-51,-66,-55,-59,-59,-76,-57,-69,-61,-51,-66,-67,-45,-200,-69,-78,-66,-83,-73,-65,-71,-82,-76,-200,-84,-76,-200,-83,-200,-67,-76,-74,-65,-80,-83,-75,-71,-81,-82,-89,-78,-76,-84,-69,-200,-79,-83,-82,-83,-86,-78,-88,-83,-200,-80,-78,-81,-81,-89,-200,-79,-82,-86,-86,-200,-89,-79,-88,-200,-200,-91,-71,-82,-85,-86,-87,-200,-200,-88,-200,-200,-200,-90,-91,-86,-80,-200,-200,-200,-89,-90,-82,-200,-200,-200
1526450680858,-31,-51,-44,-22,-49,-43,-52,-55,-58,-51,-56,-66,-58,-68,-57,-75,-61,-68,-61,-56,-70,-77,-61,-200,-69,-78,-65,-83,-73,-72,-65,-80,-72,-83,-85,-76,-73,-84,-200,-67,-69,-72,-67,-81,-83,-70,-71,-81,-82,-89,-77,-76,-84,-69,-200,-71,-83,-82,-84,-86,-76,-88,-80,-200,-77,-82,-81,-81,-89,-88,-79,-80,-86,-86,-200,-89,-82,-88,-200,-200,-200,-83,-82,-85,-86,-89,-200,-200,-88,-200,-200,-200,-90,-89,-86,-82,-82,-200,-200,-200,-200,-82,-200,-200,-200
1526450683898,-31,-50,-37,-35,-48,-43,-53,-53,-56,-51,-52,-63,-54,-59,-58,-76,-56,-68,-59,-51,-63,-81,-51,-200,-65,-78,-68,-82,-71,-72,-75,-80,-72,-74,-83,-77,-73,-83,-200,-67,-70,-72,-67,-80,-83,-70,-67,-83,-82,-88,-80,-75,-84,-69,-200,-71,-83,-82,-83,-85,-76,-88,-82,-200,-77,-78,-81,-81,-88,-88,-79,-80,-86,-86,-200,-89,-82,-88,-200,-200,-91,-71,-76,-84,-200,-87,-200,-200,-88,-200,-89,-200,-90,-89,-86,-82,-82,-200,-200,-200,-200,-82,-200,-200,-200
1526450686937,-35,-41,-34,-36,-47,-39,-49,-51,-58,-50,-54,-67,-55,-56,-56,-77,-48,-70,-59,-49,-63,-78,-50,-200,-69,-70,-66,-84,-71,-66,-68,-80,-75,-72,-87,-79,-73,-86,-200,-67,-70,-79,-69,-80,-84,-69,-69,-83,-82,-87,-78,-86,-200,-69,-200,-76,-83,-85,-83,-85,-76,-86,-74,-200,-83,-79,-83,-76,-88,-87,-90,-80,-86,-89,-200,-89,-80,-88,-200,-200,-91,-71,-76,-84,-200,-87,-200,-200,-88,-200,-89,-200,-200,-89,-200,-82,-82,-200,-200,-200,-200,-82,-200,-200,-200
1526450689977,-31,-45,-37,-35,-47,-41,-53,-54,-55,-50,-52,-70,-56,-54,-59,-77,-59,-69,-57,-54,-61,-79,-50,-200,-68,-70,-66,-84,-72,-65,-79,-83,-73,-72,-84,-80,-73,-83,-88,-67,-70,-75,-68,-79,-84,-76,-70,-83,-200,-87,-78,-81,-200,-69,-200,-75,-84,-80,-83,-85,-76,-85,-82,-200,-84,-79,-82,-76,-88,-87,-92,-83,-200,-86,-200,-200,-80,-88,-91,-200,-89,-74,-76,-82,-200,-87,-200,-200,-200,-200,-89,-200,-200,-90,-200,-82,-79,-200,-200,-200,-200,-79,-89,-200,-200
1526450692996,-30,-41,-31,-36,-49,-39,-54,-59,-57,-48,-50,-68,-57,-59,-58,-76,-52,-69,-59,-51,-63,-76,-51,-200,-68,-77,-66,-82,-72,-63,-68,-85,-76,-72,-85,-80,-200,-86,-88,-67,-72,-78,-66,-79,-84,-75,-72,-83,-200,-85,-78,-76,-200,-69,-200,-77,-84,-80,-82,-85,-200,-82,-81,-200,-86,-68,-82,-80,-89,-87,-81,-83,-82,-86,-200,-200,-80,-200,-91,-200,-90,-74,-76,-84,-200,-87,-200,-200,-200,-200,-89,-200,-200,-90,-200,-81,-79,-200,-200,-200,-200,-79,-89,-200,-200
1526450696041,-39,-42,-44,-35,-49,-42,-53,-63,-56,-54,-48,-68,-53,-59,-59,-76,-57,-68,-59,-51,-65,-76,-51,-70,-68,-88,-66,-81,-72,-62,-69,-85,-74,-80,-83,-85,-200,-83,-88,-67,-72,-78,-66,-79,-84,-75,-72,-200,-200,-87,-78,-76,-200,-70,-200,-83,-88,-80,-84,-200,-200,-80,-83,-200,-86,-68,-83,-80,-91,-87,-81,-79,-82,-86,-200,-200,-82,-87,-91,-200,-90,-70,-93,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-82,-79,-200,-200,-200,-200,-88,-89,-79,-200
1526450699088,-33,-45,-34,-35,-49,-40,-53,-53,-57,-48,-50,-64,-50,-59,-59,-77,-59,-68,-59,-56,-66,-67,-48,-70,-71,-88,-68,-81,-69,-68,-68,-80,-71,-73,-82,-81,-200,-84,-88,-67,-68,-75,-69,-79,-200,-75,-69,-200,-200,-87,-79,-76,-200,-69,-200,-76,-88,-80,-84,-200,-83,-89,-83,-200,-81,-79,-83,-80,-91,-200,-69,-82,-82,-87,-200,-200,-82,-86,-91,-200,-79,-71,-93,-81,-200,-200,-200,-200,-200,-200,-92,-86,-200,-90,-200,-81,-79,-200,-200,-200,-200,-88,-89,-79,-91
1526450702106,-32,-47,-14,-34,-48,-42,-66,-61,-57,-56,-52,-63,-52,-60,-58,-77,-87,-68,-58,-54,-62,-67,-51,-65,-71,-88,-71,-81,-80,-68,-68,-80,-75,-75,-48,-78,-200,-84,-200,-68,-64,-83,-66,-77,-200,-75,-78,-85,-200,-86,-82,-76,-200,-69,-200,-76,-88,-82,-84,-91,-78,-89,-88,-200,-82,-82,-83,-80,-89,-89,-69,-81,-82,-87,-200,-200,-82,-86,-91,-200,-79,-71,-83,-81,-88,-88,-200,-90,-200,-91,-92,-86,-200,-200,-200,-81,-84,-200,-200,-200,-200,-88,-200,-79,-91
1526450705143,-17,-46,-17,-35,-49,-41,-54,-62,-58,-52,-55,-67,-55,-46,-59,-76,-59,-68,-56,-55,-66,-75,-49,-76,-70,-77,-69,-81,-74,-65,-73,-81,-76,-70,-85,-79,-200,-84,-200,-68,-72,-84,-69,-80,-200,-75,-73,-85,-200,-86,-79,-80,-200,-69,-84,-77,-83,-90,-83,-91,-78,-87,-81,-200,-80,-79,-82,-77,-89,-89,-88,-78,-87,-87,-200,-200,-83,-91,-90,-200,-79,-74,-83,-81,-88,-88,-86,-90,-89,-91,-92,-89,-200,-200,-200,-80,-84,-200,-200,-200,-200,-84,-200,-200,-91
1526450708187,-32,-48,-35,-35,-49,-40,-51,-55,-55,-55,-49,-65,-50,-59,-59,-76,-57,-68,-57,-55,-66,-78,-47,-66,-66,-78,-67,-82,-74,-65,-76,-81,-72,-70,-84,-79,-200,-200,-84,-67,-64,-75,-67,-81,-200,-77,-67,-83,-78,-88,-79,-80,-200,-69,-84,-77,-83,-82,-83,-84,-78,-87,-81,-91,-80,-74,-81,-77,-90,-89,-88,-79,-86,-89,-200,-200,-82,-91,-90,-200,-200,-71,-77,-81,-88,-85,-86,-90,-87,-91,-200,-89,-200,-200,-200,-80,-84,-200,-200,-200,-200,-84,-200,-200,-200
