,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00EC0,DLINK_D02A20,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro
1526450870614,-15,-17,-14,-43,-44,-45,-56,-60,-53,-54,-53,-52,-56,-52,-68,-65,-55,-59,-63,-61,-68,-73,-75,-74,-70,-68,-72,-67,-70,-73,-74,-82,-71,-73,-72,-75,-200,-84,-72,-200,-89,-80,-79,-83,-200,-79,-83,-86,-85,-77,-200,-200,-77,-84,-81,-82,-84,-81,-200,-200,-200,-81,-83,-82,-82,-80,-81,-90,-81,-87,-80,-93,-90,-86,-200,-200,-79,-89,-200,-87,-92,-85,-200,-200,-200,-83,-200,-91,-200,-200,-89,-92,-90,-90,-92,-200,-200,-77,-68,-200,-91,-87,-90,-90,-88,-90,-91,-91,-200
1526450873649,-25,-35,-33,-40,-42,-43,-58,-60,-53,-53,-50,-54,-56,-53,-68,-65,-62,-61,-63,-57,-62,-74,-75,-72,-70,-69,-72,-67,-69,-73,-75,-73,-72,-75,-71,-75,-200,-77,-73,-200,-89,-80,-80,-84,-200,-79,-81,-79,-83,-78,-200,-200,-77,-84,-80,-81,-84,-81,-200,-200,-200,-81,-83,-88,-81,-80,-80,-88,-83,-87,-200,-200,-90,-89,-200,-200,-200,-89,-200,-87,-92,-87,-200,-200,-200,-85,-200,-91,-200,-200,-200,-92,-90,-91,-200,-200,-200,-77,-68,-200,-200,-87,-90,-92,-88,-90,-91,-91,-200
1526450876684,-31,-33,-32,-43,-44,-45,-60,-59,-53,-53,-53,-51,-55,-52,-51,-65,-57,-61,-62,-61,-68,-74,-75,-74,-70,-67,-72,-61,-66,-73,-73,-74,-76,-76,-72,-73,-77,-78,-73,-200,-82,-80,-80,-82,-86,-78,-81,-79,-83,-80,-200,-200,-78,-84,-80,-81,-84,-81,-200,-200,-200,-81,-75,-88,-84,-83,-80,-88,-83,-87,-200,-200,-89,-89,-200,-200,-91,-91,-87,-89,-92,-87,-200,-200,-200,-70,-200,-87,-200,-200,-200,-92,-90,-91,-200,-200,-90,-77,-70,-200,-200,-87,-90,-92,-88,-90,-91,-91,-200
1526450879723,-30,-31,-31,-41,-44,-45,-58,-57,-53,-53,-52,-57,-54,-51,-51,-65,-63,-66,-63,-59,-68,-74,-53,-75,-200,-68,-71,-64,-66,-73,-76,-73,-72,-76,-74,-75,-70,-78,-73,-80,-83,-79,-79,-84,-86,-78,-82,-74,-83,-80,-200,-200,-79,-84,-80,-82,-84,-82,-200,-200,-200,-83,-75,-88,-92,-77,-80,-88,-83,-86,-200,-91,-89,-87,-200,-86,-91,-89,-90,-89,-90,-87,-200,-200,-200,-85,-200,-87,-200,-200,-200,-93,-200,-91,-200,-200,-90,-200,-70,-200,-200,-87,-90,-92,-88,-200,-91,-87,-200
1526450882769,-15,-36,-34,-42,-43,-44,-59,-57,-53,-53,-53,-52,-55,-51,-66,-62,-60,-65,-64,-56,-69,-72,-73,-72,-69,-73,-72,-63,-66,-73,-76,-73,-71,-76,-74,-75,-70,-78,-71,-80,-83,-82,-80,-83,-86,-78,-82,-78,-82,-80,-200,-200,-69,-200,-80,-82,-84,-82,-200,-200,-200,-82,-75,-88,-81,-82,-80,-91,-89,-86,-200,-91,-89,-87,-200,-86,-91,-89,-90,-89,-92,-87,-90,-200,-200,-87,-200,-87,-200,-200,-200,-93,-200,-91,-200,-200,-91,-76,-70,-200,-200,-200,-200,-92,-89,-200,-200,-87,-200
1526450885826,-13,-16,-22,-52,-43,-45,-56,-57,-52,-60,-54,-51,-55,-61,-75,-67,-61,-69,-63,-59,-68,-72,-73,-72,-69,-66,-72,-63,-68,-73,-74,-73,-71,-76,-71,-74,-80,-80,-72,-80,-83,-82,-79,-83,-86,-78,-81,-73,-82,-78,-200,-200,-77,-200,-80,-81,-84,-82,-85,-200,-200,-84,-69,-88,-80,-82,-80,-91,-85,-86,-200,-89,-89,-87,-200,-86,-91,-87,-89,-89,-90,-200,-90,-200,-90,-87,-200,-87,-200,-200,-200,-93,-200,-200,-200,-200,-91,-76,-70,-200,-200,-200,-92,-200,-89,-200,-200,-87,-200
1526450888872,-30,-36,-30,-39,-42,-43,-57,-59,-53,-53,-52,-52,-53,-53,-68,-66,-62,-67,-63,-62,-68,-73,-75,-73,-69,-70,-72,-64,-68,-74,-77,-67,-71,-76,-72,-72,-80,-75,-76,-80,-77,-80,-79,-84,-200,-200,-81,-76,-84,-77,-200,-84,-84,-200,-80,-81,-84,-83,-85,-200,-200,-83,-80,-88,-80,-82,-80,-91,-80,-86,-200,-89,-90,-87,-200,-86,-200,-90,-89,-200,-90,-89,-89,-200,-88,-87,-200,-200,-200,-200,-200,-93,-200,-90,-200,-200,-91,-76,-70,-200,-200,-200,-89,-200,-89,-200,-200,-87,-200
1526450891912,-26,-36,-32,-41,-43,-43,-57,-59,-52,-52,-53,-54,-53,-53,-68,-65,-62,-67,-62,-63,-68,-73,-75,-75,-69,-73,-70,-64,-68,-73,-76,-73,-71,-75,-72,-76,-80,-75,-74,-200,-79,-81,-79,-82,-200,-200,-82,-77,-82,-77,-200,-84,-78,-200,-80,-81,-85,-81,-85,-200,-200,-83,-80,-88,-83,-82,-80,-88,-83,-86,-200,-92,-90,-86,-200,-200,-200,-83,-89,-200,-91,-89,-90,-200,-88,-85,-200,-200,-200,-200,-90,-92,-91,-84,-200,-200,-91,-76,-70,-200,-200,-200,-89,-92,-89,-200,-200,-200,-200
1526450894950,-27,-28,-31,-42,-41,-43,-59,-60,-53,-55,-49,-57,-57,-53,-68,-64,-70,-59,-62,-63,-70,-73,-75,-72,-200,-78,-72,-64,-68,-73,-80,-72,-75,-75,-72,-76,-80,-77,-74,-200,-79,-81,-80,-85,-200,-200,-82,-77,-85,-80,-200,-84,-80,-84,-79,-89,-83,-82,-92,-200,-200,-85,-80,-91,-83,-79,-81,-88,-89,-200,-200,-92,-90,-86,-200,-200,-200,-83,-89,-200,-91,-83,-83,-200,-88,-86,-200,-200,-200,-200,-90,-92,-91,-84,-200,-200,-200,-200,-70,-200,-200,-200,-89,-92,-89,-200,-200,-200,-200
1526450897980,-25,-37,-32,-42,-44,-44,-60,-55,-53,-53,-53,-53,-56,-51,-65,-66,-62,-67,-62,-65,-70,-73,-75,-72,-69,-73,-72,-65,-68,-74,-80,-71,-75,-76,-74,-73,-75,-77,-73,-200,-79,-81,-79,-85,-200,-78,-82,-78,-85,-80,-200,-84,-78,-84,-77,-89,-83,-82,-87,-200,-200,-84,-81,-91,-83,-79,-81,-88,-89,-200,-200,-92,-90,-86,-200,-200,-200,-83,-200,-200,-91,-83,-83,-200,-88,-83,-200,-90,-200,-200,-87,-92,-91,-90,-200,-200,-200,-200,-200,-200,-200,-200,-89,-92,-200,-200,-200,-200,-200
1526450901028,-26,-35,-41,-43,-50,-43,-56,-66,-53,-53,-53,-50,-54,-53,-65,-65,-57,-67,-62,-60,-70,-79,-200,-72,-69,-74,-71,-65,-200,-74,-76,-66,-71,-76,-75,-74,-75,-77,-73,-200,-79,-81,-80,-82,-200,-78,-81,-77,-84,-80,-200,-84,-77,-84,-77,-81,-87,-82,-87,-200,-200,-83,-74,-87,-82,-82,-81,-88,-81,-86,-200,-92,-200,-86,-200,-87,-200,-87,-200,-88,-90,-83,-83,-200,-200,-83,-200,-90,-200,-200,-87,-92,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-91,-200,-200,-85,-88
1526450904072,-32,-31,-32,-42,-46,-42,-54,-53,-53,-54,-54,-53,-51,-50,-61,-62,-61,-59,-59,-62,-69,-72,-200,-71,-69,-68,-72,-65,-68,-72,-75,-73,-71,-76,-71,-73,-75,-77,-73,-200,-200,-76,-79,-83,-200,-78,-80,-76,-84,-77,-68,-84,-77,-84,-80,-80,-87,-82,-87,-200,-200,-83,-72,-84,-80,-82,-81,-90,-89,-86,-200,-200,-200,-86,-200,-87,-200,-87,-200,-88,-90,-83,-83,-200,-200,-83,-200,-90,-200,-200,-87,-200,-90,-90,-200,-200,-91,-200,-200,-200,-200,-88,-200,-89,-91,-200,-87,-85,-88
