,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro
1526454105384,-48,-43,-40,-55,-54,-54,-54,-57,-68,-57,-65,-60,-58,-66,-79,-68,-66,-87,-200,-77,-200,-77,-87,-84,-80,-200,-200,-200,-200,-77,-81,-84,-73,-87,-200,-200,-200,-200
1526454108411,-48,-43,-40,-55,-54,-54,-54,-57,-68,-57,-65,-60,-58,-66,-79,-68,-66,-87,-200,-77,-200,-77,-87,-84,-80,-200,-200,-200,-200,-77,-81,-84,-73,-87,-200,-200,-200,-200
1526454111447,-48,-43,-40,-55,-54,-54,-54,-57,-68,-57,-65,-60,-58,-66,-79,-68,-66,-87,-200,-77,-200,-77,-87,-84,-80,-200,-200,-200,-200,-77,-81,-84,-73,-87,-200,-200,-200,-200
1526454114479,-47,-44,-39,-52,-52,-52,-54,-53,-69,-59,-67,-61,-58,-66,-200,-68,-67,-87,-200,-71,-78,-75,-200,-84,-200,-200,-200,-200,-200,-80,-200,-200,-75,-200,-200,-200,-200,-200
1526454117511,-47,-44,-39,-51,-55,-54,-58,-56,-69,-59,-66,-61,-60,-67,-200,-70,-66,-84,-200,-69,-78,-77,-200,-84,-200,-200,-200,-200,-200,-81,-200,-200,-75,-200,-89,-89,-200,-200
1526454120544,-47,-44,-39,-51,-55,-54,-58,-56,-69,-59,-66,-61,-60,-67,-200,-70,-66,-84,-200,-69,-78,-77,-200,-84,-200,-200,-200,-200,-200,-81,-200,-200,-75,-200,-89,-89,-200,-200
1526454123576,-47,-44,-39,-51,-55,-54,-58,-56,-69,-59,-66,-61,-60,-67,-200,-70,-66,-84,-200,-69,-78,-77,-200,-84,-200,-200,-200,-200,-200,-81,-200,-200,-75,-200,-89,-89,-200,-200
1526454126608,-48,-46,-39,-54,-54,-53,-52,-59,-70,-57,-65,-59,-60,-68,-200,-70,-66,-83,-200,-68,-200,-75,-200,-200,-82,-200,-200,-200,-200,-81,-200,-200,-74,-91,-89,-89,-89,-89
1526454129644,-48,-43,-39,-53,-54,-53,-51,-59,-77,-57,-70,-59,-60,-67,-200,-70,-66,-85,-200,-73,-200,-75,-200,-200,-82,-200,-200,-200,-200,-81,-200,-200,-72,-91,-89,-89,-89,-89
1526454132674,-48,-43,-39,-53,-54,-53,-51,-59,-77,-57,-70,-59,-60,-67,-200,-70,-66,-85,-200,-73,-200,-75,-200,-200,-82,-200,-200,-200,-200,-81,-200,-200,-72,-91,-89,-89,-89,-89
1526454135708,-48,-43,-39,-53,-54,-53,-51,-59,-77,-57,-70,-59,-60,-67,-200,-70,-66,-85,-200,-73,-200,-75,-200,-200,-82,-200,-200,-200,-200,-81,-200,-200,-72,-91,-89,-89,-89,-89
1526454138745,-48,-45,-40,-57,-54,-55,-62,-60,-71,-57,-67,-59,-59,-69,-78,-67,-67,-85,-200,-70,-85,-78,-200,-200,-200,-200,-200,-200,-200,-84,-200,-89,-72,-200,-200,-200,-200,-200
