,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro
1526454661604,-36,-49,-51,-53,-64,-55,-59,-68,-62,-59,-68,-83,-74,-75,-64,-76,-64,-80,-200,-78,-200,-79,-75,-200,-200,-200,-200,-200,-80,-77,-83,-84,-86,-91,-200,-200,-200,-200
1526454664637,-36,-49,-51,-53,-64,-55,-59,-68,-62,-59,-68,-83,-74,-75,-64,-76,-64,-80,-200,-78,-200,-79,-75,-200,-200,-200,-200,-200,-80,-77,-83,-84,-86,-91,-200,-200,-200,-200
1526454667678,-36,-49,-51,-53,-64,-55,-59,-68,-62,-59,-68,-83,-74,-75,-64,-76,-64,-80,-200,-78,-200,-79,-75,-200,-200,-200,-200,-200,-80,-77,-83,-84,-86,-91,-200,-200,-200,-200
1526454670709,-37,-47,-56,-52,-59,-59,-65,-200,-62,-68,-65,-80,-200,-200,-66,-76,-74,-82,-200,-78,-200,-79,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-85,-200,-200,-200
1526454673722,-39,-47,-53,-52,-54,-62,-62,-200,-62,-68,-65,-80,-200,-72,-65,-76,-69,-79,-200,-73,-200,-79,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-89,-200,-85,-200,-200,-200
1526454676749,-39,-47,-53,-52,-54,-62,-62,-200,-62,-68,-65,-80,-200,-72,-65,-76,-69,-79,-200,-73,-200,-79,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-89,-200,-85,-200,-200,-200
1526454679784,-39,-47,-53,-52,-54,-62,-62,-200,-62,-68,-65,-80,-200,-72,-65,-76,-69,-79,-200,-73,-200,-79,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-89,-200,-85,-200,-200,-200
1526454682805,-42,-45,-54,-52,-51,-68,-73,-67,-63,-67,-64,-200,-65,-71,-68,-76,-76,-76,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-89,-200,-200,-86,-200,-200
1526454685838,-41,-44,-56,-52,-51,-68,-65,-67,-65,-67,-66,-77,-64,-73,-72,-77,-76,-80,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-79,-77,-200,-200,-89,-200,-200,-86,-93,-200
1526454688867,-41,-44,-56,-52,-51,-68,-65,-67,-65,-67,-66,-77,-64,-73,-72,-77,-76,-80,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-79,-77,-200,-200,-89,-200,-200,-86,-93,-200
1526454691897,-41,-44,-56,-52,-51,-68,-65,-67,-65,-67,-66,-77,-64,-73,-72,-77,-76,-80,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-79,-77,-200,-200,-89,-200,-200,-86,-93,-200
1526454694927,-39,-45,-54,-51,-51,-63,-63,-67,-65,-67,-66,-79,-67,-73,-70,-77,-80,-77,-88,-77,-81,-200,-200,-200,-76,-200,-87,-200,-200,-75,-200,-200,-200,-200,-200,-200,-93,-93
