,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526454419244,-30,-51,-50,-53,-49,-59,-59,-80,-57,-52,-65,-61,-74,-60,-82,-61,-67,-72,-79,-69,-81,-200,-82,-82,-73,-83,-200,-83,-85,-91,-200,-85,-200,-200,-74,-79,-86,-85,-87,-87,-90,-85,-90,-91,-200,-200,-200,-200
1526454422275,-30,-51,-50,-53,-49,-59,-59,-80,-57,-52,-65,-61,-74,-60,-82,-61,-67,-72,-79,-69,-81,-200,-82,-82,-73,-83,-200,-83,-85,-91,-200,-85,-200,-200,-74,-79,-86,-85,-87,-87,-90,-85,-90,-91,-200,-200,-200,-200
1526454425319,-30,-51,-50,-53,-49,-59,-59,-80,-57,-52,-65,-61,-74,-60,-82,-61,-67,-72,-79,-69,-81,-200,-82,-82,-73,-83,-200,-83,-85,-91,-200,-85,-200,-200,-74,-79,-86,-85,-87,-87,-90,-85,-90,-91,-200,-200,-200,-200
1526454428350,-30,-51,-50,-53,-49,-59,-59,-80,-57,-60,-65,-61,-200,-60,-200,-61,-200,-73,-79,-200,-81,-200,-82,-82,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-79,-200,-200,-200
1526454431388,-30,-53,-50,-52,-50,-60,-59,-84,-57,-56,-65,-61,-200,-63,-82,-63,-70,-73,-79,-200,-82,-75,-84,-82,-73,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-91,-79,-81,-84,-200
1526454434425,-30,-53,-50,-52,-50,-60,-59,-84,-57,-56,-65,-61,-200,-63,-82,-63,-70,-73,-79,-200,-82,-75,-84,-82,-73,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-91,-79,-81,-84,-200
1526454437464,-30,-53,-50,-52,-50,-60,-59,-84,-57,-56,-65,-61,-200,-63,-82,-63,-70,-73,-79,-200,-82,-75,-84,-82,-73,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-91,-79,-81,-84,-200
1526454440510,-31,-53,-51,-50,-48,-59,-62,-84,-58,-56,-64,-63,-200,-58,-80,-62,-68,-67,-200,-77,-79,-75,-84,-81,-73,-83,-200,-83,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-85,-200,-200,-78,-81,-84,-88
1526454443545,-31,-52,-51,-50,-49,-59,-58,-84,-56,-54,-65,-63,-200,-57,-80,-62,-68,-68,-200,-77,-79,-75,-84,-81,-73,-83,-200,-83,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-85,-200,-200,-81,-81,-84,-88
1526454446583,-31,-52,-51,-50,-49,-59,-58,-84,-56,-54,-65,-63,-200,-57,-80,-62,-68,-68,-200,-77,-79,-75,-84,-81,-73,-83,-200,-83,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-85,-200,-200,-81,-81,-84,-88
1526454449607,-31,-52,-51,-50,-49,-59,-58,-84,-56,-54,-65,-63,-200,-57,-80,-62,-68,-68,-200,-77,-79,-75,-84,-81,-73,-83,-200,-83,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-85,-200,-200,-81,-81,-84,-88
1526454452630,-31,-52,-51,-50,-49,-59,-58,-200,-56,-54,-65,-63,-200,-57,-200,-200,-200,-68,-200,-200,-200,-82,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200
