,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526454033167,-43,-55,-57,-40,-46,-56,-55,-54,-66,-64,-65,-63,-68,-75,-65,-74,-77,-81,-200,-79,-82,-87,-200,-200,-200,-85,-200,-81,-88,-92,-200,-200,-200,-200
1526454036209,-42,-51,-58,-40,-47,-54,-58,-56,-68,-64,-63,-62,-66,-75,-63,-200,-73,-81,-200,-81,-80,-200,-200,-200,-200,-200,-200,-82,-200,-200,-80,-89,-91,-200
1526454039241,-42,-51,-53,-40,-47,-55,-57,-56,-68,-64,-64,-65,-66,-74,-64,-72,-73,-81,-200,-81,-81,-200,-200,-200,-200,-200,-200,-82,-200,-200,-80,-89,-91,-200
1526454042266,-42,-51,-53,-40,-47,-55,-57,-56,-68,-64,-64,-65,-66,-74,-64,-72,-73,-81,-200,-81,-81,-200,-200,-200,-200,-200,-200,-82,-200,-200,-80,-89,-91,-200
1526454045301,-42,-51,-53,-40,-47,-55,-57,-56,-68,-64,-64,-65,-66,-74,-64,-72,-73,-81,-200,-81,-81,-200,-200,-200,-200,-200,-200,-82,-200,-200,-80,-89,-91,-200
1526454048336,-42,-52,-52,-40,-48,-56,-58,-57,-66,-65,-65,-65,-67,-74,-64,-73,-79,-200,-200,-79,-83,-200,-200,-200,-200,-200,-200,-81,-89,-200,-200,-200,-200,-78
1526454051367,-42,-52,-52,-39,-47,-56,-58,-57,-66,-65,-65,-65,-75,-74,-64,-73,-79,-200,-200,-81,-82,-200,-200,-200,-200,-200,-200,-81,-89,-200,-83,-200,-200,-78
1526454054397,-42,-52,-52,-39,-47,-56,-58,-57,-66,-65,-65,-65,-75,-74,-64,-73,-79,-200,-200,-81,-82,-200,-200,-200,-200,-200,-200,-81,-89,-200,-83,-200,-200,-78
1526454057431,-42,-52,-52,-39,-47,-56,-58,-57,-66,-65,-65,-65,-75,-74,-64,-73,-79,-200,-200,-81,-82,-200,-200,-200,-200,-200,-200,-81,-89,-200,-83,-200,-200,-78
1526454060455,-46,-56,-47,-42,-50,-200,-59,-57,-65,-68,-67,-69,-70,-75,-64,-73,-200,-200,-200,-81,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200
