,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526447643945,-50,-34,-49,-43,-61,-62,-58,-64,-54,-55,-56,-63,-75,-57,-74,-45,-79,-72,-65,-64,-69,-71,-75,-80,-80,-90,-87,-80,-85,-200,-86,-94,-87,-86,-87,-95,-200,-92,-200,-92,-88,-200,-93,-91,-87,-200,-95,-200,-200,-95,-200,-90,-91,-92,-200,-91,-200,-200,-200,-89,-94,-98,-200,-89,-93,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-87,-200,-200,-96,-200,-200,-97,-97,-100,-200,-200,-200,-200,-200
1526447646985,-50,-33,-50,-43,-56,-57,-65,-63,-52,-59,-57,-63,-79,-58,-79,-58,-79,-72,-65,-65,-63,-78,-80,-77,-74,-81,-87,-79,-80,-200,-86,-90,-86,-200,-86,-87,-91,-92,-200,-87,-89,-200,-93,-91,-93,-200,-200,-200,-200,-95,-93,-90,-91,-200,-200,-90,-93,-200,-95,-91,-94,-200,-200,-93,-98,-200,-200,-200,-200,-93,-200,-200,-200,-96,-96,-87,-200,-200,-200,-200,-200,-97,-97,-100,-200,-200,-200,-200,-200
1526447650025,-49,-32,-45,-42,-61,-65,-58,-66,-55,-60,-54,-65,-74,-60,-88,-47,-77,-74,-67,-64,-66,-78,-78,-84,-82,-94,-88,-80,-86,-200,-85,-94,-92,-85,-86,-87,-91,-92,-200,-89,-90,-200,-200,-96,-93,-200,-200,-89,-200,-200,-93,-94,-91,-92,-200,-88,-94,-90,-95,-88,-94,-200,-200,-93,-98,-200,-200,-200,-200,-93,-200,-97,-200,-96,-96,-87,-200,-200,-200,-200,-200,-95,-200,-100,-200,-200,-200,-200,-200
1526447653066,-56,-32,-49,-34,-62,-58,-56,-65,-54,-65,-57,-63,-70,-59,-80,-52,-77,-74,-64,-63,-69,-78,-80,-79,-82,-84,-88,-76,-81,-200,-84,-88,-88,-85,-86,-90,-91,-200,-200,-89,-90,-200,-200,-96,-93,-200,-97,-90,-200,-200,-93,-95,-95,-94,-200,-88,-94,-93,-95,-88,-200,-200,-200,-93,-95,-200,-200,-200,-200,-92,-200,-97,-200,-96,-96,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200
1526447656108,-54,-33,-47,-45,-66,-61,-55,-67,-64,-66,-57,-65,-75,-61,-75,-57,-78,-73,-67,-67,-72,-71,-80,-82,-77,-86,-85,-76,-83,-200,-85,-91,-89,-85,-88,-87,-87,-89,-200,-89,-88,-93,-200,-96,-200,-200,-97,-88,-200,-95,-200,-88,-95,-90,-200,-88,-94,-95,-94,-86,-200,-200,-93,-92,-95,-200,-200,-200,-200,-92,-200,-97,-200,-200,-200,-200,-200,-96,-200,-200,-200,-90,-200,-200,-96,-98,-200,-200,-200
1526447659147,-51,-36,-47,-43,-66,-58,-54,-67,-54,-59,-56,-65,-74,-57,-76,-49,-78,-77,-68,-64,-74,-74,-76,-81,-78,-90,-87,-79,-82,-200,-85,-94,-84,-88,-88,-89,-87,-89,-200,-87,-89,-93,-93,-200,-200,-200,-97,-85,-200,-95,-90,-93,-95,-92,-200,-89,-94,-95,-95,-89,-96,-96,-97,-93,-95,-200,-200,-200,-200,-90,-200,-97,-200,-200,-200,-200,-200,-96,-200,-200,-96,-90,-200,-200,-96,-98,-200,-200,-200
1526447662189,-53,-35,-48,-42,-63,-57,-54,-67,-58,-59,-58,-63,-73,-57,-78,-49,-64,-73,-64,-65,-64,-74,-76,-79,-79,-84,-88,-80,-76,-200,-83,-92,-86,-84,-89,-86,-87,-89,-200,-85,-89,-93,-92,-91,-90,-200,-97,-92,-200,-95,-90,-94,-95,-92,-200,-89,-94,-95,-95,-90,-93,-96,-97,-93,-96,-200,-200,-200,-200,-90,-200,-97,-200,-97,-96,-200,-200,-96,-200,-200,-96,-90,-200,-200,-97,-98,-200,-200,-200
1526447665234,-56,-36,-50,-40,-77,-58,-57,-62,-54,-62,-56,-63,-71,-60,-75,-53,-77,-78,-66,-65,-64,-73,-77,-84,-75,-91,-82,-78,-78,-200,-85,-90,-90,-85,-89,-92,-200,-89,-200,-86,-85,-200,-92,-91,-91,-200,-97,-87,-200,-200,-90,-94,-95,-89,-200,-89,-91,-93,-94,-90,-96,-96,-94,-93,-96,-200,-200,-200,-86,-87,-94,-97,-200,-99,-96,-200,-85,-95,-200,-200,-96,-200,-200,-200,-96,-200,-200,-200,-200
1526447668273,-56,-35,-48,-43,-65,-55,-57,-66,-54,-61,-59,-63,-71,-60,-80,-51,-80,-76,-66,-65,-68,-74,-77,-80,-77,-87,-88,-79,-83,-200,-85,-94,-88,-85,-89,-92,-200,-89,-200,-85,-85,-200,-92,-91,-90,-200,-200,-87,-200,-200,-200,-96,-95,-92,-200,-89,-93,-91,-94,-90,-96,-97,-94,-200,-95,-200,-200,-200,-91,-87,-94,-96,-200,-99,-96,-200,-94,-95,-200,-200,-200,-200,-200,-200,-96,-200,-96,-97,-200
1526447671314,-50,-37,-48,-44,-64,-60,-55,-67,-54,-64,-54,-64,-75,-59,-79,-61,-72,-74,-63,-65,-67,-70,-78,-84,-79,-84,-85,-79,-83,-81,-85,-94,-88,-85,-92,-84,-200,-89,-200,-85,-85,-200,-200,-200,-90,-94,-200,-87,-81,-200,-91,-91,-94,-90,-95,-94,-93,-94,-94,-86,-96,-97,-94,-200,-95,-200,-200,-200,-91,-87,-94,-96,-200,-97,-96,-200,-94,-95,-200,-200,-200,-200,-200,-200,-96,-200,-96,-97,-200
1526447674362,-54,-35,-45,-44,-65,-60,-55,-69,-65,-61,-56,-62,-73,-57,-75,-58,-72,-75,-64,-64,-64,-71,-75,-82,-74,-85,-86,-79,-83,-81,-85,-90,-85,-200,-92,-88,-200,-200,-200,-85,-86,-200,-200,-200,-89,-94,-200,-200,-81,-200,-91,-93,-94,-89,-96,-94,-93,-94,-200,-89,-200,-97,-94,-91,-94,-200,-200,-200,-81,-97,-200,-97,-200,-97,-96,-92,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-97,-200
1526447677406,-53,-36,-48,-42,-61,-54,-55,-66,-61,-61,-60,-64,-71,-60,-78,-50,-72,-74,-64,-67,-63,-73,-75,-81,-75,-87,-87,-81,-75,-81,-85,-94,-85,-200,-87,-87,-200,-91,-200,-200,-86,-200,-93,-200,-92,-94,-200,-200,-81,-200,-96,-93,-94,-89,-96,-94,-94,-93,-200,-88,-200,-200,-97,-94,-88,-200,-200,-200,-81,-90,-200,-95,-200,-99,-200,-92,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-94
