,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526447867077,-46,-56,-61,-38,-46,-60,-58,-52,-57,-57,-70,-72,-64,-72,-77,-61,-67,-71,-61,-75,-78,-87,-74,-86,-77,-200,-65,-200,-90,-72,-82,-79,-84,-88,-77,-77,-89,-85,-200,-88,-85,-88,-93,-89,-83,-84,-89,-200,-83,-200,-200,-89,-90,-200,-85,-96,-200,-200,-89,-95,-85,-200,-200,-96,-200,-95,-200,-200,-200,-200,-200,-200,-93,-95,-200,-200,-200,-200
1526447870118,-44,-57,-54,-38,-45,-59,-56,-55,-60,-70,-70,-68,-61,-75,-71,-56,-72,-70,-60,-79,-68,-89,-70,-81,-86,-200,-64,-90,-83,-67,-200,-80,-84,-88,-76,-77,-200,-84,-200,-87,-86,-88,-93,-89,-85,-86,-94,-200,-80,-200,-200,-95,-92,-200,-86,-96,-200,-92,-89,-200,-89,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-93,-95,-200,-200,-200,-200
1526447873161,-47,-58,-48,-37,-45,-59,-69,-59,-64,-61,-71,-69,-62,-72,-71,-72,-66,-68,-59,-73,-72,-81,-74,-75,-80,-200,-65,-90,-76,-71,-80,-80,-87,-84,-74,-80,-200,-84,-200,-89,-86,-200,-92,-93,-87,-88,-91,-200,-78,-200,-200,-95,-93,-200,-86,-96,-200,-92,-200,-95,-89,-200,-200,-200,-200,-95,-200,-97,-200,-200,-200,-200,-200,-95,-86,-200,-200,-200
1526447876208,-47,-51,-51,-41,-44,-64,-64,-47,-58,-56,-68,-72,-68,-76,-68,-59,-66,-68,-62,-73,-72,-81,-74,-82,-84,-200,-67,-90,-81,-70,-85,-80,-84,-88,-74,-80,-200,-82,-88,-85,-86,-200,-92,-93,-87,-88,-89,-200,-83,-94,-200,-93,-94,-200,-86,-95,-200,-92,-200,-95,-88,-200,-200,-200,-200,-91,-93,-97,-99,-200,-93,-200,-200,-200,-86,-97,-200,-200
1526447879255,-44,-51,-50,-40,-44,-61,-56,-50,-53,-63,-73,-73,-60,-78,-69,-60,-80,-70,-58,-68,-68,-85,-73,-73,-82,-200,-63,-90,-81,-73,-85,-80,-82,-88,-78,-76,-200,-81,-86,-88,-81,-200,-93,-91,-84,-88,-89,-95,-84,-94,-200,-90,-94,-200,-94,-95,-95,-93,-92,-95,-87,-200,-90,-200,-200,-91,-93,-200,-99,-200,-93,-94,-94,-200,-86,-97,-96,-200
1526447882312,-48,-52,-50,-38,-46,-65,-60,-49,-58,-59,-70,-69,-58,-72,-70,-55,-65,-68,-65,-64,-68,-83,-73,-77,-78,-200,-73,-90,-85,-69,-85,-89,-88,-88,-78,-76,-86,-86,-86,-91,-81,-200,-93,-91,-85,-88,-88,-94,-87,-94,-200,-90,-90,-91,-94,-95,-95,-93,-92,-200,-87,-200,-90,-94,-200,-91,-89,-200,-99,-200,-93,-94,-94,-200,-200,-97,-96,-200
1526447885360,-44,-53,-62,-39,-44,-60,-53,-52,-59,-66,-75,-69,-58,-73,-70,-60,-66,-67,-58,-78,-66,-86,-74,-75,-84,-200,-68,-90,-84,-68,-83,-89,-81,-86,-74,-79,-86,-79,-86,-91,-80,-200,-93,-89,-86,-90,-88,-94,-82,-200,-90,-88,-90,-91,-94,-200,-95,-93,-94,-200,-87,-200,-90,-95,-200,-200,-94,-200,-200,-200,-200,-94,-97,-98,-200,-200,-96,-200
1526447888411,-45,-70,-55,-36,-48,-65,-59,-50,-58,-63,-77,-69,-63,-68,-70,-57,-68,-78,-61,-59,-67,-86,-79,-74,-85,-91,-62,-200,-79,-68,-89,-89,-89,-84,-79,-79,-86,-79,-200,-85,-81,-200,-93,-89,-84,-90,-89,-90,-85,-200,-90,-88,-95,-91,-92,-200,-95,-200,-94,-200,-200,-200,-200,-92,-200,-200,-92,-200,-200,-200,-200,-200,-97,-98,-200,-200,-200,-200
1526447891434,-54,-67,-57,-49,-59,-81,-63,-48,-62,-69,-78,-81,-57,-76,-78,-65,-70,-82,-66,-81,-77,-200,-86,-69,-88,-89,-71,-92,-76,-89,-91,-87,-84,-94,-85,-200,-94,-90,-200,-84,-87,-97,-92,-95,-84,-94,-88,-96,-89,-200,-200,-95,-95,-200,-97,-200,-91,-200,-95,-200,-96,-200,-200,-92,-200,-200,-91,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-94
1526447894483,-51,-61,-51,-44,-44,-69,-60,-45,-58,-62,-67,-81,-65,-73,-79,-64,-67,-70,-64,-85,-77,-87,-75,-73,-83,-89,-70,-86,-76,-80,-91,-89,-83,-87,-78,-80,-94,-90,-200,-82,-90,-90,-91,-95,-84,-94,-90,-96,-81,-200,-96,-95,-95,-92,-88,-200,-91,-200,-88,-96,-93,-200,-200,-92,-200,-200,-95,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-95
