,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro
1526448846361,-34,-61,-62,-51,-55,-59,-63,-64,-73,-73,-76,-67,-62,-77,-77,-68,-82,-70,-84,-82,-78,-71,-78,-81,-88,-77,-92,-68,-93,-200,-200,-90,-90,-94,-96,-93,-92,-200,-200,-91,-200,-92,-92,-200,-200,-200,-94,-99,-200,-90,-200,-82,-92,-200,-200,-200,-200,-200,-86,-93,-200,-200,-200,-96,-96,-200,-200,-97,-92,-200,-93,-94,-82,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448849411,-36,-55,-58,-54,-54,-63,-61,-65,-62,-65,-77,-70,-69,-74,-66,-65,-86,-74,-78,-79,-80,-73,-80,-81,-80,-82,-92,-75,-93,-200,-94,-92,-91,-94,-96,-93,-92,-92,-200,-93,-200,-88,-89,-200,-200,-200,-94,-99,-80,-94,-200,-93,-98,-99,-200,-200,-200,-200,-86,-89,-200,-91,-200,-96,-93,-200,-92,-200,-92,-200,-93,-94,-82,-94,-92,-93,-95,-96,-200,-200,-200,-200,-200,-200
1526448852454,-35,-57,-58,-56,-60,-60,-61,-65,-62,-66,-77,-72,-71,-74,-66,-64,-86,-69,-78,-81,-86,-73,-83,-82,-80,-80,-84,-80,-97,-200,-92,-90,-91,-95,-96,-93,-91,-92,-86,-94,-200,-90,-91,-200,-200,-200,-93,-200,-96,-96,-200,-87,-98,-93,-200,-200,-200,-200,-86,-86,-200,-91,-200,-200,-92,-200,-92,-200,-200,-200,-200,-96,-82,-94,-92,-93,-94,-96,-200,-200,-200,-200,-200,-200
1526448855494,-36,-55,-59,-55,-59,-61,-62,-71,-62,-67,-79,-67,-66,-74,-79,-65,-86,-71,-78,-81,-82,-74,-78,-81,-80,-86,-84,-74,-79,-200,-90,-92,-95,-96,-200,-200,-89,-96,-86,-92,-200,-91,-93,-91,-200,-200,-94,-200,-96,-96,-200,-89,-98,-93,-200,-200,-200,-200,-90,-87,-200,-95,-200,-200,-93,-200,-91,-200,-200,-200,-200,-96,-200,-200,-92,-93,-94,-96,-200,-200,-200,-200,-200,-200
1526448858543,-37,-64,-58,-49,-51,-54,-72,-60,-72,-71,-80,-69,-77,-76,-77,-71,-86,-73,-86,-84,-75,-70,-82,-81,-83,-77,-88,-70,-79,-84,-87,-89,-95,-96,-200,-90,-89,-96,-86,-94,-200,-91,-93,-91,-200,-200,-92,-200,-96,-91,-200,-89,-93,-93,-200,-200,-200,-200,-90,-87,-200,-95,-200,-200,-93,-200,-90,-200,-200,-200,-200,-96,-200,-200,-200,-94,-94,-200,-95,-200,-200,-200,-200,-200
1526448861585,-39,-66,-60,-54,-48,-61,-69,-60,-72,-73,-80,-65,-71,-77,-72,-75,-86,-77,-80,-83,-74,-75,-77,-80,-80,-81,-80,-69,-91,-84,-90,-95,-90,-96,-93,-93,-93,-96,-200,-94,-200,-90,-93,-91,-200,-200,-92,-200,-200,-91,-200,-84,-93,-200,-200,-200,-200,-200,-90,-96,-94,-95,-200,-200,-95,-200,-90,-200,-96,-200,-200,-95,-200,-200,-200,-94,-200,-200,-95,-200,-200,-200,-200,-200
1526448864630,-40,-62,-59,-50,-53,-64,-71,-62,-73,-74,-80,-72,-69,-74,-76,-72,-87,-72,-80,-82,-75,-73,-81,-83,-80,-80,-92,-69,-94,-84,-94,-87,-91,-91,-97,-86,-92,-200,-200,-94,-200,-92,-93,-200,-200,-200,-92,-95,-200,-91,-200,-84,-93,-200,-200,-200,-200,-200,-92,-94,-94,-200,-200,-200,-97,-200,-90,-97,-93,-200,-200,-95,-200,-200,-200,-94,-200,-200,-95,-200,-200,-200,-200,-200
1526448867675,-41,-64,-58,-52,-53,-64,-70,-60,-73,-69,-80,-70,-67,-72,-75,-72,-87,-74,-81,-81,-80,-74,-75,-83,-82,-80,-90,-69,-94,-200,-94,-87,-91,-95,-95,-90,-93,-95,-200,-200,-200,-92,-94,-89,-200,-200,-92,-95,-200,-200,-200,-90,-94,-200,-200,-200,-200,-200,-90,-94,-94,-200,-200,-95,-97,-200,-200,-97,-93,-200,-200,-95,-200,-97,-200,-200,-200,-200,-200,-95,-96,-200,-200,-200
1526448870723,-44,-67,-56,-49,-50,-62,-69,-61,-69,-77,-79,-67,-67,-79,-74,-75,-88,-77,-80,-82,-83,-75,-81,-80,-83,-89,-86,-67,-93,-200,-92,-87,-89,-95,-95,-88,-88,-95,-200,-200,-200,-89,-93,-89,-200,-200,-92,-95,-96,-98,-200,-90,-94,-95,-200,-200,-200,-97,-89,-89,-200,-200,-200,-95,-97,-200,-94,-97,-93,-200,-200,-200,-84,-97,-200,-200,-200,-200,-200,-95,-96,-96,-98,-200
1526448873768,-38,-64,-57,-53,-52,-61,-74,-60,-71,-72,-81,-67,-72,-74,-71,-76,-88,-79,-85,-81,-74,-71,-82,-82,-81,-75,-89,-68,-95,-86,-91,-90,-93,-90,-95,-95,-98,-98,-200,-200,-200,-93,-93,-89,-200,-200,-92,-200,-96,-98,-97,-85,-90,-95,-200,-200,-200,-97,-89,-88,-95,-200,-200,-94,-96,-200,-95,-93,-200,-200,-96,-95,-84,-95,-200,-93,-200,-200,-200,-95,-96,-96,-98,-200
1526448876819,-37,-64,-59,-50,-49,-61,-72,-60,-74,-73,-76,-68,-66,-74,-71,-68,-93,-74,-83,-79,-74,-71,-83,-83,-80,-75,-89,-69,-92,-86,-91,-90,-90,-96,-200,-95,-91,-98,-95,-94,-200,-92,-93,-90,-200,-200,-94,-200,-96,-98,-97,-89,-92,-95,-200,-200,-200,-97,-89,-89,-95,-200,-200,-94,-95,-200,-94,-93,-200,-200,-96,-95,-84,-95,-200,-93,-200,-200,-200,-200,-200,-96,-98,-93
1526448879863,-40,-66,-58,-55,-51,-62,-76,-59,-68,-78,-81,-67,-79,-76,-74,-72,-93,-78,-82,-83,-79,-74,-80,-83,-82,-78,-94,-72,-92,-86,-91,-89,-92,-94,-98,-95,-88,-96,-95,-94,-200,-93,-83,-90,-200,-200,-94,-200,-200,-200,-95,-86,-93,-95,-200,-200,-200,-97,-200,-89,-95,-200,-200,-94,-95,-200,-94,-93,-200,-200,-96,-95,-200,-95,-200,-96,-200,-200,-200,-200,-200,-200,-200,-93
