,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526448163746,-47,-40,-52,-60,-52,-58,-63,-63,-58,-58,-71,-60,-55,-59,-72,-63,-70,-84,-88,-72,-78,-87,-85,-83,-73,-75,-94,-96,-94,-87,-200,-88,-90,-88,-82,-94,-93,-94,-200,-200,-200,-97,-97,-93,-200,-91,-97,-200,-96,-90,-200,-200,-94,-200,-94,-94,-92,-200,-200,-93,-200,-200,-96,-200,-200,-200,-200,-94,-96,-96,-200,-200,-200,-200,-200,-200
1526448166790,-47,-39,-52,-60,-53,-59,-59,-63,-56,-55,-73,-60,-55,-62,-72,-61,-72,-84,-89,-72,-76,-88,-81,-81,-81,-75,-94,-96,-94,-87,-200,-88,-89,-87,-82,-92,-97,-88,-200,-200,-200,-97,-97,-93,-200,-91,-95,-200,-97,-90,-200,-200,-94,-200,-94,-96,-93,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-94,-96,-96,-95,-200,-200,-200,-200,-200
1526448169840,-48,-38,-51,-59,-53,-62,-65,-63,-54,-56,-70,-57,-56,-63,-78,-65,-69,-84,-91,-76,-78,-88,-86,-81,-79,-71,-200,-96,-94,-90,-200,-88,-91,-90,-82,-91,-97,-87,-200,-200,-200,-97,-96,-200,-200,-91,-95,-200,-97,-90,-200,-200,-96,-200,-200,-98,-92,-200,-200,-96,-200,-200,-200,-95,-200,-200,-200,-200,-94,-96,-95,-99,-200,-200,-200,-200
1526448172883,-47,-42,-52,-54,-55,-61,-60,-62,-58,-60,-70,-59,-57,-61,-74,-61,-71,-200,-90,-80,-76,-87,-81,-82,-79,-76,-92,-200,-87,-90,-200,-88,-91,-86,-82,-92,-92,-87,-200,-97,-200,-94,-96,-200,-200,-91,-95,-200,-97,-90,-200,-200,-96,-200,-200,-98,-90,-200,-200,-96,-200,-200,-200,-95,-200,-200,-96,-200,-94,-92,-95,-99,-200,-200,-200,-200
1526448175936,-50,-40,-54,-50,-53,-62,-71,-72,-61,-57,-60,-54,-52,-62,-83,-61,-73,-200,-84,-81,-76,-94,-86,-81,-81,-68,-92,-200,-69,-80,-200,-88,-87,-86,-87,-90,-94,-90,-200,-97,-200,-91,-96,-200,-200,-200,-200,-200,-200,-86,-200,-200,-96,-200,-92,-98,-90,-200,-200,-200,-200,-200,-200,-95,-95,-200,-96,-200,-94,-95,-200,-99,-200,-200,-200,-200
1526448178963,-48,-44,-57,-44,-52,-60,-72,-69,-57,-55,-73,-56,-57,-65,-77,-62,-73,-77,-84,-83,-73,-90,-88,-80,-81,-77,-200,-94,-81,-81,-95,-85,-88,-88,-89,-88,-94,-90,-200,-200,-200,-94,-200,-95,-200,-93,-200,-200,-97,-90,-200,-200,-200,-200,-94,-200,-96,-200,-200,-91,-200,-200,-95,-200,-95,-200,-96,-200,-200,-96,-200,-97,-89,-200,-200,-200
1526448182008,-48,-37,-56,-49,-54,-61,-77,-65,-59,-55,-76,-58,-56,-66,-76,-63,-71,-77,-83,-84,-75,-87,-87,-73,-81,-77,-200,-94,-79,-81,-95,-87,-88,-88,-89,-88,-94,-90,-200,-200,-200,-93,-200,-95,-200,-92,-200,-200,-97,-90,-200,-200,-200,-200,-93,-200,-97,-200,-200,-91,-200,-200,-95,-200,-95,-200,-96,-87,-200,-96,-200,-97,-89,-200,-200,-200
1526448185052,-45,-40,-52,-47,-51,-61,-70,-65,-61,-57,-59,-57,-55,-64,-74,-61,-73,-77,-83,-83,-73,-85,-84,-73,-200,-75,-200,-94,-85,-82,-92,-85,-88,-88,-89,-90,-94,-88,-200,-200,-200,-93,-95,-92,-89,-92,-200,-200,-97,-90,-200,-200,-200,-200,-92,-200,-95,-200,-200,-91,-200,-200,-95,-200,-200,-200,-200,-87,-200,-96,-200,-97,-89,-97,-200,-200
1526448188094,-42,-41,-55,-49,-51,-62,-68,-68,-59,-56,-72,-58,-55,-66,-76,-56,-73,-200,-84,-79,-74,-91,-81,-78,-200,-80,-200,-200,-85,-88,-94,-86,-85,-88,-87,-89,-92,-88,-200,-200,-200,-95,-95,-94,-92,-94,-200,-200,-200,-90,-200,-200,-200,-200,-93,-200,-95,-200,-200,-92,-200,-200,-200,-200,-200,-200,-93,-87,-200,-200,-200,-200,-200,-97,-86,-200
1526448191138,-42,-44,-56,-48,-51,-62,-67,-66,-62,-59,-56,-60,-57,-64,-79,-56,-73,-200,-86,-77,-78,-92,-80,-78,-200,-80,-95,-94,-81,-91,-94,-85,-88,-88,-86,-88,-92,-88,-200,-200,-200,-96,-97,-91,-92,-94,-94,-200,-200,-90,-200,-200,-200,-200,-93,-96,-91,-200,-200,-92,-95,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-97,-86,-200
1526448194177,-43,-40,-50,-49,-55,-59,-68,-71,-58,-50,-73,-59,-54,-66,-78,-61,-72,-76,-86,-79,-71,-95,-80,-78,-200,-77,-95,-95,-80,-93,-94,-85,-88,-88,-88,-88,-93,-88,-200,-200,-200,-96,-97,-90,-92,-94,-94,-200,-96,-90,-200,-200,-200,-200,-93,-95,-81,-200,-200,-92,-95,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-86,-96
1526448197217,-44,-40,-52,-50,-50,-62,-63,-66,-62,-58,-73,-56,-54,-63,-77,-57,-72,-76,-86,-78,-77,-90,-85,-77,-84,-63,-95,-95,-82,-90,-94,-85,-88,-200,-86,-88,-92,-87,-200,-200,-200,-96,-97,-90,-200,-200,-94,-200,-96,-81,-200,-200,-200,-200,-93,-95,-93,-200,-200,-82,-95,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-96
