,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526448235699,-20,-71,-66,-66,-60,-60,-65,-54,-53,-65,-75,-63,-73,-84,-85,-75,-85,-86,-91,-79,-83,-77,-82,-93,-89,-83,-89,-200,-73,-200,-90,-96,-89,-85,-200,-200,-90,-200,-97,-200,-200,-200,-88,-200,-200,-200,-200,-91,-200,-200,-85,-93,-200,-95,-200,-96,-200,-200,-200,-200
1526448238740,-21,-69,-64,-63,-61,-60,-60,-55,-55,-67,-75,-66,-65,-74,-74,-72,-85,-83,-88,-79,-76,-77,-82,-89,-83,-82,-83,-200,-73,-200,-88,-94,-88,-81,-200,-97,-94,-200,-98,-200,-200,-200,-88,-200,-200,-200,-200,-91,-200,-200,-86,-93,-200,-95,-200,-96,-200,-94,-95,-200
1526448241776,-20,-64,-68,-64,-61,-59,-62,-56,-50,-68,-73,-66,-74,-68,-77,-69,-93,-91,-89,-87,-73,-76,-95,-89,-83,-84,-85,-200,-80,-200,-88,-94,-88,-92,-200,-95,-94,-200,-98,-200,-200,-95,-88,-200,-200,-96,-200,-91,-200,-200,-86,-200,-200,-95,-200,-96,-200,-94,-95,-200
1526448244816,-32,-64,-79,-67,-62,-62,-63,-58,-55,-69,-79,-59,-63,-77,-74,-75,-89,-86,-89,-82,-74,-78,-95,-94,-88,-84,-88,-96,-77,-95,-85,-94,-88,-85,-200,-95,-93,-200,-98,-200,-200,-95,-90,-200,-200,-96,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-94,-95,-200
1526448247856,-23,-72,-71,-71,-61,-71,-63,-59,-52,-65,-83,-61,-61,-75,-68,-78,-89,-88,-85,-87,-76,-76,-84,-94,-83,-81,-88,-97,-77,-95,-91,-91,-94,-84,-200,-95,-96,-200,-98,-200,-200,-95,-92,-200,-96,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96
1526448250895,-23,-65,-70,-71,-63,-61,-65,-57,-56,-73,-83,-56,-63,-76,-78,-73,-80,-88,-91,-81,-82,-76,-82,-92,-82,-84,-82,-97,-79,-91,-90,-94,-94,-88,-98,-200,-96,-200,-98,-96,-200,-95,-92,-100,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96
1526448253937,-30,-63,-70,-64,-56,-57,-61,-56,-50,-65,-74,-68,-64,-73,-89,-70,-78,-81,-91,-83,-72,-73,-85,-92,-86,-84,-83,-97,-78,-91,-88,-92,-92,-84,-98,-200,-92,-200,-96,-96,-200,-95,-94,-100,-96,-97,-200,-200,-200,-200,-200,-200,-200,-96,-86,-200,-200,-200,-200,-96
1526448256976,-21,-65,-75,-68,-59,-55,-62,-55,-52,-67,-80,-62,-67,-70,-78,-69,-78,-81,-90,-86,-72,-74,-91,-94,-88,-81,-81,-99,-79,-91,-91,-92,-94,-82,-94,-200,-95,-200,-96,-96,-200,-200,-94,-98,-200,-96,-200,-200,-200,-200,-200,-96,-200,-96,-86,-200,-200,-200,-200,-96
1526448260016,-31,-62,-74,-65,-62,-53,-61,-54,-52,-73,-76,-63,-71,-75,-78,-71,-77,-79,-88,-89,-72,-74,-82,-92,-88,-84,-84,-99,-77,-200,-86,-92,-94,-84,-94,-200,-91,-200,-100,-200,-200,-200,-91,-98,-200,-97,-200,-200,-200,-200,-200,-96,-200,-96,-86,-200,-200,-200,-200,-95
1526448263053,-22,-65,-66,-67,-58,-55,-63,-54,-52,-65,-73,-63,-72,-68,-75,-68,-81,-78,-88,-84,-73,-73,-86,-92,-88,-83,-89,-83,-75,-200,-87,-92,-90,-87,-94,-200,-91,-200,-100,-200,-200,-200,-91,-98,-200,-97,-200,-200,-200,-200,-200,-96,-200,-96,-200,-200,-200,-200,-200,-95
1526448266097,-21,-63,-66,-66,-62,-56,-60,-54,-51,-65,-71,-58,-66,-72,-84,-74,-78,-77,-93,-79,-74,-83,-84,-90,-87,-82,-89,-83,-75,-200,-86,-200,-90,-86,-200,-91,-91,-200,-100,-200,-200,-96,-91,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-96,-95,-200,-200,-200,-200,-95
1526448269136,-32,-59,-68,-60,-63,-59,-61,-55,-53,-68,-71,-58,-69,-69,-74,-71,-82,-80,-92,-81,-73,-82,-83,-89,-86,-83,-87,-83,-76,-200,-88,-200,-90,-89,-200,-91,-93,-96,-97,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-95,-200,-200,-200,-200,-200
