,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018
1526448470147,-46,-46,-48,-53,-42,-48,-52,-63,-62,-54,-66,-63,-69,-69,-71,-72,-73,-80,-82,-80,-72,-82,-85,-89,-92,-93,-87,-75,-92,-89,-86,-84,-94,-91,-88,-83,-85,-88,-90,-92,-89,-92,-200,-200,-200,-94,-200,-76,-75,-200,-91,-200,-200,-92,-200,-200,-97,-200,-91,-200,-200,-96,-200,-200,-200,-200,-200,-94,-96,-97,-91,-96,-93,-95,-200,-200,-200,-200
1526448473192,-44,-43,-52,-49,-60,-50,-52,-57,-61,-66,-66,-64,-78,-69,-73,-76,-77,-73,-69,-78,-70,-84,-85,-89,-200,-94,-82,-71,-91,-90,-82,-84,-95,-91,-90,-83,-85,-89,-87,-92,-89,-92,-98,-200,-200,-94,-200,-69,-83,-91,-200,-200,-200,-94,-200,-200,-97,-200,-91,-200,-95,-96,-200,-200,-200,-200,-200,-200,-200,-200,-91,-96,-93,-95,-96,-98,-200,-200
1526448476237,-46,-43,-52,-52,-45,-49,-52,-69,-63,-64,-69,-63,-76,-69,-72,-74,-76,-74,-70,-76,-76,-84,-86,-82,-86,-88,-82,-71,-87,-86,-82,-84,-95,-200,-90,-83,-85,-87,-87,-94,-89,-92,-98,-200,-200,-94,-200,-69,-81,-84,-200,-200,-200,-94,-200,-200,-97,-95,-200,-200,-95,-96,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-92,-95,-96,-98,-78,-200
1526448479279,-48,-43,-48,-52,-46,-50,-51,-69,-70,-64,-74,-63,-71,-72,-69,-74,-72,-80,-77,-77,-68,-88,-83,-85,-86,-91,-91,-77,-92,-86,-85,-86,-95,-95,-91,-200,-87,-87,-91,-94,-90,-200,-98,-200,-200,-200,-200,-61,-79,-84,-200,-200,-200,-94,-200,-200,-200,-95,-89,-200,-95,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-96,-92,-200,-96,-98,-78,-95
1526448482325,-47,-44,-45,-53,-45,-50,-49,-65,-63,-58,-68,-62,-77,-72,-70,-78,-72,-73,-74,-77,-68,-86,-86,-84,-84,-91,-88,-75,-92,-86,-87,-86,-94,-91,-91,-200,-87,-88,-93,-93,-90,-200,-200,-200,-200,-200,-200,-58,-79,-84,-94,-200,-95,-200,-200,-200,-200,-95,-88,-200,-200,-200,-200,-200,-200,-200,-100,-200,-200,-200,-200,-96,-92,-200,-200,-200,-78,-95
1526448485366,-50,-45,-50,-54,-50,-49,-49,-66,-68,-60,-67,-62,-72,-70,-71,-78,-75,-76,-73,-77,-73,-86,-89,-84,-88,-89,-88,-75,-88,-89,-87,-87,-94,-91,-93,-87,-87,-88,-90,-93,-87,-200,-200,-200,-200,-200,-200,-69,-78,-93,-94,-200,-96,-200,-90,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-95
1526448488409,-48,-45,-45,-54,-48,-50,-52,-64,-69,-64,-69,-62,-79,-73,-70,-76,-74,-73,-73,-75,-75,-87,-84,-84,-91,-89,-88,-76,-88,-92,-87,-87,-94,-93,-93,-87,-87,-90,-94,-92,-88,-89,-200,-200,-200,-200,-200,-74,-78,-94,-94,-97,-96,-96,-90,-200,-200,-200,-91,-200,-200,-99,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200
1526448491453,-50,-41,-45,-53,-49,-51,-53,-68,-65,-62,-68,-63,-77,-73,-71,-77,-74,-74,-75,-71,-72,-88,-87,-85,-84,-91,-89,-77,-87,-89,-86,-85,-95,-93,-89,-92,-87,-88,-87,-92,-89,-89,-200,-97,-200,-95,-95,-72,-79,-93,-200,-95,-96,-96,-90,-200,-200,-200,-91,-200,-200,-98,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-91,-200,-200,-200,-87,-200
1526448494497,-49,-47,-55,-52,-47,-50,-51,-65,-65,-60,-63,-62,-77,-73,-71,-79,-74,-80,-74,-76,-72,-88,-87,-84,-93,-91,-88,-74,-87,-89,-90,-85,-93,-93,-89,-89,-87,-88,-87,-94,-89,-89,-94,-97,-200,-95,-95,-63,-78,-94,-200,-95,-200,-93,-200,-200,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-91,-200,-200,-200,-87,-200
1526448497539,-51,-44,-53,-44,-44,-50,-53,-66,-74,-59,-64,-62,-79,-73,-70,-79,-72,-74,-76,-77,-74,-84,-88,-84,-88,-91,-89,-75,-86,-91,-89,-86,-92,-200,-89,-89,-88,-89,-87,-91,-89,-89,-94,-97,-200,-96,-95,-71,-78,-94,-200,-95,-99,-93,-200,-200,-200,-200,-88,-200,-200,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-87,-200
1526448500583,-44,-46,-47,-49,-41,-47,-49,-64,-63,-58,-69,-65,-69,-71,-67,-68,-67,-80,-76,-77,-76,-80,-80,-89,-91,-94,-89,-77,-88,-83,-90,-86,-93,-200,-89,-85,-90,-88,-88,-91,-89,-89,-94,-200,-200,-96,-95,-74,-77,-87,-200,-200,-99,-93,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-91,-200,-200,-200,-200,-200
1526448503628,-46,-43,-47,-58,-46,-50,-52,-59,-62,-63,-65,-62,-70,-66,-67,-68,-67,-74,-77,-79,-79,-80,-82,-87,-87,-88,-90,-76,-85,-85,-87,-86,-93,-200,-85,-87,-90,-94,-88,-91,-89,-200,-91,-96,-94,-94,-95,-73,-83,-88,-200,-96,-99,-91,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-89,-200,-91,-200,-200,-98,-200,-200
