,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro_5GHz,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526448687131,-46,-40,-49,-55,-60,-56,-51,-58,-55,-59,-61,-62,-77,-56,-80,-74,-82,-79,-74,-65,-70,-74,-89,-79,-84,-80,-80,-75,-200,-200,-83,-88,-85,-87,-91,-83,-87,-200,-92,-95,-88,-95,-88,-85,-200,-91,-90,-95,-90,-91,-94,-92,-92,-87,-91,-200,-200,-200,-200,-200,-200,-200,-95,-97,-89,-87,-88,-200,-200,-200,-90,-96,-200,-200,-200,-200,-91,-87,-94,-96,-200,-94,-200,-200,-200,-200,-200,-200,-200,-78,-96,-91,-95,-95,-200,-200,-200,-200,-200,-200,-200
1526448690174,-43,-48,-50,-54,-68,-53,-48,-57,-59,-55,-64,-51,-71,-48,-78,-69,-85,-76,-73,-60,-71,-74,-78,-76,-85,-86,-80,-74,-200,-200,-82,-76,-85,-96,-92,-94,-93,-87,-83,-95,-90,-92,-85,-86,-93,-92,-90,-95,-91,-92,-200,-89,-93,-200,-97,-200,-200,-200,-200,-200,-200,-200,-95,-89,-89,-86,-88,-200,-200,-200,-200,-94,-200,-200,-200,-200,-85,-94,-200,-97,-200,-200,-200,-200,-200,-200,-200,-98,-200,-75,-94,-91,-200,-95,-95,-97,-200,-200,-200,-200,-200
1526448693218,-39,-44,-51,-54,-65,-56,-53,-63,-55,-56,-64,-57,-82,-53,-76,-67,-77,-76,-69,-67,-76,-72,-78,-78,-85,-83,-78,-72,-200,-200,-82,-79,-86,-86,-93,-94,-93,-87,-87,-95,-90,-93,-87,-85,-93,-96,-91,-95,-91,-91,-200,-89,-94,-200,-93,-200,-200,-200,-200,-200,-200,-200,-95,-89,-89,-84,-88,-200,-93,-200,-200,-90,-200,-200,-200,-200,-89,-94,-200,-97,-200,-200,-200,-200,-200,-95,-200,-98,-200,-77,-94,-91,-200,-96,-95,-97,-94,-200,-200,-200,-200
1526448696258,-38,-57,-51,-58,-59,-53,-52,-59,-55,-59,-61,-52,-73,-54,-75,-69,-84,-76,-70,-64,-77,-73,-77,-78,-85,-85,-79,-73,-200,-200,-85,-75,-86,-86,-89,-90,-89,-86,-87,-200,-90,-90,-89,-84,-93,-92,-93,-200,-91,-95,-200,-91,-94,-200,-93,-200,-200,-200,-200,-200,-94,-200,-200,-89,-200,-84,-200,-200,-93,-200,-200,-90,-200,-97,-200,-200,-89,-94,-200,-95,-200,-200,-87,-200,-200,-95,-200,-98,-90,-77,-94,-200,-200,-96,-97,-97,-94,-200,-200,-200,-200
1526448699302,-41,-52,-51,-62,-62,-51,-58,-63,-56,-57,-59,-55,-68,-56,-75,-72,-83,-78,-68,-63,-79,-73,-77,-78,-68,-87,-81,-74,-94,-200,-87,-77,-89,-87,-87,-90,-89,-90,-91,-92,-91,-93,-85,-88,-89,-92,-94,-91,-200,-95,-200,-91,-97,-200,-94,-96,-200,-200,-200,-200,-94,-200,-96,-200,-200,-85,-83,-200,-93,-200,-200,-90,-200,-97,-200,-200,-89,-200,-200,-95,-200,-98,-91,-200,-200,-95,-200,-200,-90,-74,-200,-200,-200,-96,-97,-200,-94,-200,-200,-200,-200
1526448702355,-35,-50,-60,-61,-57,-51,-54,-56,-52,-58,-60,-50,-67,-58,-72,-73,-81,-79,-68,-63,-79,-71,-79,-78,-84,-84,-79,-74,-94,-200,-87,-77,-89,-86,-88,-89,-89,-94,-93,-92,-91,-93,-87,-85,-90,-92,-90,-91,-200,-90,-200,-91,-97,-200,-94,-96,-200,-200,-200,-200,-94,-200,-96,-200,-200,-79,-83,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-95,-200,-98,-91,-200,-200,-200,-200,-200,-90,-74,-200,-97,-200,-96,-97,-200,-200,-94,-200,-200,-200
1526448705403,-33,-40,-52,-64,-54,-53,-51,-50,-60,-62,-64,-61,-74,-71,-78,-73,-80,-83,-72,-65,-69,-57,-85,-82,-84,-79,-87,-70,-94,-85,-87,-81,-86,-85,-88,-89,-89,-88,-91,-92,-86,-90,-83,-84,-83,-200,-90,-92,-200,-90,-200,-93,-94,-200,-94,-96,-200,-200,-200,-200,-200,-200,-96,-200,-85,-94,-86,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-98,-91,-93,-200,-96,-200,-200,-200,-74,-200,-97,-200,-97,-200,-200,-200,-94,-200,-200,-200
1526448708442,-43,-42,-51,-58,-68,-48,-52,-56,-55,-62,-64,-64,-68,-58,-72,-68,-76,-78,-74,-65,-68,-72,-87,-86,-82,-83,-87,-70,-89,-85,-87,-75,-86,-85,-86,-87,-85,-88,-91,-92,-90,-90,-93,-80,-83,-89,-93,-94,-93,-90,-200,-93,-94,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,-85,-94,-86,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-92,-89,-200,-96,-200,-200,-200,-200,-200,-92,-200,-97,-200,-200,-200,-94,-200,-200,-200
1526448711482,-42,-38,-48,-62,-54,-46,-44,-53,-56,-67,-66,-52,-70,-67,-77,-76,-80,-78,-70,-63,-69,-71,-90,-86,-82,-83,-86,-70,-89,-85,-88,-83,-89,-88,-87,-87,-91,-90,-89,-92,-87,-90,-89,-89,-92,-89,-90,-90,-93,-200,-200,-93,-94,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,-85,-94,-87,-200,-95,-200,-200,-200,-200,-200,-200,-200,-91,-89,-200,-200,-200,-200,-92,-94,-200,-96,-200,-200,-200,-200,-200,-92,-92,-97,-200,-200,-200,-94,-86,-200,-200
1526448714525,-38,-38,-49,-64,-55,-44,-50,-54,-57,-64,-64,-55,-71,-71,-78,-74,-82,-77,-69,-68,-68,-74,-86,-83,-83,-83,-91,-200,-89,-200,-87,-82,-85,-90,-86,-90,-91,-91,-85,-200,-87,-88,-84,-84,-88,-89,-89,-90,-91,-200,-200,-92,-94,-200,-95,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-80,-200,-95,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-96,-92,-92,-200,-200,-200,-200,-200,-200,-200,-92,-92,-95,-200,-200,-200,-94,-86,-200,-200
1526448717568,-43,-40,-50,-65,-55,-49,-52,-54,-57,-65,-63,-58,-70,-64,-78,-74,-80,-77,-71,-65,-69,-70,-87,-85,-89,-89,-85,-75,-200,-200,-86,-85,-84,-88,-85,-90,-91,-88,-88,-200,-88,-89,-83,-85,-88,-92,-89,-93,-95,-94,-200,-93,-94,-200,-95,-200,-200,-200,-200,-96,-200,-200,-200,-97,-200,-88,-80,-200,-96,-200,-200,-200,-77,-200,-200,-200,-91,-200,-200,-200,-200,-96,-200,-92,-200,-200,-200,-200,-200,-200,-94,-200,-92,-95,-200,-200,-200,-94,-88,-95,-96
1526448720612,-46,-41,-49,-59,-59,-49,-53,-55,-55,-66,-61,-59,-68,-61,-76,-74,-81,-77,-68,-65,-70,-73,-81,-85,-89,-86,-88,-74,-200,-200,-89,-80,-84,-88,-84,-75,-200,-88,-88,-200,-88,-91,-87,-85,-89,-91,-94,-92,-95,-94,-200,-93,-91,-200,-95,-200,-200,-200,-200,-96,-200,-200,-97,-97,-200,-88,-80,-200,-96,-200,-200,-200,-77,-200,-200,-200,-200,-91,-200,-200,-200,-96,-200,-90,-200,-200,-200,-200,-200,-200,-94,-200,-200,-95,-200,-200,-200,-94,-88,-95,-96
