,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526454621352,-53,-54,-50,-47,-56,-51,-54,-62,-60,-79,-60,-70,-60,-64,-70,-68,-70,-59,-69,-61,-64,-72,-72,-79,-73,-72,-68,-78,-67,-69,-76,-68,-65,-83,-77,-77,-79,-76,-86,-77,-76,-82,-75,-82,-200,-73,-85,-83,-200,-82,-83,-85,-200,-89,-200,-88,-88,-200,-86,-200,-66,-200,-92,-91,-200,-71,-200,-200,-200,-200,-92,-200,-200,-200
1526454624383,-53,-57,-48,-44,-54,-56,-59,-66,-68,-65,-62,-70,-60,-200,-65,-65,-70,-59,-66,-61,-60,-72,-71,-78,-72,-72,-70,-82,-64,-72,-72,-68,-78,-80,-73,-77,-79,-79,-86,-77,-76,-82,-75,-82,-87,-77,-84,-83,-83,-82,-83,-85,-200,-89,-200,-88,-88,-200,-86,-94,-64,-200,-92,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200
1526454627394,-55,-54,-48,-44,-57,-55,-59,-63,-69,-65,-67,-70,-56,-65,-65,-64,-81,-61,-65,-61,-60,-71,-71,-78,-72,-68,-67,-79,-64,-72,-74,-68,-77,-82,-73,-77,-79,-79,-86,-77,-76,-82,-75,-82,-87,-78,-84,-83,-83,-82,-83,-88,-200,-89,-200,-200,-88,-87,-200,-94,-64,-200,-92,-200,-200,-71,-200,-200,-200,-200,-200,-78,-200,-200
1526454630407,-58,-55,-48,-47,-56,-67,-58,-64,-64,-63,-57,-64,-62,-65,-65,-64,-76,-58,-65,-60,-67,-71,-71,-77,-73,-66,-66,-80,-61,-72,-75,-68,-73,-82,-73,-84,-79,-77,-86,-81,-74,-86,-75,-82,-87,-78,-84,-83,-83,-80,-86,-88,-200,-89,-200,-200,-88,-87,-200,-94,-64,-79,-89,-200,-200,-71,-200,-92,-200,-200,-200,-78,-200,-200
1526454633439,-58,-53,-47,-45,-54,-63,-59,-68,-61,-66,-58,-64,-61,-64,-72,-68,-76,-70,-65,-60,-59,-73,-77,-79,-77,-68,-66,-78,-62,-76,-74,-73,-74,-85,-78,-84,-200,-77,-86,-81,-74,-86,-82,-200,-87,-73,-83,-200,-87,-85,-85,-87,-200,-200,-200,-200,-81,-87,-86,-94,-64,-79,-89,-200,-200,-72,-200,-92,-200,-200,-200,-78,-89,-90
1526454636475,-58,-54,-46,-46,-54,-65,-56,-62,-59,-64,-59,-64,-61,-63,-66,-68,-82,-58,-65,-65,-60,-71,-77,-79,-67,-71,-67,-78,-62,-76,-74,-73,-74,-85,-76,-84,-200,-79,-200,-80,-74,-82,-82,-200,-89,-75,-84,-200,-84,-85,-85,-87,-200,-200,-200,-89,-81,-87,-86,-91,-61,-79,-89,-200,-200,-72,-90,-92,-200,-200,-200,-76,-89,-90
1526454639515,-62,-53,-47,-44,-55,-65,-58,-64,-60,-58,-57,-65,-61,-64,-69,-69,-72,-62,-200,-64,-60,-68,-73,-77,-72,-73,-70,-77,-62,-74,-74,-73,-54,-85,-73,-84,-80,-78,-88,-78,-74,-82,-84,-200,-89,-75,-84,-200,-84,-85,-85,-87,-200,-200,-200,-90,-79,-89,-86,-89,-61,-79,-89,-200,-200,-72,-90,-92,-200,-86,-200,-76,-89,-90
1526454642559,-58,-52,-48,-45,-55,-65,-58,-61,-64,-65,-59,-64,-61,-65,-68,-69,-75,-61,-62,-56,-59,-69,-74,-77,-73,-73,-63,-77,-62,-74,-74,-76,-75,-85,-73,-85,-80,-79,-88,-79,-75,-82,-84,-200,-89,-78,-84,-200,-84,-85,-85,-87,-200,-200,-200,-90,-81,-85,-86,-89,-61,-79,-200,-88,-200,-72,-90,-200,-200,-86,-200,-76,-89,-90
1526454645596,-58,-52,-51,-46,-55,-65,-62,-61,-64,-65,-54,-64,-61,-65,-68,-66,-74,-54,-62,-56,-58,-68,-74,-78,-75,-72,-65,-78,-59,-71,-72,-76,-77,-200,-79,-82,-80,-77,-91,-79,-75,-82,-84,-200,-89,-78,-84,-200,-84,-200,-200,-87,-200,-200,-200,-90,-81,-85,-200,-89,-62,-79,-200,-88,-200,-200,-90,-200,-200,-86,-200,-76,-200,-90
1526454648606,-58,-56,-49,-45,-58,-59,-56,-64,-65,-66,-58,-62,-61,-65,-64,-66,-73,-66,-61,-62,-61,-67,-71,-79,-74,-72,-75,-79,-58,-72,-75,-76,-74,-200,-79,-82,-79,-77,-88,-79,-75,-200,-83,-200,-88,-79,-83,-90,-84,-200,-83,-86,-200,-88,-200,-90,-80,-85,-200,-89,-62,-83,-200,-88,-200,-200,-89,-200,-200,-86,-200,-200,-200,-90
1526454651645,-52,-54,-50,-45,-57,-59,-59,-64,-67,-65,-56,-62,-61,-63,-64,-66,-73,-70,-61,-58,-60,-69,-70,-78,-72,-69,-71,-81,-65,-72,-71,-72,-75,-200,-73,-82,-82,-79,-88,-79,-75,-85,-83,-200,-88,-79,-83,-90,-87,-82,-81,-86,-200,-88,-200,-200,-80,-85,-200,-200,-63,-82,-200,-91,-200,-67,-89,-200,-200,-200,-200,-200,-200,-90
1526454654682,-55,-53,-52,-45,-59,-59,-55,-62,-63,-65,-57,-62,-61,-64,-64,-66,-73,-74,-62,-58,-61,-68,-68,-80,-74,-74,-71,-77,-59,-72,-72,-72,-73,-200,-76,-82,-82,-79,-88,-200,-75,-86,-83,-200,-88,-78,-81,-86,-87,-82,-81,-88,-200,-83,-200,-200,-80,-85,-200,-200,-65,-82,-200,-91,-200,-67,-90,-200,-200,-200,-200,-77,-200,-200
