,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,DLINK_D02A60,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018
1526453543962,-49,-51,-48,-48,-51,-55,-59,-60,-59,-63,-70,-59,-70,-63,-63,-67,-72,-65,-72,-57,-70,-69,-70,-69,-70,-63,-200,-66,-71,-74,-70,-68,-72,-200,-76,-72,-80,-76,-80,-76,-78,-87,-89,-200,-200,-76,-80,-78,-200,-85,-88,-83,-73,-200,-87,-80,-83,-200,-200,-81,-81,-200,-200,-86,-88,-200,-200,-200,-200,-200,-200,-87,-200,-200,-71,-89,-88,-89,-89,-200,-200,-200
1526453546989,-50,-51,-47,-46,-51,-55,-57,-59,-65,-57,-72,-58,-65,-53,-59,-64,-72,-66,-76,-54,-69,-69,-70,-66,-70,-200,-200,-67,-69,-76,-69,-200,-56,-200,-75,-72,-80,-75,-82,-76,-79,-85,-89,-200,-200,-77,-81,-75,-200,-82,-200,-83,-73,-200,-87,-82,-82,-200,-200,-81,-82,-200,-200,-91,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-73,-89,-88,-200,-89,-90,-200,-200
1526453550002,-50,-50,-49,-46,-51,-55,-58,-59,-65,-57,-73,-59,-65,-65,-59,-67,-71,-67,-76,-54,-70,-71,-70,-69,-70,-68,-200,-68,-73,-73,-71,-200,-79,-74,-75,-75,-80,-74,-80,-77,-79,-85,-89,-200,-200,-78,-82,-75,-200,-82,-200,-83,-73,-84,-200,-82,-82,-200,-200,-83,-82,-200,-200,-91,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-74,-89,-88,-200,-200,-90,-89,-200
1526453553030,-52,-50,-54,-45,-49,-55,-59,-59,-66,-57,-75,-59,-65,-57,-59,-62,-71,-66,-74,-51,-65,-66,-68,-69,-69,-63,-200,-68,-71,-78,-71,-200,-80,-70,-77,-75,-80,-75,-80,-77,-81,-85,-200,-200,-200,-78,-82,-77,-200,-86,-200,-84,-78,-84,-200,-82,-82,-200,-200,-83,-82,-200,-200,-91,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-88,-200,-200,-90,-89,-200
1526453556062,-52,-50,-45,-45,-53,-56,-58,-59,-66,-58,-76,-58,-66,-57,-63,-64,-72,-68,-76,-53,-68,-69,-70,-69,-69,-67,-83,-75,-67,-72,-71,-70,-74,-69,-79,-71,-200,-78,-81,-77,-79,-85,-90,-200,-81,-81,-80,-77,-200,-86,-200,-84,-79,-84,-200,-82,-86,-200,-200,-82,-82,-200,-200,-91,-87,-81,-200,-200,-200,-200,-200,-200,-200,-200,-81,-89,-200,-200,-200,-200,-89,-200
1526453559097,-48,-48,-47,-45,-51,-58,-62,-59,-64,-55,-76,-58,-66,-56,-63,-68,-72,-64,-74,-57,-69,-66,-71,-69,-70,-67,-83,-69,-68,-72,-69,-70,-73,-69,-75,-71,-200,-76,-81,-77,-81,-85,-87,-200,-81,-76,-80,-79,-200,-86,-200,-81,-73,-84,-86,-80,-86,-200,-200,-84,-82,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-81,-89,-84,-200,-200,-200,-89,-200
1526453562136,-49,-47,-46,-45,-51,-58,-59,-200,-65,-55,-64,-58,-66,-66,-62,-66,-72,-63,-73,-57,-69,-71,-70,-71,-70,-67,-83,-68,-69,-71,-71,-70,-72,-69,-74,-71,-200,-76,-81,-77,-81,-85,-87,-200,-81,-79,-80,-79,-200,-83,-200,-79,-73,-84,-85,-80,-86,-200,-200,-84,-84,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-81,-89,-84,-200,-200,-200,-90,-200
1526453565157,-52,-48,-44,-48,-51,-58,-61,-200,-65,-64,-72,-58,-68,-54,-62,-67,-74,-62,-73,-54,-74,-71,-70,-71,-70,-61,-83,-68,-70,-75,-71,-67,-77,-69,-76,-73,-200,-78,-81,-82,-81,-200,-88,-200,-81,-78,-84,-79,-200,-83,-200,-79,-74,-200,-86,-80,-84,-200,-200,-82,-84,-87,-200,-200,-200,-81,-200,-200,-200,-91,-200,-200,-87,-200,-200,-91,-84,-200,-200,-200,-90,-200
1526453568186,-50,-47,-46,-44,-52,-57,-59,-62,-55,-57,-65,-58,-68,-65,-62,-63,-74,-62,-72,-58,-74,-69,-70,-70,-68,-61,-200,-67,-70,-72,-71,-67,-73,-200,-74,-74,-200,-78,-81,-76,-77,-200,-88,-200,-200,-78,-84,-81,-200,-83,-87,-80,-78,-200,-87,-81,-84,-200,-200,-82,-81,-87,-200,-200,-86,-89,-200,-200,-200,-91,-200,-200,-87,-200,-73,-91,-84,-200,-200,-200,-92,-200
1526453571226,-49,-47,-48,-49,-51,-56,-59,-63,-58,-57,-65,-61,-69,-62,-61,-62,-74,-64,-71,-57,-72,-59,-70,-71,-70,-64,-200,-68,-68,-72,-71,-68,-73,-71,-75,-73,-82,-76,-80,-81,-72,-200,-88,-200,-200,-78,-79,-79,-200,-85,-87,-80,-80,-200,-85,-81,-83,-200,-200,-82,-81,-87,-200,-200,-85,-89,-200,-200,-200,-91,-200,-200,-87,-200,-73,-91,-200,-200,-200,-200,-92,-200
1526453574261,-49,-47,-46,-46,-52,-57,-58,-63,-60,-57,-73,-61,-66,-64,-61,-65,-74,-62,-71,-56,-72,-72,-81,-71,-70,-64,-89,-67,-68,-73,-68,-68,-76,-70,-75,-75,-87,-78,-80,-83,-72,-88,-87,-200,-200,-78,-79,-81,-200,-82,-87,-88,-81,-200,-85,-87,-83,-200,-200,-82,-81,-87,-200,-88,-91,-89,-200,-200,-200,-91,-200,-200,-87,-200,-73,-91,-200,-200,-200,-200,-92,-90
1526453577270,-48,-46,-48,-44,-55,-54,-59,-63,-70,-56,-72,-61,-66,-56,-61,-61,-74,-65,-72,-55,-72,-68,-70,-70,-71,-64,-89,-68,-68,-73,-69,-68,-85,-70,-76,-74,-87,-78,-81,-83,-80,-88,-87,-200,-200,-78,-79,-79,-200,-82,-86,-79,-79,-200,-88,-87,-82,-200,-200,-82,-85,-200,-200,-88,-87,-87,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-88,-90
