,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011314
1526454478124,-39,-37,-62,-51,-54,-54,-69,-64,-57,-67,-62,-62,-66,-59,-58,-75,-69,-64,-65,-74,-65,-65,-66,-68,-81,-65,-200,-84,-68,-69,-74,-77,-73,-74,-200,-79,-200,-83,-66,-88,-79,-80,-86,-74,-87,-79,-82,-85,-87,-200,-200,-91,-200,-200,-200,-88,-91,-90,-90,-89,-200,-89,-65,-79,-200,-200,-84,-200,-200,-84,-200,-200,-200,-200,-88,-89,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454481164,-38,-37,-58,-50,-55,-53,-71,-65,-57,-65,-66,-62,-67,-57,-66,-75,-56,-67,-64,-74,-65,-55,-66,-71,-80,-65,-200,-83,-67,-72,-75,-77,-73,-75,-200,-79,-83,-83,-67,-88,-81,-80,-200,-78,-90,-79,-85,-85,-87,-80,-200,-91,-200,-200,-200,-88,-90,-90,-90,-90,-200,-200,-65,-81,-200,-200,-84,-200,-200,-84,-200,-200,-200,-200,-88,-200,-92,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526454484203,-40,-36,-56,-54,-59,-52,-64,-55,-65,-66,-69,-64,-65,-71,-58,-74,-68,-67,-61,-75,-72,-68,-71,-71,-82,-65,-200,-84,-67,-67,-75,-80,-200,-72,-200,-79,-79,-200,-67,-88,-79,-80,-200,-77,-79,-79,-85,-85,-87,-80,-200,-200,-200,-200,-200,-88,-90,-90,-90,-90,-200,-200,-65,-79,-82,-200,-84,-200,-200,-84,-200,-200,-200,-200,-200,-200,-92,-91,-90,-200,-200,-200,-200,-200,-200,-200
1526454487239,-50,-38,-50,-54,-59,-46,-60,-62,-64,-60,-72,-72,-69,-64,-47,-73,-68,-67,-66,-75,-63,-61,-70,-71,-73,-65,-200,-84,-67,-73,-75,-72,-200,-70,-200,-83,-79,-200,-67,-79,-79,-81,-200,-77,-79,-84,-85,-85,-87,-80,-200,-200,-200,-200,-200,-88,-90,-90,-90,-90,-200,-200,-66,-79,-82,-200,-200,-200,-200,-89,-200,-200,-200,-200,-84,-200,-92,-91,-89,-200,-200,-200,-200,-200,-200,-200
1526454490274,-41,-35,-54,-51,-55,-47,-58,-56,-60,-62,-67,-64,-70,-67,-50,-79,-70,-69,-69,-67,-66,-63,-75,-77,-73,-64,-200,-83,-67,-73,-74,-74,-200,-69,-200,-83,-75,-200,-67,-79,-79,-81,-200,-77,-79,-84,-82,-200,-89,-80,-200,-200,-200,-200,-200,-88,-90,-87,-200,-90,-200,-200,-68,-79,-82,-200,-200,-200,-200,-89,-200,-200,-200,-200,-84,-200,-200,-91,-89,-73,-88,-200,-200,-200,-200,-200
1526454493307,-41,-35,-54,-55,-53,-47,-63,-64,-59,-64,-75,-64,-67,-66,-50,-79,-69,-68,-74,-64,-67,-63,-70,-77,-73,-62,-73,-83,-200,-73,-74,-75,-75,-68,-200,-86,-80,-200,-200,-79,-35,-81,-200,-77,-89,-84,-82,-88,-89,-200,-200,-200,-200,-200,-200,-88,-200,-87,-90,-200,-200,-200,-60,-79,-80,-200,-200,-89,-200,-89,-200,-200,-200,-200,-84,-200,-200,-200,-89,-73,-88,-200,-200,-200,-200,-200
1526454496338,-43,-35,-53,-55,-54,-47,-62,-57,-63,-64,-67,-64,-75,-70,-51,-81,-69,-68,-68,-64,-65,-63,-73,-72,-70,-66,-73,-83,-200,-83,-75,-75,-77,-68,-200,-83,-80,-200,-67,-79,-77,-81,-200,-76,-89,-81,-82,-88,-89,-200,-200,-200,-200,-200,-200,-88,-200,-87,-90,-200,-200,-200,-60,-79,-80,-200,-200,-89,-200,-89,-200,-200,-90,-200,-89,-200,-200,-200,-89,-73,-88,-200,-200,-200,-200,-200
1526454499370,-40,-34,-51,-53,-49,-45,-60,-58,-61,-61,-63,-68,-70,-64,-51,-81,-71,-68,-66,-64,-65,-62,-70,-75,-70,-65,-73,-84,-200,-83,-74,-75,-77,-73,-200,-82,-86,-200,-69,-79,-77,-77,-200,-76,-85,-81,-83,-83,-89,-84,-200,-200,-200,-200,-200,-200,-200,-87,-90,-200,-200,-200,-68,-200,-80,-200,-200,-89,-200,-200,-200,-200,-90,-200,-89,-200,-200,-200,-90,-73,-88,-80,-88,-92,-200,-200
1526454502408,-40,-34,-52,-53,-54,-48,-62,-57,-62,-61,-60,-68,-70,-62,-50,-81,-69,-68,-64,-64,-66,-62,-65,-75,-72,-64,-73,-84,-200,-83,-74,-76,-75,-77,-200,-82,-80,-200,-69,-82,-78,-76,-200,-78,-85,-83,-83,-88,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-68,-79,-80,-200,-200,-89,-200,-86,-200,-200,-90,-200,-89,-88,-91,-200,-90,-200,-88,-80,-88,-92,-200,-200
1526454505448,-41,-34,-52,-53,-54,-45,-62,-57,-66,-62,-72,-68,-70,-63,-48,-81,-68,-69,-65,-200,-66,-62,-69,-75,-72,-64,-73,-82,-69,-76,-74,-79,-75,-73,-87,-82,-80,-200,-69,-86,-78,-76,-200,-76,-85,-83,-83,-88,-87,-84,-200,-89,-200,-200,-200,-87,-200,-84,-88,-200,-200,-200,-67,-79,-82,-200,-200,-200,-200,-86,-200,-200,-90,-200,-89,-88,-91,-200,-90,-200,-88,-80,-88,-92,-200,-200
1526454508487,-41,-34,-54,-59,-54,-45,-63,-58,-59,-62,-63,-68,-72,-62,-50,-69,-69,-70,-66,-66,-70,-62,-64,-75,-72,-64,-73,-82,-69,-76,-74,-79,-75,-73,-87,-79,-80,-200,-69,-86,-76,-76,-200,-76,-85,-83,-83,-88,-87,-84,-200,-89,-200,-200,-200,-87,-200,-84,-88,-200,-200,-200,-67,-81,-85,-200,-200,-88,-200,-86,-200,-200,-200,-200,-200,-88,-91,-200,-90,-200,-88,-80,-88,-92,-86,-89
1526454511528,-42,-34,-48,-55,-52,-45,-62,-58,-61,-63,-63,-68,-71,-60,-51,-69,-72,-70,-73,-64,-70,-200,-65,-200,-73,-64,-73,-82,-69,-78,-75,-78,-75,-79,-87,-82,-80,-84,-69,-86,-77,-74,-200,-73,-200,-81,-83,-86,-87,-200,-200,-89,-200,-200,-200,-87,-200,-86,-88,-200,-200,-200,-67,-82,-85,-200,-200,-88,-200,-83,-200,-200,-200,-200,-88,-92,-91,-200,-200,-200,-200,-200,-200,-200,-86,-89
