,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A10,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A38,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526453831203,-46,-42,-41,-52,-48,-51,-57,-66,-75,-62,-71,-51,-68,-72,-64,-68,-54,-67,-66,-78,-83,-78,-74,-58,-71,-70,-69,-70,-76,-200,-68,-200,-71,-72,-73,-74,-75,-81,-200,-79,-87,-81,-74,-90,-200,-200,-78,-80,-200,-81,-86,-86,-84,-87,-84,-200,-200,-82,-200,-200,-200,-84,-85,-200,-90,-200,-73,-90,-87,-200,-86,-91,-91,-90,-93,-200,-200,-200
1526453834240,-46,-42,-42,-52,-51,-48,-53,-64,-75,-63,-69,-50,-68,-72,-63,-60,-54,-67,-66,-77,-200,-77,-70,-59,-71,-66,-69,-69,-76,-200,-64,-200,-69,-73,-76,-69,-76,-81,-200,-78,-87,-81,-74,-90,-200,-200,-78,-77,-200,-90,-86,-86,-84,-200,-84,-200,-84,-83,-200,-200,-200,-200,-85,-200,-90,-200,-73,-90,-87,-200,-86,-200,-91,-90,-93,-87,-200,-200
1526453837253,-47,-43,-43,-42,-50,-48,-54,-68,-72,-61,-69,-50,-64,-71,-63,-63,-51,-67,-200,-78,-200,-75,-70,-58,-70,-68,-74,-69,-80,-200,-65,-200,-61,-71,-72,-71,-74,-77,-200,-78,-200,-79,-74,-90,-200,-200,-78,-77,-200,-90,-86,-86,-84,-200,-84,-87,-84,-84,-200,-200,-71,-200,-89,-200,-91,-200,-79,-90,-89,-200,-86,-90,-91,-90,-93,-87,-200,-200
1526453840268,-47,-43,-43,-43,-49,-53,-54,-64,-72,-60,-67,-52,-68,-70,-67,-61,-52,-68,-200,-72,-200,-74,-72,-57,-73,-69,-75,-70,-80,-200,-62,-79,-61,-76,-72,-72,-77,-77,-77,-78,-200,-80,-70,-200,-200,-83,-76,-77,-85,-90,-88,-80,-200,-200,-84,-87,-84,-88,-200,-200,-71,-200,-89,-200,-91,-200,-79,-200,-89,-200,-200,-90,-91,-200,-200,-87,-200,-200
1526453843304,-49,-42,-43,-53,-51,-49,-53,-64,-72,-62,-68,-51,-65,-73,-64,-61,-50,-68,-62,-70,-200,-73,-72,-57,-73,-69,-75,-67,-77,-76,-64,-79,-62,-73,-72,-74,-77,-80,-77,-76,-200,-83,-73,-200,-200,-83,-76,-75,-85,-84,-88,-80,-200,-200,-84,-87,-84,-86,-200,-200,-71,-82,-87,-200,-91,-200,-78,-200,-91,-200,-88,-90,-200,-200,-200,-88,-200,-200
1526453846315,-49,-40,-41,-44,-50,-49,-53,-72,-72,-59,-68,-51,-67,-73,-68,-63,-52,-68,-62,-78,-200,-75,-70,-57,-70,-67,-70,-69,-78,-76,-67,-80,-61,-73,-78,-68,-77,-80,-74,-77,-200,-83,-74,-90,-200,-83,-65,-79,-85,-84,-88,-80,-87,-88,-83,-87,-84,-84,-200,-200,-71,-82,-87,-81,-91,-200,-78,-200,-91,-200,-88,-90,-200,-200,-200,-88,-200,-200
1526453849357,-41,-48,-42,-46,-49,-56,-55,-52,-64,-60,-59,-54,-70,-74,-71,-63,-57,-68,-62,-65,-78,-75,-63,-59,-72,-67,-70,-71,-77,-76,-67,-80,-68,-75,-76,-70,-78,-80,-74,-84,-200,-83,-74,-90,-200,-84,-65,-84,-85,-84,-77,-80,-86,-85,-83,-200,-86,-81,-200,-90,-73,-82,-87,-81,-200,-200,-77,-200,-84,-200,-88,-200,-200,-200,-200,-88,-82,-90
1526453852387,-45,-52,-42,-51,-57,-51,-56,-54,-64,-63,-61,-50,-70,-74,-73,-64,-59,-68,-62,-67,-78,-81,-63,-62,-72,-67,-73,-72,-77,-76,-67,-80,-71,-73,-76,-70,-78,-80,-71,-82,-91,-83,-80,-89,-200,-84,-65,-84,-89,-78,-81,-200,-85,-87,-83,-200,-86,-81,-200,-90,-73,-82,-87,-81,-200,-200,-77,-200,-82,-200,-88,-200,-200,-200,-200,-88,-82,-90
1526453855408,-45,-51,-42,-51,-57,-51,-55,-54,-64,-61,-59,-52,-70,-74,-70,-64,-59,-70,-60,-66,-78,-82,-63,-62,-69,-66,-71,-71,-77,-79,-68,-80,-65,-76,-76,-70,-78,-200,-71,-82,-90,-200,-80,-89,-200,-84,-65,-88,-86,-80,-88,-200,-86,-89,-83,-200,-86,-85,-200,-90,-73,-200,-200,-81,-200,-200,-77,-200,-82,-200,-200,-200,-200,-200,-200,-200,-82,-90
1526453858442,-58,-50,-42,-49,-55,-50,-55,-56,-64,-60,-61,-59,-70,-76,-72,-50,-59,-66,-60,-71,-78,-80,-68,-61,-69,-66,-77,-71,-73,-80,-67,-200,-64,-74,-74,-70,-76,-200,-71,-79,-90,-200,-80,-89,-200,-84,-75,-88,-86,-77,-88,-200,-86,-89,-84,-200,-86,-85,-200,-90,-73,-200,-200,-84,-91,-200,-77,-200,-82,-200,-87,-200,-200,-200,-200,-200,-82,-90
1526453861456,-49,-51,-42,-52,-61,-49,-56,-55,-58,-61,-60,-51,-74,-76,-69,-60,-60,-66,-64,-73,-200,-84,-69,-60,-72,-66,-70,-70,-80,-77,-69,-86,-67,-74,-74,-69,-77,-75,-71,-81,-90,-87,-200,-89,-89,-84,-76,-84,-86,-77,-88,-79,-86,-89,-84,-87,-200,-84,-200,-200,-73,-200,-200,-84,-91,-200,-76,-200,-84,-200,-89,-200,-200,-200,-200,-200,-89,-200
1526453864491,-46,-52,-44,-47,-52,-49,-56,-55,-66,-62,-65,-49,-74,-74,-64,-66,-58,-66,-63,-67,-200,-79,-62,-60,-73,-66,-70,-70,-79,-77,-73,-86,-67,-74,-83,-69,-77,-75,-72,-79,-200,-88,-200,-89,-90,-200,-76,-84,-85,-77,-200,-76,-200,-200,-86,-87,-200,-84,-200,-200,-200,-87,-88,-85,-90,-200,-90,-200,-82,-200,-87,-200,-200,-200,-200,-200,-86,-91
