,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,DLINK_D02A60,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A88,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED0,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz
1526453616029,-42,-49,-47,-53,-55,-58,-55,-56,-58,-57,-64,-53,-70,-70,-70,-69,-62,-72,-74,-74,-64,-68,-65,-81,-64,-200,-56,-69,-66,-68,-69,-81,-76,-71,-82,-79,-86,-78,-84,-84,-77,-78,-90,-90,-78,-85,-200,-88,-200,-200,-90,-88,-200,-200,-80,-200,-90,-90,-200,-200,-88,-91,-200,-90,-90,-64,-200,-200,-88,-200,-200,-200,-200,-67,-200,-200
1526453619064,-45,-43,-48,-48,-51,-58,-55,-60,-59,-57,-58,-54,-70,-69,-73,-69,-61,-68,-74,-74,-56,-200,-65,-77,-69,-200,-56,-70,-67,-68,-69,-79,-76,-72,-82,-79,-86,-79,-84,-84,-76,-78,-90,-90,-76,-83,-87,-84,-200,-200,-200,-88,-200,-200,-81,-200,-90,-90,-200,-200,-87,-91,-200,-90,-89,-62,-200,-200,-88,-200,-200,-200,-200,-67,-200,-200
1526453622097,-42,-44,-48,-55,-52,-58,-55,-57,-52,-55,-57,-53,-68,-72,-73,-74,-61,-68,-76,-75,-64,-66,-200,-83,-69,-200,-57,-70,-67,-67,-67,-79,-68,-72,-82,-84,-86,-79,-85,-78,-78,-80,-90,-90,-76,-83,-87,-84,-200,-200,-90,-200,-200,-200,-80,-200,-200,-90,-200,-200,-87,-91,-200,-200,-89,-62,-200,-200,-88,-200,-200,-200,-200,-67,-200,-200
1526453625131,-45,-43,-49,-46,-56,-60,-53,-61,-52,-55,-56,-49,-65,-68,-70,-70,-61,-66,-78,-79,-64,-69,-67,-79,-66,-200,-51,-68,-66,-66,-67,-79,-70,-74,-81,-80,-200,-84,-85,-82,-79,-80,-82,-200,-74,-79,-85,-84,-200,-86,-89,-200,-200,-200,-80,-200,-200,-88,-200,-87,-87,-91,-200,-200,-90,-65,-200,-200,-200,-200,-200,-200,-200,-77,-88,-200
1526453628160,-49,-43,-49,-46,-55,-60,-53,-58,-54,-55,-56,-54,-71,-66,-73,-70,-61,-71,-74,-76,-64,-69,-67,-80,-64,-79,-54,-69,-66,-67,-65,-75,-74,-72,-82,-80,-200,-84,-85,-82,-79,-77,-83,-200,-75,-79,-85,-88,-200,-85,-90,-200,-200,-200,-80,-200,-200,-88,-200,-87,-87,-91,-200,-200,-90,-60,-200,-200,-200,-200,-200,-200,-200,-77,-88,-84
1526453631198,-49,-43,-50,-49,-55,-58,-58,-61,-53,-57,-56,-52,-68,-68,-74,-74,-61,-72,-67,-75,-63,-69,-69,-76,-64,-79,-56,-69,-70,-67,-65,-76,-69,-73,-82,-80,-90,-77,-85,-82,-74,-77,-83,-86,-75,-79,-85,-84,-90,-85,-90,-200,-200,-200,-81,-200,-200,-88,-200,-87,-86,-200,-200,-200,-90,-58,-200,-200,-200,-200,-200,-200,-200,-77,-88,-84
1526453634211,-50,-43,-51,-52,-56,-60,-58,-61,-53,-57,-52,-50,-75,-66,-71,-74,-62,-69,-73,-77,-63,-69,-67,-76,-69,-79,-55,-70,-67,-67,-65,-80,-69,-74,-82,-80,-90,-81,-85,-79,-80,-76,-83,-86,-75,-200,-85,-84,-90,-85,-90,-200,-87,-200,-81,-200,-200,-88,-200,-87,-86,-200,-200,-200,-200,-58,-200,-91,-200,-200,-200,-200,-200,-77,-88,-84
1526453637250,-42,-40,-49,-52,-55,-59,-57,-59,-56,-54,-55,-50,-70,-65,-72,-70,-66,-66,-72,-77,-66,-69,-67,-77,-62,-79,-53,-71,-65,-67,-65,-55,-69,-69,-80,-80,-87,-74,-85,-80,-75,-76,-83,-86,-75,-200,-200,-84,-87,-85,-90,-200,-87,-91,-81,-88,-87,-88,-200,-87,-89,-200,-200,-89,-200,-58,-200,-91,-200,-200,-200,-200,-200,-77,-200,-84
1526453640260,-48,-42,-49,-49,-55,-59,-58,-59,-51,-57,-56,-55,-70,-66,-73,-74,-61,-73,-74,-76,-62,-200,-67,-80,-62,-76,-56,-70,-67,-67,-66,-77,-69,-72,-80,-77,-87,-74,-85,-80,-75,-76,-200,-86,-74,-200,-200,-84,-87,-82,-90,-200,-87,-91,-82,-88,-87,-88,-200,-89,-88,-200,-200,-89,-200,-58,-200,-91,-200,-200,-200,-200,-200,-77,-200,-200
1526453643273,-47,-49,-51,-51,-53,-60,-58,-64,-56,-57,-58,-54,-75,-66,-75,-70,-61,-71,-74,-76,-69,-200,-66,-81,-74,-76,-56,-73,-72,-70,-65,-76,-200,-71,-81,-77,-87,-74,-85,-76,-73,-76,-86,-200,-73,-200,-200,-88,-87,-82,-89,-200,-87,-91,-82,-87,-87,-88,-200,-89,-88,-200,-200,-89,-89,-61,-200,-91,-200,-200,-200,-200,-200,-200,-200,-83
1526453646311,-46,-47,-48,-48,-54,-60,-56,-66,-60,-58,-56,-54,-70,-66,-71,-68,-72,-68,-74,-76,-67,-200,-69,-78,-70,-76,-72,-70,-65,-69,-66,-76,-200,-72,-81,-77,-87,-74,-200,-79,-78,-78,-81,-200,-76,-200,-200,-88,-87,-85,-89,-200,-91,-91,-82,-87,-87,-88,-90,-89,-86,-200,-200,-89,-89,-60,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83
1526453649325,-44,-38,-50,-51,-53,-60,-64,-63,-55,-52,-54,-51,-72,-63,-74,-70,-72,-76,-73,-76,-62,-200,-69,-78,-63,-76,-58,-68,-71,-70,-66,-77,-69,-70,-79,-77,-200,-77,-200,-78,-74,-78,-81,-200,-75,-79,-87,-82,-200,-85,-88,-200,-91,-200,-82,-87,-88,-88,-90,-89,-89,-200,-200,-90,-89,-57,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83
