,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A88,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,DLINK_D02A48,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526453400618,-46,-56,-59,-45,-55,-55,-66,-53,-57,-71,-58,-71,-57,-58,-60,-58,-69,-66,-65,-62,-66,-70,-62,-61,-66,-71,-68,-200,-69,-73,-61,-77,-83,-82,-81,-78,-75,-85,-85,-200,-79,-63,-83,-76,-80,-200,-78,-76,-83,-78,-200,-89,-87,-83,-200,-200,-200,-200,-200,-200,-200,-200,-66,-200,-75,-200,-90,-200,-88,-89,-82,-200,-81,-200,-200,-90,-90,-200,-200
1526453403653,-47,-54,-59,-46,-52,-47,-62,-51,-53,-63,-61,-71,-55,-56,-58,-61,-69,-64,-63,-60,-65,-71,-59,-60,-66,-71,-68,-200,-69,-69,-71,-76,-80,-82,-81,-78,-77,-85,-86,-200,-79,-67,-83,-79,-79,-200,-78,-74,-83,-78,-200,-89,-87,-84,-200,-200,-200,-200,-200,-85,-200,-200,-66,-200,-78,-200,-90,-200,-88,-87,-77,-200,-82,-200,-200,-200,-90,-200,-200
1526453406692,-47,-55,-51,-45,-53,-56,-55,-52,-52,-67,-57,-200,-57,-57,-64,-61,-66,-66,-64,-58,-61,-67,-59,-59,-68,-71,-68,-200,-69,-72,-75,-78,-81,-200,-82,-78,-77,-85,-86,-200,-77,-64,-82,-78,-79,-200,-77,-74,-80,-78,-200,-89,-87,-84,-200,-200,-200,-200,-200,-89,-200,-200,-62,-200,-78,-200,-90,-200,-89,-87,-82,-200,-80,-88,-200,-200,-90,-91,-200
1526453409702,-46,-55,-51,-44,-51,-47,-60,-53,-55,-67,-57,-200,-56,-51,-61,-62,-66,-71,-63,-55,-64,-68,-57,-60,-65,-72,-70,-200,-69,-66,-65,-76,-78,-200,-82,-78,-73,-77,-86,-200,-77,-64,-82,-74,-79,-200,-76,-78,-80,-78,-200,-200,-75,-84,-200,-200,-200,-200,-200,-84,-200,-200,-80,-200,-83,-200,-90,-90,-89,-87,-76,-200,-80,-88,-200,-200,-90,-91,-200
1526453412737,-44,-59,-51,-46,-54,-46,-60,-51,-53,-66,-57,-200,-55,-58,-65,-66,-68,-71,-65,-58,-64,-68,-54,-59,-68,-71,-70,-73,-200,-65,-66,-77,-83,-200,-80,-77,-73,-77,-84,-200,-76,-66,-82,-74,-79,-88,-78,-77,-80,-200,-200,-87,-75,-84,-200,-200,-200,-200,-200,-84,-200,-91,-80,-200,-81,-200,-90,-90,-89,-88,-76,-200,-80,-88,-200,-200,-90,-91,-200
1526453415772,-45,-56,-56,-45,-52,-53,-64,-56,-58,-65,-57,-66,-57,-58,-62,-61,-71,-65,-68,-59,-63,-71,-54,-62,-67,-71,-69,-76,-69,-69,-65,-78,-83,-200,-80,-74,-70,-77,-84,-200,-78,-65,-81,-77,-79,-88,-78,-75,-80,-200,-200,-87,-86,-82,-200,-200,-200,-200,-200,-84,-200,-91,-80,-200,-80,-200,-200,-90,-89,-88,-79,-200,-80,-88,-200,-200,-90,-91,-200
1526453418806,-46,-54,-54,-47,-56,-47,-59,-55,-52,-64,-56,-69,-55,-58,-62,-60,-68,-64,-72,-59,-63,-74,-54,-60,-68,-72,-69,-76,-69,-72,-65,-78,-83,-200,-80,-74,-72,-77,-84,-200,-77,-65,-82,-79,-79,-88,-77,-75,-80,-200,-200,-87,-86,-82,-200,-200,-200,-200,-200,-84,-200,-91,-80,-200,-79,-200,-200,-90,-200,-88,-79,-200,-200,-90,-90,-200,-91,-200,-200
1526453421837,-45,-55,-56,-46,-57,-47,-61,-57,-58,-64,-56,-69,-55,-56,-61,-60,-67,-67,-63,-56,-68,-74,-54,-62,-68,-69,-69,-68,-69,-72,-62,-78,-83,-200,-80,-79,-72,-81,-84,-200,-78,-65,-82,-79,-200,-88,-78,-74,-80,-200,-200,-87,-86,-83,-200,-200,-87,-200,-200,-200,-90,-91,-72,-200,-79,-200,-200,-92,-87,-88,-77,-200,-84,-88,-90,-200,-91,-200,-200
1526453424870,-45,-58,-54,-45,-56,-57,-67,-55,-61,-64,-57,-69,-54,-61,-60,-59,-70,-65,-65,-60,-68,-74,-61,-63,-65,-71,-72,-69,-69,-67,-62,-80,-82,-200,-80,-77,-82,-82,-200,-200,-77,-67,-84,-77,-200,-200,-78,-75,-80,-200,-200,-200,-87,-83,-200,-90,-85,-200,-200,-200,-90,-200,-82,-200,-78,-200,-88,-92,-87,-200,-77,-200,-82,-88,-91,-88,-91,-200,-90
1526453427901,-45,-52,-52,-48,-57,-57,-60,-55,-56,-65,-57,-69,-54,-59,-60,-61,-69,-67,-70,-59,-68,-74,-63,-63,-70,-75,-72,-69,-200,-65,-62,-77,-82,-200,-81,-79,-82,-82,-84,-200,-77,-67,-84,-72,-84,-90,-78,-77,-80,-200,-200,-200,-87,-83,-200,-90,-85,-200,-200,-200,-90,-91,-82,-200,-79,-84,-88,-92,-87,-89,-77,-200,-83,-88,-91,-88,-91,-200,-90
1526453430928,-45,-53,-56,-46,-55,-57,-60,-58,-58,-65,-57,-66,-56,-60,-65,-61,-74,-67,-63,-64,-64,-200,-59,-65,-68,-73,-72,-63,-74,-71,-63,-77,-83,-200,-81,-79,-82,-82,-84,-200,-77,-67,-81,-77,-84,-90,-76,-78,-81,-200,-200,-200,-87,-83,-200,-90,-85,-200,-200,-200,-200,-91,-82,-200,-79,-84,-88,-90,-89,-90,-83,-200,-83,-89,-91,-88,-90,-200,-90
1526453433969,-47,-53,-54,-46,-55,-49,-67,-58,-58,-63,-60,-70,-53,-63,-64,-61,-70,-63,-63,-66,-67,-72,-59,-64,-70,-65,-66,-63,-74,-65,-60,-79,-85,-200,-81,-79,-80,-82,-80,-200,-81,-67,-81,-76,-84,-90,-78,-81,-78,-200,-200,-200,-87,-83,-200,-90,-200,-200,-200,-87,-200,-89,-82,-200,-78,-86,-200,-90,-89,-89,-83,-200,-83,-89,-91,-200,-90,-200,-200
