,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D02A18,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526453694107,-35,-49,-43,-49,-55,-53,-52,-59,-56,-58,-61,-64,-61,-62,-56,-67,-55,-65,-73,-68,-200,-66,-67,-76,-72,-82,-74,-65,-68,-77,-66,-77,-72,-74,-78,-200,-77,-78,-76,-78,-73,-77,-89,-68,-200,-90,-200,-84,-86,-84,-85,-76,-200,-85,-86,-86,-89,-200,-91,-89,-200,-200,-83,-83,-83,-200,-200,-200,-91,-86,-200,-89,-200,-89,-200,-200,-91,-200,-200
1526453697150,-36,-47,-46,-51,-58,-50,-52,-60,-56,-58,-66,-66,-64,-62,-56,-64,-55,-65,-70,-68,-200,-66,-67,-76,-69,-82,-73,-66,-75,-77,-66,-78,-72,-71,-77,-200,-77,-78,-76,-200,-74,-72,-89,-71,-200,-90,-200,-82,-200,-84,-85,-76,-86,-85,-86,-89,-85,-88,-91,-89,-200,-200,-83,-76,-83,-200,-200,-200,-91,-87,-200,-200,-200,-87,-200,-92,-91,-91,-200
1526453700163,-37,-49,-46,-51,-55,-51,-52,-60,-64,-61,-66,-66,-62,-62,-56,-64,-53,-73,-71,-68,-84,-66,-68,-82,-71,-75,-73,-66,-76,-74,-66,-78,-76,-73,-77,-76,-78,-80,-73,-83,-73,-72,-89,-71,-200,-90,-200,-82,-200,-84,-86,-200,-86,-85,-86,-90,-85,-88,-200,-89,-200,-200,-88,-75,-83,-200,-200,-200,-91,-87,-200,-200,-200,-87,-200,-92,-200,-91,-90
1526453703191,-36,-49,-45,-50,-58,-51,-52,-61,-56,-61,-58,-64,-60,-61,-56,-62,-53,-73,-72,-69,-84,-66,-69,-78,-71,-75,-84,-66,-73,-74,-66,-78,-74,-66,-74,-76,-77,-80,-72,-83,-72,-72,-87,-71,-200,-86,-200,-82,-88,-84,-86,-200,-86,-87,-86,-90,-87,-88,-200,-89,-200,-200,-88,-78,-84,-200,-200,-200,-87,-87,-200,-200,-200,-87,-200,-92,-200,-91,-90
1526453706229,-36,-53,-45,-48,-56,-53,-52,-61,-58,-57,-62,-64,-66,-61,-70,-64,-55,-63,-71,-68,-84,-200,-67,-83,-71,-73,-80,-66,-70,-74,-66,-78,-75,-70,-74,-80,-77,-77,-75,-83,-73,-72,-87,-71,-200,-86,-200,-82,-88,-200,-87,-200,-85,-83,-200,-90,-87,-88,-200,-89,-200,-200,-88,-78,-85,-200,-89,-200,-87,-87,-200,-200,-200,-89,-200,-92,-200,-91,-94
1526453709237,-39,-51,-46,-49,-53,-50,-53,-61,-57,-55,-62,-64,-66,-61,-57,-58,-56,-66,-71,-68,-84,-66,-67,-83,-69,-75,-80,-66,-70,-73,-64,-200,-71,-66,-75,-80,-78,-77,-75,-82,-73,-71,-87,-74,-200,-88,-200,-83,-88,-200,-87,-200,-91,-83,-200,-90,-87,-200,-200,-200,-200,-200,-88,-76,-90,-200,-89,-200,-87,-87,-200,-200,-200,-89,-200,-200,-200,-200,-94
1526453712245,-39,-51,-46,-49,-53,-50,-53,-61,-57,-55,-62,-64,-66,-61,-57,-58,-56,-66,-71,-68,-84,-66,-67,-83,-69,-75,-80,-66,-70,-73,-64,-200,-71,-66,-75,-80,-78,-77,-75,-82,-73,-71,-87,-74,-200,-88,-200,-83,-88,-200,-87,-200,-91,-83,-200,-90,-87,-200,-200,-200,-200,-200,-88,-76,-90,-200,-89,-200,-87,-87,-200,-200,-200,-89,-200,-200,-200,-200,-94
1526453715275,-39,-57,-48,-50,-57,-60,-51,-61,-57,-65,-62,-57,-66,-64,-58,-67,-58,-67,-69,-69,-84,-66,-69,-83,-68,-75,-80,-66,-70,-77,-70,-79,-77,-73,-75,-77,-76,-83,-75,-82,-73,-71,-89,-72,-200,-87,-200,-83,-88,-200,-87,-79,-84,-83,-200,-200,-87,-200,-200,-200,-200,-200,-200,-80,-90,-90,-89,-200,-87,-87,-200,-88,-200,-89,-200,-200,-200,-200,-89
1526453718287,-38,-52,-54,-54,-56,-52,-51,-61,-61,-59,-59,-60,-65,-68,-55,-65,-54,-67,-70,-68,-75,-66,-69,-200,-70,-75,-75,-70,-71,-72,-70,-84,-78,-67,-77,-77,-69,-80,-200,-82,-75,-72,-89,-68,-200,-87,-200,-83,-89,-200,-200,-79,-84,-80,-67,-89,-81,-200,-200,-200,-200,-200,-200,-82,-90,-90,-200,-200,-87,-89,-200,-88,-200,-200,-200,-200,-200,-200,-89
1526453721315,-38,-51,-45,-51,-62,-51,-58,-58,-60,-59,-66,-70,-60,-68,-55,-65,-52,-66,-65,-67,-74,-70,-67,-200,-72,-75,-75,-66,-75,-72,-70,-76,-75,-64,-74,-82,-76,-78,-68,-82,-73,-71,-88,-67,-83,-82,-200,-83,-86,-200,-200,-72,-84,-88,-67,-89,-83,-81,-200,-200,-87,-200,-200,-77,-200,-90,-87,-90,-87,-89,-200,-88,-200,-200,-200,-200,-200,-200,-89
