,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro
1526454405458,-45,-43,-55,-60,-50,-50,-53,-59,-58,-62,-61,-65,-68,-64,-61,-72,-56,-72,-59,-200,-75,-67,-69,-78,-200,-75,-68,-82,-68,-73,-58,-76,-79,-78,-74,-75,-77,-79,-85,-78,-200,-75,-84,-87,-200,-76,-76,-86,-85,-86,-84,-200,-91,-200,-83,-200,-200,-79,-89,-200,-85,-86,-200,-87,-82,-200,-200,-200,-88,-200,-200,-88,-92,-90,-90,-93,-200,-200,-200,-200,-200
1526454408487,-46,-46,-57,-57,-50,-50,-46,-60,-59,-60,-62,-63,-68,-60,-63,-77,-55,-72,-58,-200,-75,-67,-70,-200,-200,-74,-66,-82,-69,-86,-60,-76,-79,-78,-75,-79,-75,-78,-85,-79,-87,-75,-84,-87,-86,-80,-74,-86,-85,-84,-84,-88,-88,-200,-83,-200,-200,-200,-89,-200,-85,-200,-200,-87,-82,-200,-200,-200,-88,-200,-200,-200,-92,-90,-90,-93,-88,-200,-200,-200,-200
1526454411511,-46,-47,-56,-57,-49,-47,-49,-57,-59,-60,-60,-62,-68,-60,-60,-80,-56,-70,-60,-200,-75,-68,-69,-200,-200,-71,-66,-86,-68,-86,-59,-200,-77,-73,-75,-79,-75,-78,-85,-80,-87,-75,-84,-200,-86,-77,-74,-86,-85,-84,-200,-88,-88,-200,-83,-200,-200,-82,-200,-200,-200,-200,-200,-87,-200,-200,-90,-200,-200,-200,-200,-200,-92,-90,-90,-93,-88,-200,-200,-200,-200
1526454414542,-50,-48,-53,-58,-52,-50,-48,-59,-57,-64,-61,-62,-68,-57,-65,-72,-54,-66,-56,-200,-75,-69,-73,-200,-200,-71,-61,-86,-69,-86,-59,-200,-78,-74,-78,-79,-78,-76,-85,-78,-87,-75,-85,-200,-86,-78,-78,-86,-85,-84,-200,-88,-87,-200,-82,-200,-200,-82,-200,-200,-200,-200,-200,-89,-200,-200,-90,-200,-200,-200,-200,-200,-92,-90,-90,-93,-88,-90,-200,-200,-200
1526454417583,-50,-43,-59,-58,-43,-49,-46,-57,-55,-66,-58,-59,-71,-53,-58,-72,-54,-72,-57,-200,-76,-67,-69,-81,-200,-75,-65,-86,-68,-86,-59,-72,-78,-75,-76,-79,-77,-76,-79,-78,-87,-75,-85,-200,-86,-77,-76,-86,-82,-84,-200,-88,-87,-200,-83,-81,-200,-85,-200,-200,-200,-200,-200,-89,-200,-200,-91,-200,-200,-71,-200,-200,-200,-200,-200,-200,-88,-90,-200,-200,-200
1526454420596,-50,-45,-57,-54,-44,-50,-46,-59,-55,-66,-65,-64,-71,-61,-61,-72,-51,-72,-52,-200,-76,-67,-68,-81,-200,-73,-66,-86,-70,-200,-59,-74,-77,-75,-76,-79,-76,-76,-79,-77,-200,-73,-85,-90,-85,-80,-76,-86,-84,-84,-200,-88,-87,-200,-80,-81,-200,-86,-88,-200,-85,-200,-200,-91,-200,-200,-89,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200
1526454423633,-48,-43,-52,-54,-46,-51,-46,-58,-57,-57,-56,-64,-71,-56,-58,-71,-53,-71,-52,-200,-76,-65,-67,-81,-75,-74,-61,-86,-70,-73,-64,-74,-77,-73,-75,-79,-73,-75,-79,-77,-87,-72,-81,-90,-85,-76,-75,-200,-84,-84,-200,-83,-88,-200,-80,-81,-200,-86,-88,-200,-83,-200,-200,-91,-200,-200,-89,-200,-200,-71,-200,-200,-200,-200,-200,-200,-88,-89,-200,-200,-200
1526454426643,-57,-39,-57,-57,-49,-50,-45,-59,-57,-64,-61,-64,-71,-63,-58,-71,-51,-70,-60,-67,-73,-67,-69,-81,-75,-75,-59,-86,-69,-85,-58,-70,-75,-73,-72,-79,-73,-75,-81,-77,-87,-73,-81,-90,-85,-76,-76,-200,-84,-82,-200,-83,-88,-200,-85,-84,-200,-86,-88,-200,-83,-200,-200,-91,-200,-77,-89,-200,-200,-71,-200,-200,-200,-200,-200,-200,-88,-89,-200,-200,-200
1526454429656,-51,-43,-56,-57,-45,-47,-45,-52,-53,-60,-63,-56,-60,-53,-61,-66,-53,-70,-54,-67,-73,-71,-73,-200,-75,-66,-63,-77,-76,-66,-57,-66,-79,-77,-73,-76,-73,-72,-81,-75,-87,-73,-81,-85,-85,-77,-79,-200,-84,-82,-200,-87,-87,-200,-85,-84,-91,-86,-88,-200,-83,-200,-200,-91,-200,-77,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-89,-84,-90,-90
1526454432689,-50,-46,-53,-54,-50,-48,-62,-52,-56,-67,-67,-63,-60,-56,-60,-66,-54,-70,-56,-65,-76,-63,-66,-200,-75,-70,-61,-78,-70,-66,-58,-68,-73,-78,-73,-76,-76,-74,-81,-78,-84,-73,-81,-92,-200,-78,-76,-200,-84,-82,-84,-87,-87,-200,-85,-84,-91,-200,-200,-200,-88,-82,-200,-200,-200,-77,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-89,-84,-90,-90
1526454435725,-50,-49,-53,-56,-47,-44,-55,-55,-55,-67,-70,-65,-60,-58,-62,-66,-53,-73,-58,-65,-78,-63,-70,-72,-200,-69,-61,-76,-72,-66,-55,-70,-74,-78,-74,-76,-76,-74,-81,-83,-87,-73,-200,-92,-200,-80,-77,-200,-84,-82,-84,-87,-87,-200,-84,-84,-91,-200,-200,-90,-88,-82,-200,-200,-200,-77,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-84,-90,-90
1526454438763,-59,-48,-56,-56,-44,-45,-52,-52,-56,-67,-67,-64,-69,-56,-61,-66,-55,-73,-54,-66,-78,-64,-66,-71,-200,-70,-62,-80,-68,-66,-60,-68,-74,-77,-75,-81,-76,-71,-88,-78,-87,-200,-200,-92,-200,-80,-77,-90,-200,-200,-84,-87,-87,-200,-84,-200,-91,-200,-200,-90,-88,-82,-200,-200,-200,-78,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-84,-90,-90
