,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D02A68,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00ED8,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A58,DLINK_D02A10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro
1526454835891,-40,-56,-47,-49,-49,-58,-66,-64,-58,-73,-65,-64,-65,-58,-62,-57,-78,-73,-58,-73,-75,-89,-72,-74,-76,-81,-66,-62,-60,-72,-79,-200,-84,-72,-80,-76,-81,-85,-72,-75,-76,-68,-78,-85,-56,-89,-89,-200,-86,-200,-87,-82,-87,-200,-92,-90,-200,-200,-90,-88,-90,-88,-64,-200,-200,-91,-200,-200,-89,-89,-91,-200,-200,-200,-200
1526454838921,-45,-46,-48,-50,-52,-57,-66,-59,-58,-71,-65,-64,-69,-74,-62,-60,-72,-78,-56,-73,-78,-83,-65,-80,-73,-74,-68,-62,-67,-73,-79,-81,-82,-78,-80,-73,-72,-85,-72,-75,-76,-68,-78,-85,-69,-89,-89,-200,-85,-200,-87,-73,-84,-86,-92,-90,-200,-200,-90,-88,-90,-88,-54,-85,-200,-91,-200,-200,-89,-89,-91,-200,-200,-200,-200
1526454841951,-42,-49,-52,-54,-51,-58,-66,-68,-60,-71,-64,-64,-64,-61,-200,-62,-72,-66,-60,-200,-75,-84,-70,-79,-73,-76,-67,-62,-56,-73,-79,-81,-80,-72,-79,-76,-77,-87,-72,-79,-76,-67,-200,-87,-69,-89,-88,-200,-84,-200,-200,-73,-87,-86,-92,-88,-200,-200,-90,-200,-90,-87,-63,-85,-200,-200,-200,-200,-90,-200,-200,-87,-200,-200,-200
1526454844961,-43,-45,-51,-52,-54,-57,-65,-60,-55,-71,-61,-64,-74,-61,-67,-60,-72,-74,-60,-70,-76,-84,-65,-81,-73,-74,-68,-76,-61,-72,-79,-81,-80,-73,-80,-74,-82,-87,-72,-79,-76,-77,-200,-87,-71,-89,-88,-200,-86,-200,-200,-82,-83,-86,-92,-88,-87,-200,-200,-83,-200,-87,-61,-86,-86,-91,-200,-200,-90,-200,-87,-87,-200,-200,-200
1526454847995,-46,-49,-49,-54,-50,-57,-64,-58,-59,-70,-61,-71,-66,-61,-63,-58,-49,-73,-56,-70,-78,-84,-67,-81,-71,-73,-71,-64,-59,-75,-75,-81,-77,-78,-79,-74,-82,-87,-72,-79,-81,-77,-70,-90,-71,-89,-88,-200,-86,-200,-200,-74,-83,-86,-200,-88,-87,-200,-200,-83,-200,-86,-61,-85,-86,-91,-200,-200,-90,-200,-87,-87,-200,-200,-200
1526454851008,-46,-48,-48,-50,-55,-57,-64,-63,-59,-74,-64,-66,-65,-61,-63,-62,-68,-75,-56,-70,-78,-82,-70,-78,-71,-76,-71,-65,-64,-77,-76,-200,-81,-78,-81,-71,-76,-87,-72,-78,-83,-68,-74,-90,-71,-84,-88,-200,-86,-200,-88,-83,-83,-86,-200,-88,-86,-200,-200,-83,-87,-86,-60,-88,-86,-91,-87,-200,-90,-200,-87,-87,-200,-200,-200
1526454854043,-41,-48,-48,-51,-48,-58,-63,-69,-57,-73,-64,-66,-67,-58,-62,-60,-72,-73,-59,-70,-76,-82,-70,-78,-73,-74,-66,-62,-62,-77,-78,-200,-84,-78,-82,-72,-76,-200,-71,-78,-80,-83,-74,-90,-72,-84,-200,-200,-86,-200,-88,-78,-88,-86,-200,-90,-86,-200,-90,-85,-90,-87,-61,-87,-88,-91,-84,-200,-90,-200,-90,-200,-200,-200,-200
1526454857079,-46,-47,-47,-50,-55,-55,-63,-66,-63,-74,-64,-66,-65,-58,-62,-60,-74,-70,-57,-70,-76,-82,-70,-77,-71,-71,-66,-62,-57,-63,-78,-200,-81,-74,-82,-71,-76,-200,-70,-78,-80,-68,-74,-90,-70,-82,-200,-200,-83,-200,-88,-84,-88,-86,-200,-90,-86,-200,-90,-85,-90,-87,-60,-85,-88,-200,-84,-200,-90,-200,-90,-84,-88,-200,-200
1526454860101,-41,-44,-45,-48,-58,-58,-61,-63,-57,-74,-64,-66,-68,-54,-62,-56,-71,-68,-57,-67,-76,-84,-67,-76,-71,-73,-66,-62,-60,-77,-78,-200,-82,-76,-80,-72,-79,-200,-69,-200,-80,-74,-77,-90,-65,-85,-200,-200,-83,-200,-86,-84,-83,-86,-200,-90,-200,-88,-92,-86,-87,-86,-60,-83,-88,-200,-82,-200,-200,-200,-90,-84,-88,-200,-200
1526454863129,-45,-42,-43,-48,-51,-56,-61,-61,-57,-69,-64,-200,-64,-54,-66,-57,-74,-72,-60,-71,-76,-84,-67,-76,-71,-74,-66,-72,-57,-74,-79,-200,-82,-77,-80,-72,-79,-84,-71,-77,-79,-69,-77,-90,-65,-84,-90,-200,-86,-200,-86,-81,-86,-86,-200,-87,-85,-88,-92,-86,-87,-89,-59,-83,-86,-200,-82,-90,-200,-200,-90,-84,-88,-90,-91
1526454866167,-39,-44,-44,-49,-54,-56,-56,-61,-63,-69,-58,-200,-59,-54,-66,-59,-68,-70,-60,-71,-76,-82,-67,-75,-71,-74,-66,-64,-60,-73,-79,-81,-78,-75,-79,-71,-77,-84,-71,-77,-76,-70,-77,-85,-65,-84,-90,-200,-86,-200,-84,-81,-84,-86,-200,-87,-85,-88,-92,-86,-87,-86,-60,-85,-86,-200,-82,-90,-200,-200,-200,-84,-88,-90,-91
1526454869181,-40,-45,-48,-49,-54,-57,-59,-65,-59,-71,-60,-60,-64,-58,-66,-59,-73,-75,-59,-71,-76,-82,-70,-76,-200,-71,-64,-64,-69,-77,-79,-81,-78,-74,-79,-74,-80,-84,-71,-77,-77,-76,-77,-82,-65,-82,-90,-200,-86,-200,-86,-81,-83,-83,-200,-87,-85,-89,-92,-86,-87,-86,-61,-84,-86,-200,-82,-90,-200,-200,-200,-200,-200,-90,-91
