,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526441229574,-29,-34,-37,-48,-53,-61,-46,-43,-44,-56,-62,-55,-60,-54,-65,-66,-79,-66,-61,-58,-64,-64,-55,-58,-66,-67,-70,-79,-72,-62,-68,-200,-71,-200,-78,-77,-71,-72,-200,-77,-76,-200,-200,-83,-62,-200,-77,-200,-85,-200,-91,-200,-200,-200,-200,-73,-74,-81,-86,-89,-200,-75,-81,-200,-200,-84,-88,-86,-87,-88,-200,-200,-200,-200
1526441232625,-28,-33,-37,-49,-53,-59,-46,-43,-63,-54,-58,-58,-61,-54,-66,-55,-79,-67,-62,-58,-64,-60,-59,-58,-66,-67,-74,-79,-72,-62,-63,-200,-68,-200,-78,-77,-77,-69,-200,-78,-200,-200,-200,-83,-64,-200,-76,-200,-86,-200,-200,-200,-200,-200,-200,-74,-74,-79,-86,-89,-200,-75,-200,-200,-200,-84,-88,-86,-87,-88,-90,-91,-200,-200
1526441235673,-27,-33,-37,-45,-53,-62,-42,-46,-48,-56,-58,-58,-61,-53,-66,-56,-79,-69,-65,-57,-64,-64,-57,-57,-64,-68,-74,-79,-76,-62,-71,-200,-65,-200,-74,-77,-77,-70,-200,-78,-200,-200,-200,-83,-70,-200,-76,-200,-86,-200,-87,-200,-200,-200,-200,-74,-74,-70,-85,-89,-78,-75,-200,-200,-200,-84,-88,-86,-87,-88,-90,-91,-75,-200
1526441238736,-27,-34,-37,-47,-53,-62,-46,-43,-44,-60,-58,-59,-61,-53,-64,-54,-79,-68,-65,-59,-64,-64,-60,-58,-66,-69,-72,-79,-76,-64,-71,-200,-65,-200,-74,-78,-76,-72,-200,-78,-200,-200,-200,-200,-64,-86,-76,-200,-86,-200,-88,-200,-200,-200,-200,-74,-74,-70,-87,-89,-78,-74,-200,-200,-200,-200,-200,-86,-87,-88,-90,-91,-75,-200
1526441241785,-30,-32,-34,-55,-54,-63,-47,-43,-44,-60,-87,-59,-61,-53,-66,-56,-80,-69,-61,-59,-200,-64,-56,-60,-66,-69,-72,-79,-73,-64,-71,-200,-65,-200,-75,-79,-76,-72,-200,-77,-200,-82,-200,-200,-65,-86,-76,-200,-86,-200,-88,-200,-200,-200,-200,-74,-74,-70,-87,-200,-78,-75,-81,-200,-200,-200,-200,-200,-200,-88,-90,-91,-75,-86
1526441244845,-30,-35,-38,-50,-56,-55,-48,-47,-48,-56,-67,-59,-61,-54,-65,-56,-79,-68,-62,-58,-200,-69,-57,-59,-66,-70,-72,-81,-73,-64,-71,-200,-65,-200,-75,-79,-76,-72,-200,-77,-200,-75,-71,-83,-67,-86,-77,-200,-86,-200,-88,-200,-200,-200,-200,-74,-73,-70,-86,-88,-78,-75,-81,-200,-200,-200,-200,-87,-200,-200,-92,-91,-75,-85
1526441247897,-27,-32,-35,-46,-55,-59,-41,-42,-44,-55,-65,-59,-60,-53,-66,-60,-79,-66,-64,-57,-200,-65,-56,-59,-66,-69,-71,-77,-73,-64,-71,-200,-66,-200,-71,-78,-78,-72,-200,-77,-200,-73,-71,-83,-65,-86,-76,-200,-200,-200,-88,-200,-200,-200,-200,-74,-73,-70,-86,-88,-78,-76,-81,-200,-200,-200,-200,-87,-200,-89,-92,-200,-75,-85
1526441250938,-29,-32,-35,-49,-55,-57,-48,-46,-45,-61,-58,-59,-58,-54,-65,-60,-80,-66,-64,-59,-200,-65,-57,-56,-66,-69,-71,-77,-73,-64,-62,-200,-66,-200,-71,-78,-78,-72,-84,-77,-200,-70,-71,-83,-64,-86,-76,-200,-200,-200,-88,-200,-200,-200,-200,-74,-73,-72,-86,-88,-200,-76,-81,-200,-200,-200,-200,-87,-200,-89,-92,-200,-75,-85
1526441253991,-29,-32,-35,-45,-54,-56,-48,-46,-45,-57,-61,-56,-58,-52,-65,-71,-80,-65,-65,-58,-200,-64,-61,-57,-66,-68,-73,-74,-73,-64,-66,-200,-66,-200,-71,-77,-75,-72,-84,-77,-200,-73,-71,-87,-66,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-74,-73,-83,-84,-88,-75,-74,-81,-200,-200,-200,-200,-87,-200,-89,-92,-200,-200,-85
1526441257050,-37,-36,-34,-57,-53,-61,-44,-47,-45,-57,-61,-57,-58,-56,-64,-67,-80,-67,-65,-58,-200,-64,-57,-58,-66,-68,-82,-74,-200,-63,-66,-200,-66,-200,-76,-77,-75,-71,-84,-78,-200,-73,-75,-87,-66,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-74,-73,-75,-85,-88,-75,-74,-200,-200,-200,-200,-200,-87,-79,-89,-92,-200,-200,-85
1526441260120,-31,-32,-36,-52,-53,-61,-47,-46,-44,-57,-65,-57,-58,-56,-65,-63,-80,-70,-70,-60,-200,-61,-55,-58,-66,-66,-73,-78,-200,-63,-63,-200,-65,-200,-76,-76,-70,-71,-84,-74,-200,-73,-75,-87,-66,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-83,-73,-72,-85,-88,-75,-74,-200,-200,-200,-200,-200,-87,-79,-89,-200,-200,-200,-85
1526441263160,-30,-34,-34,-46,-53,-63,-47,-44,-41,-57,-61,-57,-55,-56,-65,-56,-80,-68,-65,-57,-200,-60,-56,-58,-67,-66,-73,-78,-200,-63,-63,-79,-65,-200,-76,-76,-70,-71,-84,-74,-200,-76,-75,-87,-66,-200,-76,-81,-200,-200,-200,-200,-200,-200,-90,-83,-72,-72,-86,-89,-75,-74,-200,-200,-200,-200,-200,-87,-79,-200,-92,-200,-200,-200
