,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
1526441073223,-37,-45,-39,-46,-55,-43,-51,-38,-50,-67,-38,-70,-62,-68,-67,-66,-71,-76,-52,-64,-73,-63,-66,-79,-62,-70,-200,-77,-78,-82,-77,-71,-67,-75,-70,-76,-82,-69,-83,-73,-83,-88,-75,-81,-86,-89,-200,-80,-85,-200,-79,-200,-79,-72,-200,-82,-200,-86,-91,-84,-200,-200,-200
1526441076284,-38,-47,-37,-44,-55,-42,-50,-42,-49,-67,-36,-78,-66,-72,-68,-64,-71,-76,-53,-64,-73,-62,-66,-79,-64,-66,-77,-77,-72,-72,-77,-80,-67,-68,-68,-70,-82,-69,-83,-71,-82,-88,-75,-81,-85,-89,-200,-80,-84,-200,-78,-200,-76,-72,-200,-82,-200,-82,-91,-84,-200,-200,-200
1526441079363,-34,-44,-39,-49,-55,-44,-52,-42,-48,-67,-37,-78,-65,-63,-73,-67,-71,-71,-49,-64,-71,-63,-66,-82,-64,-66,-77,-77,-73,-72,-200,-80,-68,-75,-70,-74,-200,-73,-83,-71,-83,-90,-85,-81,-85,-89,-200,-80,-84,-200,-78,-200,-76,-73,-200,-86,-200,-82,-91,-84,-200,-200,-200
1526441082419,-36,-44,-39,-53,-51,-45,-50,-41,-49,-67,-38,-78,-64,-66,-69,-63,-69,-71,-50,-64,-71,-63,-66,-82,-62,-67,-77,-77,-69,-75,-200,-80,-71,-71,-70,-72,-200,-73,-85,-71,-83,-82,-75,-81,-85,-89,-200,-80,-83,-200,-78,-200,-81,-74,-200,-86,-200,-82,-200,-84,-200,-200,-200
1526441085469,-36,-44,-38,-52,-51,-48,-52,-42,-55,-200,-38,-78,-65,-65,-69,-63,-69,-66,-53,-66,-71,-62,-66,-82,-64,-67,-77,-85,-69,-75,-80,-65,-71,-75,-68,-76,-80,-73,-81,-71,-78,-82,-75,-200,-85,-89,-200,-200,-83,-200,-78,-200,-81,-78,-200,-86,-200,-82,-200,-84,-200,-200,-200
1526441088526,-38,-52,-37,-52,-56,-46,-52,-47,-48,-67,-38,-78,-61,-61,-69,-62,-69,-66,-53,-67,-71,-62,-66,-82,-63,-67,-78,-78,-69,-75,-80,-65,-75,-75,-67,-83,-80,-73,-81,-71,-78,-85,-75,-200,-82,-90,-200,-81,-84,-200,-76,-200,-81,-77,-200,-80,-200,-82,-200,-200,-200,-200,-200
1526441091578,-42,-52,-34,-52,-47,-42,-52,-43,-51,-67,-37,-200,-63,-58,-69,-62,-67,-66,-60,-64,-71,-63,-68,-79,-64,-67,-82,-78,-69,-75,-80,-65,-75,-75,-69,-76,-80,-73,-83,-71,-78,-85,-77,-200,-82,-90,-200,-81,-85,-200,-73,-200,-81,-77,-200,-80,-200,-200,-200,-76,-87,-90,-200
1526441094630,-42,-46,-34,-51,-51,-46,-51,-44,-51,-75,-38,-71,-63,-61,-68,-63,-67,-66,-60,-63,-72,-63,-72,-78,-64,-67,-82,-78,-69,-70,-78,-66,-75,-75,-69,-76,-80,-200,-82,-71,-83,-82,-80,-200,-82,-90,-200,-81,-85,-200,-73,-200,-81,-77,-200,-79,-200,-200,-200,-76,-87,-90,-88
1526441097682,-41,-46,-35,-52,-49,-44,-52,-48,-48,-75,-37,-78,-61,-61,-68,-62,-69,-74,-57,-67,-72,-63,-68,-78,-64,-71,-82,-77,-69,-70,-78,-61,-75,-75,-67,-79,-80,-75,-82,-71,-82,-84,-81,-200,-82,-90,-200,-81,-86,-200,-74,-200,-200,-77,-200,-79,-200,-200,-200,-76,-87,-90,-90
1526441100759,-36,-48,-39,-53,-51,-44,-52,-48,-53,-75,-37,-75,-65,-69,-70,-63,-68,-74,-60,-67,-74,-65,-68,-78,-65,-71,-82,-77,-71,-70,-80,-61,-75,-75,-67,-78,-84,-75,-85,-74,-82,-82,-81,-200,-82,-90,-200,-81,-89,-200,-75,-200,-200,-77,-200,-79,-200,-200,-200,-79,-87,-90,-90
1526441103812,-41,-48,-37,-52,-48,-43,-52,-48,-52,-75,-39,-75,-65,-61,-71,-63,-66,-68,-60,-74,-74,-65,-68,-78,-65,-70,-82,-77,-72,-70,-80,-64,-200,-75,-68,-82,-84,-75,-85,-72,-82,-85,-77,-200,-82,-89,-200,-200,-87,-84,-75,-200,-200,-200,-200,-79,-80,-84,-200,-79,-87,-90,-90
1526441106873,-38,-47,-37,-47,-51,-43,-52,-41,-51,-75,-38,-75,-61,-65,-71,-66,-66,-68,-56,-68,-74,-67,-69,-78,-64,-70,-82,-86,-76,-75,-80,-69,-73,-75,-72,-78,-80,-75,-85,-72,-81,-85,-85,-80,-82,-89,-200,-200,-87,-84,-76,-200,-200,-200,-200,-79,-80,-84,-200,-78,-90,-200,-90
