,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526461386692,-53,-60,-45,-74,-55,-76,-56,-70,-76,-71,-51,-65,-49,-88,-84,-51,-79,-86,-200,-200,-80,-59,-200,-200,-85,-91,-89,-74,-200,-84,-77,-85,-200,-200,-74,-200,-78,-200,-88,-71,-77,-80,-87,-200,-200,-91,-80,-75,-200,-200,-200,-200,-200,-83,-200,-200,-200,-64,-85,-200,-85,-200,-87,-85,-200,-87,-200,-89,-200,-200,-85,-65,-69,-200,-85,-81,-85,-84,-88,-200,-90,-200,-83,-84,-85,-92,-91,-200,-80,-81,-200,-86,-83,-200,-200,-200,-200,-90,-86,-92,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461389721,-55,-62,-48,-75,-55,-76,-53,-67,-76,-74,-56,-67,-50,-88,-87,-50,-78,-86,-200,-200,-83,-57,-200,-200,-85,-91,-89,-84,-200,-84,-78,-85,-200,-200,-81,-200,-84,-200,-88,-71,-77,-81,-87,-85,-200,-91,-82,-75,-200,-200,-200,-200,-200,-83,-200,-200,-200,-65,-82,-200,-85,-200,-200,-85,-200,-87,-200,-92,-200,-200,-85,-69,-69,-200,-86,-83,-85,-84,-88,-200,-90,-200,-81,-82,-85,-200,-91,-200,-80,-81,-200,-86,-83,-200,-200,-200,-200,-200,-86,-92,-87,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461392763,-49,-62,-45,-62,-56,-75,-58,-63,-70,-76,-55,-65,-49,-88,-87,-50,-78,-86,-200,-200,-84,-56,-86,-82,-85,-91,-89,-84,-86,-200,-78,-85,-200,-200,-81,-200,-76,-200,-88,-66,-70,-81,-200,-85,-200,-200,-82,-75,-200,-200,-200,-91,-200,-83,-200,-200,-200,-65,-82,-200,-85,-200,-200,-85,-200,-87,-91,-92,-200,-200,-82,-64,-68,-200,-86,-83,-83,-84,-88,-200,-200,-200,-81,-77,-83,-200,-91,-91,-80,-79,-85,-85,-200,-200,-200,-200,-200,-200,-200,-92,-87,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461395797,-52,-64,-45,-69,-56,-78,-57,-62,-75,-75,-54,-67,-48,-88,-87,-50,-81,-86,-80,-200,-82,-56,-86,-82,-85,-200,-87,-76,-86,-200,-78,-85,-200,-200,-78,-200,-76,-200,-88,-67,-70,-81,-85,-85,-200,-200,-82,-75,-200,-200,-200,-91,-200,-83,-200,-200,-200,-68,-82,-200,-86,-200,-83,-200,-200,-87,-91,-90,-91,-200,-82,-64,-69,-83,-81,-84,-83,-200,-88,-200,-88,-200,-81,-77,-83,-200,-200,-91,-80,-79,-85,-85,-200,-200,-200,-200,-200,-200,-200,-200,-87,-90,-90,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526461398828,-51,-62,-46,-69,-58,-78,-59,-63,-73,-75,-56,-63,-48,-200,-87,-47,-82,-200,-80,-200,-83,-57,-86,-82,-200,-200,-83,-76,-86,-81,-78,-200,-200,-200,-78,-200,-81,-200,-200,-69,-69,-81,-85,-85,-200,-89,-84,-77,-200,-200,-200,-91,-200,-83,-200,-200,-200,-67,-82,-200,-86,-200,-83,-200,-200,-84,-91,-90,-91,-200,-83,-71,-68,-83,-81,-81,-82,-200,-88,-200,-88,-200,-81,-77,-83,-200,-200,-88,-200,-79,-85,-85,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-89,-90,-85,-90,-200,-200,-200,-200,-200,-200
1526461401864,-51,-61,-45,-61,-58,-78,-56,-63,-73,-75,-57,-67,-47,-200,-82,-50,-82,-85,-80,-200,-82,-57,-85,-200,-200,-89,-83,-73,-200,-81,-78,-200,-200,-200,-80,-200,-78,-200,-200,-68,-67,-200,-86,-84,-200,-89,-83,-78,-200,-200,-200,-200,-200,-84,-200,-200,-200,-68,-200,-200,-88,-200,-82,-85,-200,-82,-200,-89,-91,-200,-83,-64,-67,-76,-81,-83,-82,-200,-200,-85,-88,-200,-200,-82,-200,-200,-200,-88,-82,-200,-200,-200,-81,-200,-200,-200,-200,-200,-87,-200,-200,-200,-89,-89,-90,-85,-90,-88,-200,-200,-200,-200,-200
1526461404899,-52,-59,-45,-70,-58,-78,-56,-65,-73,-78,-53,-65,-48,-200,-82,-50,-82,-86,-79,-200,-82,-56,-85,-82,-200,-89,-83,-76,-200,-81,-79,-200,-200,-200,-82,-200,-78,-200,-87,-71,-69,-200,-86,-84,-200,-89,-83,-78,-200,-200,-200,-200,-200,-84,-200,-200,-200,-69,-200,-200,-88,-200,-82,-85,-200,-82,-200,-89,-200,-200,-83,-64,-67,-80,-82,-83,-82,-200,-200,-85,-88,-200,-200,-82,-200,-200,-200,-88,-82,-81,-200,-200,-81,-200,-200,-200,-200,-200,-87,-200,-200,-200,-89,-200,-90,-85,-90,-88,-89,-90,-200,-200,-200
1526461407930,-52,-62,-46,-68,-56,-79,-57,-64,-74,-77,-54,-65,-47,-200,-81,-48,-81,-86,-79,-200,-82,-58,-85,-82,-84,-78,-200,-76,-200,-200,-79,-200,-200,-200,-82,-200,-78,-200,-87,-67,-67,-81,-86,-84,-200,-200,-83,-78,-200,-200,-200,-200,-200,-84,-200,-200,-200,-67,-200,-200,-88,-200,-82,-87,-200,-81,-200,-90,-200,-200,-84,-63,-68,-80,-82,-83,-82,-200,-200,-87,-88,-80,-200,-82,-200,-200,-200,-200,-82,-81,-200,-200,-83,-200,-200,-77,-200,-200,-87,-200,-200,-200,-89,-200,-90,-200,-200,-88,-89,-90,-200,-200,-200
1526461410975,-50,-65,-45,-68,-57,-78,-57,-64,-75,-75,-57,-69,-47,-200,-81,-48,-81,-87,-79,-200,-83,-55,-86,-82,-86,-78,-200,-87,-200,-200,-78,-200,-200,-200,-82,-200,-84,-200,-87,-67,-67,-81,-86,-84,-200,-200,-200,-78,-200,-200,-200,-200,-200,-87,-200,-200,-200,-65,-200,-200,-88,-200,-82,-85,-200,-81,-200,-90,-200,-200,-84,-62,-68,-80,-82,-83,-82,-200,-200,-87,-88,-81,-77,-79,-200,-200,-200,-89,-82,-85,-200,-84,-83,-200,-200,-77,-200,-200,-87,-200,-200,-200,-200,-200,-90,-200,-200,-200,-89,-90,-200,-200,-200
1526461414015,-56,-61,-49,-68,-57,-78,-54,-63,-74,-73,-54,-65,-47,-200,-85,-50,-77,-86,-79,-200,-80,-56,-86,-82,-86,-88,-200,-77,-87,-200,-75,-81,-200,-200,-81,-89,-62,-200,-87,-67,-70,-81,-86,-85,-200,-200,-200,-77,-200,-200,-200,-200,-200,-87,-200,-200,-200,-66,-200,-200,-86,-200,-82,-85,-200,-81,-200,-88,-200,-200,-84,-62,-68,-80,-82,-89,-200,-87,-200,-86,-88,-81,-77,-79,-200,-200,-200,-89,-200,-85,-200,-84,-82,-200,-200,-77,-200,-200,-200,-200,-200,-200,-92,-86,-90,-200,-86,-200,-89,-90,-86,-87,-200
1526461417059,-64,-67,-45,-61,-58,-74,-58,-65,-71,-73,-57,-67,-46,-200,-82,-48,-78,-86,-79,-200,-84,-54,-86,-200,-86,-87,-80,-77,-87,-200,-75,-81,-200,-200,-77,-89,-70,-200,-200,-66,-65,-84,-200,-84,-87,-200,-200,-77,-200,-200,-200,-200,-200,-87,-200,-200,-200,-67,-87,-200,-86,-200,-81,-89,-200,-81,-200,-89,-200,-200,-84,-61,-67,-200,-200,-89,-76,-87,-200,-86,-200,-81,-77,-79,-81,-200,-200,-89,-200,-85,-200,-84,-82,-200,-200,-77,-82,-200,-200,-200,-200,-200,-92,-86,-200,-200,-86,-200,-200,-200,-86,-87,-91
1526461420086,-52,-64,-44,-68,-59,-74,-58,-71,-70,-73,-55,-67,-46,-200,-82,-48,-78,-86,-79,-200,-84,-56,-84,-200,-86,-87,-80,-77,-84,-200,-75,-82,-200,-200,-77,-89,-74,-200,-200,-67,-65,-84,-200,-84,-87,-200,-200,-77,-200,-200,-200,-200,-200,-84,-200,-200,-200,-69,-87,-200,-87,-200,-82,-89,-200,-88,-200,-90,-200,-200,-84,-70,-69,-200,-200,-89,-76,-87,-200,-86,-200,-81,-77,-82,-81,-200,-200,-89,-200,-80,-87,-84,-82,-200,-200,-200,-82,-200,-200,-200,-200,-200,-92,-86,-200,-200,-86,-200,-200,-200,-86,-87,-91
