,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D02A38,WHU-2018,WHU-2018
1526452253926,-36,-44,-49,-47,-52,-54,-53,-55,-50,-58,-55,-49,-65,-62,-53,-55,-58,-63,-60,-69,-70,-60,-60,-63,-70,-61,-58,-69,-67,-69,-73,-81,-81,-72,-82,-74,-68,-74,-82,-71,-84,-86,-200,-83,-200,-88,-200,-86,-200,-58,-69,-89,-69,-64,-85,-80,-83,-87,-200,-200,-200,-200,-200,-200,-82,-87,-90,-83,-64,-81,-86,-200,-200,-200,-200,-200,-200,-200
1526452256997,-35,-42,-45,-43,-53,-47,-53,-51,-47,-60,-52,-49,-65,-62,-54,-56,-57,-63,-58,-63,-68,-56,-60,-63,-69,-59,-58,-69,-68,-69,-72,-81,-81,-75,-81,-74,-68,-74,-82,-71,-84,-84,-200,-83,-90,-88,-200,-90,-200,-58,-75,-88,-69,-64,-85,-80,-83,-87,-200,-200,-200,-200,-200,-200,-82,-86,-200,-83,-63,-81,-86,-200,-200,-200,-200,-200,-200,-200
1526452260035,-37,-43,-45,-41,-53,-46,-53,-51,-51,-60,-55,-48,-65,-62,-51,-53,-53,-63,-54,-64,-69,-56,-62,-59,-71,-56,-58,-69,-68,-62,-73,-78,-81,-75,-84,-74,-68,-72,-85,-71,-84,-87,-200,-71,-90,-200,-200,-90,-200,-58,-75,-88,-69,-64,-85,-80,-82,-87,-200,-200,-200,-200,-200,-200,-82,-86,-200,-81,-63,-81,-86,-200,-200,-200,-200,-200,-200,-200
1526452263074,-37,-43,-45,-41,-51,-47,-53,-51,-45,-60,-53,-53,-200,-65,-52,-55,-54,-63,-50,-65,-69,-56,-61,-58,-70,-58,-64,-69,-71,-62,-73,-79,-81,-78,-83,-74,-72,-76,-85,-71,-200,-85,-200,-71,-90,-200,-200,-90,-200,-60,-71,-88,-69,-200,-85,-80,-82,-87,-200,-200,-200,-200,-200,-200,-200,-86,-93,-81,-63,-81,-86,-200,-200,-200,-200,-200,-200,-200
1526452266115,-36,-42,-45,-68,-45,-47,-52,-48,-46,-60,-54,-52,-200,-61,-52,-56,-52,-64,-50,-64,-65,-56,-64,-60,-74,-63,-70,-68,-75,-64,-73,-84,-80,-75,-81,-74,-73,-79,-85,-71,-200,-88,-70,-75,-90,-85,-200,-90,-200,-60,-71,-88,-69,-61,-77,-200,-82,-200,-200,-200,-85,-200,-200,-200,-200,-86,-93,-81,-63,-81,-86,-200,-200,-200,-200,-200,-200,-200
1526452269181,-35,-42,-45,-44,-50,-44,-52,-53,-50,-60,-56,-63,-200,-64,-52,-56,-56,-64,-62,-68,-67,-62,-61,-58,-76,-63,-63,-72,-75,-67,-74,-80,-80,-71,-86,-75,-73,-79,-82,-200,-200,-88,-75,-73,-90,-83,-200,-87,-200,-60,-75,-88,-200,-61,-77,-200,-83,-200,-200,-200,-85,-88,-200,-200,-200,-86,-93,-81,-69,-200,-200,-85,-200,-200,-200,-200,-200,-200
1526452272245,-39,-35,-49,-44,-50,-41,-52,-56,-49,-200,-52,-63,-200,-60,-50,-57,-56,-67,-57,-67,-67,-53,-65,-54,-75,-67,-58,-70,-71,-67,-70,-80,-80,-81,-81,-75,-82,-77,-84,-200,-200,-85,-75,-77,-84,-83,-200,-87,-200,-56,-79,-200,-63,-61,-74,-200,-83,-200,-200,-200,-85,-86,-200,-200,-200,-200,-93,-81,-68,-200,-200,-85,-83,-84,-92,-200,-200,-200
1526452275310,-39,-43,-44,-36,-47,-49,-56,-50,-45,-200,-59,-51,-200,-61,-47,-57,-56,-65,-57,-66,-64,-57,-64,-57,-71,-63,-72,-66,-70,-67,-70,-80,-80,-81,-84,-77,-82,-77,-82,-200,-200,-84,-75,-75,-84,-83,-200,-87,-200,-66,-75,-200,-63,-61,-75,-200,-83,-200,-200,-200,-85,-86,-200,-200,-200,-200,-93,-81,-68,-200,-200,-85,-83,-84,-92,-95,-200,-200
1526452278386,-37,-43,-46,-38,-45,-44,-56,-50,-47,-63,-56,-51,-59,-61,-47,-58,-51,-64,-54,-67,-65,-57,-61,-53,-69,-61,-72,-66,-69,-61,-70,-82,-80,-81,-80,-76,-74,-79,-82,-73,-78,-84,-75,-75,-84,-83,-88,-87,-200,-66,-71,-91,-63,-61,-75,-200,-83,-200,-200,-200,-85,-86,-200,-200,-200,-200,-200,-200,-68,-200,-200,-85,-83,-84,-92,-95,-86,-200
1526452281452,-37,-41,-46,-42,-45,-44,-53,-47,-47,-63,-53,-53,-59,-69,-54,-58,-55,-64,-54,-67,-65,-57,-61,-53,-69,-61,-72,-69,-69,-63,-70,-82,-200,-81,-80,-76,-74,-79,-82,-73,-78,-85,-75,-75,-84,-83,-88,-87,-200,-59,-71,-91,-63,-61,-75,-200,-83,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-70,-200,-88,-85,-84,-84,-92,-95,-86,-92
1526452284520,-38,-46,-44,-35,-45,-43,-53,-47,-47,-63,-49,-54,-59,-68,-53,-56,-54,-64,-56,-67,-65,-57,-61,-63,-69,-61,-73,-69,-70,-64,-68,-82,-200,-75,-77,-76,-71,-72,-82,-76,-78,-85,-81,-77,-84,-83,-88,-200,-200,-56,-74,-91,-60,-200,-79,-200,-77,-200,-200,-200,-200,-86,-200,-200,-84,-200,-200,-200,-70,-200,-88,-200,-84,-84,-92,-95,-86,-92
1526452287577,-35,-46,-47,-38,-45,-44,-53,-51,-47,-63,-53,-54,-59,-64,-50,-56,-56,-63,-52,-69,-65,-57,-61,-61,-70,-61,-66,-69,-68,-64,-68,-82,-200,-74,-77,-75,-71,-69,-82,-72,-78,-85,-81,-77,-200,-89,-88,-200,-200,-56,-74,-91,-60,-200,-79,-200,-77,-200,-200,-200,-200,-200,-200,-200,-84,-82,-200,-86,-70,-200,-88,-200,-84,-200,-200,-95,-86,-92
