,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
1526455740906,-63,-72,-73,-200,-86,-92,-78,-200,-200,-200,-200,-200,-90,-200,-200,-200
1526455741089,-63,-200,-75,-69,-88,-200,-79,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526455741297,-200,-64,-66,-69,-87,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200
1526455745897,-200,-65,-65,-69,-200,-200,-200,-83,-200,-200,-200,-94,-200,-200,-200,-200
1526455746011,-63,-200,-200,-68,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526455746130,-62,-64,-200,-68,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455746226,-63,-200,-200,-68,-200,-200,-200,-82,-200,-200,-200,-200,-200,-90,-200,-200
1526455750953,-200,-200,-200,-74,-200,-200,-200,-79,-200,-90,-200,-200,-87,-200,-90,-200
1526455751046,-70,-63,-200,-72,-200,-200,-86,-200,-200,-200,-200,-200,-87,-200,-90,-200
1526455751186,-70,-64,-66,-72,-200,-200,-86,-79,-200,-200,-200,-200,-88,-200,-200,-200
1526455751291,-70,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-94,-91,-200
1526455755891,-60,-63,-200,-68,-200,-200,-84,-200,-200,-84,-200,-200,-88,-200,-200,-200
1526455756013,-200,-64,-67,-67,-92,-90,-200,-200,-200,-84,-200,-92,-200,-200,-200,-200
1526455756144,-200,-63,-67,-200,-200,-91,-200,-200,-200,-83,-200,-200,-200,-200,-200,-101
1526455756241,-60,-200,-67,-67,-200,-89,-200,-200,-200,-84,-200,-200,-88,-200,-200,-200
1526455760891,-61,-200,-66,-200,-200,-200,-91,-200,-200,-85,-200,-200,-200,-200,-200,-200
1526455760987,-200,-65,-66,-68,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455761156,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455761265,-58,-63,-200,-68,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200
1526455761364,-68,-64,-200,-75,-200,-200,-84,-200,-200,-200,-200,-200,-86,-200,-200,-200
1526455765978,-68,-63,-68,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455766088,-68,-200,-68,-75,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200
1526455766242,-68,-200,-68,-75,-200,-200,-85,-200,-200,-200,-200,-200,-87,-200,-89,-200
1526455770871,-62,-63,-76,-64,-200,-200,-87,-87,-200,-200,-200,-200,-87,-200,-200,-200
1526455770975,-62,-64,-76,-64,-200,-90,-88,-86,-200,-85,-200,-200,-200,-200,-200,-200
1526455771084,-62,-63,-76,-200,-200,-89,-88,-86,-200,-84,-90,-200,-200,-200,-200,-200
1526455771188,-62,-63,-200,-64,-200,-90,-200,-87,-89,-200,-200,-200,-200,-200,-200,-200
1526455771303,-62,-65,-67,-67,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-88,-200
1526455775987,-61,-65,-200,-66,-200,-200,-90,-200,-200,-85,-200,-200,-87,-200,-88,-200
1526455776122,-61,-68,-67,-200,-200,-200,-90,-200,-200,-88,-200,-200,-200,-200,-200,-200
1526455776547,-66,-63,-67,-75,-200,-200,-200,-79,-200,-86,-200,-200,-87,-200,-90,-200
1526455780933,-69,-63,-66,-76,-200,-200,-84,-200,-200,-89,-200,-200,-200,-200,-89,-200
1526455781095,-69,-200,-66,-75,-200,-200,-85,-200,-200,-200,-90,-200,-200,-200,-200,-200
1526455781189,-200,-63,-67,-75,-200,-200,-83,-200,-200,-89,-200,-200,-200,-200,-200,-200
1526455781293,-63,-200,-67,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200
1526455785917,-64,-200,-77,-64,-200,-90,-88,-85,-200,-85,-200,-200,-86,-200,-200,-200
1526455786023,-63,-63,-78,-64,-88,-200,-86,-200,-200,-85,-90,-200,-200,-94,-200,-200
1526455786128,-200,-200,-78,-64,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-100
1526455786242,-70,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-99
