,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526456025907,-200,-200,-76,-81,-200,-200,-200,-200,-70,-200,-200,-200,-80,-86,-200,-200
1526456026087,-84,-200,-76,-200,-200,-84,-88,-200,-71,-200,-200,-200,-82,-200,-200,-200
1526456026191,-84,-200,-76,-200,-200,-84,-200,-200,-200,-200,-85,-200,-200,-200,-92,-200
1526456026307,-83,-88,-76,-200,-200,-91,-80,-200,-77,-92,-85,-200,-200,-81,-89,-200
1526456030968,-200,-200,-200,-67,-200,-92,-79,-200,-84,-200,-90,-200,-200,-200,-90,-200
1526456031076,-83,-200,-200,-67,-200,-200,-200,-200,-77,-200,-90,-200,-200,-81,-200,-200
1526456031204,-83,-88,-200,-67,-200,-200,-200,-200,-200,-200,-89,-101,-85,-81,-200,-200
1526456035873,-86,-200,-76,-81,-200,-200,-74,-88,-76,-200,-88,-200,-81,-200,-200,-200
1526456036027,-86,-200,-200,-81,-200,-200,-74,-200,-200,-200,-89,-200,-200,-200,-200,-200
1526456036164,-200,-200,-78,-81,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456036332,-200,-200,-77,-69,-200,-83,-84,-200,-200,-200,-86,-200,-200,-85,-90,-200
1526456040981,-85,-200,-200,-200,-200,-200,-200,-200,-72,-200,-86,-200,-82,-85,-90,-200
1526456041111,-200,-200,-200,-69,-200,-83,-84,-200,-200,-200,-200,-200,-82,-200,-200,-200
1526456041257,-200,-90,-61,-200,-200,-200,-85,-200,-200,-91,-86,-200,-200,-200,-90,-200
1526456045922,-200,-200,-61,-66,-200,-200,-79,-200,-200,-91,-90,-200,-85,-80,-200,-200
1526456046034,-200,-89,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-84,-200,-89,-200
1526456046128,-200,-200,-62,-67,-200,-200,-79,-200,-78,-200,-200,-200,-200,-80,-200,-200
1526456046243,-85,-200,-200,-67,-93,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456050896,-86,-200,-76,-81,-200,-200,-74,-200,-77,-200,-200,-200,-200,-91,-200,-200
1526456050995,-86,-200,-76,-81,-200,-200,-74,-88,-77,-200,-200,-200,-200,-200,-200,-200
1526456051107,-86,-200,-76,-81,-200,-200,-74,-88,-200,-200,-200,-200,-82,-200,-200,-200
1526456051221,-200,-200,-76,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526456055892,-87,-200,-74,-72,-200,-85,-200,-200,-200,-200,-85,-200,-82,-200,-200,-200
1526456056013,-200,-200,-74,-72,-200,-85,-83,-200,-200,-200,-85,-200,-200,-85,-92,-200
1526456056211,-200,-200,-200,-72,-200,-84,-200,-200,-200,-200,-200,-200,-82,-86,-200,-200
1526456061072,-200,-200,-59,-72,-200,-200,-200,-200,-77,-200,-200,-200,-86,-81,-200,-200
1526456061328,-87,-90,-60,-68,-200,-200,-80,-200,-77,-200,-200,-200,-85,-80,-90,-200
1526456061471,-200,-91,-200,-68,-200,-200,-80,-200,-77,-200,-200,-200,-200,-200,-89,-200
