,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
1526441152997,-200,-93,-200,-200,-82,-89,-76,-200,-200,-200,-200,-68,-94,-200,-200,-200,-84,-200,-200,-200
1526441153146,-200,-94,-74,-69,-200,-89,-200,-83,-85,-200,-83,-68,-94,-200,-81,-200,-84,-200,-200,-200
1526441153266,-200,-200,-200,-60,-81,-200,-200,-74,-200,-200,-83,-200,-95,-200,-200,-200,-200,-200,-200,-200
1526441157905,-81,-200,-59,-200,-85,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-83,-200,-200,-200
1526441158022,-200,-200,-59,-60,-200,-200,-200,-60,-200,-200,-81,-65,-93,-200,-200,-84,-83,-200,-200,-200
1526441158123,-200,-200,-60,-60,-200,-200,-200,-60,-200,-200,-81,-65,-200,-200,-85,-200,-82,-200,-200,-200
1526441158277,-200,-200,-200,-200,-200,-200,-200,-60,-84,-200,-200,-65,-94,-200,-200,-84,-83,-200,-200,-200
1526441162902,-200,-200,-59,-58,-77,-200,-200,-62,-200,-200,-85,-200,-200,-89,-200,-200,-200,-200,-200,-200
1526441162997,-80,-93,-59,-58,-77,-89,-75,-62,-200,-200,-200,-67,-200,-200,-86,-200,-200,-200,-200,-200
1526441163113,-80,-200,-59,-58,-78,-88,-75,-62,-200,-200,-200,-67,-200,-88,-200,-200,-200,-200,-99,-200
1526441163244,-200,-200,-59,-200,-77,-90,-78,-65,-200,-200,-84,-67,-200,-200,-84,-200,-200,-200,-200,-200
1526441167970,-82,-200,-73,-67,-85,-200,-200,-66,-200,-200,-200,-72,-200,-200,-84,-200,-200,-200,-200,-86
1526441168090,-82,-91,-73,-67,-84,-200,-78,-65,-200,-200,-200,-200,-200,-200,-84,-200,-82,-200,-200,-200
1526441168194,-81,-90,-74,-68,-200,-90,-200,-66,-86,-200,-200,-200,-93,-200,-200,-88,-200,-200,-200,-86
1526441172887,-200,-200,-58,-59,-200,-200,-79,-61,-200,-200,-200,-65,-200,-200,-85,-200,-84,-200,-200,-200
1526441172989,-200,-200,-58,-59,-200,-200,-200,-61,-82,-200,-200,-66,-92,-200,-86,-200,-200,-200,-200,-200
1526441173114,-200,-88,-58,-59,-86,-200,-200,-61,-83,-200,-200,-65,-200,-200,-86,-84,-200,-200,-200,-200
1526441173186,-200,-200,-58,-200,-86,-200,-78,-61,-82,-200,-79,-66,-93,-200,-86,-200,-200,-200,-200,-200
1526441173299,-200,-200,-200,-64,-200,-200,-200,-61,-200,-200,-94,-200,-200,-200,-200,-200,-84,-200,-200,-200
1526441177924,-200,-200,-63,-63,-200,-200,-82,-68,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200
1526441178029,-83,-200,-63,-200,-200,-92,-200,-74,-200,-200,-200,-72,-200,-89,-87,-200,-200,-200,-200,-96
1526441178163,-200,-200,-60,-60,-200,-200,-200,-63,-200,-200,-200,-200,-200,-88,-200,-200,-87,-87,-200,-200
1526441178271,-83,-200,-60,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200
1526441182898,-84,-200,-200,-200,-200,-90,-77,-63,-200,-200,-84,-69,-92,-200,-200,-200,-200,-200,-200,-85
1526441182999,-84,-200,-78,-68,-87,-92,-200,-63,-200,-200,-200,-69,-92,-200,-84,-86,-200,-200,-200,-85
1526441183099,-84,-200,-200,-68,-86,-90,-200,-200,-200,-200,-200,-200,-200,-84,-84,-200,-200,-200,-200,-200
1526441183209,-84,-89,-77,-68,-200,-200,-77,-63,-200,-200,-83,-69,-200,-85,-200,-200,-200,-200,-200,-200
1526441187916,-200,-200,-62,-60,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441188018,-79,-200,-62,-60,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-85,-84,-200,-200,-200,-200
1526441188135,-81,-92,-62,-59,-200,-200,-68,-200,-200,-200,-200,-69,-200,-200,-86,-200,-86,-200,-200,-200
