,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,WHU-2018
1526448548791,-24,-45,-61,-41,-52,-50,-52,-48,-200,-78,-61,-66,-72,-53,-64,-71,-68,-78,-60,-63,-70,-68,-71,-75,-68,-71,-57,-78,-75,-77,-200,-83,-200,-84,-77,-77,-200,-50,-200,-200,-62,-200,-77,-200,-72,-200,-200,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-80,-68,-85,-85,-200,-200,-65,-200,-73,-85,-86,-85,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526448551834,-27,-43,-64,-40,-76,-51,-51,-47,-54,-55,-65,-63,-72,-55,-65,-200,-67,-67,-59,-64,-200,-66,-200,-77,-70,-72,-64,-76,-80,-73,-75,-200,-200,-85,-77,-81,-200,-86,-200,-200,-62,-200,-77,-200,-72,-200,-200,-86,-88,-200,-200,-200,-88,-200,-200,-84,-200,-200,-200,-200,-200,-200,-67,-85,-200,-78,-80,-74,-200,-200,-86,-200,-78,-90,-86,-90,-200,-200,-200,-200,-200,-200
1526448554841,-28,-45,-60,-43,-50,-53,-58,-47,-56,-57,-63,-73,-64,-55,-65,-200,-65,-82,-62,-59,-200,-65,-85,-76,-73,-74,-64,-73,-73,-74,-74,-200,-200,-85,-77,-81,-200,-85,-84,-200,-64,-200,-77,-200,-74,-200,-200,-86,-88,-200,-200,-200,-83,-200,-200,-84,-200,-200,-200,-200,-200,-200,-67,-85,-200,-78,-80,-74,-200,-77,-86,-200,-78,-90,-86,-90,-86,-88,-200,-200,-200,-200
1526448557846,-30,-43,-65,-41,-51,-49,-65,-46,-50,-59,-63,-63,-67,-55,-61,-77,-65,-81,-59,-64,-66,-70,-72,-76,-76,-91,-200,-79,-78,-74,-73,-200,-200,-200,-77,-200,-200,-87,-84,-200,-59,-200,-200,-200,-74,-200,-83,-86,-87,-200,-200,-86,-83,-200,-200,-200,-200,-200,-200,-81,-200,-69,-78,-76,-200,-200,-200,-200,-200,-79,-200,-200,-200,-90,-200,-87,-86,-88,-200,-200,-200,-200
1526448560851,-27,-37,-65,-41,-49,-51,-54,-47,-54,-53,-61,-63,-68,-54,-59,-77,-74,-81,-62,-63,-69,-70,-70,-76,-74,-91,-74,-78,-80,-74,-73,-200,-200,-78,-77,-200,-200,-87,-84,-200,-59,-200,-76,-200,-69,-200,-83,-86,-87,-200,-200,-86,-83,-200,-200,-79,-200,-86,-88,-81,-200,-69,-78,-76,-200,-200,-200,-200,-200,-79,-200,-200,-200,-90,-200,-87,-86,-88,-78,-90,-200,-200
1526448563914,-25,-44,-65,-46,-52,-49,-52,-46,-55,-67,-76,-63,-65,-56,-63,-77,-63,-78,-62,-59,-69,-59,-75,-76,-49,-80,-74,-78,-82,-74,-79,-200,-200,-78,-78,-73,-200,-49,-200,-200,-60,-200,-76,-200,-74,-200,-83,-200,-87,-200,-200,-89,-200,-200,-200,-79,-200,-86,-88,-76,-200,-69,-78,-76,-200,-200,-200,-200,-200,-79,-84,-200,-200,-200,-200,-87,-200,-200,-78,-90,-200,-200
1526448566918,-27,-42,-200,-49,-52,-56,-51,-44,-64,-62,-64,-200,-62,-54,-65,-73,-67,-76,-66,-60,-68,-67,-75,-200,-74,-74,-200,-76,-75,-72,-74,-200,-200,-200,-81,-73,-85,-81,-200,-85,-63,-200,-200,-200,-74,-200,-200,-200,-200,-89,-200,-89,-200,-200,-77,-74,-200,-200,-88,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-83,-200,-87,-200
1526448569933,-25,-38,-64,-41,-59,-48,-51,-46,-57,-64,-75,-85,-62,-55,-68,-76,-65,-75,-65,-60,-75,-67,-73,-200,-68,-75,-200,-82,-76,-72,-79,-74,-200,-80,-76,-73,-85,-84,-200,-85,-63,-200,-200,-200,-73,-200,-200,-200,-200,-89,-200,-89,-85,-200,-80,-81,-70,-200,-91,-76,-200,-200,-200,-81,-200,-200,-200,-200,-200,-83,-84,-200,-200,-200,-200,-86,-200,-200,-83,-200,-87,-200
1526448572937,-30,-36,-64,-42,-53,-50,-54,-48,-57,-68,-71,-66,-62,-58,-69,-82,-63,-77,-66,-66,-70,-62,-73,-200,-69,-76,-75,-82,-79,-200,-80,-74,-200,-86,-76,-200,-200,-86,-200,-200,-63,-200,-73,-200,-73,-200,-200,-200,-200,-200,-200,-200,-84,-200,-80,-81,-70,-200,-88,-74,-200,-200,-200,-81,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-86,-200,-200,-79,-200,-200,-200
1526448575992,-25,-40,-64,-46,-58,-55,-53,-46,-59,-63,-71,-66,-68,-55,-65,-82,-63,-77,-69,-59,-76,-62,-73,-200,-69,-76,-71,-87,-80,-78,-88,-74,-200,-83,-77,-200,-200,-84,-200,-200,-61,-200,-73,-200,-73,-200,-200,-200,-88,-200,-200,-200,-84,-200,-75,-81,-70,-200,-88,-74,-200,-200,-200,-81,-200,-200,-200,-73,-200,-78,-200,-200,-84,-200,-200,-86,-200,-200,-79,-200,-200,-200
1526448579047,-25,-38,-64,-40,-58,-50,-51,-48,-57,-53,-71,-200,-67,-56,-72,-200,-63,-76,-63,-62,-71,-67,-200,-200,-69,-74,-71,-81,-75,-78,-88,-200,-200,-64,-75,-73,-200,-83,-200,-200,-63,-200,-75,-200,-75,-200,-200,-85,-88,-200,-200,-85,-86,-200,-75,-83,-84,-200,-200,-74,-200,-200,-200,-81,-200,-200,-200,-73,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-86,-89
1526448582095,-28,-34,-62,-40,-200,-58,-51,-49,-57,-64,-75,-75,-67,-56,-89,-200,-67,-80,-64,-64,-73,-69,-78,-200,-70,-76,-200,-82,-73,-200,-80,-200,-200,-78,-74,-73,-200,-85,-200,-200,-59,-200,-75,-200,-75,-200,-200,-82,-200,-200,-200,-85,-86,-200,-75,-83,-84,-200,-200,-74,-200,-200,-200,-81,-200,-200,-200,-77,-200,-81,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-86,-87
