,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DQKJ,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,DLINK_D02A10,WHU-2018,whu2011309,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526454745753,-15,-18,-48,-41,-40,-51,-58,-60,-58,-56,-54,-45,-70,-58,-65,-64,-70,-80,-62,-60,-77,-82,-64,-200,-74,-200,-54,-70,-59,-68,-53,-77,-57,-73,-65,-68,-67,-67,-68,-79,-77,-73,-80,-81,-81,-69,-78,-70,-81,-80,-67,-73,-87,-79,-200,-200,-74,-78,-200,-83,-81,-77,-82,-78,-84,-75,-82,-72,-200,-78,-82,-200,-86,-200,-63,-69,-200,-78,-81,-83,-85,-200,-85,-86,-87,-200,-61,-78,-80,-200,-81,-200,-87,-85,-88,-200,-78,-200,-85,-70,-200,-88,-86,-89,-91,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526454748803,-23,-37,-52,-40,-42,-49,-49,-59,-59,-57,-54,-35,-68,-53,-58,-61,-72,-80,-61,-55,-68,-82,-55,-200,-76,-200,-55,-65,-59,-68,-56,-66,-56,-73,-65,-60,-63,-67,-68,-79,-76,-74,-81,-70,-81,-69,-78,-200,-80,-77,-71,-81,-87,-79,-200,-200,-80,-82,-200,-83,-80,-81,-83,-78,-82,-74,-80,-75,-200,-82,-80,-200,-86,-200,-63,-69,-200,-76,-76,-83,-84,-200,-85,-86,-87,-200,-57,-200,-80,-200,-77,-200,-87,-84,-88,-200,-78,-200,-86,-70,-200,-88,-86,-200,-200,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526454751858,-21,-37,-51,-40,-42,-49,-44,-59,-49,-55,-53,-41,-68,-58,-57,-65,-71,-80,-61,-55,-70,-75,-57,-200,-76,-200,-56,-73,-59,-65,-66,-64,-59,-74,-65,-62,-52,-67,-200,-75,-78,-73,-81,-70,-82,-73,-78,-200,-81,-77,-71,-81,-87,-78,-200,-200,-69,-80,-200,-83,-81,-81,-83,-88,-82,-74,-78,-75,-200,-82,-80,-200,-89,-200,-63,-69,-73,-77,-77,-83,-83,-200,-85,-86,-87,-200,-57,-200,-81,-200,-81,-200,-86,-84,-88,-200,-78,-91,-86,-68,-200,-88,-86,-200,-200,-88,-91,-82,-87,-200,-200,-200,-200,-200,-200
1526454754896,-20,-34,-51,-41,-40,-48,-50,-59,-52,-66,-53,-42,-68,-53,-57,-66,-71,-83,-61,-59,-70,-75,-56,-86,-77,-73,-55,-72,-59,-68,-67,-64,-60,-74,-65,-62,-65,-66,-200,-79,-78,-77,-81,-70,-83,-73,-78,-200,-82,-79,-71,-81,-85,-78,-200,-200,-69,-79,-200,-83,-81,-80,-83,-80,-82,-74,-78,-75,-200,-82,-83,-200,-89,-200,-200,-68,-73,-76,-79,-83,-86,-200,-200,-200,-200,-200,-57,-200,-81,-92,-81,-88,-86,-84,-88,-200,-78,-91,-86,-68,-200,-88,-89,-200,-200,-88,-91,-82,-87,-82,-200,-200,-200,-200,-200
1526454757949,-23,-35,-49,-39,-40,-49,-49,-57,-52,-44,-54,-41,-70,-53,-57,-65,-71,-83,-59,-55,-67,-75,-52,-86,-77,-73,-54,-72,-59,-68,-67,-65,-57,-73,-65,-59,-64,-66,-71,-79,-77,-69,-80,-68,-83,-74,-76,-200,-81,-77,-68,-81,-88,-78,-200,-200,-69,-80,-200,-83,-81,-79,-83,-78,-80,-73,-79,-81,-200,-81,-83,-200,-89,-200,-200,-55,-76,-78,-79,-84,-86,-200,-200,-200,-88,-200,-57,-200,-80,-92,-81,-88,-86,-85,-200,-200,-79,-91,-86,-68,-200,-200,-89,-200,-200,-88,-200,-82,-87,-82,-75,-200,-200,-200,-200
1526454760993,-15,-40,-50,-39,-48,-49,-44,-58,-57,-56,-53,-41,-68,-52,-57,-63,-70,-83,-61,-53,-70,-75,-58,-86,-77,-73,-54,-72,-59,-68,-68,-64,-57,-73,-65,-57,-64,-66,-73,-77,-77,-69,-89,-79,-82,-74,-76,-200,-76,-78,-71,-82,-88,-78,-200,-200,-74,-79,-200,-82,-80,-79,-83,-77,-80,-74,-76,-81,-200,-82,-81,-200,-89,-93,-200,-68,-87,-77,-79,-84,-84,-200,-200,-200,-88,-200,-63,-200,-80,-92,-81,-88,-86,-85,-200,-200,-79,-91,-84,-70,-200,-200,-88,-200,-200,-88,-200,-82,-87,-82,-83,-84,-200,-200,-200
1526454764038,-21,-36,-52,-39,-42,-50,-45,-56,-51,-56,-53,-38,-68,-53,-58,-63,-70,-83,-61,-57,-69,-200,-55,-86,-77,-75,-57,-73,-59,-68,-68,-64,-57,-73,-65,-61,-62,-66,-68,-78,-77,-73,-80,-68,-82,-74,-76,-200,-76,-77,-69,-75,-85,-87,-200,-200,-67,-79,-200,-83,-81,-79,-83,-79,-80,-69,-78,-79,-200,-82,-82,-200,-200,-93,-67,-69,-87,-78,-79,-83,-85,-200,-200,-200,-88,-200,-63,-200,-80,-92,-79,-88,-86,-85,-200,-200,-78,-91,-84,-66,-200,-200,-88,-87,-200,-91,-200,-200,-200,-82,-83,-84,-75,-200,-200
1526454767080,-23,-38,-54,-40,-42,-49,-50,-56,-56,-56,-51,-41,-68,-53,-58,-61,-70,-200,-64,-54,-69,-74,-56,-200,-200,-75,-55,-72,-60,-68,-67,-64,-61,-74,-65,-59,-61,-69,-70,-72,-77,-73,-80,-68,-83,-71,-76,-200,-75,-77,-67,-82,-85,-80,-200,-200,-66,-79,-200,-82,-80,-79,-89,-83,-81,-73,-77,-79,-200,-80,-83,-200,-200,-93,-67,-69,-87,-78,-77,-82,-86,-86,-200,-200,-88,-90,-63,-200,-80,-200,-75,-200,-86,-85,-200,-200,-78,-90,-85,-66,-200,-89,-88,-87,-200,-91,-200,-82,-88,-200,-83,-84,-75,-76,-200
1526454770121,-23,-35,-50,-40,-40,-49,-50,-60,-92,-68,-54,-41,-67,-53,-58,-62,-71,-200,-70,-60,-71,-74,-56,-200,-200,-73,-63,-74,-59,-68,-70,-63,-92,-73,-65,-61,-72,-67,-73,-72,-77,-73,-82,-68,-81,-71,-76,-200,-75,-77,-62,-82,-85,-80,-200,-200,-68,-78,-200,-84,-80,-80,-84,-79,-83,-74,-81,-79,-200,-83,-83,-200,-87,-90,-67,-70,-87,-78,-79,-83,-85,-86,-200,-200,-200,-90,-63,-200,-80,-91,-75,-200,-86,-200,-200,-200,-77,-90,-85,-66,-200,-89,-86,-87,-200,-89,-200,-82,-88,-200,-83,-84,-75,-76,-200
1526454773151,-21,-38,-50,-40,-40,-50,-49,-53,-51,-55,-53,-36,-70,-58,-59,-63,-68,-200,-56,-62,-71,-74,-55,-200,-200,-74,-55,-73,-59,-68,-70,-67,-92,-74,-65,-60,-65,-69,-71,-78,-78,-72,-81,-68,-81,-75,-78,-200,-77,-78,-62,-82,-85,-80,-200,-200,-73,-80,-200,-84,-81,-79,-84,-87,-83,-74,-80,-79,-200,-83,-80,-200,-87,-90,-67,-70,-200,-77,-79,-83,-85,-86,-86,-83,-200,-90,-62,-200,-80,-91,-76,-200,-86,-85,-88,-200,-77,-89,-85,-66,-200,-90,-86,-87,-200,-90,-200,-82,-88,-86,-200,-200,-75,-76,-200
1526454776189,-21,-36,-49,-40,-41,-49,-50,-59,-52,-57,-53,-43,-69,-52,-58,-65,-70,-200,-62,-53,-71,-75,-55,-88,-200,-74,-56,-72,-59,-68,-66,-67,-59,-73,-65,-62,-65,-67,-71,-77,-77,-74,-81,-70,-82,-71,-78,-200,-75,-78,-68,-67,-90,-78,-200,-200,-51,-83,-200,-84,-81,-79,-81,-78,-83,-73,-78,-76,-200,-82,-82,-200,-87,-90,-200,-70,-200,-78,-82,-83,-85,-86,-86,-83,-86,-90,-62,-200,-80,-91,-76,-200,-86,-85,-88,-200,-77,-89,-85,-67,-200,-90,-86,-200,-200,-90,-200,-82,-88,-86,-200,-200,-200,-76,-86
1526454779226,-22,-36,-51,-42,-42,-51,-49,-62,-53,-57,-52,-39,-71,-55,-60,-62,-69,-200,-66,-56,-70,-73,-56,-88,-200,-74,-54,-72,-59,-68,-66,-67,-59,-69,-51,-59,-65,-66,-71,-77,-77,-74,-82,-71,-83,-73,-80,-76,-75,-78,-68,-67,-90,-78,-200,-200,-72,-83,-200,-85,-79,-81,-81,-79,-84,-73,-78,-77,-200,-81,-82,-200,-87,-90,-200,-71,-73,-76,-80,-83,-87,-77,-84,-85,-86,-200,-62,-200,-82,-91,-76,-200,-200,-85,-88,-200,-78,-89,-83,-67,-200,-90,-86,-200,-200,-90,-200,-82,-88,-86,-200,-200,-200,-86,-86
