,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011309,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro
1526454811505,-31,-32,-41,-49,-49,-49,-51,-50,-53,-39,-76,-53,-45,-49,-49,-47,-59,-61,-59,-63,-70,-61,-200,-79,-71,-72,-50,-74,-78,-56,-73,-74,-84,-74,-64,-58,-66,-75,-81,-73,-81,-83,-73,-200,-200,-76,-78,-77,-85,-70,-67,-82,-72,-200,-66,-84,-78,-73,-84,-75,-66,-200,-77,-90,-76,-79,-75,-91,-200,-77,-200,-83,-200,-200,-76,-71,-200,-78,-200,-78,-83,-84,-67,-200,-77,-200,-200,-87,-80,-81,-83,-82,-200,-89,-91,-87,-200,-200,-200,-86,-89,-90,-86,-82,-85,-92,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454811877,-33,-37,-39,-50,-46,-55,-51,-50,-55,-36,-76,-54,-46,-50,-49,-48,-53,-59,-59,-57,-70,-62,-200,-80,-70,-71,-62,-76,-76,-62,-73,-75,-84,-74,-64,-61,-69,-77,-82,-70,-73,-87,-73,-200,-200,-76,-77,-78,-85,-70,-64,-78,-72,-83,-66,-79,-78,-71,-84,-81,-64,-200,-77,-90,-75,-79,-75,-89,-83,-78,-82,-81,-200,-200,-76,-76,-200,-78,-200,-77,-81,-85,-68,-200,-76,-200,-200,-86,-200,-81,-83,-82,-200,-89,-91,-87,-200,-200,-200,-200,-90,-90,-86,-82,-85,-92,-92,-77,-85,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454814544,-32,-35,-39,-50,-50,-53,-51,-50,-56,-41,-76,-51,-45,-48,-51,-42,-51,-59,-59,-57,-70,-61,-200,-80,-70,-75,-66,-71,-77,-62,-75,-75,-84,-73,-66,-62,-66,-76,-80,-70,-73,-86,-200,-200,-200,-73,-75,-78,-85,-70,-69,-79,-71,-83,-66,-77,-78,-78,-84,-81,-70,-87,-77,-89,-75,-82,-75,-89,-83,-50,-82,-82,-200,-200,-78,-69,-200,-78,-200,-77,-81,-85,-69,-200,-77,-200,-200,-86,-200,-81,-83,-200,-86,-89,-91,-87,-200,-200,-200,-87,-90,-89,-86,-83,-85,-92,-92,-77,-85,-90,-91,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526454814926,-32,-35,-39,-50,-50,-53,-51,-50,-56,-41,-76,-51,-45,-48,-51,-42,-51,-59,-59,-57,-70,-61,-200,-80,-70,-75,-66,-71,-77,-62,-75,-75,-84,-73,-66,-62,-66,-76,-80,-70,-73,-86,-200,-200,-200,-73,-75,-78,-85,-70,-69,-79,-71,-83,-66,-77,-78,-78,-84,-81,-70,-87,-77,-89,-75,-82,-75,-89,-83,-50,-82,-82,-200,-200,-78,-69,-200,-78,-200,-77,-81,-85,-69,-200,-77,-200,-200,-86,-200,-81,-83,-200,-86,-89,-91,-87,-200,-200,-200,-87,-90,-89,-86,-83,-85,-92,-92,-77,-85,-90,-91,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526454817561,-32,-36,-40,-51,-49,-57,-49,-49,-54,-37,-77,-51,-46,-49,-44,-47,-51,-58,-59,-65,-200,-62,-200,-79,-68,-75,-60,-71,-78,-60,-72,-78,-81,-73,-59,-63,-70,-77,-80,-68,-69,-84,-200,-200,-200,-76,-72,-78,-86,-70,-63,-79,-68,-83,-68,-77,-78,-62,-200,-77,-64,-85,-78,-89,-73,-73,-75,-89,-83,-76,-82,-83,-200,-200,-80,-71,-200,-77,-200,-80,-81,-81,-69,-200,-75,-200,-200,-86,-86,-82,-200,-200,-86,-87,-91,-87,-200,-200,-200,-87,-90,-89,-86,-83,-85,-200,-92,-77,-85,-90,-91,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526454817964,-32,-36,-40,-51,-49,-57,-49,-49,-54,-37,-77,-51,-46,-49,-44,-47,-51,-58,-59,-65,-200,-62,-200,-79,-68,-75,-60,-71,-78,-60,-72,-78,-81,-73,-59,-63,-70,-77,-80,-68,-69,-84,-200,-200,-200,-76,-72,-78,-86,-70,-63,-79,-68,-83,-68,-77,-78,-62,-200,-77,-64,-85,-78,-89,-73,-73,-75,-89,-83,-76,-82,-83,-200,-200,-80,-71,-200,-77,-200,-80,-81,-81,-69,-200,-75,-200,-200,-86,-86,-82,-200,-200,-86,-87,-91,-87,-200,-200,-200,-87,-90,-89,-86,-83,-85,-200,-92,-77,-85,-90,-91,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526454820610,-26,-37,-41,-52,-49,-53,-53,-48,-57,-39,-75,-51,-46,-49,-50,-44,-52,-59,-58,-68,-69,-61,-75,-80,-72,-75,-65,-67,-77,-63,-72,-76,-80,-73,-61,-63,-64,-77,-77,-71,-69,-86,-200,-200,-200,-76,-72,-78,-86,-200,-68,-79,-71,-82,-68,-77,-78,-77,-200,-78,-64,-85,-78,-89,-73,-73,-74,-89,-83,-77,-93,-83,-200,-200,-80,-70,-200,-78,-200,-80,-81,-82,-69,-200,-75,-200,-200,-86,-87,-80,-200,-200,-86,-89,-91,-87,-200,-200,-200,-87,-90,-90,-86,-81,-90,-200,-200,-77,-85,-90,-91,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526454821004,-26,-37,-41,-52,-49,-53,-53,-48,-57,-39,-75,-51,-46,-49,-50,-44,-52,-59,-58,-68,-69,-61,-75,-80,-72,-75,-65,-67,-77,-63,-72,-76,-80,-73,-61,-63,-64,-77,-77,-71,-69,-86,-200,-200,-200,-76,-72,-78,-86,-200,-68,-79,-71,-82,-68,-77,-78,-77,-200,-78,-64,-85,-78,-89,-73,-73,-74,-89,-83,-77,-93,-83,-200,-200,-80,-70,-200,-78,-200,-80,-81,-82,-69,-200,-75,-200,-200,-86,-87,-80,-200,-200,-86,-89,-91,-87,-200,-200,-200,-87,-90,-90,-86,-81,-90,-200,-200,-77,-85,-90,-91,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526454823660,-30,-32,-40,-50,-45,-51,-51,-48,-57,-38,-75,-50,-46,-49,-47,-44,-56,-61,-58,-61,-68,-58,-75,-80,-72,-75,-61,-67,-77,-63,-74,-74,-80,-76,-63,-63,-65,-76,-80,-77,-71,-86,-200,-200,-200,-78,-73,-76,-86,-200,-68,-79,-72,-82,-61,-76,-78,-77,-200,-75,-64,-86,-81,-88,-74,-79,-76,-89,-80,-77,-93,-82,-200,-200,-79,-70,-200,-78,-200,-80,-78,-82,-68,-200,-75,-200,-200,-200,-87,-80,-86,-200,-86,-89,-89,-200,-200,-200,-200,-87,-90,-91,-86,-81,-84,-200,-200,-200,-200,-200,-200,-89,-81,-200,-200,-200,-200,-200,-200,-200
1526454824045,-30,-32,-40,-50,-45,-51,-51,-48,-57,-38,-75,-50,-46,-49,-47,-44,-56,-61,-58,-61,-68,-58,-75,-80,-72,-75,-61,-67,-77,-63,-74,-74,-80,-76,-63,-63,-65,-76,-80,-77,-71,-86,-200,-200,-200,-78,-73,-76,-86,-200,-68,-79,-72,-82,-61,-76,-78,-77,-200,-75,-64,-86,-81,-88,-74,-79,-76,-89,-80,-77,-93,-82,-200,-200,-79,-70,-200,-78,-200,-80,-78,-82,-68,-200,-75,-200,-200,-200,-87,-80,-86,-200,-86,-89,-89,-200,-200,-200,-200,-87,-90,-91,-86,-81,-84,-200,-200,-200,-200,-200,-200,-89,-81,-200,-200,-200,-200,-200,-200,-200
1526454826676,-31,-35,-40,-50,-49,-53,-50,-50,-57,-38,-74,-53,-44,-47,-49,-45,-52,-60,-59,-60,-74,-60,-75,-80,-70,-71,-65,-66,-76,-63,-72,-74,-83,-75,-62,-63,-68,-78,-74,-73,-71,-84,-200,-200,-200,-73,-77,-79,-90,-74,-67,-78,-73,-82,-48,-77,-78,-72,-200,-75,-60,-86,-81,-92,-76,-79,-74,-89,-81,-77,-93,-85,-200,-84,-78,-75,-200,-79,-200,-67,-78,-81,-68,-84,-200,-200,-200,-88,-87,-81,-86,-88,-200,-89,-89,-88,-200,-200,-200,-85,-89,-91,-88,-82,-84,-200,-200,-200,-200,-200,-200,-200,-81,-74,-200,-200,-200,-200,-200,-200
1526454827086,-31,-35,-40,-50,-49,-53,-50,-50,-57,-38,-74,-53,-44,-47,-49,-45,-52,-60,-59,-60,-74,-60,-75,-80,-70,-71,-65,-66,-76,-63,-72,-74,-83,-75,-62,-63,-68,-78,-74,-73,-71,-84,-200,-200,-200,-73,-77,-79,-90,-74,-67,-78,-73,-82,-48,-77,-78,-72,-200,-75,-60,-86,-81,-92,-76,-79,-74,-89,-81,-77,-93,-85,-200,-84,-78,-75,-200,-79,-200,-67,-78,-81,-68,-84,-200,-200,-200,-88,-87,-81,-86,-88,-200,-89,-89,-88,-200,-200,-200,-85,-89,-91,-88,-82,-84,-200,-200,-200,-200,-200,-200,-200,-81,-74,-200,-200,-200,-200,-200,-200
1526454829725,-32,-36,-40,-49,-46,-53,-50,-49,-57,-37,-77,-47,-47,-48,-50,-46,-51,-60,-49,-64,-68,-61,-200,-79,-69,-71,-63,-70,-75,-62,-73,-76,-83,-75,-62,-61,-69,-78,-80,-73,-70,-72,-200,-76,-200,-78,-76,-79,-87,-75,-67,-78,-73,-200,-69,-77,-79,-72,-200,-75,-65,-86,-81,-91,-77,-79,-74,-89,-81,-76,-200,-85,-200,-84,-78,-70,-200,-79,-200,-78,-84,-81,-68,-84,-200,-200,-200,-88,-88,-80,-86,-88,-200,-86,-89,-88,-200,-200,-200,-86,-89,-91,-85,-82,-84,-200,-200,-200,-200,-200,-200,-200,-81,-74,-200,-200,-200,-200,-200,-200
1526454830124,-32,-36,-40,-49,-46,-53,-50,-49,-57,-37,-77,-47,-47,-48,-50,-46,-51,-60,-49,-64,-68,-61,-200,-79,-69,-71,-63,-70,-75,-62,-73,-76,-83,-75,-62,-61,-69,-78,-80,-73,-70,-72,-200,-76,-200,-78,-76,-79,-87,-75,-67,-78,-73,-200,-69,-77,-79,-72,-200,-75,-65,-86,-81,-91,-77,-79,-74,-89,-81,-76,-200,-85,-200,-84,-78,-70,-200,-79,-200,-78,-84,-81,-68,-84,-200,-200,-200,-88,-88,-80,-86,-88,-200,-86,-89,-88,-200,-200,-200,-86,-89,-91,-85,-82,-84,-200,-200,-200,-200,-200,-200,-200,-81,-74,-200,-200,-200,-200,-200,-200
1526454832743,-29,-36,-41,-49,-42,-51,-50,-50,-56,-38,-77,-51,-45,-49,-48,-47,-51,-60,-58,-60,-68,-61,-200,-79,-71,-71,-62,-70,-77,-57,-73,-76,-81,-75,-60,-63,-66,-73,-80,-70,-71,-83,-200,-76,-200,-78,-76,-79,-87,-75,-67,-78,-73,-200,-64,-79,-79,-71,-200,-76,-64,-86,-200,-91,-74,-79,-74,-200,-81,-75,-200,-82,-200,-84,-78,-70,-200,-79,-200,-78,-84,-86,-67,-85,-200,-200,-200,-86,-88,-80,-86,-88,-200,-86,-90,-88,-200,-200,-200,-85,-89,-91,-85,-82,-200,-200,-200,-200,-200,-200,-88,-200,-200,-74,-86,-200,-200,-200,-200,-200
1526454833141,-29,-36,-41,-49,-42,-51,-50,-50,-56,-38,-77,-51,-45,-49,-48,-47,-51,-60,-58,-60,-68,-61,-200,-79,-71,-71,-62,-70,-77,-57,-73,-76,-81,-75,-60,-63,-66,-73,-80,-70,-71,-83,-200,-76,-200,-78,-76,-79,-87,-75,-67,-78,-73,-200,-64,-79,-79,-71,-200,-76,-64,-86,-200,-91,-74,-79,-74,-200,-81,-75,-200,-82,-200,-84,-78,-70,-200,-79,-200,-78,-84,-86,-67,-85,-200,-200,-200,-86,-88,-80,-86,-88,-200,-86,-90,-88,-200,-200,-200,-85,-89,-91,-85,-82,-200,-200,-200,-200,-200,-200,-88,-200,-200,-74,-86,-200,-200,-200,-200,-200
