,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,whu2011309,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DQKJ,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,whu2011314,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526454300714,-36,-35,-44,-43,-49,-48,-61,-59,-65,-55,-53,-39,-62,-55,-59,-54,-54,-52,-54,-74,-66,-63,-67,-60,-74,-77,-58,-77,-76,-65,-75,-62,-77,-69,-62,-77,-69,-78,-59,-73,-79,-64,-200,-75,-78,-84,-80,-82,-82,-200,-82,-71,-83,-79,-79,-73,-76,-68,-77,-84,-84,-200,-75,-82,-83,-84,-81,-80,-80,-84,-200,-85,-82,-88,-82,-200,-200,-87,-85,-200,-88,-86,-200,-200,-200,-90,-90,-200,-81,-82,-200,-200,-91,-200,-200,-200,-72,-75,-78,-75,-73,-200,-90,-88,-200,-83,-200,-91,-84,-200,-84,-200,-80,-200,-65,-92,-92,-59,-84,-200,-200
1526454303758,-43,-35,-43,-43,-48,-48,-70,-59,-63,-56,-52,-40,-62,-56,-57,-55,-58,-52,-57,-77,-66,-63,-68,-60,-76,-78,-58,-77,-78,-67,-87,-62,-77,-64,-69,-70,-65,-78,-47,-70,-78,-68,-200,-76,-78,-85,-81,-80,-81,-200,-83,-72,-77,-76,-81,-71,-75,-70,-78,-82,-84,-200,-74,-58,-85,-85,-80,-83,-80,-84,-75,-84,-81,-88,-81,-200,-200,-85,-85,-200,-85,-89,-200,-200,-200,-90,-91,-200,-82,-82,-200,-200,-91,-200,-200,-200,-67,-73,-78,-75,-73,-200,-90,-88,-92,-82,-200,-91,-84,-200,-85,-200,-80,-200,-65,-200,-92,-61,-84,-200,-200
1526454306805,-44,-37,-42,-43,-47,-45,-63,-59,-61,-54,-52,-41,-62,-55,-59,-53,-51,-50,-58,-75,-62,-63,-68,-60,-76,-77,-58,-70,-74,-72,-74,-64,-80,-64,-68,-75,-65,-78,-59,-71,-77,-67,-77,-77,-77,-84,-75,-80,-81,-200,-83,-70,-77,-76,-80,-72,-75,-72,-77,-82,-84,-200,-74,-80,-85,-85,-81,-84,-200,-84,-75,-85,-81,-86,-81,-200,-200,-85,-86,-200,-86,-89,-200,-200,-200,-91,-91,-200,-82,-200,-200,-200,-200,-200,-200,-200,-67,-70,-72,-76,-78,-200,-90,-200,-92,-85,-200,-91,-83,-200,-85,-200,-80,-200,-200,-200,-200,-62,-84,-200,-200
1526454309848,-35,-37,-43,-45,-48,-50,-61,-59,-62,-54,-52,-40,-61,-56,-60,-53,-58,-51,-58,-69,-63,-65,-68,-60,-76,-77,-59,-77,-74,-67,-77,-62,-79,-69,-71,-78,-60,-72,-60,-76,-74,-68,-76,-77,-78,-84,-75,-80,-83,-200,-83,-71,-75,-79,-80,-67,-75,-76,-79,-82,-84,-200,-74,-82,-84,-86,-81,-82,-83,-84,-75,-85,-78,-86,-81,-92,-200,-85,-85,-200,-98,-89,-200,-200,-200,-88,-91,-200,-82,-86,-200,-200,-88,-200,-200,-200,-67,-70,-72,-75,-73,-200,-90,-200,-92,-85,-200,-91,-83,-200,-85,-200,-79,-200,-200,-200,-200,-62,-200,-200,-200
1526454312906,-40,-36,-44,-44,-49,-47,-65,-59,-62,-53,-51,-40,-63,-55,-59,-54,-60,-51,-57,-69,-62,-63,-68,-60,-77,-79,-59,-75,-76,-68,-77,-64,-79,-70,-71,-80,-75,-74,-61,-71,-74,-67,-76,-76,-77,-84,-75,-80,-83,-200,-82,-71,-71,-78,-80,-70,-72,-68,-77,-82,-83,-200,-74,-81,-85,-86,-81,-82,-79,-87,-73,-85,-80,-87,-81,-92,-200,-85,-85,-200,-89,-86,-200,-200,-200,-90,-91,-200,-200,-86,-200,-200,-88,-200,-200,-200,-73,-76,-72,-75,-77,-200,-90,-200,-92,-85,-200,-200,-86,-200,-200,-200,-79,-200,-200,-200,-200,-62,-200,-200,-200
1526454315964,-39,-16,-43,-44,-48,-45,-61,-58,-62,-61,-53,-43,-61,-53,-73,-54,-51,-51,-59,-69,-64,-62,-67,-60,-74,-80,-59,-78,-76,-67,-74,-63,-79,-62,-70,-79,-75,-73,-59,-73,-78,-67,-76,-76,-77,-84,-85,-84,-83,-200,-83,-71,-79,-78,-80,-70,-72,-70,-72,-85,-83,-200,-70,-81,-83,-86,-82,-84,-78,-86,-66,-85,-81,-87,-200,-92,-200,-81,-85,-200,-89,-86,-200,-200,-200,-90,-88,-200,-200,-84,-200,-200,-88,-200,-200,-200,-67,-78,-72,-75,-77,-84,-90,-200,-90,-85,-83,-92,-86,-200,-200,-200,-79,-200,-79,-200,-200,-62,-200,-88,-200
1526454319009,-40,-44,-41,-41,-44,-42,-61,-59,-57,-60,-51,-44,-55,-51,-60,-54,-53,-51,-58,-70,-57,-63,-68,-61,-71,-69,-60,-75,-76,-70,-72,-62,-76,-65,-70,-77,-72,-72,-62,-76,-78,-66,-76,-81,-74,-81,-83,-80,-83,-200,-83,-72,-79,-78,-78,-69,-75,-70,-79,-85,-84,-200,-70,-79,-83,-86,-82,-85,-78,-86,-66,-84,-78,-86,-82,-92,-200,-81,-83,-200,-89,-86,-200,-200,-200,-91,-88,-200,-200,-84,-200,-200,-88,-200,-200,-90,-68,-70,-70,-75,-77,-89,-90,-200,-90,-83,-83,-92,-85,-200,-200,-200,-79,-86,-79,-200,-200,-200,-200,-88,-200
1526454322059,-39,-36,-42,-43,-45,-45,-66,-58,-57,-53,-59,-44,-60,-58,-58,-56,-57,-53,-56,-73,-63,-67,-66,-62,-71,-72,-56,-68,-81,-71,-73,-67,-76,-69,-72,-77,-72,-71,-57,-76,-78,-67,-200,-77,-75,-81,-82,-82,-81,-200,-82,-69,-82,-78,-78,-68,-79,-75,-79,-85,-86,-200,-70,-81,-83,-86,-81,-89,-78,-86,-66,-84,-81,-85,-83,-200,-200,-81,-85,-200,-88,-86,-200,-200,-200,-90,-88,-200,-81,-84,-200,-200,-84,-84,-200,-90,-68,-70,-70,-75,-77,-89,-90,-200,-90,-83,-83,-90,-82,-200,-90,-200,-200,-89,-79,-200,-200,-200,-200,-88,-200
1526454325107,-39,-45,-41,-44,-44,-56,-70,-59,-62,-50,-69,-43,-69,-49,-57,-52,-54,-52,-57,-71,-86,-54,-71,-60,-71,-72,-59,-77,-81,-68,-73,-62,-83,-66,-70,-73,-72,-83,-70,-83,-78,-69,-200,-77,-77,-81,-80,-82,-81,-200,-82,-68,-90,-80,-78,-70,-84,-75,-79,-79,-83,-200,-70,-81,-82,-200,-81,-89,-78,-90,-66,-84,-91,-86,-83,-200,-200,-81,-86,-200,-88,-200,-200,-88,-200,-90,-88,-200,-81,-84,-200,-200,-84,-84,-200,-90,-68,-76,-70,-75,-77,-89,-89,-200,-90,-83,-83,-89,-82,-200,-90,-200,-82,-89,-79,-200,-200,-200,-200,-88,-200
1526454328152,-34,-49,-42,-45,-45,-46,-64,-60,-64,-52,-60,-44,-65,-54,-55,-49,-56,-55,-57,-71,-71,-68,-71,-62,-71,-74,-56,-73,-81,-69,-74,-64,-83,-57,-70,-73,-72,-66,-59,-75,-78,-69,-200,-73,-76,-81,-80,-82,-81,-200,-80,-73,-90,-80,-82,-70,-84,-67,-80,-79,-83,-200,-77,-82,-81,-200,-81,-89,-200,-81,-81,-85,-79,-86,-83,-200,-200,-83,-86,-200,-89,-86,-200,-88,-200,-90,-91,-200,-81,-85,-200,-200,-84,-84,-200,-90,-67,-68,-73,-75,-200,-89,-89,-200,-200,-85,-200,-91,-82,-200,-90,-200,-79,-89,-200,-200,-200,-200,-200,-200,-89
1526454331179,-34,-49,-42,-45,-45,-46,-64,-60,-64,-52,-60,-44,-65,-54,-55,-49,-56,-55,-57,-71,-71,-68,-71,-62,-71,-74,-56,-73,-81,-69,-74,-64,-83,-57,-70,-73,-72,-66,-59,-75,-78,-69,-200,-73,-76,-81,-80,-82,-81,-200,-80,-73,-90,-80,-82,-70,-84,-67,-80,-79,-83,-200,-77,-82,-81,-200,-81,-89,-200,-81,-81,-85,-79,-86,-83,-200,-200,-83,-86,-200,-89,-86,-200,-88,-200,-90,-91,-200,-81,-85,-200,-200,-84,-84,-200,-90,-67,-68,-73,-75,-200,-89,-89,-200,-200,-85,-200,-91,-82,-200,-90,-200,-79,-89,-200,-200,-200,-200,-200,-200,-89
1526454334221,-34,-49,-42,-45,-45,-46,-64,-60,-64,-52,-60,-44,-65,-54,-55,-49,-56,-55,-57,-71,-71,-68,-71,-62,-71,-74,-56,-73,-81,-69,-74,-64,-83,-57,-70,-73,-72,-66,-59,-75,-78,-69,-200,-73,-76,-81,-80,-82,-81,-200,-80,-73,-90,-80,-82,-70,-84,-67,-80,-79,-83,-200,-77,-82,-81,-200,-81,-89,-200,-81,-81,-85,-79,-86,-83,-200,-200,-83,-86,-200,-89,-86,-200,-88,-200,-90,-91,-200,-81,-85,-200,-200,-84,-84,-200,-90,-67,-68,-73,-75,-200,-89,-89,-200,-200,-85,-200,-91,-82,-200,-90,-200,-79,-89,-200,-200,-200,-200,-200,-200,-89
