,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DQKJ,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018
1526453758964,-40,-28,-39,-61,-22,-38,-47,-41,-40,-67,-45,-52,-56,-48,-61,-49,-55,-65,-59,-64,-65,-71,-57,-57,-66,-56,-68,-75,-57,-78,-62,-68,-70,-73,-71,-76,-71,-81,-69,-69,-79,-74,-89,-52,-80,-78,-76,-83,-75,-80,-62,-73,-81,-78,-70,-80,-74,-80,-86,-76,-70,-82,-88,-87,-200,-83,-200,-80,-83,-88,-88,-90,-87,-88,-90,-70,-88,-86,-84,-79,-79,-89,-200,-78,-80,-200,-81,-200,-90,-88,-88,-81,-200,-200,-200,-80,-89,-200,-200,-200,-200,-86,-200,-200,-200,-200,-92,-87,-88,-89,-82,-83,-85,-83,-85,-92,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453761983,-38,-14,-41,-70,-15,-38,-82,-41,-47,-59,-44,-51,-55,-48,-61,-50,-58,-64,-65,-65,-65,-71,-51,-58,-200,-55,-78,-67,-60,-78,-67,-67,-70,-73,-79,-80,-71,-81,-70,-68,-78,-74,-89,-52,-80,-79,-76,-80,-77,-90,-62,-69,-81,-78,-70,-72,-72,-80,-200,-75,-73,-82,-88,-87,-200,-85,-200,-81,-82,-88,-88,-90,-87,-88,-90,-70,-200,-86,-84,-79,-79,-89,-200,-200,-78,-200,-81,-200,-90,-88,-88,-81,-200,-200,-200,-80,-89,-200,-200,-200,-200,-86,-83,-200,-200,-200,-92,-200,-88,-89,-82,-81,-85,-83,-85,-92,-92,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453764999,-46,-29,-43,-61,-14,-44,-49,-41,-74,-60,-45,-52,-56,-47,-50,-50,-63,-65,-59,-66,-63,-70,-56,-55,-200,-55,-86,-70,-56,-79,-64,-68,-69,-73,-77,-79,-76,-200,-69,-70,-77,-76,-89,-53,-80,-76,-82,-82,-76,-90,-62,-70,-82,-78,-76,-81,-74,-78,-200,-79,-79,-82,-88,-200,-200,-86,-200,-80,-88,-88,-87,-200,-87,-88,-90,-200,-200,-77,-87,-80,-200,-86,-200,-200,-78,-200,-88,-80,-90,-88,-88,-200,-200,-200,-200,-72,-86,-92,-89,-200,-200,-86,-83,-200,-200,-200,-200,-200,-88,-89,-82,-82,-85,-200,-200,-200,-92,-91,-80,-85,-86,-89,-200,-200,-200,-200,-200
1526453768035,-32,-27,-42,-64,-23,-37,-48,-42,-48,-60,-55,-53,-56,-44,-49,-52,-62,-65,-59,-66,-67,-70,-56,-55,-200,-57,-86,-69,-60,-76,-62,-68,-69,-73,-72,-76,-76,-83,-68,-69,-77,-75,-200,-54,-81,-84,-72,-80,-69,-90,-66,-72,-82,-77,-76,-80,-74,-78,-200,-77,-70,-82,-85,-200,-200,-84,-200,-80,-88,-87,-87,-200,-200,-88,-90,-68,-87,-77,-83,-77,-82,-86,-200,-200,-78,-200,-88,-82,-90,-200,-88,-80,-200,-200,-200,-72,-86,-92,-89,-200,-200,-92,-83,-200,-200,-200,-200,-200,-200,-89,-200,-81,-200,-200,-200,-200,-200,-91,-80,-85,-86,-89,-200,-200,-200,-200,-200
1526453771072,-48,-28,-42,-64,-15,-41,-47,-41,-40,-68,-43,-54,-55,-47,-49,-50,-56,-65,-56,-69,-73,-71,-56,-55,-200,-55,-64,-69,-60,-76,-62,-68,-73,-73,-70,-77,-73,-83,-68,-69,-73,-79,-200,-51,-81,-77,-72,-82,-70,-200,-62,-70,-82,-77,-73,-80,-74,-78,-86,-77,-70,-81,-85,-86,-200,-84,-200,-79,-89,-87,-87,-88,-87,-88,-90,-68,-87,-77,-81,-77,-85,-86,-93,-79,-78,-200,-87,-82,-90,-200,-88,-80,-88,-200,-200,-72,-86,-92,-89,-200,-88,-92,-83,-200,-200,-200,-93,-200,-200,-89,-200,-81,-200,-200,-200,-200,-200,-200,-80,-85,-86,-89,-200,-200,-200,-200,-200
1526453774124,-37,-28,-47,-61,-22,-35,-51,-40,-40,-60,-43,-51,-56,-47,-57,-50,-55,-66,-57,-67,-65,-73,-55,-57,-200,-54,-68,-66,-54,-79,-67,-65,-72,-73,-74,-80,-75,-83,-70,-69,-74,-75,-200,-55,-81,-76,-77,-86,-74,-80,-66,-70,-83,-77,-71,-80,-74,-80,-86,-77,-69,-77,-88,-86,-200,-88,-88,-79,-89,-87,-87,-89,-85,-200,-90,-68,-87,-200,-86,-77,-85,-89,-93,-76,-78,-200,-87,-82,-200,-200,-200,-74,-88,-200,-200,-72,-200,-92,-89,-200,-88,-92,-83,-200,-83,-200,-93,-200,-200,-89,-200,-81,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526453777168,-38,-28,-42,-58,-23,-36,-47,-41,-40,-61,-44,-53,-56,-43,-57,-50,-62,-65,-59,-67,-65,-70,-55,-54,-200,-57,-68,-64,-55,-79,-67,-66,-71,-73,-68,-78,-75,-83,-69,-69,-74,-75,-200,-55,-79,-76,-77,-79,-71,-76,-66,-73,-82,-77,-73,-80,-73,-78,-86,-79,-75,-82,-88,-88,-200,-87,-88,-79,-89,-87,-88,-88,-85,-88,-90,-69,-87,-200,-84,-77,-82,-89,-93,-76,-80,-200,-87,-82,-200,-200,-200,-76,-88,-200,-200,-200,-200,-200,-200,-200,-88,-85,-83,-200,-83,-90,-93,-200,-86,-89,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-80,-81,-200,-200
1526453780184,-31,-27,-42,-63,-23,-36,-56,-41,-47,-61,-45,-51,-56,-47,-57,-50,-57,-65,-62,-74,-65,-70,-55,-49,-200,-57,-73,-64,-55,-79,-63,-69,-71,-74,-72,-78,-75,-83,-68,-69,-86,-77,-200,-68,-79,-75,-77,-81,-73,-76,-66,-72,-82,-79,-85,-80,-73,-78,-86,-77,-71,-82,-89,-88,-200,-87,-92,-79,-89,-87,-88,-88,-85,-88,-88,-69,-87,-200,-84,-77,-80,-89,-93,-76,-80,-77,-87,-87,-200,-200,-200,-81,-88,-200,-200,-200,-200,-200,-200,-200,-88,-85,-83,-200,-83,-90,-93,-200,-86,-200,-200,-80,-200,-200,-200,-200,-200,-93,-200,-200,-88,-200,-79,-80,-81,-200,-200
1526453783232,-33,-29,-45,-63,-23,-37,-47,-41,-46,-60,-45,-54,-56,-42,-59,-51,-57,-67,-59,-71,-64,-70,-59,-57,-200,-54,-73,-71,-55,-78,-61,-67,-71,-74,-72,-78,-75,-83,-70,-68,-74,-71,-200,-54,-79,-79,-72,-76,-73,-76,-62,-72,-80,-78,-73,-200,-74,-78,-200,-76,-73,-81,-89,-88,-200,-82,-92,-82,-200,-87,-88,-88,-85,-88,-88,-69,-87,-200,-86,-200,-82,-89,-90,-76,-80,-82,-200,-87,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-83,-91,-200,-200,-86,-200,-200,-80,-200,-200,-200,-200,-200,-93,-200,-200,-87,-200,-79,-80,-81,-200,-200
1526453786283,-40,-28,-48,-71,-21,-17,-47,-44,-42,-66,-50,-52,-56,-24,-66,-53,-57,-65,-58,-64,-65,-73,-59,-66,-77,-56,-72,-65,-68,-76,-62,-65,-78,-75,-72,-79,-200,-83,-69,-69,-77,-75,-200,-54,-81,-79,-79,-76,-73,-76,-62,-71,-80,-76,-73,-200,-73,-77,-200,-78,-71,-81,-89,-88,-200,-82,-92,-79,-82,-86,-88,-88,-200,-88,-92,-68,-200,-85,-86,-85,-82,-200,-90,-76,-79,-82,-200,-87,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-91,-91,-200,-92,-200,-200,-80,-200,-200,-200,-200,-200,-93,-200,-200,-87,-200,-79,-80,-81,-200,-200
1526453789335,-33,-28,-41,-57,-23,-33,-48,-40,-41,-61,-44,-53,-54,-47,-61,-46,-55,-63,-61,-57,-67,-72,-54,-54,-73,-52,-72,-67,-59,-73,-65,-64,-78,-75,-76,-84,-90,-83,-66,-68,-78,-72,-200,-51,-81,-77,-70,-83,-74,-200,-62,-69,-81,-76,-76,-200,-73,-75,-200,-78,-70,-82,-89,-88,-200,-82,-92,-87,-82,-88,-88,-200,-88,-92,-92,-68,-200,-85,-86,-85,-83,-200,-90,-200,-76,-82,-200,-87,-200,-83,-91,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-92,-91,-85,-92,-200,-88,-80,-84,-200,-200,-200,-200,-93,-200,-200,-86,-90,-200,-200,-200,-90,-91
1526453792355,-14,-27,-65,-48,-16,-38,-48,-39,-17,-60,-42,-52,-55,-42,-61,-48,-60,-64,-55,-57,-60,-68,-66,-53,-73,-57,-68,-68,-76,-73,-63,-64,-72,-75,-72,-77,-75,-200,-68,-67,-82,-84,-200,-53,-74,-79,-78,-76,-70,-88,-61,-73,-81,-79,-78,-79,-77,-78,-82,-76,-70,-83,-200,-88,-200,-82,-200,-87,-82,-88,-89,-200,-88,-92,-90,-69,-87,-85,-86,-85,-83,-200,-90,-200,-77,-82,-91,-200,-200,-83,-91,-200,-200,-200,-91,-200,-85,-200,-200,-200,-200,-80,-200,-200,-200,-92,-90,-85,-92,-200,-88,-200,-87,-200,-200,-200,-200,-200,-80,-200,-88,-90,-200,-200,-200,-90,-91
