,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DQKJ,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,WHU-2018,WHU-2018
1526455141577,-42,-46,-34,-52,-54,-54,-47,-52,-46,-62,-59,-56,-55,-60,-70,-75,-69,-57,-55,-71,-73,-67,-69,-72,-65,-69,-200,-66,-65,-67,-62,-62,-63,-71,-75,-69,-82,-70,-67,-78,-73,-72,-81,-81,-200,-71,-85,-81,-83,-73,-200,-84,-78,-79,-75,-76,-91,-200,-200,-74,-82,-88,-79,-80,-80,-82,-78,-83,-91,-92,-200,-82,-87,-200,-84,-200,-76,-93,-200,-84,-89,-88,-200,-80,-200,-89,-200,-90,-92,-82,-200,-200,-89,-87,-90,-200,-200,-74,-83,-200,-200,-200,-91,-91,-90,-89,-87,-200,-83,-86,-200,-82,-200,-83,-88,-89,-82,-87,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526455144595,-36,-42,-32,-49,-53,-51,-46,-47,-46,-57,-59,-56,-51,-50,-68,-75,-69,-52,-55,-73,-70,-64,-64,-69,-65,-77,-200,-65,-65,-59,-62,-64,-67,-71,-75,-66,-82,-70,-63,-73,-73,-72,-80,-76,-200,-71,-83,-79,-85,-76,-200,-84,-78,-79,-76,-75,-91,-80,-80,-77,-79,-88,-79,-77,-76,-78,-74,-83,-91,-200,-200,-82,-87,-91,-82,-200,-76,-200,-200,-84,-91,-83,-200,-80,-200,-90,-200,-90,-92,-82,-200,-200,-89,-87,-92,-200,-200,-200,-200,-200,-78,-200,-91,-91,-90,-89,-87,-200,-83,-86,-200,-82,-200,-83,-200,-89,-82,-87,-87,-87,-200,-200,-200,-200,-200,-200,-200
1526455147612,-36,-43,-32,-47,-50,-51,-44,-47,-45,-60,-59,-54,-51,-51,-68,-62,-69,-49,-55,-72,-70,-63,-65,-69,-67,-67,-200,-65,-64,-62,-60,-63,-65,-71,-75,-64,-200,-66,-66,-76,-72,-72,-80,-79,-200,-72,-83,-75,-85,-76,-200,-59,-77,-79,-76,-75,-91,-80,-80,-76,-79,-88,-79,-79,-76,-79,-77,-83,-87,-200,-200,-82,-87,-91,-82,-200,-74,-200,-200,-84,-91,-83,-200,-84,-200,-91,-200,-90,-92,-74,-200,-200,-89,-200,-89,-92,-200,-200,-200,-200,-82,-200,-90,-91,-90,-92,-87,-200,-83,-84,-200,-82,-200,-78,-200,-89,-200,-91,-87,-87,-200,-200,-200,-200,-200,-200,-200
1526455150662,-39,-44,-16,-47,-50,-53,-47,-48,-46,-59,-58,-62,-50,-55,-67,-65,-200,-50,-55,-72,-70,-64,-67,-69,-62,-68,-78,-67,-65,-62,-63,-63,-65,-69,-71,-67,-200,-65,-74,-68,-73,-72,-88,-79,-200,-88,-81,-75,-85,-76,-200,-83,-78,-79,-75,-71,-91,-78,-80,-77,-79,-86,-79,-80,-85,-79,-77,-82,-87,-200,-200,-82,-200,-91,-82,-200,-76,-200,-200,-83,-92,-83,-200,-84,-200,-91,-200,-90,-200,-74,-200,-200,-89,-200,-89,-90,-200,-200,-200,-200,-82,-83,-89,-91,-86,-90,-87,-200,-83,-83,-200,-82,-200,-78,-200,-86,-200,-91,-89,-87,-200,-200,-200,-200,-200,-200,-200
1526455153712,-38,-42,-15,-50,-51,-52,-44,-47,-46,-60,-59,-59,-46,-57,-67,-64,-200,-47,-55,-70,-70,-62,-65,-64,-61,-70,-78,-64,-63,-62,-55,-62,-62,-69,-72,-66,-82,-67,-68,-73,-73,-72,-79,-81,-200,-73,-81,-75,-85,-76,-200,-82,-78,-200,-75,-75,-200,-78,-80,-76,-82,-85,-79,-78,-85,-79,-75,-82,-87,-200,-88,-200,-200,-91,-82,-200,-84,-200,-200,-82,-89,-83,-200,-84,-200,-90,-200,-91,-200,-75,-200,-200,-200,-200,-92,-90,-200,-84,-89,-83,-82,-83,-92,-200,-86,-91,-200,-90,-80,-87,-200,-83,-200,-78,-200,-87,-200,-91,-92,-87,-86,-90,-200,-200,-200,-200,-200
1526455156732,-37,-39,-14,-50,-49,-53,-46,-53,-44,-60,-57,-63,-52,-56,-68,-64,-200,-48,-55,-71,-66,-64,-66,-63,-61,-77,-77,-76,-62,-65,-58,-62,-62,-69,-72,-63,-82,-70,-66,-73,-73,-72,-79,-83,-200,-86,-84,-75,-84,-77,-200,-83,-84,-78,-75,-76,-89,-78,-200,-84,-81,-85,-79,-79,-75,-78,-74,-82,-87,-200,-88,-82,-200,-89,-82,-200,-86,-200,-200,-82,-89,-83,-200,-82,-200,-90,-90,-90,-200,-75,-200,-86,-200,-88,-89,-90,-200,-72,-89,-83,-82,-83,-89,-91,-86,-91,-200,-90,-80,-87,-200,-83,-200,-78,-200,-87,-200,-91,-92,-200,-86,-90,-200,-200,-200,-200,-200
1526455159774,-40,-43,-15,-49,-49,-51,-47,-49,-45,-61,-59,-55,-51,-56,-63,-66,-67,-49,-55,-71,-72,-65,-65,-63,-63,-69,-77,-67,-62,-43,-60,-60,-66,-71,-72,-68,-80,-67,-66,-72,-73,-72,-79,-78,-200,-71,-82,-75,-84,-77,-200,-85,-80,-75,-75,-75,-85,-200,-200,-77,-81,-86,-82,-77,-75,-78,-76,-200,-200,-200,-88,-82,-74,-89,-200,-200,-75,-200,-200,-82,-88,-83,-200,-81,-200,-91,-90,-90,-200,-75,-200,-88,-90,-88,-89,-200,-89,-75,-89,-83,-200,-200,-91,-91,-200,-92,-88,-90,-84,-86,-200,-80,-200,-82,-200,-88,-200,-200,-88,-200,-76,-90,-85,-200,-200,-200,-200
1526455162807,-37,-44,-34,-50,-51,-52,-46,-48,-45,-61,-59,-60,-51,-58,-63,-65,-67,-51,-55,-71,-71,-68,-65,-70,-67,-67,-77,-66,-62,-44,-59,-61,-62,-70,-72,-66,-79,-71,-65,-73,-73,-71,-200,-78,-200,-73,-84,-75,-84,-76,-200,-82,-78,-75,-75,-76,-89,-200,-200,-77,-81,-86,-82,-79,-79,-77,-75,-200,-77,-200,-200,-82,-74,-89,-86,-200,-84,-200,-200,-200,-88,-200,-200,-80,-200,-91,-90,-90,-200,-75,-200,-88,-90,-88,-89,-200,-89,-78,-200,-200,-200,-200,-91,-90,-200,-90,-88,-200,-84,-86,-200,-82,-200,-82,-78,-88,-80,-200,-88,-200,-89,-200,-85,-91,-200,-200,-200
1526455165854,-42,-43,-32,-56,-49,-50,-48,-52,-46,-69,-59,-59,-53,-58,-63,-64,-67,-49,-55,-72,-72,-63,-65,-65,-67,-68,-200,-65,-61,-63,-63,-62,-68,-70,-72,-66,-79,-76,-64,-75,-72,-72,-78,-78,-200,-80,-82,-76,-200,-77,-200,-82,-80,-83,-75,-75,-85,-200,-200,-79,-81,-86,-82,-80,-77,-78,-82,-200,-77,-200,-200,-200,-74,-200,-86,-200,-84,-200,-200,-82,-88,-200,-200,-82,-200,-88,-200,-200,-91,-75,-200,-88,-90,-200,-91,-200,-89,-78,-88,-82,-200,-87,-91,-90,-200,-90,-88,-200,-84,-86,-200,-82,-200,-82,-78,-88,-80,-200,-88,-200,-89,-200,-85,-91,-200,-200,-200
1526455168906,-36,-44,-32,-47,-51,-51,-46,-48,-46,-63,-46,-56,-51,-55,-63,-64,-67,-50,-55,-70,-70,-65,-65,-63,-65,-68,-200,-67,-63,-63,-62,-61,-67,-67,-200,-66,-79,-72,-67,-75,-73,-72,-78,-78,-200,-80,-83,-71,-85,-76,-200,-83,-78,-73,-75,-76,-85,-80,-81,-76,-82,-87,-83,-78,-77,-78,-75,-200,-77,-200,-200,-200,-74,-200,-86,-200,-77,-200,-200,-82,-200,-83,-200,-82,-200,-91,-200,-200,-91,-75,-200,-88,-200,-200,-91,-200,-200,-78,-88,-82,-200,-87,-200,-90,-88,-90,-200,-200,-84,-200,-200,-82,-200,-200,-78,-200,-80,-200,-88,-200,-89,-200,-200,-91,-88,-89,-200
1526455171959,-39,-46,-33,-47,-52,-53,-46,-47,-44,-61,-56,-61,-52,-56,-65,-64,-67,-52,-54,-71,-70,-65,-66,-64,-64,-69,-200,-68,-64,-59,-57,-60,-65,-69,-200,-66,-79,-67,-69,-75,-74,-74,-78,-78,-200,-80,-83,-71,-85,-78,-200,-82,-79,-73,-75,-75,-84,-80,-81,-78,-81,-88,-83,-78,-77,-78,-75,-200,-77,-200,-88,-200,-85,-200,-86,-200,-85,-200,-200,-82,-200,-83,-200,-80,-200,-91,-200,-200,-91,-75,-200,-200,-200,-200,-89,-200,-200,-78,-88,-82,-82,-87,-200,-90,-88,-92,-200,-200,-200,-200,-200,-80,-200,-200,-78,-200,-80,-200,-88,-200,-89,-200,-200,-91,-88,-89,-90
1526455175004,-39,-41,-14,-46,-52,-51,-46,-48,-44,-59,-56,-55,-53,-55,-61,-61,-66,-52,-54,-78,-80,-67,-65,-72,-67,-69,-200,-71,-66,-59,-61,-46,-65,-69,-200,-62,-79,-68,-67,-75,-74,-75,-78,-200,-200,-81,-83,-77,-85,-76,-200,-81,-79,-73,-74,-76,-87,-80,-81,-78,-81,-87,-83,-78,-77,-78,-75,-200,-200,-200,-88,-84,-85,-200,-87,-200,-85,-200,-200,-83,-200,-83,-200,-80,-200,-91,-200,-200,-91,-74,-200,-200,-200,-200,-89,-200,-200,-200,-88,-82,-79,-87,-200,-91,-87,-89,-200,-91,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-88,-200,-84,-200,-85,-200,-88,-89,-90
