,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526453762533,-200,-71,-70,-70,-200,-71,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453762579,-200,-200,-70,-69,-200,-72,-63,-200,-200,-200,-72,-200,-81,-200,-75,-89,-200,-200,-87,-200,-200,-89,-200,-200,-200,-200,-200,-200
1526453762705,-200,-200,-71,-200,-200,-200,-63,-71,-200,-91,-200,-75,-200,-200,-75,-200,-200,-89,-88,-200,-200,-88,-90,-200,-200,-200,-200,-200
1526453762809,-81,-71,-200,-70,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-75,-200,-200,-200,-88,-200,-200,-88,-200,-200,-200,-200,-200,-200
1526453762963,-200,-71,-70,-200,-200,-71,-63,-71,-80,-200,-200,-200,-81,-200,-200,-200,-200,-88,-200,-95,-200,-89,-200,-200,-200,-200,-200,-200
1526453763053,-200,-74,-71,-70,-200,-70,-63,-71,-77,-200,-200,-73,-72,-200,-76,-200,-85,-200,-200,-89,-200,-92,-200,-200,-93,-200,-200,-200
1526453767494,-86,-200,-69,-70,-200,-70,-200,-71,-200,-87,-78,-72,-72,-200,-200,-200,-85,-200,-88,-88,-94,-200,-86,-200,-93,-200,-200,-200
1526453767595,-200,-200,-70,-70,-91,-70,-61,-71,-77,-200,-78,-72,-72,-92,-76,-200,-200,-84,-87,-200,-200,-87,-86,-200,-91,-200,-200,-200
1526453767768,-87,-200,-200,-69,-91,-70,-200,-70,-200,-200,-200,-200,-72,-200,-76,-200,-86,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453767871,-87,-200,-200,-200,-91,-200,-61,-70,-77,-88,-200,-71,-72,-200,-200,-200,-86,-85,-87,-200,-200,-200,-200,-200,-200,-93,-200,-200
1526453767977,-84,-74,-69,-69,-200,-200,-71,-200,-200,-200,-200,-200,-71,-93,-200,-200,-95,-89,-88,-200,-93,-84,-200,-200,-200,-200,-200,-200
1526453772495,-200,-200,-200,-73,-200,-79,-200,-76,-90,-200,-200,-200,-76,-92,-200,-200,-200,-90,-200,-200,-97,-84,-89,-200,-200,-200,-200,-200
1526453772602,-200,-200,-72,-73,-92,-200,-71,-76,-90,-200,-76,-83,-76,-200,-200,-200,-200,-89,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200
1526453772693,-200,-200,-72,-73,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-82,-200,-200,-89,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200
1526453772805,-200,-200,-72,-73,-200,-78,-71,-76,-200,-200,-200,-200,-76,-200,-81,-200,-200,-89,-200,-200,-200,-200,-88,-200,-100,-200,-97,-200
1526453772913,-200,-200,-72,-200,-200,-200,-70,-75,-200,-200,-76,-200,-76,-93,-81,-200,-200,-200,-200,-200,-94,-83,-88,-98,-102,-200,-200,-200
1526453773026,-84,-77,-72,-74,-91,-200,-71,-75,-200,-200,-200,-83,-76,-93,-82,-200,-200,-89,-200,-200,-95,-83,-200,-200,-200,-200,-200,-200
1526453773116,-200,-200,-72,-200,-89,-200,-200,-200,-200,-200,-75,-83,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-95,-200,-200,-200,-200
1526453777485,-200,-72,-70,-70,-89,-200,-62,-200,-200,-200,-74,-75,-81,-200,-200,-200,-200,-200,-88,-200,-200,-87,-200,-200,-200,-200,-200,-200
1526453777605,-81,-200,-70,-70,-200,-71,-60,-71,-79,-200,-200,-75,-200,-200,-75,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453777704,-81,-200,-200,-69,-200,-200,-62,-200,-200,-200,-71,-76,-81,-200,-75,-90,-85,-87,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200
1526453777832,-200,-72,-200,-70,-200,-71,-200,-200,-80,-200,-200,-200,-200,-200,-76,-200,-84,-200,-89,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526453777943,-81,-72,-200,-70,-89,-71,-200,-71,-200,-200,-200,-200,-81,-200,-75,-91,-84,-200,-88,-200,-200,-200,-91,-200,-200,-200,-200,-200
1526453778073,-85,-72,-70,-69,-89,-200,-61,-200,-77,-200,-200,-72,-200,-200,-77,-200,-86,-200,-200,-200,-200,-92,-200,-200,-93,-200,-200,-200
1526453782525,-200,-74,-200,-68,-200,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453782636,-85,-73,-200,-200,-200,-200,-61,-68,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453782843,-200,-74,-200,-200,-200,-200,-62,-200,-200,-87,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453782950,-200,-200,-70,-200,-200,-200,-61,-200,-200,-200,-200,-72,-200,-200,-77,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526453787432,-200,-200,-200,-200,-88,-82,-69,-76,-200,-95,-73,-81,-200,-88,-89,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200
1526453787571,-82,-200,-200,-72,-87,-79,-68,-200,-92,-200,-73,-82,-78,-89,-200,-200,-200,-200,-200,-200,-200,-87,-87,-200,-200,-200,-200,-98
1526453787635,-84,-79,-200,-200,-200,-80,-68,-90,-90,-200,-72,-81,-77,-200,-88,-200,-200,-200,-200,-200,-96,-200,-200,-95,-200,-200,-200,-200
1526453787775,-200,-79,-77,-71,-92,-80,-200,-78,-88,-200,-200,-80,-200,-200,-200,-200,-200,-93,-200,-200,-200,-88,-87,-200,-200,-200,-200,-200
1526453787914,-82,-200,-200,-72,-200,-81,-200,-80,-200,-200,-200,-80,-200,-200,-87,-200,-200,-200,-200,-200,-97,-200,-87,-200,-200,-200,-200,-200
1526453788046,-200,-200,-200,-200,-91,-200,-67,-200,-200,-200,-73,-81,-78,-200,-87,-90,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453792455,-200,-200,-76,-67,-200,-73,-59,-200,-200,-200,-200,-76,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453792532,-200,-200,-75,-200,-200,-71,-62,-200,-200,-200,-73,-77,-80,-200,-73,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453792644,-82,-70,-200,-67,-200,-72,-62,-68,-89,-200,-200,-76,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453792748,-200,-200,-76,-200,-200,-200,-62,-200,-89,-200,-71,-78,-80,-200,-74,-91,-85,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200
1526453792852,-81,-74,-200,-67,-200,-73,-62,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200
1526453792961,-83,-72,-76,-67,-200,-73,-61,-68,-88,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-94,-200,-81,-200,-200,-200,-200,-200,-200
1526453793066,-200,-200,-200,-200,-200,-200,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
