,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526454032792,-84,-200,-200,-66,-200,-81,-72,-200,-80,-90,-200,-65,-81,-200,-200,-200,-92,-200,-200,-200,-94,-200,-200,-200,-200,-200
1526454032902,-200,-200,-95,-67,-200,-81,-200,-200,-80,-200,-200,-65,-82,-200,-200,-69,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526454033011,-200,-200,-200,-66,-200,-81,-200,-200,-200,-200,-200,-65,-81,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454037444,-200,-68,-200,-67,-69,-200,-71,-200,-81,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454037537,-200,-71,-200,-69,-200,-200,-200,-200,-200,-85,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454037645,-200,-200,-86,-71,-69,-200,-72,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454037863,-200,-200,-200,-69,-69,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454037961,-89,-200,-200,-68,-75,-200,-80,-200,-200,-200,-200,-61,-200,-88,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526454042483,-200,-72,-200,-72,-200,-90,-80,-200,-200,-200,-200,-200,-200,-200,-200,-95,-96,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526454042569,-91,-72,-200,-72,-200,-200,-79,-200,-200,-90,-200,-200,-200,-93,-200,-200,-95,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526454042686,-200,-200,-200,-73,-75,-92,-200,-200,-200,-91,-200,-65,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454042797,-91,-74,-200,-72,-75,-200,-200,-200,-200,-200,-200,-66,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454042931,-91,-75,-97,-200,-200,-92,-80,-200,-200,-91,-200,-200,-200,-200,-200,-90,-93,-90,-90,-200,-200,-200,-200,-200,-200,-200
1526454043035,-200,-83,-97,-73,-75,-200,-78,-92,-200,-200,-200,-200,-97,-200,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454047435,-200,-200,-200,-67,-200,-82,-73,-200,-80,-200,-200,-66,-200,-200,-200,-68,-200,-91,-200,-200,-94,-200,-200,-200,-200,-200
1526454047568,-200,-200,-200,-200,-200,-82,-78,-200,-200,-200,-200,-66,-82,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526454047677,-200,-79,-200,-67,-200,-81,-74,-200,-200,-200,-200,-200,-82,-200,-200,-69,-200,-200,-101,-200,-200,-200,-200,-200,-200,-200
1526454047802,-83,-200,-200,-66,-200,-85,-200,-200,-80,-91,-200,-66,-200,-91,-200,-70,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526454047906,-84,-86,-200,-200,-86,-200,-200,-200,-200,-200,-200,-66,-200,-200,-200,-70,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526454048025,-83,-200,-86,-66,-88,-200,-200,-87,-200,-200,-200,-61,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454052457,-87,-200,-200,-68,-69,-81,-74,-200,-200,-84,-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454052551,-200,-72,-200,-68,-69,-200,-200,-200,-200,-200,-200,-63,-200,-200,-200,-71,-89,-200,-200,-200,-200,-97,-200,-200,-200,-200
1526454052662,-200,-71,-200,-68,-69,-200,-200,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454052762,-200,-72,-200,-68,-200,-200,-72,-200,-81,-85,-200,-63,-200,-200,-200,-200,-200,-200,-92,-200,-200,-95,-200,-200,-200,-200
1526454052930,-200,-71,-200,-68,-200,-80,-200,-90,-88,-200,-200,-62,-200,-200,-200,-200,-89,-89,-91,-200,-200,-200,-97,-200,-200,-200
1526454057485,-85,-72,-200,-73,-75,-90,-200,-91,-200,-200,-200,-66,-200,-200,-200,-200,-200,-88,-88,-200,-200,-200,-200,-200,-200,-200
1526454057610,-83,-72,-200,-200,-76,-200,-200,-200,-89,-200,-200,-66,-200,-94,-200,-93,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526454057712,-85,-73,-200,-74,-75,-92,-80,-200,-200,-91,-200,-66,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526454057814,-86,-73,-200,-73,-200,-92,-81,-93,-200,-200,-200,-66,-200,-200,-200,-88,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526454057921,-85,-73,-94,-74,-200,-90,-81,-200,-200,-91,-200,-66,-200,-95,-200,-90,-95,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526454058031,-200,-73,-200,-200,-74,-200,-80,-200,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526454062453,-200,-80,-200,-64,-91,-200,-73,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526454062557,-200,-78,-200,-200,-87,-83,-200,-200,-200,-91,-200,-65,-81,-200,-200,-68,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526454062647,-200,-80,-200,-200,-200,-82,-200,-200,-81,-200,-200,-65,-82,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526454062751,-200,-79,-94,-67,-200,-82,-200,-200,-200,-91,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454062868,-200,-79,-200,-67,-200,-82,-71,-200,-81,-91,-200,-200,-82,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454062987,-200,-200,-200,-200,-84,-82,-73,-200,-80,-200,-88,-66,-81,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454067436,-87,-72,-87,-68,-70,-79,-74,-200,-81,-200,-88,-63,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454067582,-86,-200,-200,-68,-200,-79,-73,-200,-81,-200,-89,-63,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454067689,-88,-72,-200,-68,-200,-79,-74,-90,-200,-86,-88,-62,-200,-200,-200,-75,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454067785,-200,-200,-200,-68,-200,-79,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454067885,-89,-72,-200,-68,-200,-200,-73,-200,-200,-200,-200,-63,-200,-87,-200,-200,-200,-200,-200,-200,-99,-200,-200,-99,-200,-200
1526454068028,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-63,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454072434,-200,-200,-94,-72,-74,-200,-79,-91,-88,-91,-200,-200,-200,-200,-100,-88,-94,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526454072536,-200,-200,-200,-72,-200,-200,-200,-92,-200,-90,-200,-200,-96,-94,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454072648,-200,-200,-200,-72,-74,-200,-80,-91,-87,-90,-200,-66,-96,-93,-200,-200,-93,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526454072781,-85,-71,-200,-200,-74,-200,-200,-92,-87,-90,-200,-66,-98,-200,-101,-200,-200,-89,-90,-200,-200,-200,-200,-200,-200,-200
1526454072861,-86,-72,-200,-72,-200,-200,-200,-92,-88,-200,-200,-65,-200,-94,-200,-90,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526454072962,-86,-71,-95,-73,-74,-200,-79,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526454073100,-87,-200,-96,-200,-74,-83,-80,-91,-200,-200,-200,-65,-96,-94,-100,-200,-200,-89,-89,-200,-200,-200,-200,-200,-200,-200
1526454077468,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-65,-81,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454077561,-200,-200,-200,-200,-90,-200,-74,-200,-200,-200,-200,-66,-82,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526454077672,-200,-82,-200,-67,-200,-200,-73,-200,-81,-200,-200,-66,-82,-93,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454077780,-200,-200,-200,-67,-200,-200,-200,-200,-81,-200,-200,-65,-82,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454077896,-85,-82,-200,-66,-92,-82,-73,-200,-200,-91,-200,-65,-82,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454077986,-200,-200,-200,-66,-91,-200,-200,-200,-81,-200,-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98,-200,-200,-200
1526454082447,-85,-200,-85,-67,-67,-200,-74,-89,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454082598,-200,-200,-200,-68,-69,-81,-73,-200,-200,-86,-88,-62,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454082701,-200,-200,-200,-68,-69,-81,-74,-200,-200,-200,-88,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200
1526454082807,-86,-200,-200,-69,-200,-81,-73,-200,-200,-200,-200,-63,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200
1526454082908,-200,-70,-200,-68,-65,-200,-72,-200,-200,-200,-200,-63,-200,-200,-200,-74,-200,-200,-200,-96,-200,-200,-200,-200,-200,-96
1526454083066,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
