,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,MERCURY_0166,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526461811397,-50,-54,-67,-53,-59,-65,-74,-64,-75,-67,-200,-70,-200,-91,-73,-81,-74,-72,-73,-83,-55,-80,-200,-81,-200,-72,-82,-85,-86,-81,-81,-88,-82,-200,-200,-200,-200,-89,-81,-200,-200,-200,-200,-200,-200,-200,-87,-90,-200,-200,-200,-200
1526461814425,-49,-57,-68,-54,-60,-67,-74,-65,-73,-66,-200,-72,-200,-200,-75,-80,-74,-72,-200,-73,-55,-200,-200,-81,-200,-72,-81,-80,-200,-81,-80,-85,-82,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-89,-86,-200,-200,-200,-200
1526461817430,-49,-56,-67,-49,-59,-72,-75,-64,-72,-71,-200,-72,-200,-81,-74,-76,-200,-74,-78,-84,-53,-200,-200,-83,-200,-70,-84,-80,-200,-83,-80,-85,-82,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-89,-86,-200,-200,-200,-200
1526461820459,-52,-57,-62,-54,-61,-67,-72,-65,-74,-66,-78,-70,-200,-81,-74,-79,-200,-76,-78,-76,-53,-200,-200,-81,-200,-70,-82,-74,-200,-83,-82,-200,-82,-200,-88,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-77,-200,-200,-89,-200,-200,-200
1526461823464,-52,-55,-62,-52,-61,-70,-73,-65,-71,-64,-78,-70,-200,-79,-74,-80,-76,-77,-78,-79,-52,-200,-89,-81,-200,-70,-85,-71,-200,-82,-82,-87,-82,-200,-88,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-77,-200,-200,-89,-88,-200,-200
1526461826498,-53,-57,-58,-50,-61,-66,-73,-65,-70,-62,-79,-72,-200,-81,-74,-81,-74,-72,-77,-79,-51,-200,-89,-79,-86,-73,-84,-74,-200,-82,-200,-87,-84,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200
1526461829514,-55,-54,-62,-52,-58,-79,-73,-69,-70,-68,-79,-72,-200,-81,-74,-76,-72,-74,-77,-76,-56,-82,-89,-79,-86,-72,-84,-70,-200,-84,-200,-87,-84,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-88,-87,-200
1526461832534,-52,-52,-55,-55,-57,-79,-67,-69,-68,-61,-78,-200,-200,-200,-200,-81,-74,-78,-80,-76,-57,-82,-200,-84,-200,-73,-200,-68,-200,-84,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-83,-200,-200,-87,-200
1526461835538,-52,-51,-58,-57,-63,-74,-68,-69,-69,-68,-80,-72,-90,-200,-73,-78,-73,-78,-80,-200,-55,-200,-200,-82,-200,-72,-83,-69,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200
1526461838541,-53,-49,-59,-57,-63,-74,-68,-71,-69,-70,-80,-72,-90,-200,-85,-76,-72,-77,-80,-200,-57,-200,-83,-84,-200,-71,-83,-68,-200,-200,-200,-88,-200,-200,-87,-200,-200,-200,-82,-90,-200,-200,-200,-200,-200,-86,-89,-84,-200,-200,-200,-200
1526461841586,-50,-49,-60,-55,-52,-200,-65,-63,-69,-72,-200,-73,-200,-79,-73,-78,-72,-81,-80,-200,-64,-81,-84,-85,-200,-74,-80,-74,-200,-200,-200,-90,-89,-200,-87,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-87,-89,-78,-91,-200,-200,-200
1526461844631,-56,-50,-57,-57,-61,-200,-63,-68,-69,-55,-75,-74,-86,-82,-74,-78,-75,-77,-80,-200,-67,-81,-84,-79,-200,-71,-80,-66,-87,-200,-200,-90,-89,-200,-87,-88,-200,-200,-200,-86,-200,-200,-200,-200,-200,-87,-89,-79,-91,-200,-200,-88
