,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,DLINK_D02A28,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526444214536,-38,-33,-33,-36,-52,-55,-51,-53,-56,-50,-56,-53,-52,-69,-69,-73,-63,-57,-63,-67,-74,-200,-73,-66,-76,-65,-76,-68,-81,-80,-59,-85,-83,-82,-81,-85,-83,-86,-88,-82,-78,-80,-82,-200,-200,-82,-73,-74,-88,-200,-89,-83,-200,-91,-87,-88,-90,-75,-200,-200,-90,-86,-200,-200,-200,-200,-89,-81,-92,-85,-88,-200,-200,-200,-91,-93,-200,-80,-88,-82,-89,-88,-200,-90,-93,-91,-62,-91,-91,-88,-80,-74,-91,-200,-200
1526444217575,-37,-32,-16,-45,-50,-53,-53,-61,-57,-56,-66,-55,-51,-64,-69,-73,-61,-57,-70,-67,-75,-200,-72,-75,-78,-65,-77,-69,-81,-79,-66,-90,-81,-83,-81,-85,-83,-87,-88,-82,-78,-81,-82,-200,-200,-85,-74,-73,-88,-200,-89,-83,-92,-90,-88,-88,-200,-74,-200,-200,-200,-87,-200,-200,-200,-200,-91,-81,-92,-84,-87,-200,-200,-200,-91,-200,-200,-80,-88,-82,-89,-90,-92,-90,-93,-91,-62,-91,-91,-88,-200,-87,-91,-200,-200
1526444220611,-37,-33,-14,-38,-53,-52,-56,-54,-57,-49,-57,-37,-48,-63,-69,-72,-67,-57,-65,-67,-75,-200,-74,-65,-61,-66,-75,-63,-82,-75,-59,-90,-81,-83,-80,-86,-87,-85,-98,-82,-200,-81,-82,-98,-200,-86,-82,-73,-89,-200,-200,-81,-92,-90,-88,-200,-91,-74,-200,-89,-200,-87,-200,-200,-200,-106,-90,-200,-92,-85,-88,-200,-200,-200,-200,-200,-200,-81,-89,-83,-89,-92,-92,-200,-91,-90,-66,-200,-90,-85,-200,-87,-90,-200,-200
1526444223643,-38,-32,-31,-36,-49,-52,-55,-50,-57,-49,-57,-53,-52,-64,-70,-73,-67,-57,-65,-67,-75,-200,-72,-65,-78,-64,-74,-63,-80,-79,-59,-90,-81,-82,-80,-84,-82,-87,-98,-81,-200,-81,-61,-88,-200,-83,-72,-72,-89,-88,-200,-82,-88,-91,-88,-200,-89,-81,-200,-89,-200,-83,-200,-200,-200,-106,-90,-200,-200,-83,-88,-200,-200,-200,-200,-200,-93,-81,-90,-82,-200,-92,-92,-200,-91,-90,-66,-200,-90,-85,-200,-87,-89,-80,-200
1526444226681,-37,-35,-31,-37,-49,-55,-51,-54,-57,-49,-58,-49,-51,-62,-70,-71,-61,-55,-65,-67,-74,-200,-72,-68,-76,-67,-76,-63,-81,-67,-55,-200,-81,-82,-82,-84,-80,-87,-94,-83,-200,-80,-81,-89,-200,-83,-74,-72,-89,-88,-200,-82,-88,-91,-90,-200,-90,-80,-200,-89,-91,-87,-200,-200,-200,-91,-90,-82,-200,-83,-88,-200,-200,-200,-200,-200,-93,-81,-90,-85,-89,-89,-200,-200,-91,-94,-66,-200,-90,-85,-200,-200,-89,-77,-200
1526444229713,-22,-32,-31,-38,-47,-49,-55,-53,-57,-43,-60,-49,-46,-60,-70,-72,-66,-57,-65,-67,-74,-200,-70,-66,-70,-65,-75,-64,-82,-79,-54,-200,-81,-83,-81,-86,-80,-87,-94,-81,-200,-80,-77,-89,-200,-83,-75,-72,-89,-88,-200,-83,-86,-91,-90,-83,-90,-80,-200,-89,-91,-87,-200,-200,-200,-91,-90,-82,-200,-80,-88,-200,-200,-200,-200,-200,-93,-200,-90,-85,-90,-89,-200,-200,-91,-94,-66,-200,-90,-200,-200,-200,-89,-77,-200
1526444232745,-37,-33,-31,-37,-50,-53,-54,-52,-57,-43,-56,-53,-48,-64,-70,-73,-64,-57,-64,-67,-72,-200,-73,-66,-72,-65,-74,-70,-81,-73,-59,-200,-81,-83,-81,-82,-82,-85,-88,-81,-200,-80,-77,-91,-200,-83,-76,-72,-89,-88,-200,-81,-90,-91,-90,-83,-90,-74,-200,-89,-91,-87,-200,-200,-200,-91,-200,-76,-200,-84,-88,-200,-200,-200,-200,-200,-92,-200,-91,-83,-90,-89,-200,-200,-200,-94,-63,-200,-200,-88,-200,-200,-89,-77,-200
1526444235782,-37,-33,-15,-15,-52,-55,-56,-52,-58,-49,-57,-53,-53,-62,-70,-72,-62,-57,-65,-67,-73,-200,-73,-68,-77,-65,-74,-63,-81,-73,-58,-200,-82,-82,-81,-84,-82,-87,-88,-81,-78,-82,-77,-88,-200,-83,-76,-74,-89,-88,-200,-82,-90,-92,-90,-89,-90,-80,-200,-200,-91,-86,-200,-200,-90,-91,-89,-76,-200,-84,-88,-89,-200,-200,-200,-200,-92,-200,-91,-83,-90,-93,-200,-90,-200,-94,-63,-200,-200,-88,-79,-200,-200,-77,-200
1526444238821,-37,-33,-30,-37,-52,-53,-55,-55,-57,-47,-56,-52,-51,-65,-69,-72,-63,-57,-65,-66,-73,-86,-72,-66,-76,-66,-76,-63,-83,-79,-59,-200,-82,-83,-81,-86,-81,-83,-86,-81,-78,-80,-77,-88,-200,-85,-74,-74,-200,-88,-200,-81,-90,-92,-200,-89,-200,-74,-200,-200,-200,-87,-200,-200,-90,-200,-89,-76,-200,-87,-89,-89,-200,-200,-200,-200,-92,-200,-91,-82,-94,-88,-200,-90,-200,-200,-63,-200,-200,-87,-82,-200,-200,-77,-200
1526444241863,-38,-32,-31,-36,-50,-52,-55,-52,-57,-49,-58,-53,-51,-64,-69,-72,-63,-57,-63,-67,-73,-87,-74,-66,-77,-66,-75,-68,-81,-79,-59,-200,-82,-83,-81,-83,-81,-84,-86,-82,-78,-80,-200,-88,-200,-83,-74,-75,-200,-88,-200,-81,-90,-91,-92,-89,-91,-73,-200,-200,-89,-87,-200,-200,-90,-200,-92,-76,-200,-85,-89,-89,-200,-200,-200,-200,-92,-200,-88,-84,-94,-89,-92,-90,-200,-200,-63,-89,-200,-86,-80,-200,-200,-77,-87
1526444244906,-16,-34,-30,-36,-56,-58,-55,-53,-57,-47,-58,-53,-43,-64,-69,-72,-65,-57,-65,-67,-71,-87,-67,-68,-77,-65,-75,-63,-82,-79,-59,-86,-75,-82,-81,-83,-81,-79,-86,-82,-78,-80,-200,-88,-200,-83,-76,-71,-200,-200,-200,-82,-90,-91,-92,-89,-91,-73,-200,-89,-89,-87,-200,-200,-90,-200,-92,-200,-200,-85,-89,-89,-200,-200,-200,-200,-200,-200,-86,-84,-90,-89,-92,-90,-200,-200,-200,-89,-200,-86,-80,-200,-200,-77,-87
1526444247920,-37,-34,-30,-36,-51,-55,-56,-52,-57,-46,-55,-54,-51,-63,-69,-72,-62,-57,-65,-67,-74,-87,-72,-53,-77,-65,-74,-63,-81,-80,-57,-86,-79,-84,-81,-83,-81,-79,-86,-82,-200,-81,-84,-200,-200,-83,-73,-72,-200,-89,-200,-82,-90,-91,-90,-200,-91,-77,-200,-89,-89,-85,-200,-200,-200,-200,-92,-80,-200,-84,-89,-200,-200,-200,-200,-200,-200,-80,-86,-84,-90,-88,-90,-200,-200,-200,-200,-89,-200,-89,-77,-82,-200,-77,-87
