,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,NETWORK,DLINK_D02A38,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526443349349,-26,-43,-37,-43,-62,-52,-57,-58,-53,-56,-57,-57,-56,-53,-75,-56,-57,-66,-76,-80,-69,-75,-75,-72,-69,-65,-78,-76,-81,-76,-68,-76,-79,-200,-90,-77,-73,-200,-91,-78,-200,-85,-75,-82,-84,-86,-86,-85,-92,-200,-84,-200,-86,-80,-200,-200,-200,-86,-91,-89,-91,-88,-85,-200,-88,-200,-200,-90,-200,-200,-200,-90,-89,-200,-200,-200,-86,-91,-84,-90,-90,-200,-94,-200,-95,-90,-200,-200,-200
1526443352390,-26,-43,-35,-41,-59,-51,-54,-56,-50,-61,-55,-57,-56,-53,-67,-58,-53,-64,-56,-79,-66,-75,-74,-70,-64,-70,-79,-74,-79,-74,-68,-84,-80,-80,-90,-76,-72,-200,-200,-84,-76,-80,-83,-82,-86,-83,-86,-87,-81,-92,-82,-200,-85,-80,-88,-200,-200,-90,-91,-89,-91,-88,-85,-91,-91,-200,-89,-88,-90,-200,-200,-88,-200,-200,-200,-200,-87,-90,-84,-90,-200,-200,-93,-200,-91,-90,-91,-200,-200
1526443355433,-26,-41,-35,-42,-59,-50,-57,-63,-57,-61,-56,-58,-55,-52,-64,-58,-55,-66,-71,-76,-71,-74,-77,-70,-64,-66,-78,-74,-79,-74,-68,-83,-80,-66,-200,-76,-72,-200,-200,-79,-75,-82,-84,-84,-84,-85,-86,-86,-83,-92,-88,-200,-87,-81,-90,-200,-200,-90,-91,-89,-91,-86,-85,-91,-91,-200,-89,-88,-89,-200,-200,-93,-200,-200,-200,-92,-84,-90,-84,-89,-200,-200,-93,-200,-91,-200,-91,-200,-200
1526443358470,-26,-41,-35,-45,-60,-50,-56,-66,-57,-62,-57,-58,-55,-50,-66,-56,-57,-64,-70,-77,-69,-73,-75,-72,-63,-68,-78,-70,-83,-73,-63,-81,-80,-66,-200,-78,-73,-200,-84,-83,-73,-82,-84,-84,-86,-83,-78,-86,-81,-92,-85,-200,-85,-80,-88,-200,-200,-90,-91,-89,-91,-86,-85,-91,-91,-200,-90,-88,-89,-200,-200,-89,-89,-200,-200,-92,-86,-90,-84,-88,-200,-200,-93,-200,-92,-200,-91,-200,-200
1526443361512,-26,-41,-36,-42,-58,-51,-56,-57,-55,-61,-56,-57,-56,-58,-66,-57,-56,-64,-72,-77,-71,-75,-75,-72,-67,-67,-78,-74,-77,-74,-68,-83,-200,-79,-200,-77,-72,-200,-84,-81,-73,-82,-84,-81,-85,-85,-78,-84,-81,-200,-85,-83,-85,-80,-88,-200,-200,-90,-91,-200,-200,-89,-85,-200,-91,-200,-90,-89,-89,-85,-200,-89,-89,-200,-200,-92,-86,-200,-200,-91,-200,-200,-200,-200,-89,-200,-200,-92,-200
1526443364543,-24,-41,-35,-43,-58,-51,-56,-58,-57,-61,-57,-58,-62,-59,-64,-58,-56,-65,-64,-76,-70,-76,-76,-72,-65,-65,-75,-72,-77,-74,-68,-84,-200,-79,-200,-77,-72,-200,-84,-82,-73,-82,-84,-81,-85,-85,-78,-84,-81,-93,-85,-83,-88,-81,-90,-200,-200,-89,-91,-200,-200,-89,-86,-92,-91,-200,-90,-89,-92,-85,-200,-89,-90,-200,-200,-200,-85,-200,-200,-89,-91,-200,-200,-200,-91,-200,-200,-92,-200
1526443367578,-26,-45,-36,-41,-59,-52,-55,-66,-58,-61,-57,-58,-53,-59,-66,-57,-54,-64,-64,-76,-69,-75,-76,-73,-63,-66,-75,-74,-77,-74,-65,-84,-200,-79,-200,-78,-71,-200,-84,-83,-200,-82,-84,-81,-85,-85,-200,-84,-79,-93,-82,-83,-88,-80,-90,-200,-200,-89,-200,-200,-200,-89,-84,-92,-91,-200,-90,-88,-92,-83,-200,-200,-90,-200,-200,-200,-87,-200,-200,-89,-91,-200,-200,-200,-91,-200,-200,-92,-200
1526443370618,-16,-38,-42,-42,-58,-51,-55,-57,-65,-60,-65,-58,-63,-52,-72,-59,-57,-64,-64,-76,-70,-75,-76,-73,-72,-67,-78,-74,-78,-74,-65,-81,-200,-81,-200,-79,-73,-200,-84,-80,-200,-83,-84,-85,-85,-85,-92,-84,-79,-93,-75,-83,-88,-80,-90,-200,-200,-85,-200,-200,-200,-89,-84,-92,-91,-200,-86,-87,-92,-83,-200,-200,-90,-200,-200,-200,-87,-200,-200,-89,-91,-200,-200,-200,-91,-200,-200,-92,-89
1526443373651,-25,-41,-34,-40,-59,-51,-57,-67,-55,-61,-56,-59,-51,-53,-63,-58,-56,-64,-69,-76,-74,-75,-75,-71,-64,-66,-75,-74,-77,-73,-63,-83,-200,-81,-200,-78,-73,-200,-87,-80,-200,-83,-200,-84,-84,-85,-79,-200,-81,-91,-84,-84,-85,-80,-89,-200,-200,-88,-89,-200,-200,-200,-85,-92,-91,-200,-86,-87,-93,-83,-200,-200,-90,-90,-200,-200,-86,-200,-200,-90,-90,-200,-200,-200,-91,-200,-200,-200,-89
1526443376693,-26,-41,-35,-42,-59,-51,-56,-58,-58,-62,-56,-57,-56,-53,-66,-55,-56,-65,-71,-76,-70,-76,-75,-71,-60,-70,-79,-75,-78,-73,-65,-83,-81,-81,-200,-76,-72,-200,-87,-83,-200,-83,-200,-81,-85,-85,-79,-200,-81,-91,-81,-83,-88,-80,-89,-200,-200,-88,-92,-90,-200,-200,-86,-200,-90,-200,-89,-90,-93,-83,-200,-200,-200,-90,-200,-91,-86,-89,-200,-90,-90,-200,-93,-200,-200,-200,-200,-90,-89
1526443379733,-25,-38,-35,-42,-59,-52,-57,-57,-54,-52,-57,-54,-58,-59,-67,-58,-57,-63,-71,-78,-71,-75,-77,-71,-65,-68,-78,-74,-77,-73,-63,-84,-81,-81,-200,-76,-72,-200,-87,-83,-80,-83,-200,-80,-85,-85,-91,-200,-81,-91,-81,-83,-82,-200,-89,-200,-200,-88,-92,-90,-200,-200,-86,-200,-90,-200,-89,-89,-93,-200,-200,-200,-200,-90,-200,-91,-86,-89,-200,-90,-90,-200,-93,-200,-200,-200,-200,-89,-89
1526443382782,-25,-45,-36,-46,-60,-52,-58,-67,-55,-62,-57,-55,-53,-58,-67,-57,-52,-63,-73,-77,-68,-75,-75,-74,-66,-67,-77,-70,-77,-76,-64,-84,-81,-200,-200,-77,-70,-200,-87,-79,-80,-85,-200,-85,-87,-86,-80,-200,-81,-91,-81,-84,-89,-200,-92,-200,-200,-88,-90,-90,-200,-200,-84,-200,-92,-200,-89,-89,-84,-88,-200,-200,-200,-90,-200,-91,-86,-89,-200,-90,-90,-200,-93,-200,-200,-200,-92,-89,-200
