TimeStamp,e0:d1:73:a1:20:e2,e0:d1:73:a1:20:ed,54:78:1a:24:67:cd,e0:d1:73:a1:20:e0,54:78:1a:24:67:c0,54:78:1a:24:67:cf,84:78:ac:dc:d4:a2,84:78:ac:dc:d4:ad,20:3a:07:aa:41:3d,20:3a:07:aa:41:30,20:3a:07:aa:41:3f,20:3a:07:aa:41:32,e0:d1:73:d8:74:90,e0:d1:73:d8:74:92,e0:d1:73:d8:74:9d,e0:d1:73:95:71:4f,e0:d1:73:de:ac:12,e0:d1:73:95:71:4d,e0:d1:73:d8:74:9f,e0:d1:73:a1:20:ef,e0:d1:73:0f:2f:7f,e0:d1:73:de:ac:10,e0:d1:73:95:71:40,e0:d1:73:0f:2f:70,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7d,e0:d1:73:0f:2f:72,e0:d1:73:95:71:42,e0:d1:73:bd:c9:a2,e0:d1:73:de:ac:1f,e0:d1:73:bd:c9:af,e0:d1:73:de:ac:1d,e0:d1:73:bd:c9:ad,54:78:1a:24:67:c2,cc:d5:39:9a:e4:80
1454082050841,,,,,,,,,,,,,,,,-64,,-65,,,-46,,-63,-44,-63,-46,-41,-65,-65,,-72,,-72,,
1454082054071,,,,,,,,,,,,,,,,-62,,-63,,,-48,,-61,-46,-62,-48,-41,-66,-61,,-70,,-70,,
1454082057271,,,,,,,,,,,,,,,,-73,,-73,,,-47,,-64,-43,-62,-47,-43,-66,-65,,-72,,-72,,
1454082060466,,,,,,,,,,,,,,,,-70,,-70,,,-54,,-65,-52,-63,-55,-43,-66,-62,,-74,,-74,,
1454082063650,,,,,,,,,,,,,,,,-70,,-69,,,-45,,-65,-46,-63,-44,-47,-69,-71,,-78,,-78,,
1454082066846,,,,,,,,,,,,,,,,-70,,-70,,,-50,,-70,-49,-70,-50,-47,-73,-72,,-77,,-77,,
1454082070045,,,,,,,,,,,,,,,,-76,,-76,,,-44,,-71,-49,-72,-44,-50,-73,-74,,-83,,-83,,
1454082073304,,,,,,,,,,,,,,,,-70,,-70,,,-48,,-70,,-70,-48,-40,,-74,,-79,,-83,,
1454082076493,,,,,,,,,,,,,,,,-70,,-69,,,-43,,-70,-45,-70,-43,-45,-68,-70,,-74,,-74,,
1454082079697,,,,,,,,,,,,,,,,-71,,-70,,,-51,,-69,-45,-71,-51,-45,-69,-73,,-76,,-76,,
1454082082891,,,,,,,,,,,,,,,,-76,,-77,,,-51,,-69,-45,-75,-51,,-69,-73,,-76,,-76,,
1454082086104,,,,,,,,,,,,,,,,-69,,-69,,,-60,,-71,-54,-73,-61,-52,-73,-73,,-82,,-81,,
1454082089308,,,,,,,,,,,,,,,,-72,,-72,,,-58,,-69,-59,-73,-58,-52,-70,-73,,-78,,-78,,
1454082092552,,,,,,,,,,,,,,,,-71,,-71,,,-61,,-68,-59,-73,-60,-55,-70,-73,,-78,,-79,,
1454082095764,,,,,,,,,,,,,,,,-73,,-74,,,-64,,-68,,-73,-64,-56,,,,-80,,-79,,
1454082098950,,,,,,,,,,,,,,,,-72,,-72,,,-63,,-68,-61,-73,-63,-60,-72,-75,,-80,,,,
1454082102148,,,,,,,,,,,,,,,,-72,,-72,,,-68,,-68,-61,-79,-68,-60,-65,-81,,,,-83,,
1454082105363,-81,,,,,,,,,,,,,,,-72,,-73,,,-71,,-70,-65,-79,-71,-63,-72,-79,,-92,,-83,,-77
1454082108599,-81,,,,-80,,,,,,,,,,,-74,,-73,,,-70,,-69,-61,-79,-70,-63,-68,-77,,-86,,-87,,-81
1454082111796,-80,,,-79,-80,,,,,,,,,,,-70,,-70,,,-69,,-75,-66,-79,-69,-64,-74,-78,,-86,,-83,,-81
1454082114997,-80,,,-79,,,,,,,,,,,,-71,,-70,,,-63,,-68,-65,-77,-63,-64,-69,-78,,-81,,-81,,
1454082118211,-80,,,,,,,,,,,,,,,-71,,-71,,,-66,,-71,-65,-78,-67,-62,-68,-76,,-85,,-81,,
1454082121409,,,,,,,,,,,,,,,,-72,,-72,,,-64,,-71,-59,-74,-64,-60,-68,-74,,-85,,-84,,
1454082124613,,,,,,,,,,,,,,,,-77,,-76,,,-62,,-69,-57,-73,-62,-60,-67,-73,,-85,,-86,,
1454082127825,,,,,-84,,,,,,,,,,,-70,,-71,,,-69,,-70,-57,-73,-69,-60,-67,-73,,-86,,-86,,
1454082131025,,,,,-84,,,,,,,,,,,-74,,-74,,,-69,,-70,-63,,-69,-62,-70,-75,,-86,,,,
1454082134220,,,,,,,,,,,,,,,,-72,,-73,,,-68,,-72,-65,,-68,-65,-71,-78,,-85,,-82,,
1454082137418,,,,,,,,,,,,,,,,-77,,-76,,,-69,,-73,-65,-78,-69,-64,-71,-78,,-86,,-82,,
1454082140621,-80,,,,-79,,,,,,,,,,,-74,,-75,,,-71,,-71,-61,-78,-71,-63,-71,-79,,-86,,-86,,
1454082143817,-77,,,-77,-79,,,,,,,,,,,-72,,-73,,,-68,,-68,-64,-76,-68,-63,-69,-75,,-82,,-87,,
1454082147004,-76,,,-75,,,,,,,,,,,,-69,,-69,,,-69,,-68,-65,-76,-69,-64,-72,-78,,-82,,-87,,
1454082150203,-82,,,-75,,,,,,,,,,,,-69,,-68,,,-71,,-66,-60,-73,-71,-63,-66,-75,,-84,,-83,,
1454082153400,-81,,,,,,,,,,,,,,,-65,,-66,,,-68,,-68,-60,-74,-69,-64,-66,-75,,-82,,-83,,
1454082156598,-77,,,-77,,,,,,,,,,,,-65,,-66,,,-66,,-64,-62,-71,-66,-61,-64,-72,,-82,,-84,,
1454082159801,-77,,,-77,,,,,,,,,,,,-64,,-63,,,-62,,-65,-58,-73,-62,-61,-64,-72,,-77,,-77,,
1454082163012,,,,,,,,,,,,,,,,-64,,-64,,,-66,,-61,-62,-71,-65,-62,-62,-71,,-79,,-79,,
1454082166218,,,,,,,,,,,,,,,,-69,,-70,,,-64,,-62,-65,-70,-64,-62,-63,-70,,-79,,-78,,
1454082169432,,,,,,,,,,,,,,,,-67,,-66,,,-62,,-66,-60,-70,-62,-62,-64,-69,,-78,,-78,,
1454082172627,,,,,,,,,,,,,,,,-68,,-69,,,-62,,-63,-60,-69,-62,-58,-64,-69,,-77,,-77,,
1454082175824,,,,,,,,,,,,,,,,-69,,-70,,,-62,,-63,-57,-71,-62,-55,-64,-71,,-75,,-76,,
1454082179025,,,,,,,,,,,,,,,,-71,,-70,,,-62,,-70,-53,-68,-62,-55,-70,-71,,-82,,-84,,
1454082182211,,,,,,,,,,,,,,,,-68,,-68,,,-60,,-70,-57,-71,-60,-57,-68,-73,,-81,,-81,,
1454082185413,,,,,,,,,,,,,,,,-71,,-70,,,-58,,-64,-56,-71,-58,-55,-65,-71,,-77,,-77,,
1454082188594,,,,,,,,,,,,,,,,-75,,-74,,,-58,,-71,-56,-71,-58,-53,-65,-71,,-81,,-79,,
1454082191809,,,,,,,,,,,,,,,,-76,,-77,,,-62,,-71,-57,-76,-61,-54,-68,-78,,-81,,-79,,
1454082195012,,,,,,,,,,,,,,,,-75,,-75,,,-62,,-72,-52,-73,-61,-54,-73,-73,,-83,,-85,,
1454082198207,,,,,,,,,,,,,,,,-73,,-73,,,-59,,-74,-52,-74,-60,-55,-73,-73,,-85,,-85,,
1454082201433,,,,,-83,,,,,,,,,,,-74,,-75,,,-60,,-72,-51,-73,-60,-53,-69,-75,,-85,,-84,,
1454082204621,,,,,-83,,,,,,,,,,,-74,,-74,,,-59,,-72,-53,-76,-59,-53,-73,-74,,-53,,-84,,
1454082207823,,,,,,,,,,,,,,,,-74,,-74,,,-54,,-75,-53,-73,-53,-51,-73,-74,,-83,,,,
1454082211070,,,,,,,,,,,,,,,,-76,,-74,,,-52,,-71,-50,-75,-52,-50,-73,-79,,-80,,-80,,
1454082214249,,,,,,,,,,,,,,,,-79,,-79,,,-58,,-71,-51,-75,-57,-52,-73,-73,,-80,,-81,,-81
1454082217453,,,,,,,,,,,,,,,,-76,,-76,,,-52,,-70,-49,-71,-52,-52,-70,-73,,-80,,-81,,-81
1454082220653,,,,,,,,,,,,,,,,-72,,-71,,,-51,,-70,-47,-71,-51,-48,-67,-69,,-80,,-81,,
1454082223833,,,,,,,,,,,,,,,,-74,,-73,,,-50,,-71,-49,-74,-51,-49,-72,-75,,-77,,-77,,
1454082227044,,,,,-84,,,,,,,,,,,-72,,-72,,,-40,,-69,-43,-71,-40,-45,-72,-70,,-77,,-77,,
1454082230250,,,,,-84,,,,,,,,,,,-70,,-70,,,-54,,-67,-49,-71,-54,-49,,-72,,-72,,-71,,
1454082233461,,,,,,,,,,,,,,,,-68,,-68,,,-59,,-66,-52,-68,-59,-51,-67,-72,,-77,,-77,,
1454082236713,,,,,,,,,,,,,,,,-71,,-72,,,-59,,-65,-52,-67,-59,-55,-67,,,-74,,-74,,
1454082239905,,,,,,,,,,,,,,,,-76,,-75,,,-62,,-69,-61,-70,-62,-55,-71,-70,,-80,,-80,,
1454082243104,,,,,,,,,,,,,,,,-78,,-76,,,-69,,-69,-62,-70,-68,-65,-71,-71,,-80,,-80,,
1454082246293,,,,,,,,,,,,,,,,-80,,-76,,,-67,,-75,-60,-75,-68,-62,-78,-73,,-82,,-82,,
1454082249499,,,,,,,,,,,,,,,,-79,,-81,,,-71,,-75,-60,-75,-71,-59,-78,-73,,-85,,-82,,
1454082252739,,,,,,,,,,,,,,,,-79,,-78,,,-60,,-73,-60,-74,-60,-60,-74,-75,,-80,,-78,,
1454082255981,,,,,,,,,,,,,,,,-74,,-74,,,-60,,-73,-53,-71,-60,-55,-73,-69,,-75,,-75,,
1454082259176,,,,,,,,,,,,,,,,-71,,-72,,,-62,,-71,-56,-70,-62,-56,-72,-69,,-74,,-74,,
1454082262374,,,,,,,,,,,,,,,,-84,,-82,,,-70,,-74,-65,-68,-70,-56,-74,-68,,-89,,-84,,
1454082265574,,,,,,,,,,,,,,,,-84,,-82,,,-73,,-74,-65,-68,-73,-68,-77,-83,,-89,,-84,,
1454082268806,,,,,,,,,,,,,,,,,,,,,-77,,,-71,,-73,-73,-77,-83,,-89,,,,
1454082272053,,,,,,,,,,,,,,,,,,,,,-82,,,-74,,,-72,,,,,,,,
1454082275317,,,,,,,,,,,,,,,,,,,,,-80,,,-75,,,-75,,,,,,,,
1454082278549,,,,,,,,,,,,,,,,,,,,,-80,,,-72,,,-74,,,,,,,,
1454082281831,,,,,,,,,,,,,,,,,,,,,,,,-72,,-86,-80,,,,,,,,
1454082285118,,,,,,,,,,,,,,,,,,,,,,,,,,-86,-80,,,,,,,,
1454082288365,,,,,,,,,,,,,,,,,,,,,,,,-75,,-83,-77,,,,,,,,
1454082291614,,,,,,,,,,,,,,,,,,,,,-81,,,-77,,-83,-76,,,,,,,,
1454082294896,,,,,,,,,,,,,,,,,,,,,-81,,,-75,,-83,-78,,,,,,,,
1454082298227,,,,,,,,,,,,,,,,,,,,,,,,-75,,-83,-75,,,,,,,,
1454082301507,,,,,,,,,,,,,,,,,,,,,-85,,,-75,,,-75,,,,,,,,
1454082304763,,,,,,,,,,,,,,,,,,,,,-85,,,-76,,,-76,,,,,,,,
1454082308036,,,,,,,,,,,,,,,,,,,,,-80,,,-75,,,-75,,,,,,,,
1454082311305,,,,,,,,,,,,,,,,,,,,,-80,,,-75,,-82,-74,,,,,,,,
1454082314535,,,,,,,,,,,,,,,,,,,,,,,,-74,,-80,-76,,,,,,,,
1454082317765,,,,,,,,,,,,,,,,,,,,,,,,-71,,-80,-76,,-82,,,,,,
1454082320998,,,,,,,,,,,,,,,,,,,,,,,,-78,-85,-81,,-84,-82,,,,,,
1454082324298,,,,,,,,,,,,,,,,,,,,,-81,,,-75,-85,-81,,-84,,,,,,,
1454082327514,,,,,,,,,,,,,,,,,,,,,-76,,,-72,,-81,-75,,,,,,,,
1454082330776,,,,,,,,,,,,,,,,,,,,,-79,,,-71,,-76,-72,,,,,,,,
1454082334011,,,,,,,,,,,,,,,,,,,,,-80,,,-75,,-76,-74,,,,,,,,
1454082337291,,,,,,,,,,,,,,,,,,,,,-80,,,-75,,-79,-76,,,,,,,,
1454082340523,,,,,,,,,,,,,,,,,,,,,-77,,,-72,,-76,-76,,,,,,,,
1454082343727,,,,,,,,,,,,,,,,,,-86,,,-75,,-85,-72,-82,-75,-69,,-82,,-87,,,,
1454082346922,,,,,,,,,,,,,,,,-83,,-83,,,-74,,-85,-69,-81,-74,-69,-81,-81,,-87,,,,
1454082350161,,,,,,,,,,,,,,,,-80,,-83,,,-74,,,-70,-81,-74,-68,-81,-81,,-87,,-87,,
1454082353356,,,,,,,,,,,,,,,,-82,,,,,-71,,-77,-62,,-71,-61,-77,,,-61,,-87,,
1454082356552,,,,,,,,,,,,,,,,-80,,-82,,,-71,,-77,-62,,-71,-63,-77,-80,,-85,,,,
1454082359805,,,,,,,,,,,,,,,,-80,,-80,,,-72,,-80,-67,-80,-72,-65,-79,-80,,-85,,-87,,
1454082363002,,,,,,,,,,,,,,,,-71,,-70,,,-59,,-80,-57,-73,-58,-56,-75,-72,,-79,,-80,,
1454082366213,,,,,,,,,,,,,,,,-71,,-70,,,-57,,-68,-50,-70,-57,-56,-68,-69,,-76,,-75,,
1454082369406,,,,,,,,,,,,,,,,-68,,-69,,,-58,,-65,-52,-70,-58,-53,-63,-69,,-71,,-71,,
1454082372673,,,,,,,,,,,,,,,,-71,,-71,,,-55,,-65,-55,-65,-55,-51,-67,-64,,-73,,-73,,
1454082375868,,,,,,,,,,,,,,,,-70,,-69,,,-56,,-65,-55,-63,-56,-52,-67,-64,,-71,,-72,,
1454082379084,,,,,,,,,,,,,,,,-71,,-71,,,-56,,-66,-50,-63,-56,-51,-65,-63,,-74,,-74,,
1454082382284,,,,,,,,,,,,,,,,-66,,-67,,,-56,,-68,-52,-67,-56,-51,-69,-68,,-75,,-74,,
1454082385483,,,,,,,,,,,,,,,,-69,,-69,,,-56,,-69,-52,-65,-56,-51,-69,-68,,-72,,-72,,
1454082388683,,,,,,,,,,,,,,,,-68,,-68,,,-58,,-65,,-61,-59,-49,-64,-61,,-73,,-74,,
1454082391884,,,,,,,,,,,,,,,,-62,,-62,,,-56,,-63,-52,-68,-57,-49,-63,-67,,-77,,-77,,
1454082395068,,,,,,,,,,,,,,,,-68,,-68,,,-57,,-63,-50,-68,-57,-52,-67,-62,,-68,,-68,,
1454082398270,,,,,,,,,,,,,,,,-64,,-65,,,-58,,-66,-51,-64,-58,-52,-67,-62,,-68,,-68,,
1454082401464,,,,,,,,,,,,,,,,-65,,-65,,,-57,,-64,-51,-59,-57,-49,,-62,,-71,,-70,,
1454082404665,,,,,,,,,,,,,,,,-68,,-68,,,-59,,-67,-55,-60,-59,-53,-65,-61,,-73,,-73,,
1454082407869,,,,,,,,,,,,,,,,-67,,-67,,,-58,,-68,-50,-63,-58,-53,-68,-63,,-70,,-70,,
1454082411080,,,,,,,,,,,,,,,,-63,,-63,,,-59,,-68,-52,-59,-59,-52,-68,-61,,-71,,-71,,
1454082414283,,,,,,,,,,,,,,,,-65,,-66,,,-57,,-63,-54,-62,-57,-53,-63,-62,,-70,,-70,,
1454082417504,,,,,,,,,,,,,,,,-69,,-69,,,-62,,-65,-59,-57,-63,-53,-64,-59,,-70,,-70,,
1454082420721,,,,,,,,,,,,,,,,-69,,-70,,,-60,,-63,-54,-59,-60,,-62,-60,,-73,,-72,,
1454082423931,,,,,,,,,,,,,,,,-75,,-75,,,-63,,-76,-65,-60,-63,-64,-62,-60,,-60,,-60,,
1454082427183,,,,,,,,,,,,,,,,-75,,-80,,,-70,,-73,-64,-54,-70,-64,-73,-54,,-71,,-70,,
1454082430385,,,,,,,,,,,,,,,,-82,,-82,,,-70,,-73,-63,-54,-69,-63,-76,-54,,-66,,-66,,
1454082433570,,,,,,,,,,,,,,,,-80,,-82,,,-71,,-74,-64,-59,-71,-64,-74,-59,,-68,,-68,,
1454082436799,,,,,,,,,,,,,,,,-79,,-79,,,-68,,-79,-64,-68,-68,-67,-74,-59,,-69,,-69,,
1454082439993,,,,,,,,,,,,,,,,-82,,-82,,,-74,,-79,-69,-68,-73,-67,-79,-62,,-65,,-65,,
1454082443215,,,,,,,,,,,,,,,,-82,,-81,,,-74,,,-70,-59,-74,-72,-79,-60,,-74,,-74,,
1454082446415,,,,,,,,,,,,,,,,-80,,-81,,,-73,,-77,-65,-64,-73,-72,-75,-65,,-71,,-71,,
1454082449616,,,,,,,,,,,,,,,,-84,,-83,,,-70,,-77,-65,-57,-70,-63,-75,-57,,-70,,-70,,
1454082452816,,,,,,,,,,,,,,,,-77,,-77,,,-71,,-78,-61,-56,-71,-60,-77,-56,,-65,,-65,,
