,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526447933396,-49,-70,-65,-56,-67,-67,-76,-64,-66,-78,-63,-71,-77,-71,-74,-80,-90,-84,-65,-89,-75,-87,-85,-89,-80,-84,-93,-94,-84,-83,-95,-94,-85,-200,-200,-95,-90,-200,-200,-94,-85,-93,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-95,-200,-200
1526447936436,-48,-66,-59,-55,-59,-71,-72,-66,-67,-76,-66,-73,-76,-73,-78,-81,-92,-76,-61,-89,-68,-86,-83,-89,-84,-85,-91,-94,-87,-82,-87,-94,-86,-200,-200,-96,-91,-200,-200,-94,-87,-93,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526447939483,-51,-64,-58,-55,-59,-65,-66,-59,-71,-81,-59,-69,-76,-72,-75,-78,-90,-83,-64,-93,-75,-82,-81,-81,-83,-83,-91,-94,-87,-79,-91,-94,-85,-200,-200,-94,-90,-200,-200,-94,-84,-92,-200,-97,-200,-200,-200,-200,-97,-97,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200
1526447942524,-49,-67,-65,-50,-68,-68,-76,-63,-67,-75,-67,-75,-83,-72,-75,-78,-85,-77,-65,-91,-75,-89,-77,-89,-79,-83,-93,-94,-87,-79,-91,-94,-88,-200,-200,-94,-90,-200,-200,-94,-90,-91,-200,-95,-200,-93,-200,-200,-97,-97,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200
1526447945564,-51,-64,-58,-58,-68,-68,-70,-65,-65,-77,-59,-78,-82,-75,-79,-80,-83,-77,-71,-92,-74,-85,-82,-86,-80,-81,-93,-95,-200,-79,-90,-200,-90,-200,-200,-96,-92,-200,-200,-96,-87,-95,-200,-96,-200,-93,-200,-200,-97,-97,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200
1526447948604,-50,-62,-58,-51,-63,-71,-69,-65,-65,-82,-64,-73,-84,-82,-82,-78,-81,-76,-65,-92,-70,-81,-78,-86,-76,-85,-93,-92,-200,-80,-87,-200,-88,-200,-200,-94,-92,-200,-200,-96,-87,-95,-200,-96,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-96,-200
1526447951652,-50,-63,-60,-59,-61,-71,-70,-64,-69,-78,-70,-76,-85,-74,-81,-79,-85,-74,-62,-92,-70,-81,-79,-86,-76,-85,-85,-92,-86,-77,-90,-200,-88,-200,-200,-94,-92,-200,-200,-94,-90,-92,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-96,-96
1526447954693,-47,-67,-60,-61,-61,-65,-68,-64,-65,-78,-63,-78,-78,-74,-81,-78,-79,-73,-67,-87,-70,-87,-82,-82,-75,-81,-91,-90,-85,-77,-93,-93,-90,-200,-200,-94,-94,-200,-200,-96,-89,-94,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-96,-96
1526447957734,-50,-63,-60,-57,-67,-74,-69,-61,-60,-76,-65,-74,-83,-79,-81,-79,-81,-79,-67,-96,-69,-86,-84,-82,-79,-85,-93,-93,-86,-80,-94,-93,-89,-200,-200,-94,-93,-200,-94,-96,-89,-94,-200,-97,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-96
1526447960775,-52,-62,-62,-56,-63,-62,-76,-61,-69,-76,-65,-76,-75,-66,-83,-79,-84,-76,-64,-90,-71,-82,-81,-86,-75,-86,-93,-93,-86,-77,-96,-93,-88,-200,-200,-94,-93,-200,-94,-95,-89,-92,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200
1526447963826,-51,-65,-59,-55,-62,-63,-72,-67,-71,-78,-73,-73,-69,-71,-79,-80,-84,-75,-61,-92,-68,-83,-77,-87,-77,-86,-86,-93,-87,-76,-95,-95,-88,-200,-200,-94,-93,-200,-94,-95,-86,-93,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200
1526447966865,-48,-63,-59,-56,-74,-65,-76,-67,-69,-79,-64,-74,-79,-73,-76,-78,-87,-81,-76,-90,-68,-85,-85,-88,-82,-82,-93,-92,-84,-77,-94,-94,-89,-200,-99,-200,-94,-200,-200,-96,-89,-93,-200,-200,-200,-95,-98,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200
