,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526448542489,-48,-33,-58,-59,-47,-44,-62,-54,-52,-57,-64,-67,-70,-64,-76,-65,-73,-76,-82,-81,-88,-76,-76,-81,-89,-94,-81,-86,-93,-86,-83,-84,-93,-87,-85,-89,-87,-94,-200,-86,-87,-74,-92,-96,-79,-92,-95,-200,-200,-99,-200,-97,-200,-200,-200,-200,-200,-88,-90,-200,-73,-84,-94,-200,-200,-200,-96,-92,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448545535,-46,-39,-59,-62,-42,-50,-61,-53,-41,-58,-55,-74,-78,-64,-70,-65,-72,-80,-79,-73,-80,-78,-75,-72,-87,-60,-73,-86,-86,-86,-83,-78,-93,-87,-85,-88,-200,-93,-200,-84,-87,-72,-92,-96,-80,-92,-95,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-87,-89,-200,-73,-88,-90,-200,-200,-200,-200,-96,-83,-200,-200,-200,-98,-200,-200,-200,-200,-200,-200
1526448548583,-48,-37,-61,-72,-49,-45,-57,-56,-55,-56,-57,-66,-78,-63,-69,-63,-68,-83,-79,-73,-82,-65,-85,-78,-88,-60,-78,-87,-86,-82,-81,-86,-90,-91,-88,-90,-200,-93,-200,-84,-88,-73,-92,-96,-79,-91,-200,-96,-200,-200,-200,-200,-200,-200,-200,-94,-200,-87,-89,-200,-73,-88,-90,-200,-200,-200,-200,-96,-83,-200,-200,-200,-98,-97,-200,-200,-200,-200,-200
1526448551628,-50,-38,-54,-60,-46,-43,-64,-56,-49,-56,-61,-75,-78,-70,-72,-68,-72,-78,-79,-71,-83,-72,-79,-82,-89,-92,-77,-88,-93,-82,-87,-86,-90,-88,-84,-90,-200,-93,-200,-87,-86,-73,-200,-96,-80,-92,-200,-95,-200,-200,-200,-200,-97,-200,-200,-93,-200,-87,-91,-200,-72,-87,-90,-200,-200,-200,-200,-93,-83,-200,-200,-200,-98,-97,-96,-200,-200,-200,-200
1526448554668,-50,-36,-61,-61,-39,-38,-61,-58,-57,-58,-54,-70,-69,-70,-65,-69,-68,-79,-80,-70,-83,-69,-81,-78,-84,-92,-76,-88,-93,-92,-86,-86,-93,-88,-87,-91,-200,-200,-90,-85,-83,-75,-95,-89,-80,-92,-200,-95,-200,-200,-200,-96,-96,-200,-200,-94,-200,-200,-92,-90,-74,-87,-200,-200,-200,-200,-200,-93,-200,-96,-200,-200,-200,-97,-96,-200,-200,-200,-200
1526448557712,-49,-37,-61,-59,-47,-41,-61,-57,-55,-55,-61,-58,-69,-66,-67,-72,-67,-77,-80,-72,-81,-71,-81,-78,-85,-92,-74,-88,-93,-92,-87,-92,-90,-89,-88,-91,-200,-95,-90,-83,-84,-53,-95,-89,-79,-92,-95,-95,-200,-200,-200,-96,-94,-97,-200,-94,-200,-89,-92,-93,-74,-89,-200,-200,-200,-200,-200,-93,-94,-96,-200,-97,-200,-200,-96,-85,-200,-200,-200
1526448560767,-50,-34,-64,-61,-47,-38,-63,-58,-56,-53,-53,-71,-69,-66,-71,-70,-68,-80,-80,-59,-81,-71,-80,-76,-85,-200,-75,-88,-91,-89,-86,-85,-90,-90,-88,-91,-200,-95,-90,-83,-84,-74,-95,-89,-78,-92,-95,-200,-200,-200,-200,-96,-94,-97,-200,-94,-200,-89,-92,-90,-75,-87,-200,-200,-200,-200,-97,-92,-94,-96,-200,-97,-200,-200,-200,-85,-200,-200,-200
1526448563810,-49,-37,-62,-60,-46,-38,-61,-55,-54,-54,-55,-70,-75,-69,-70,-69,-69,-77,-81,-72,-81,-70,-75,-77,-85,-200,-60,-88,-87,-86,-87,-88,-90,-90,-88,-93,-200,-95,-88,-83,-84,-76,-93,-91,-78,-90,-96,-200,-200,-98,-200,-200,-94,-97,-200,-94,-200,-88,-200,-90,-74,-86,-96,-200,-200,-200,-95,-92,-93,-200,-200,-97,-200,-200,-200,-85,-98,-200,-200
1526448566855,-50,-35,-59,-61,-46,-40,-61,-55,-58,-57,-60,-75,-75,-68,-75,-64,-69,-81,-81,-73,-81,-72,-75,-76,-83,-200,-78,-85,-87,-90,-85,-86,-92,-90,-200,-93,-200,-94,-88,-79,-82,-71,-93,-91,-78,-91,-91,-200,-200,-98,-200,-200,-200,-200,-200,-95,-200,-88,-91,-90,-75,-87,-96,-200,-200,-200,-96,-92,-93,-92,-200,-97,-200,-200,-200,-200,-98,-97,-200
1526448569899,-42,-37,-62,-54,-46,-43,-60,-60,-53,-58,-54,-69,-75,-67,-63,-67,-78,-81,-80,-68,-81,-69,-82,-76,-85,-90,-78,-88,-86,-90,-85,-83,-95,-89,-200,-90,-200,-94,-88,-86,-87,-71,-93,-91,-79,-91,-91,-200,-200,-98,-200,-200,-200,-200,-200,-95,-200,-87,-91,-91,-75,-87,-200,-200,-200,-200,-95,-92,-84,-95,-200,-97,-200,-200,-200,-200,-200,-97,-200
1526448572948,-48,-37,-55,-64,-54,-41,-61,-56,-52,-60,-61,-65,-200,-66,-74,-70,-72,-73,-80,-75,-80,-72,-74,-76,-81,-90,-83,-86,-86,-87,-82,-80,-95,-90,-200,-92,-200,-94,-88,-80,-85,-79,-200,-91,-75,-91,-92,-200,-200,-200,-95,-200,-200,-92,-97,-97,-200,-87,-91,-89,-75,-87,-90,-200,-200,-200,-95,-97,-84,-95,-200,-97,-200,-200,-200,-200,-200,-97,-200
1526448575989,-47,-37,-52,-57,-47,-36,-56,-55,-50,-61,-54,-69,-200,-64,-73,-65,-75,-77,-83,-82,-82,-72,-70,-76,-81,-93,-81,-89,-95,-87,-84,-82,-90,-90,-84,-88,-200,-94,-200,-89,-90,-72,-88,-200,-83,-89,-92,-200,-200,-200,-95,-200,-96,-92,-97,-97,-200,-91,-90,-89,-75,-86,-90,-200,-200,-200,-95,-97,-84,-95,-200,-200,-96,-200,-200,-200,-95,-200,-95
