,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526451629674,-65,-49,-44,-69,-44,-56,-56,-68,-51,-64,-71,-68,-76,-68,-77,-75,-81,-82,-76,-74,-62,-80,-74,-62,-80,-84,-75,-72,-81,-79,-200,-200,-81,-200,-88,-89,-81,-200,-200,-82,-83,-90,-87,-83,-89,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-87,-200,-77,-88,-89,-87,-86,-84,-200,-200,-200,-200,-200,-200
1526451632699,-72,-52,-42,-64,-55,-60,-64,-64,-50,-66,-64,-66,-70,-66,-77,-75,-76,-82,-76,-68,-62,-80,-76,-62,-86,-84,-200,-78,-81,-79,-80,-200,-81,-200,-79,-89,-82,-200,-200,-90,-82,-90,-87,-83,-89,-200,-200,-78,-200,-200,-200,-200,-200,-200,-86,-200,-90,-200,-200,-200,-77,-88,-89,-87,-86,-84,-200,-200,-200,-200,-200,-200
1526451635722,-67,-57,-44,-63,-52,-57,-59,-65,-51,-64,-66,-64,-73,-66,-85,-80,-77,-82,-77,-71,-62,-80,-76,-66,-86,-84,-85,-73,-81,-79,-80,-85,-81,-200,-79,-89,-82,-200,-200,-90,-84,-200,-200,-80,-90,-200,-200,-81,-200,-200,-200,-200,-200,-200,-87,-200,-90,-200,-200,-78,-200,-200,-200,-200,-86,-84,-200,-200,-200,-200,-200,-200
1526451638731,-70,-56,-46,-61,-55,-62,-52,-66,-52,-62,-64,-65,-83,-69,-85,-82,-76,-82,-81,-70,-62,-76,-75,-62,-90,-84,-85,-78,-81,-79,-80,-84,-84,-200,-79,-89,-82,-200,-200,-79,-82,-89,-85,-80,-90,-200,-200,-82,-200,-200,-200,-200,-91,-200,-87,-200,-90,-89,-200,-90,-82,-87,-200,-200,-200,-81,-90,-90,-200,-200,-200,-200
1526451641756,-73,-48,-42,-62,-52,-59,-58,-69,-53,-62,-66,-68,-76,-71,-80,-80,-80,-200,-77,-76,-64,-76,-76,-67,-90,-83,-85,-76,-80,-200,-80,-84,-84,-200,-79,-92,-81,-200,-200,-82,-82,-89,-82,-81,-90,-200,-200,-80,-200,-200,-200,-90,-90,-200,-87,-200,-200,-89,-88,-89,-82,-87,-88,-200,-200,-82,-90,-90,-200,-200,-200,-200
1526451644770,-67,-48,-47,-55,-49,-70,-55,-64,-49,-68,-59,-67,-76,-66,-80,-77,-77,-200,-77,-70,-62,-76,-74,-64,-88,-83,-75,-77,-80,-200,-200,-84,-75,-81,-200,-92,-82,-200,-200,-82,-84,-91,-82,-81,-90,-200,-200,-76,-200,-200,-200,-90,-90,-200,-87,-200,-200,-89,-88,-87,-82,-87,-89,-200,-200,-82,-90,-90,-200,-200,-200,-200
1526451647806,-65,-46,-42,-55,-60,-60,-57,-70,-47,-58,-66,-70,-74,-65,-79,-72,-77,-200,-77,-74,-64,-78,-73,-63,-88,-83,-75,-71,-80,-200,-73,-81,-76,-81,-200,-92,-82,-200,-200,-82,-84,-84,-85,-82,-88,-200,-200,-75,-200,-200,-200,-90,-90,-200,-87,-200,-200,-89,-89,-84,-76,-87,-89,-86,-200,-82,-90,-90,-81,-200,-200,-200
1526451650832,-67,-43,-43,-55,-62,-58,-67,-67,-48,-59,-61,-68,-74,-65,-79,-71,-75,-87,-77,-72,-63,-81,-73,-64,-81,-83,-75,-71,-80,-78,-73,-81,-76,-81,-200,-92,-82,-200,-200,-82,-88,-84,-85,-82,-88,-200,-200,-75,-200,-200,-200,-90,-90,-200,-87,-200,-200,-200,-89,-84,-76,-200,-89,-86,-200,-82,-200,-88,-77,-200,-200,-200
1526451653839,-67,-44,-42,-56,-62,-69,-57,-67,-48,-65,-66,-65,-65,-65,-78,-71,-77,-87,-200,-71,-66,-80,-73,-61,-81,-83,-75,-70,-77,-80,-76,-88,-74,-81,-200,-200,-77,-200,-200,-200,-88,-84,-85,-82,-90,-200,-200,-75,-200,-200,-200,-90,-200,-200,-87,-200,-89,-200,-88,-85,-74,-200,-89,-84,-200,-200,-200,-88,-77,-200,-200,-200
1526451656874,-65,-44,-41,-55,-63,-72,-67,-68,-48,-58,-66,-66,-69,-64,-78,-71,-73,-87,-200,-72,-65,-78,-74,-61,-81,-83,-75,-70,-78,-80,-76,-81,-75,-81,-200,-200,-77,-200,-200,-85,-85,-84,-85,-82,-90,-200,-200,-77,-200,-200,-200,-90,-200,-200,-87,-200,-89,-91,-88,-85,-77,-200,-91,-84,-200,-200,-200,-88,-77,-88,-90,-200
1526451659898,-67,-44,-41,-56,-60,-67,-59,-64,-48,-65,-70,-65,-70,-69,-78,-71,-76,-87,-200,-74,-65,-78,-74,-61,-81,-81,-75,-65,-77,-80,-75,-81,-75,-81,-200,-200,-77,-85,-200,-85,-84,-200,-85,-85,-90,-200,-200,-75,-200,-200,-200,-90,-200,-200,-200,-200,-89,-91,-89,-84,-77,-200,-91,-84,-200,-200,-200,-88,-77,-88,-90,-200
1526451662931,-73,-45,-42,-54,-60,-68,-59,-63,-49,-64,-61,-67,-70,-64,-78,-71,-74,-200,-200,-74,-67,-78,-73,-61,-200,-81,-75,-75,-75,-80,-75,-81,-80,-81,-81,-200,-77,-85,-200,-85,-84,-200,-85,-85,-90,-200,-200,-76,-200,-200,-200,-90,-200,-200,-200,-200,-89,-91,-89,-84,-77,-200,-91,-84,-200,-200,-200,-200,-200,-88,-90,-90
