,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309
1526462059155,-60,-55,-200,-62,-77,-57,-72,-63,-71,-71,-56,-200,-66,-73,-78,-80,-200,-200,-81,-88,-81,-200,-81,-86,-73,-200,-200,-200,-81,-200,-200,-200,-86,-200,-85,-200,-88,-84,-83,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462062160,-59,-58,-85,-68,-77,-57,-70,-63,-87,-71,-62,-200,-66,-70,-84,-82,-200,-200,-85,-88,-88,-200,-83,-86,-71,-200,-200,-200,-85,-200,-200,-200,-85,-200,-83,-200,-88,-83,-83,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462065189,-57,-70,-85,-61,-77,-55,-73,-66,-70,-79,-61,-200,-66,-67,-84,-77,-82,-200,-87,-88,-82,-200,-81,-85,-69,-200,-200,-200,-85,-200,-200,-200,-86,-200,-83,-200,-88,-83,-83,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462068219,-61,-63,-200,-65,-77,-55,-69,-66,-70,-90,-61,-200,-82,-69,-85,-78,-82,-200,-87,-200,-81,-200,-84,-85,-71,-200,-200,-200,-88,-200,-200,-200,-86,-200,-200,-200,-88,-200,-89,-200,-200,-200,-86,-200,-200,-200,-200,-88,-200,-200,-200,-200,-87,-200,-200,-200
1526462071250,-64,-56,-78,-68,-88,-56,-71,-65,-65,-79,-61,-200,-82,-69,-83,-80,-82,-200,-200,-200,-81,-200,-85,-85,-71,-200,-200,-200,-88,-200,-200,-200,-84,-200,-200,-200,-88,-86,-89,-200,-200,-200,-86,-200,-200,-200,-200,-88,-200,-200,-200,-200,-87,-200,-200,-200
1526462074280,-57,-62,-200,-58,-200,-57,-69,-61,-76,-200,-58,-200,-67,-73,-83,-80,-83,-200,-86,-86,-82,-200,-87,-88,-69,-200,-200,-200,-86,-200,-200,-200,-85,-200,-200,-89,-87,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200
1526462077321,-57,-66,-80,-59,-79,-57,-68,-71,-70,-200,-58,-200,-71,-77,-89,-76,-82,-200,-85,-87,-85,-200,-83,-88,-72,-91,-200,-200,-88,-200,-200,-200,-85,-200,-200,-89,-86,-85,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-90,-200
1526462080377,-57,-55,-80,-61,-75,-56,-68,-57,-68,-75,-68,-200,-72,-70,-82,-74,-82,-200,-85,-82,-82,-79,-77,-80,-76,-91,-200,-200,-88,-200,-200,-200,-84,-200,-200,-89,-86,-82,-200,-200,-90,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-91,-90,-88
1526462083391,-66,-55,-80,-61,-75,-55,-73,-71,-82,-86,-67,-200,-74,-68,-84,-75,-200,-200,-85,-82,-83,-79,-77,-80,-85,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-90,-82,-200,-200,-200,-91,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88
1526462086430,-72,-54,-77,-62,-77,-54,-72,-56,-70,-86,-60,-90,-70,-69,-82,-73,-77,-200,-84,-83,-78,-75,-77,-200,-85,-200,-200,-200,-86,-90,-200,-200,-85,-200,-200,-200,-90,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200
1526462089474,-58,-57,-77,-54,-72,-57,-68,-58,-71,-80,-59,-90,-70,-70,-82,-75,-83,-200,-84,-83,-86,-75,-77,-200,-76,-200,-200,-200,-86,-90,-200,-200,-85,-200,-200,-200,-90,-200,-200,-200,-200,-91,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-89,-200
1526462092502,-57,-57,-76,-56,-75,-58,-69,-57,-73,-73,-62,-200,-74,-67,-85,-76,-86,-200,-85,-200,-87,-200,-200,-85,-77,-86,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-90,-200
