,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526462141803,-80,-75,-82,-79,-79,-71,-68,-86,-83,-76,-86,-82,-83,-200,-200,-87,-84,-200,-200,-200,-200,-82,-200,-200,-86,-200,-200,-200,-72,-200,-92,-84,-89,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200
1526462144806,-80,-75,-74,-79,-75,-67,-67,-86,-82,-76,-79,-82,-83,-200,-200,-87,-84,-76,-200,-90,-200,-82,-200,-200,-84,-200,-200,-200,-72,-200,-92,-84,-89,-200,-200,-200,-200,-200,-200,-90,-89,-200,-200
1526462147828,-73,-77,-74,-80,-75,-67,-66,-86,-85,-75,-77,-83,-200,-200,-200,-87,-84,-73,-200,-90,-91,-79,-200,-200,-85,-200,-200,-200,-71,-200,-92,-84,-200,-200,-200,-200,-200,-200,-200,-90,-89,-90,-200
1526462150832,-77,-78,-76,-79,-200,-67,-67,-85,-82,-75,-79,-83,-200,-200,-200,-83,-84,-73,-200,-200,-91,-79,-200,-200,-85,-200,-200,-200,-73,-200,-200,-84,-89,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200
1526462153835,-80,-78,-77,-79,-77,-71,-66,-85,-84,-75,-81,-83,-200,-200,-200,-83,-84,-76,-200,-200,-91,-79,-200,-200,-85,-200,-200,-200,-90,-200,-200,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200
1526462156837,-80,-200,-73,-80,-79,-72,-67,-200,-82,-76,-80,-84,-85,-200,-200,-200,-83,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-71,-200,-89,-85,-200,-200,-200,-200,-200,-200,-89,-200,-200,-90,-200
1526462159840,-77,-75,-73,-82,-79,-71,-64,-200,-80,-76,-80,-84,-85,-200,-200,-200,-83,-75,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-71,-92,-89,-85,-90,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200
1526462162859,-77,-74,-75,-79,-78,-72,-66,-200,-80,-75,-78,-84,-85,-200,-200,-200,-83,-76,-200,-200,-200,-80,-200,-200,-86,-90,-200,-200,-72,-92,-89,-85,-90,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200
1526462165862,-76,-74,-75,-84,-78,-73,-63,-200,-80,-75,-77,-200,-200,-200,-200,-82,-84,-76,-200,-200,-200,-83,-200,-200,-85,-200,-200,-200,-72,-200,-89,-89,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200
1526462168865,-72,-71,-77,-74,-78,-67,-59,-200,-78,-75,-77,-83,-200,-200,-200,-82,-84,-80,-200,-87,-200,-83,-200,-200,-87,-200,-200,-200,-77,-200,-89,-89,-89,-200,-90,-200,-200,-200,-89,-200,-200,-200,-90
