,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526456562387,-31,-44,-48,-61,-47,-52,-52,-55,-53,-58,-63,-63,-48,-63,-63,-57,-65,-58,-60,-69,-62,-59,-200,-63,-69,-58,-24,-80,-61,-65,-69,-72,-69,-200,-78,-200,-70,-74,-200,-200,-200,-200,-200,-79,-200,-65,-79,-87,-67,-80,-79,-200,-86,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-62,-200,-200,-200,-83,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200
1526456565392,-30,-42,-52,-59,-44,-50,-51,-51,-54,-200,-58,-62,-54,-64,-65,-50,-71,-63,-57,-200,-61,-61,-200,-68,-69,-51,-24,-86,-59,-200,-69,-75,-70,-71,-78,-200,-54,-74,-200,-200,-200,-200,-200,-66,-200,-80,-200,-87,-67,-80,-59,-200,-86,-89,-200,-73,-200,-200,-200,-200,-76,-200,-200,-68,-200,-200,-200,-200,-62,-200,-200,-200,-83,-83,-200,-84,-200,-200,-82,-200,-200,-200,-200,-200,-200
1526456568442,-30,-43,-63,-61,-50,-48,-52,-53,-50,-75,-75,-75,-58,-67,-74,-55,-70,-56,-57,-76,-78,-56,-70,-69,-69,-57,-18,-86,-66,-68,-91,-75,-67,-71,-78,-200,-50,-66,-200,-92,-200,-200,-200,-76,-74,-86,-200,-87,-71,-80,-84,-200,-86,-89,-200,-66,-200,-76,-73,-200,-90,-200,-200,-68,-84,-200,-200,-200,-62,-200,-200,-200,-83,-83,-200,-84,-200,-200,-82,-92,-200,-200,-200,-200,-200
1526456571449,-31,-65,-48,-59,-53,-47,-55,-53,-54,-75,-58,-65,-45,-69,-74,-51,-71,-61,-56,-64,-57,-56,-72,-65,-200,-67,-27,-200,-60,-68,-75,-69,-67,-74,-200,-77,-63,-66,-200,-92,-200,-66,-200,-74,-74,-72,-75,-200,-71,-200,-84,-200,-200,-91,-200,-66,-200,-75,-73,-200,-90,-200,-200,-200,-84,-200,-200,-200,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-81,-200,-200,-200,-200
1526456574454,-31,-45,-49,-58,-51,-51,-58,-73,-53,-61,-63,-60,-46,-69,-65,-55,-73,-65,-53,-64,-57,-62,-72,-58,-64,-51,-26,-200,-60,-70,-75,-69,-67,-74,-77,-66,-60,-62,-200,-92,-86,-66,-69,-75,-74,-87,-75,-200,-71,-80,-86,-200,-200,-88,-200,-66,-200,-75,-73,-200,-90,-200,-200,-200,-84,-200,-200,-200,-57,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-81,-200,-200,-200,-200
1526456577459,-53,-41,-50,-62,-46,-44,-56,-61,-50,-56,-62,-67,-43,-69,-61,-51,-64,-65,-53,-63,-200,-58,-72,-65,-64,-56,-31,-200,-59,-69,-75,-67,-200,-200,-77,-66,-65,-71,-200,-200,-73,-68,-76,-62,-200,-81,-200,-200,-200,-80,-65,-200,-85,-88,-89,-79,-200,-75,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-65,-73,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456580506,-33,-39,-52,-54,-46,-52,-50,-50,-54,-55,-68,-61,-48,-60,-63,-89,-64,-65,-60,-81,-60,-58,-200,-65,-67,-54,-25,-200,-59,-69,-200,-67,-200,-74,-200,-200,-65,-73,-83,-200,-73,-68,-74,-77,-200,-76,-200,-76,-200,-200,-65,-200,-83,-200,-87,-79,-200,-78,-200,-200,-79,-85,-200,-200,-200,-200,-200,-200,-78,-73,-200,-200,-85,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456583577,-37,-40,-52,-57,-44,-47,-53,-55,-51,-52,-65,-74,-52,-60,-63,-56,-65,-69,-59,-81,-62,-62,-200,-69,-67,-47,-26,-78,-59,-69,-200,-76,-200,-59,-88,-200,-67,-73,-83,-200,-73,-68,-76,-67,-200,-80,-200,-86,-73,-200,-82,-200,-85,-200,-87,-79,-200,-78,-70,-200,-79,-85,-200,-200,-200,-200,-200,-200,-78,-75,-200,-200,-85,-200,-200,-84,-88,-92,-200,-200,-200,-81,-86,-200,-200
1526456586610,-33,-38,-48,-57,-42,-48,-73,-69,-53,-52,-65,-74,-51,-65,-65,-56,-61,-71,-54,-64,-59,-61,-200,-69,-67,-46,-28,-78,-200,-69,-74,-75,-200,-59,-88,-200,-66,-200,-200,-200,-200,-64,-76,-69,-80,-81,-200,-86,-71,-200,-81,-200,-83,-200,-200,-76,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-73,-200,-200,-200,-200,-200,-200,-88,-86,-200,-200,-200,-81,-86,-86,-200
1526456589687,-35,-40,-50,-55,-46,-47,-52,-50,-51,-52,-65,-63,-50,-65,-65,-59,-67,-71,-56,-64,-59,-59,-200,-66,-66,-50,-26,-200,-61,-71,-74,-73,-74,-200,-200,-200,-67,-200,-200,-200,-200,-64,-200,-42,-80,-78,-200,-200,-74,-200,-84,-200,-82,-89,-200,-76,-200,-200,-200,-200,-200,-200,-200,-64,-200,-81,-200,-200,-70,-75,-200,-200,-90,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-86,-85
1526456592746,-35,-40,-50,-51,-45,-45,-53,-53,-51,-52,-64,-62,-56,-200,-63,-78,-68,-70,-56,-64,-60,-59,-200,-63,-71,-65,-24,-200,-59,-72,-69,-71,-74,-200,-200,-69,-69,-67,-200,-200,-200,-64,-200,-76,-83,-84,-200,-200,-71,-200,-83,-200,-82,-89,-200,-69,-200,-200,-200,-76,-200,-200,-79,-63,-200,-81,-200,-200,-200,-75,-87,-200,-76,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-85
1526456595795,-33,-42,-50,-57,-46,-46,-56,-50,-59,-53,-66,-61,-49,-200,-66,-53,-65,-69,-59,-64,-60,-61,-200,-64,-68,-52,-26,-76,-57,-72,-69,-71,-200,-200,-200,-72,-58,-72,-200,-200,-79,-64,-76,-76,-83,-77,-200,-200,-74,-200,-82,-200,-200,-200,-200,-68,-73,-200,-200,-76,-200,-200,-73,-63,-200,-80,-200,-200,-67,-200,-87,-200,-76,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
