,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0122.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011d.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0119.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526444192999,-200,-76,-200,-200,-79,-71,-88,-200,-91,-200,-200,-76,-91,-200,-200,-200,-200,-200,-200,-200
1526444197499,-70,-80,-200,-200,-200,-73,-83,-72,-200,-200,-200,-77,-200,-89,-200,-200,-200,-200,-200,-200
1526444197603,-70,-79,-200,-200,-83,-73,-200,-200,-83,-200,-88,-78,-200,-200,-93,-200,-200,-200,-200,-200
1526444197708,-70,-79,-72,-200,-84,-200,-200,-200,-82,-200,-89,-78,-200,-200,-200,-200,-200,-200,-200,-200
1526444197813,-70,-80,-200,-200,-200,-73,-200,-72,-200,-97,-200,-78,-96,-200,-200,-93,-97,-200,-200,-200
1526444197918,-70,-79,-72,-200,-200,-200,-200,-71,-83,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200
1526444198034,-70,-79,-73,-200,-200,-72,-83,-72,-83,-200,-200,-77,-200,-200,-200,-200,-200,-96,-200,-200
1526444202481,-200,-200,-93,-94,-86,-200,-89,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444202587,-82,-83,-93,-200,-200,-200,-89,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444202694,-82,-83,-200,-94,-86,-200,-89,-78,-200,-200,-200,-200,-200,-200,-99,-200,-97,-200,-200,-200
1526444202800,-200,-83,-200,-200,-200,-200,-89,-78,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444202906,-200,-83,-93,-96,-86,-200,-89,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444203012,-83,-83,-200,-94,-79,-200,-89,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444207577,-200,-200,-71,-200,-79,-72,-87,-200,-92,-200,-87,-77,-200,-200,-200,-200,-200,-200,-200,-200
1526444207712,-200,-200,-70,-200,-79,-73,-86,-200,-92,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526444207820,-70,-77,-71,-200,-79,-72,-87,-200,-92,-200,-86,-77,-93,-200,-200,-200,-200,-200,-200,-200
1526444207956,-70,-200,-200,-200,-79,-71,-200,-200,-200,-91,-200,-77,-93,-200,-200,-200,-200,-200,-200,-200
1526444208025,-70,-76,-200,-200,-200,-72,-200,-71,-200,-200,-200,-77,-95,-90,-200,-200,-200,-200,-97,-93
1526444212615,-70,-80,-71,-200,-84,-72,-83,-73,-200,-200,-89,-78,-200,-91,-200,-93,-200,-200,-200,-200
1526444212697,-70,-79,-72,-200,-83,-200,-83,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-93
1526444212800,-200,-79,-200,-200,-200,-200,-84,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-93
1526444212940,-70,-79,-72,-97,-200,-72,-83,-200,-200,-97,-200,-76,-200,-200,-92,-200,-200,-200,-200,-200
1526444213081,-70,-200,-71,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444217538,-82,-82,-94,-96,-87,-92,-200,-77,-96,-200,-200,-99,-200,-200,-99,-200,-200,-200,-200,-200
1526444217695,-83,-200,-200,-93,-200,-91,-89,-78,-96,-200,-200,-99,-200,-200,-200,-200,-97,-200,-200,-200
1526444217768,-200,-83,-200,-95,-87,-89,-89,-200,-95,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200
1526444217922,-83,-82,-95,-95,-86,-91,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200
1526444218026,-83,-82,-200,-200,-86,-200,-89,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444222503,-70,-75,-200,-200,-78,-71,-200,-200,-200,-200,-87,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526444222604,-69,-200,-71,-200,-200,-200,-85,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444222733,-70,-200,-70,-200,-79,-71,-87,-75,-200,-92,-87,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526444222826,-70,-76,-200,-200,-200,-71,-86,-75,-93,-93,-88,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526444222930,-200,-76,-200,-200,-200,-71,-200,-75,-94,-93,-87,-76,-92,-200,-200,-200,-200,-200,-200,-200
1526444223070,-70,-77,-200,-200,-80,-71,-200,-75,-91,-92,-200,-76,-91,-200,-200,-200,-200,-200,-200,-200
1526444227516,-70,-79,-200,-200,-83,-200,-200,-73,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-100,-200
1526444227616,-69,-79,-74,-200,-83,-200,-200,-200,-200,-200,-200,-80,-200,-90,-92,-200,-200,-200,-200,-200
1526444227720,-70,-80,-200,-200,-81,-72,-200,-200,-200,-200,-200,-79,-94,-90,-200,-200,-200,-200,-200,-200
1526444227826,-70,-200,-200,-99,-83,-72,-200,-200,-83,-200,-200,-78,-200,-89,-94,-200,-200,-200,-200,-200
1526444227939,-200,-79,-200,-200,-84,-72,-200,-200,-200,-97,-89,-200,-200,-200,-200,-95,-98,-96,-200,-200
1526444228033,-70,-81,-200,-97,-83,-73,-90,-78,-84,-200,-88,-200,-200,-90,-200,-200,-97,-95,-200,-93
1526444232508,-82,-200,-96,-95,-85,-92,-89,-77,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200
1526444232609,-83,-83,-94,-93,-85,-91,-90,-79,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200
1526444232777,-83,-82,-200,-200,-85,-200,-90,-78,-96,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200
1526444232877,-82,-84,-200,-200,-86,-200,-89,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444233011,-83,-83,-95,-200,-200,-200,-91,-77,-200,-200,-99,-99,-200,-200,-200,-200,-200,-200,-200,-200
1526444233117,-200,-75,-200,-200,-200,-200,-90,-200,-91,-93,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200
1526444237556,-200,-76,-70,-200,-78,-71,-87,-200,-200,-200,-87,-77,-91,-200,-200,-200,-200,-200,-200,-200
1526444237660,-70,-75,-200,-200,-79,-73,-86,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526444237769,-70,-76,-70,-200,-200,-73,-88,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444237900,-200,-75,-71,-200,-78,-200,-200,-200,-200,-93,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200
1526444238008,-200,-80,-71,-200,-79,-71,-200,-200,-83,-96,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444242631,-70,-80,-200,-200,-200,-73,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444242737,-69,-200,-200,-200,-83,-72,-200,-72,-84,-95,-90,-200,-200,-200,-93,-94,-200,-200,-200,-200
1526444242888,-200,-200,-72,-200,-83,-72,-82,-72,-200,-200,-89,-79,-200,-200,-200,-93,-98,-200,-200,-200
1526444243008,-69,-200,-74,-94,-80,-73,-82,-71,-84,-200,-200,-200,-200,-200,-200,-93,-97,-200,-200,-200
1526444247538,-83,-82,-200,-95,-200,-91,-90,-78,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200
1526444247654,-83,-82,-200,-200,-86,-200,-90,-77,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200
1526444247768,-83,-83,-97,-94,-86,-91,-200,-77,-95,-200,-200,-100,-200,-200,-97,-200,-200,-200,-200,-200
1526444247866,-83,-82,-97,-200,-86,-200,-90,-78,-200,-200,-200,-99,-200,-200,-200,-200,-200,-200,-200,-200
1526444247982,-83,-83,-200,-95,-84,-90,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444248088,-83,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-100,-200,-200,-200,-200,-200,-200,-200,-200
