,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526443892739,-83,-200,-71,-200,-200,-83,-91,-200,-200,-76,-200,-200
1526443892840,-83,-200,-200,-200,-200,-200,-200,-200,-93,-75,-200,-200
1526443892944,-83,-200,-200,-200,-200,-83,-92,-200,-200,-74,-200,-200
1526443893052,-83,-90,-73,-200,-76,-200,-87,-200,-200,-80,-200,-200
1526443897602,-200,-92,-74,-200,-76,-200,-88,-200,-200,-80,-200,-200
1526443897845,-88,-200,-200,-200,-76,-200,-200,-200,-91,-200,-200,-200
1526443897951,-87,-200,-200,-200,-77,-87,-200,-73,-200,-200,-200,-200
1526443902498,-200,-200,-72,-89,-73,-200,-200,-75,-200,-200,-200,-200
1526443902613,-200,-200,-71,-89,-73,-88,-97,-74,-200,-200,-200,-200
1526443902781,-200,-200,-72,-88,-73,-87,-200,-200,-200,-200,-200,-200
1526443902883,-84,-200,-72,-200,-73,-87,-96,-72,-200,-77,-200,-200
1526443902983,-83,-200,-72,-89,-73,-88,-95,-73,-200,-77,-200,-200
1526443903083,-200,-200,-71,-200,-200,-83,-200,-200,-93,-77,-200,-200
1526443907521,-200,-200,-69,-200,-96,-200,-93,-83,-200,-200,-200,-200
1526443907627,-83,-200,-70,-200,-200,-84,-200,-200,-90,-78,-200,-200
1526443907835,-200,-94,-70,-200,-97,-83,-200,-200,-94,-200,-200,-200
1526443907938,-85,-93,-70,-200,-200,-83,-91,-200,-200,-200,-200,-200
1526443908043,-200,-92,-69,-200,-74,-83,-200,-200,-200,-81,-200,-200
1526443912531,-200,-200,-200,-200,-200,-90,-88,-72,-200,-80,-200,-200
1526443912645,-200,-91,-200,-87,-74,-88,-200,-71,-200,-200,-200,-200
1526443912740,-200,-200,-72,-200,-74,-89,-88,-72,-91,-80,-92,-200
1526443912963,-89,-200,-200,-200,-74,-89,-200,-72,-91,-80,-92,-200
1526443917500,-84,-200,-200,-89,-73,-88,-99,-200,-200,-78,-200,-200
1526443917591,-85,-200,-200,-90,-73,-200,-200,-200,-200,-200,-200,-200
1526443917692,-85,-200,-73,-89,-74,-200,-97,-77,-200,-79,-200,-200
1526443917815,-85,-200,-72,-89,-74,-89,-200,-75,-200,-79,-200,-200
1526443917968,-86,-200,-71,-90,-200,-200,-200,-79,-200,-78,-200,-200
1526443922520,-200,-94,-69,-95,-90,-84,-200,-78,-93,-77,-200,-200
1526443922628,-84,-94,-69,-200,-89,-82,-92,-200,-93,-76,-200,-96
1526443922749,-200,-200,-69,-200,-200,-200,-200,-80,-200,-200,-200,-95
1526443922842,-200,-94,-69,-200,-200,-83,-200,-200,-93,-77,-200,-200
1526443922955,-86,-200,-69,-200,-89,-200,-200,-78,-200,-77,-200,-200
1526443923064,-200,-90,-69,-87,-75,-89,-88,-70,-91,-200,-91,-200
1526443927587,-200,-90,-71,-86,-200,-88,-200,-70,-200,-200,-200,-200
1526443927697,-89,-200,-71,-200,-200,-88,-88,-71,-200,-79,-200,-200
1526443927799,-90,-200,-71,-86,-74,-88,-200,-70,-200,-200,-200,-200
1526443927905,-200,-90,-71,-86,-74,-200,-88,-71,-200,-79,-91,-200
1526443928015,-84,-200,-71,-200,-74,-87,-96,-70,-200,-79,-200,-200
1526443932566,-84,-200,-72,-200,-73,-88,-97,-200,-200,-77,-200,-200
1526443932667,-84,-200,-72,-200,-74,-89,-200,-200,-200,-77,-200,-200
1526443932779,-84,-200,-72,-200,-74,-88,-200,-200,-200,-77,-200,-200
1526443932865,-84,-200,-71,-90,-74,-87,-97,-75,-200,-77,-200,-200
1526443932983,-84,-200,-72,-89,-73,-87,-98,-75,-200,-76,-200,-200
