,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526460195285,-28,-32,-37,-41,-56,-49,-46,-49,-45,-63,-52,-60,-63,-55,-61,-53,-54,-70,-70,-59,-65,-55,-73,-64,-70,-71,-72,-75,-70,-75,-81,-76,-74,-66,-69,-83,-72,-81,-77,-200,-82,-82,-200,-88,-200,-200,-200,-200,-77,-73,-200,-75,-200,-89,-200,-200,-81,-200,-75,-80,-84,-82,-84,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460198331,-28,-35,-36,-38,-55,-44,-50,-49,-49,-67,-48,-57,-55,-51,-58,-49,-53,-70,-71,-67,-59,-55,-73,-64,-70,-74,-65,-71,-70,-75,-81,-76,-78,-66,-70,-83,-72,-81,-77,-200,-82,-82,-200,-200,-200,-200,-200,-200,-77,-74,-200,-75,-200,-89,-200,-200,-89,-200,-200,-80,-89,-82,-84,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460201407,-28,-36,-35,-38,-55,-44,-50,-50,-48,-67,-48,-57,-55,-50,-58,-48,-51,-70,-71,-63,-59,-58,-73,-64,-72,-75,-64,-73,-70,-75,-86,-76,-78,-66,-70,-83,-70,-81,-77,-85,-82,-82,-200,-88,-200,-200,-200,-200,-81,-73,-200,-75,-200,-89,-200,-200,-89,-200,-200,-80,-89,-82,-84,-86,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460204450,-24,-35,-35,-41,-55,-42,-52,-43,-49,-65,-54,-57,-54,-50,-56,-51,-52,-70,-70,-66,-57,-54,-73,-67,-72,-73,-64,-73,-67,-76,-83,-82,-76,-84,-70,-83,-72,-81,-77,-85,-82,-82,-200,-88,-200,-200,-82,-200,-81,-73,-200,-200,-89,-89,-200,-200,-80,-200,-200,-80,-89,-82,-84,-86,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460207509,-24,-35,-36,-40,-55,-45,-53,-43,-45,-64,-48,-57,-50,-52,-56,-48,-53,-70,-70,-63,-70,-54,-73,-67,-70,-72,-65,-69,-67,-76,-83,-81,-75,-84,-70,-88,-71,-200,-76,-85,-200,-82,-200,-88,-200,-200,-82,-200,-81,-74,-200,-200,-89,-89,-200,-200,-80,-200,-200,-80,-89,-82,-200,-86,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460210564,-24,-34,-35,-42,-55,-43,-53,-43,-44,-64,-48,-70,-50,-50,-58,-47,-53,-200,-73,-63,-70,-54,-74,-69,-70,-72,-65,-69,-67,-76,-83,-81,-75,-84,-70,-88,-71,-200,-76,-85,-200,-200,-200,-88,-200,-200,-82,-200,-81,-73,-200,-200,-89,-200,-200,-200,-86,-200,-200,-200,-89,-89,-200,-86,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460213634,-27,-34,-33,-42,-55,-44,-53,-41,-47,-62,-52,-70,-52,-50,-58,-48,-52,-200,-71,-63,-70,-48,-74,-65,-66,-72,-65,-68,-72,-76,-83,-80,-75,-84,-70,-88,-71,-200,-81,-85,-200,-80,-200,-88,-200,-200,-82,-200,-76,-73,-200,-89,-89,-200,-200,-200,-86,-200,-200,-200,-200,-89,-200,-200,-93,-92,-86,-89,-90,-200,-200,-200,-200,-200,-200
1526460216685,-26,-37,-36,-41,-55,-48,-51,-41,-47,-61,-50,-70,-53,-52,-59,-49,-53,-80,-72,-69,-70,-52,-70,-65,-66,-68,-64,-75,-68,-76,-83,-80,-75,-84,-70,-88,-71,-81,-81,-87,-200,-80,-200,-88,-200,-91,-76,-200,-76,-73,-200,-88,-89,-200,-200,-200,-80,-200,-79,-200,-200,-89,-200,-200,-93,-200,-86,-89,-90,-200,-200,-200,-200,-200,-200
1526460219758,-26,-37,-36,-40,-52,-44,-51,-41,-45,-62,-54,-70,-54,-50,-59,-50,-52,-80,-69,-70,-70,-52,-73,-65,-76,-68,-64,-75,-68,-75,-83,-82,-75,-200,-70,-88,-72,-81,-81,-87,-200,-80,-200,-88,-200,-91,-76,-200,-76,-73,-200,-79,-200,-200,-200,-200,-80,-200,-79,-200,-200,-89,-200,-200,-93,-200,-86,-89,-90,-84,-88,-200,-200,-200,-200
1526460222817,-25,-37,-36,-40,-52,-55,-50,-52,-45,-62,-75,-70,-52,-50,-59,-48,-52,-80,-69,-69,-70,-53,-73,-67,-74,-72,-64,-75,-68,-75,-83,-82,-75,-200,-70,-88,-72,-81,-81,-87,-200,-80,-200,-88,-200,-91,-76,-200,-78,-73,-200,-79,-200,-200,-200,-200,-80,-200,-79,-200,-200,-82,-200,-200,-93,-200,-86,-89,-90,-84,-88,-200,-200,-200,-200
1526460225878,-27,-36,-35,-38,-52,-47,-50,-44,-45,-65,-66,-57,-55,-52,-58,-49,-52,-79,-70,-66,-70,-56,-76,-67,-74,-74,-64,-68,-68,-76,-83,-80,-75,-200,-70,-200,-69,-81,-81,-87,-86,-80,-90,-200,-200,-91,-76,-200,-78,-73,-200,-82,-200,-200,-86,-200,-78,-200,-78,-200,-200,-82,-200,-200,-93,-200,-86,-89,-90,-84,-88,-74,-86,-91,-200
1526460228921,-35,-39,-35,-36,-54,-46,-50,-44,-45,-68,-59,-57,-54,-52,-58,-49,-52,-79,-70,-67,-200,-57,-75,-67,-70,-73,-64,-69,-72,-75,-83,-80,-79,-200,-69,-200,-66,-81,-200,-87,-86,-80,-90,-200,-200,-91,-76,-200,-78,-73,-200,-81,-200,-200,-86,-200,-79,-200,-78,-200,-90,-84,-200,-200,-200,-200,-200,-200,-200,-84,-88,-74,-86,-91,-74
