,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,DLINK_D02A10,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526460635040,-30,-29,-36,-35,-47,-50,-49,-48,-50,-44,-52,-56,-53,-56,-53,-60,-59,-63,-58,-71,-67,-72,-61,-86,-200,-65,-67,-70,-73,-67,-72,-74,-72,-69,-73,-200,-82,-76,-200,-84,-200,-83,-200,-79,-83,-200,-200,-200,-200,-89,-90,-200,-200,-82,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-77,-84,-200,-89,-90,-85,-85,-76,-85,-80,-89,-200,-200,-200,-200,-200,-200,-200
1526460638120,-31,-31,-37,-34,-44,-50,-53,-48,-51,-44,-52,-54,-53,-60,-53,-58,-60,-63,-59,-71,-67,-67,-61,-79,-200,-55,-65,-69,-73,-69,-72,-74,-73,-69,-74,-200,-77,-75,-200,-200,-200,-83,-200,-79,-84,-200,-200,-200,-200,-89,-90,-200,-200,-82,-200,-200,-83,-200,-200,-200,-200,-82,-200,-200,-200,-85,-200,-89,-200,-85,-85,-76,-85,-80,-89,-200,-200,-200,-200,-200,-200,-200
1526460641185,-33,-31,-38,-35,-44,-48,-49,-51,-47,-44,-52,-55,-56,-60,-53,-60,-63,-63,-60,-71,-67,-64,-61,-77,-200,-55,-66,-70,-73,-68,-73,-75,-73,-68,-75,-200,-76,-86,-200,-200,-200,-200,-200,-79,-84,-200,-200,-200,-200,-87,-90,-200,-200,-82,-200,-200,-83,-200,-200,-200,-200,-82,-200,-76,-200,-85,-200,-200,-200,-85,-200,-76,-85,-80,-89,-88,-91,-200,-200,-200,-200,-200
1526460644230,-29,-33,-36,-35,-51,-47,-46,-51,-47,-42,-53,-56,-56,-59,-53,-60,-60,-64,-60,-74,-66,-64,-63,-74,-200,-55,-64,-67,-74,-64,-72,-72,-69,-72,-74,-200,-75,-74,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-87,-90,-200,-200,-91,-200,-200,-89,-200,-200,-200,-200,-82,-200,-76,-200,-85,-86,-200,-200,-200,-200,-200,-200,-80,-89,-88,-91,-85,-200,-200,-200,-200
1526460647267,-27,-30,-45,-35,-49,-47,-46,-54,-46,-42,-50,-56,-57,-59,-53,-55,-60,-64,-57,-74,-65,-79,-61,-74,-75,-55,-69,-67,-73,-63,-72,-72,-69,-72,-74,-200,-75,-70,-200,-200,-82,-200,-200,-200,-88,-200,-200,-200,-200,-87,-200,-200,-200,-91,-200,-200,-84,-200,-200,-80,-200,-82,-200,-76,-200,-85,-86,-200,-200,-200,-200,-200,-85,-200,-89,-88,-91,-85,-200,-200,-200,-200
1526460650293,-27,-28,-39,-33,-49,-55,-46,-54,-48,-42,-49,-55,-58,-60,-54,-52,-59,-64,-57,-75,-65,-70,-65,-74,-71,-55,-69,-66,-73,-63,-72,-74,-69,-72,-75,-200,-75,-70,-200,-82,-82,-200,-200,-200,-88,-85,-200,-200,-200,-87,-200,-200,-200,-91,-200,-200,-84,-200,-200,-80,-200,-82,-200,-76,-200,-85,-86,-200,-200,-200,-200,-200,-85,-200,-200,-88,-91,-85,-81,-89,-200,-200
1526460653346,-31,-28,-37,-35,-49,-47,-46,-56,-51,-42,-49,-54,-55,-58,-54,-58,-57,-63,-62,-75,-64,-67,-65,-74,-71,-200,-69,-69,-81,-63,-74,-76,-69,-74,-75,-200,-75,-71,-200,-82,-82,-200,-200,-200,-88,-86,-200,-200,-200,-87,-200,-200,-200,-91,-200,-200,-84,-200,-200,-80,-200,-200,-200,-76,-200,-200,-86,-200,-200,-90,-200,-200,-85,-200,-200,-88,-91,-85,-81,-89,-200,-200
1526460656393,-31,-31,-33,-34,-45,-48,-43,-56,-52,-42,-45,-54,-55,-58,-54,-55,-57,-63,-57,-72,-64,-68,-63,-74,-70,-59,-69,-69,-74,-65,-72,-76,-66,-74,-79,-200,-75,-69,-200,-84,-84,-200,-200,-200,-88,-85,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-84,-200,-90,-77,-200,-200,-200,-76,-200,-200,-86,-200,-200,-90,-200,-200,-85,-200,-200,-200,-200,-85,-81,-89,-76,-85
1526460659441,-30,-31,-33,-35,-47,-46,-48,-56,-46,-41,-48,-54,-53,-58,-68,-55,-59,-63,-59,-73,-64,-69,-71,-74,-70,-52,-69,-68,-74,-65,-73,-76,-66,-73,-79,-200,-77,-70,-200,-84,-84,-200,-200,-200,-87,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-90,-79,-200,-200,-200,-76,-70,-200,-200,-200,-200,-90,-85,-200,-85,-80,-200,-200,-200,-200,-81,-89,-76,-85
1526460662519,-30,-31,-33,-35,-47,-49,-48,-57,-46,-42,-46,-64,-54,-59,-68,-55,-58,-64,-56,-73,-64,-69,-62,-74,-70,-52,-69,-68,-77,-65,-74,-74,-67,-74,-80,-200,-77,-70,-200,-84,-84,-200,-200,-200,-85,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-90,-80,-200,-200,-200,-76,-70,-200,-200,-200,-200,-90,-85,-200,-200,-80,-200,-200,-200,-200,-81,-89,-76,-85
1526460665576,-27,-32,-33,-35,-47,-49,-50,-52,-50,-42,-47,-60,-55,-56,-53,-54,-58,-62,-60,-72,-62,-72,-61,-74,-67,-54,-66,-68,-75,-65,-74,-74,-67,-74,-80,-200,-77,-70,-200,-84,-84,-200,-200,-200,-84,-85,-81,-200,-84,-200,-200,-200,-200,-200,-200,-200,-89,-200,-90,-79,-200,-200,-200,-76,-75,-83,-200,-200,-200,-90,-85,-200,-200,-78,-200,-200,-200,-74,-200,-200,-76,-85
1526460668638,-27,-30,-40,-35,-45,-50,-50,-53,-52,-41,-47,-57,-53,-57,-54,-50,-58,-70,-60,-73,-64,-73,-63,-74,-68,-54,-71,-74,-75,-63,-74,-75,-67,-72,-80,-200,-79,-70,-200,-84,-84,-200,-200,-200,-84,-85,-81,-200,-84,-200,-200,-200,-200,-200,-200,-200,-86,-200,-90,-79,-200,-200,-200,-76,-75,-83,-84,-200,-200,-200,-85,-200,-200,-78,-200,-200,-200,-74,-200,-200,-76,-85
