,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D00ED0,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018
1526460562399,-31,-31,-37,-40,-40,-47,-54,-57,-48,-54,-59,-44,-44,-55,-51,-61,-68,-60,-71,-65,-78,-67,-200,-76,-68,-74,-200,-72,-76,-70,-74,-64,-77,-74,-83,-75,-81,-78,-78,-74,-200,-73,-200,-200,-200,-87,-86,-77,-200,-200,-200,-200,-200,-200,-50,-200,-200,-80,-200,-200,-90,-200,-83,-87,-89,-92,-86,-89,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460565463,-31,-29,-38,-40,-40,-43,-56,-61,-48,-54,-59,-44,-46,-58,-51,-63,-68,-58,-67,-65,-80,-64,-75,-75,-71,-75,-200,-68,-76,-70,-71,-64,-77,-74,-76,-79,-81,-78,-78,-74,-200,-72,-200,-81,-200,-87,-86,-81,-200,-200,-200,-200,-89,-200,-53,-200,-200,-76,-200,-200,-90,-200,-200,-87,-89,-92,-86,-89,-93,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460568521,-30,-30,-38,-43,-40,-48,-56,-57,-48,-55,-69,-44,-46,-56,-51,-63,-62,-59,-67,-65,-80,-68,-75,-75,-71,-77,-200,-68,-76,-69,-71,-62,-77,-200,-75,-80,-81,-78,-78,-74,-200,-72,-200,-81,-200,-82,-200,-81,-200,-200,-200,-200,-89,-87,-53,-200,-88,-76,-200,-84,-90,-200,-200,-200,-200,-92,-86,-89,-93,-88,-91,-86,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460571570,-32,-31,-34,-40,-42,-42,-56,-59,-48,-55,-69,-48,-47,-53,-53,-58,-62,-61,-65,-65,-80,-68,-75,-70,-71,-75,-200,-71,-76,-71,-71,-65,-77,-76,-75,-79,-81,-76,-78,-78,-200,-70,-200,-81,-200,-82,-200,-79,-200,-200,-200,-200,-89,-86,-57,-200,-88,-76,-200,-84,-200,-86,-200,-200,-200,-200,-86,-86,-93,-88,-91,-86,-87,-91,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460574645,-28,-35,-37,-42,-47,-54,-52,-54,-48,-59,-69,-46,-48,-50,-53,-60,-63,-61,-64,-200,-83,-58,-75,-74,-71,-74,-81,-70,-76,-71,-71,-63,-82,-76,-79,-77,-81,-76,-75,-78,-200,-78,-200,-81,-200,-82,-87,-77,-200,-200,-200,-200,-89,-84,-57,-200,-88,-76,-200,-84,-200,-86,-200,-200,-200,-200,-200,-86,-200,-88,-91,-86,-87,-91,-89,-76,-90,-200,-200,-200,-200,-200,-200,-200
1526460577730,-30,-33,-37,-40,-44,-46,-52,-55,-49,-56,-69,-46,-56,-49,-54,-59,-59,-65,-64,-200,-83,-60,-75,-72,-71,-70,-81,-65,-75,-71,-75,-63,-79,-76,-75,-77,-200,-78,-74,-78,-200,-78,-80,-81,-200,-88,-87,-77,-200,-200,-200,-200,-89,-84,-57,-200,-88,-76,-200,-84,-200,-86,-200,-200,-200,-200,-200,-89,-200,-88,-91,-86,-87,-91,-89,-76,-90,-90,-91,-200,-200,-200,-200,-200
1526460580792,-26,-25,-36,-42,-39,-45,-60,-51,-49,-57,-69,-55,-56,-48,-49,-59,-65,-61,-65,-200,-83,-62,-200,-72,-200,-67,-81,-68,-75,-70,-75,-63,-80,-76,-75,-77,-80,-75,-72,-74,-200,-77,-80,-200,-88,-88,-87,-77,-200,-200,-200,-200,-200,-84,-62,-200,-88,-200,-200,-84,-200,-86,-200,-200,-200,-200,-200,-89,-200,-200,-200,-86,-87,-91,-89,-73,-84,-90,-91,-89,-200,-200,-200,-200
1526460583841,-30,-27,-36,-45,-39,-45,-52,-55,-50,-60,-200,-49,-56,-48,-45,-62,-65,-61,-65,-60,-75,-62,-200,-73,-76,-66,-81,-64,-71,-70,-71,-65,-75,-76,-71,-76,-80,-76,-76,-77,-200,-76,-79,-200,-88,-88,-87,-78,-200,-200,-200,-200,-200,-84,-62,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-87,-200,-89,-73,-84,-90,-91,-89,-200,-200,-200,-200
1526460586909,-31,-32,-35,-47,-35,-44,-59,-79,-48,-57,-200,-53,-50,-44,-47,-55,-65,-62,-70,-60,-75,-70,-200,-71,-76,-70,-81,-68,-71,-71,-67,-64,-71,-200,-82,-76,-77,-76,-77,-78,-200,-80,-79,-81,-88,-88,-87,-78,-200,-200,-200,-200,-200,-84,-62,-86,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-87,-200,-200,-73,-84,-90,-91,-89,-200,-200,-200,-200
1526460589975,-28,-32,-35,-47,-33,-46,-59,-63,-48,-57,-200,-50,-50,-44,-51,-59,-65,-62,-63,-60,-75,-63,-200,-77,-76,-70,-200,-66,-71,-71,-67,-64,-73,-73,-73,-76,-77,-76,-81,-78,-200,-80,-79,-81,-88,-90,-200,-78,-200,-200,-200,-88,-200,-200,-62,-86,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-84,-87,-200,-200,-73,-84,-90,-91,-89,-87,-200,-200,-200
1526460593050,-30,-36,-35,-78,-33,-50,-61,-57,-48,-57,-200,-50,-48,-42,-55,-62,-61,-62,-65,-60,-75,-60,-200,-77,-76,-79,-200,-71,-68,-80,-65,-62,-73,-70,-73,-76,-77,-79,-77,-78,-200,-80,-79,-81,-88,-86,-200,-82,-90,-200,-200,-88,-200,-200,-62,-86,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-84,-87,-200,-200,-73,-84,-85,-200,-89,-87,-81,-87,-200
1526460596104,-26,-39,-34,-54,-34,-53,-57,-55,-50,-54,-47,-46,-48,-41,-52,-62,-62,-59,-65,-60,-75,-57,-200,-76,-76,-79,-200,-69,-69,-71,-65,-63,-75,-70,-71,-77,-77,-78,-80,-78,-200,-78,-79,-81,-200,-86,-200,-82,-90,-83,-200,-88,-87,-200,-55,-86,-200,-200,-200,-200,-91,-86,-200,-200,-200,-200,-200,-84,-200,-200,-200,-84,-87,-200,-200,-200,-200,-85,-200,-200,-87,-81,-87,-88
